username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
4Vants;2018-11-29 21:21;0;0;"#4vants apresentará sua plataforma de inteligência artificial no Congresso Internacional de Supply Chain, que acontecerá em São Paulo nos dias 3 e 4 de… https://www. instagram.com/p/BqyZuqhDKdhi RsgTWbup--En7giLwPIRdhZtEc0/?utm_source=ig_twitter_share&igshid=12v875er84ahc …";;;#4vants;"1068329203408486400";https://twitter.com/4Vants/status/1068329203408486400
4Vants;2018-11-20 06:18;0;0;"4vants participa do XXIII #sendi - Seminário Nacional de Distribuição de Energia Elétrica. Venham aprofundar seus conhecimentos da plataforma 4vants de… https://www. instagram.com/p/BqZnLb7Do4LF E3g3aXL-H9qfghme3Z_W31hKkE0/?utm_source=ig_twitter_share&igshid=1ohiq0742xur6 …";;;#sendi;"1064840347132616704";https://twitter.com/4Vants/status/1064840347132616704
4Vants;2018-11-13 08:12;0;0;"Beertime Oriental Pearl Radio & Television Tower. #shanghai #go4vants #startse em Captain Bar https://www. instagram.com/p/BqHyqZ0j334q 82hF3rrC7BG3NsRkABtPhvC0xk0/?utm_source=ig_twitter_share&igshid=1xmhx8b8no8tv …";;;#shanghai #go4vants #startse;"1062332325831344129";https://twitter.com/4Vants/status/1062332325831344129
4Vants;2018-11-06 10:18;0;1;"4vants start Websummit with an astronomical goal !!! #go4vants #WebSummit em Web Summit Lisbon https://www. instagram.com/p/Bp1_aRZjNTb0 I9RmYSfkpmb5LinB4S57i4ApXw0/?utm_source=ig_twitter_share&igshid=tekyabzpsxuh …";;;#go4vants #WebSummit;"1059827294703894528";https://twitter.com/4Vants/status/1059827294703894528
4Vants;2018-11-05 19:57;0;0;"#4vants startup from Curitiba, the winner of the second edition of EDP Starter's acceleration program in Brazil, will have the opportunity to participate in… https://www. instagram.com/p/Bp0c9g3jKSht -rWJ4RA2ER1Si7IHr3H6SbJDHU0/?utm_source=ig_twitter_share&igshid=1bcuxoyikvk2n …";;;#4vants;"1059610582981230592";https://twitter.com/4Vants/status/1059610582981230592
4Vants;2018-11-03 07:32;0;0;"4vants demonstrará sua plataforma de Inteligência Artificial num dos maiores eventos de tecnologia do mundo o @websummithq . Venham nos visitar no stand B.934… https://www. instagram.com/p/Bpt3U9DD7XFH beum6NPkihaJ4NVF1oVmABl8vI0/?utm_source=ig_twitter_share&igshid=7bk9r96vm9le …";;@websummithq;;"1058683418202918913";https://twitter.com/4Vants/status/1058683418202918913
4Vants;2018-10-19 17:20;0;0;"Um pouco de como foi o programa #edpstarter #4vants #go4vants #gochina #edp https://www. instagram.com/p/BpISPa_DEJGP aU_MPIWarHEm0z47PcIIXN3bYY0/?utm_source=ig_twitter_share&igshid=u4hdtm3u2cy6 …";;;#edpstarter #4vants #go4vants #gochina #edp;"1053395380132634625";https://twitter.com/4Vants/status/1053395380132634625
4Vants;2018-06-29 13:41;0;0;"4VANTS - Inteligência Artificial Ferroviária: http:// youtu.be/gILsQ6p_Qmc?a via @YouTube";;@YouTube;;"1012752847144996864";https://twitter.com/4Vants/status/1012752847144996864
4Vants;2017-04-25 21:51;0;0;"4VANTS Institucional: http:// youtu.be/KhX7-4I7ZFY?a via @YouTube";;@YouTube;;"857049473675034625";https://twitter.com/4Vants/status/857049473675034625
4Vants;2017-01-27 07:14;0;0;"4VANTS Energia: http:// youtu.be/5_Np7VVyWBc?a via @YouTube";;@YouTube;;"824953610295508993";https://twitter.com/4Vants/status/824953610295508993
