username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
coworking0711;2018-11-14 05:45;1;1;"Heute Abend in Esslingen: Das Startups Meetup mit Sebastian Lenk von @5analytics „Wie KI unsere Arbeitswelt verändert“ Wir freuen uns auf einen interessanten Abend https://www. meetup.com/de-DE/Startups -Esslingen/events/255743907/ …";;@5analytics;;"1062657817096658944";https://twitter.com/coworking0711/status/1062657817096658944
MechVentura;2018-11-08 04:09;0;2;"Adding @Ebot7Info , @conntac_net , @LanaLabs y @5analytics desde Alemania";;@Ebot7Info @conntac_net @LanaLabs @5analytics;;"1060459238210879489";https://twitter.com/MechVentura/status/1060459238210879489
Oracle_DE;2018-11-06 06:49;1;1;"#KI #UseCases machen deutlich. Der #Algorithmus ist nur die Spitze des Eisbergs. Er muss auch in die Systeme integriert werden, um ins Unternehmen zu gelangen. @sklenk @5analytics #OracleImpact pic.twitter.com/senGIJrqpY";;@sklenk @5analytics;#KI #UseCases #Algorithmus #OracleImpact;"1059774829778341888";https://twitter.com/Oracle_DE/status/1059774829778341888
Oracle_DE;2018-11-06 06:23;1;1;"Wie hält #KI Einzug in #Unternehmen ? KI kann den Mitarbeitern einfache Aufgaben abnehmen. @sklenk @5analytics #Intelligent #Automation #OracleImpact pic.twitter.com/1UlV2gsTpQ";;@sklenk @5analytics;#KI #Unternehmen #Intelligent #Automation #OracleImpact;"1059768152601567232";https://twitter.com/Oracle_DE/status/1059768152601567232
Oracle_DE;2018-11-06 05:45;3;3;"Wir freuen uns auf @sklenk von @5analytics und seinen Vortrag zu #KI im Unternehmenseinsatz. Gleich bei #OracleImpact . pic.twitter.com/RlGfAAMYFV";;@sklenk @5analytics;#KI #OracleImpact;"1059758573918527488";https://twitter.com/Oracle_DE/status/1059758573918527488
WayraDE;2018-10-11 14:46;1;6;"Business Market Intelligence hörte spannende Herausforderungen für #KI #startups wie @Ebot7Info @5analytics oder @StackFuelHQ @telefonica_de https:// twitter.com/base_campberli n/status/1050455158021386240 …";;@Ebot7Info @5analytics @StackFuelHQ @telefonica_de;#KI #startups;"1050457678198259712";https://twitter.com/WayraDE/status/1050457678198259712
auwi;2018-09-20 13:04;1;8;"#perspektivwechsel - Wir diskutieren heute mit #KI Experten @robintibor vom Uniklinikum Freiburg und Stefan Soehnle von @5analytics und den #Freelancern @Zeichenmangel . Weil wir glauben, dass es hilft zu verbinden. Und den Austausch voran zu treiben. #freelancerevent #TRAFObeat pic.twitter.com/wTwYsMzbJM";;@robintibor @5analytics @Zeichenmangel;#perspektivwechsel #KI #Freelancern #freelancerevent #TRAFObeat;"1042821904762130432";https://twitter.com/auwi/status/1042821904762130432
HTGF;2018-09-18 07:41;1;8;"#HTGFonTour : Unsere Investment Managerin Dr. Marie Asano in der #ChemStartup Jury auf der @StartupCon_cgn . Glückwunsch an unser Portfoliounternehmen @5analytics zum Gewinn des Awards! #startupcon #digitalproduction pic.twitter.com/4VqEdZVXD4";;@StartupCon_cgn @5analytics;#HTGFonTour #ChemStartup #startupcon #digitalproduction;"1042015877909159936";https://twitter.com/HTGF/status/1042015877909159936
ChemCologne;2018-09-11 08:23;0;6;"Die Finalisten für den #ChemStartup -Award am 18.9.2018: #DigitalSupplyChain : FoxBase & Carrypicker #DigitalProduction : @5analytics & LuxYours #DigitalWorkforce : @rise_techn & @oculavis #NewMaterials : Sulfotools & Bipolymer Systeme #circulareconomy : @theapplegirl_ & Watttron pic.twitter.com/GDzErsimYM";;@5analytics @rise_techn @oculavis @theapplegirl_;#ChemStartup #DigitalSupplyChain #DigitalProduction #DigitalWorkforce #NewMaterials #circulareconomy;"1039489515449212928";https://twitter.com/ChemCologne/status/1039489515449212928
BtTowers;2018-09-06 10:16;2;4;"Der Nachbericht für das #BetweentheTowers diesen Monat ist raus! Schaut doch vorbei für Fotos & die viel nachgefragten Slides zu "10 things everybody should know about AI today" https:// bit.ly/2OIUn7h @FraunhoferIAIS @commerzbank @Ebot7Info @5analytics @brainalyzed";;@FraunhoferIAIS @commerzbank @Ebot7Info @5analytics @brainalyzed;#BetweentheTowers;"1037706086306988032";https://twitter.com/BtTowers/status/1037706086306988032
sbcdigital;2018-09-04 14:57;0;0;"Sehr professioneller spannender Pitch @5analytics @BtTowers";;@5analytics @BtTowers;;"1037052138030080000";https://twitter.com/sbcdigital/status/1037052138030080000
rosaundleo;2018-09-04 14:54;0;0;"Wir lieben kompetente, realistische Gründer. Congrats @5analytics pic.twitter.com/bzPtoM9X4E";;@5analytics;;"1037051377938296832";https://twitter.com/rosaundleo/status/1037051377938296832
BtTowers;2018-09-04 14:53;0;0;"@5analytics pitcht #AI als eine Enterprise Software bei #BetweentheTowers pic.twitter.com/bQc0v2EBEo";;@5analytics;#AI #BetweentheTowers;"1037050946986143744";https://twitter.com/BtTowers/status/1037050946986143744
spitzmichael;2018-09-04 14:52;0;2;"Als 2. stellt sich die Enterprise #AI Company @5Analytics vor. @mainincubator @commerzbank @BtTowers #BetweentheTowers pic.twitter.com/T8E4MgnlpA";;@5Analytics @mainincubator @commerzbank @BtTowers;#AI #BetweentheTowers;"1037050790798680064";https://twitter.com/spitzmichael/status/1037050790798680064
fintech_consult;2018-09-04 13:44;2;4;"Full house at @BtTowers in #Frankfurt , tonight about #AI with Hendrik Stange of @FraunhoferIAIS , Eberhard Schnebel @goetheuni , @Ebot7Info , @5analytics and @brainalyzed . #BTT pic.twitter.com/x5RR2gPxyv";;@BtTowers @FraunhoferIAIS @goetheuni @Ebot7Info @5analytics @brainalyzed;#Frankfurt #AI #BTT;"1037033685252489218";https://twitter.com/fintech_consult/status/1037033685252489218
sklenk;2018-09-04 13:11;0;0;"Between the Towers - @5analytics putting #AI into #production pic.twitter.com/rFj34vd8EF";;@5analytics;#AI #production;"1037025381541400577";https://twitter.com/sklenk/status/1037025381541400577
sklenk;2018-09-04 12:50;0;0;"Or suitable software: @5analytics solves the skill problem. https:// twitter.com/CarlaHustedt/s tatus/989792213474467840 …";;@5analytics;;"1037020087641927683";https://twitter.com/sklenk/status/1037020087641927683
MechVentura;2018-08-28 09:14;0;0;"Connect with @GabrielCortina2 Wayra CEO @WayraMexico";;@GabrielCortina2 @WayraMexico;;"1034429057612623874";https://twitter.com/MechVentura/status/1034429057612623874
5analytics;2018-08-28 08:01;1;3;"Greetings from Mexico. Our founder Stefan Soehnle is at BBVA Bank in Mexico this week. #mexico #businesstravel #ArtificialIntelligence #AI pic.twitter.com/cmoLcbT2Wn";;;#mexico #businesstravel #ArtificialIntelligence #AI;"1034410538342723586";https://twitter.com/5analytics/status/1034410538342723586
5analytics;2018-08-27 05:10;1;3;"Proven success through #machinelearning #deployment - systems that previously existed only as prototypes now deliver a measurable #ROI ... https:// hubs.ly/H0dwWcK0 pic.twitter.com/QCuxM6Cnzi";;;#machinelearning #deployment #ROI;"1034005095179014145";https://twitter.com/5analytics/status/1034005095179014145
5analytics;2018-08-23 05:09;0;1;"Meet The Expert!!! We at 5Analytics believe in delivering best-in-class performance to our clients by developing AI applications that exceptionally satisfy their requirements and maximize their ROI. Challenge us today and schedule a ten minute call! https:// hubs.ly/H0dvbSx0 pic.twitter.com/YBWVRoUVbt";;;;"1032555505737232384";https://twitter.com/5analytics/status/1032555505737232384
