username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ToniTWhitley;2018-12-28 18:41;0;3;"Here's the results of our #FemaleFounders Competition, awarding $4 million in funding to two very deserving women-led companies. Thank you @PeggyJ for your leadership & congratulations to the winners! @AcertaAnalytics @Mental_Canvas http:// msft.social/wP7qrX";;@PeggyJ @AcertaAnalytics @Mental_Canvas;#FemaleFounders;"1078797997167861761";https://twitter.com/ToniTWhitley/status/1078797997167861761
MSFTReactor;2018-12-27 17:28;2;10;"Our next Favorite Reactor Moment of 2018: Finalists in the @M12vc @eqtventures & @SVB_Financial #FemaleFounders Competition made their pitches at #ReactorSF . Earlier this month @Mental_Canvas & @AcertaAnalytics were announced as the $2M funding winners! https:// bit.ly/2EqXorB pic.twitter.com/FSR1Yc3fpE";;@M12vc @eqtventures @SVB_Financial @Mental_Canvas @AcertaAnalytics;#FemaleFounders #ReactorSF;"1078417385470681088";https://twitter.com/MSFTReactor/status/1078417385470681088
j4shah;2018-12-27 14:07;1;18;"For those that are curious about some recentish examples (definitely not a conclusive list) of Velocity startups founded by graduate degree holders: @SBioworks @icspicorp @H2nanO @micromensio @SalientEnergy @Qidni @ElucidLabs @labforge @ExVivoLabs @AcertaAnalytics @Nicoya_Life";;@SBioworks @icspicorp @H2nanO @micromensio @SalientEnergy @Qidni @ElucidLabs @labforge @ExVivoLabs @AcertaAnalytics @Nicoya_Life;;"1078366716948811776";https://twitter.com/j4shah/status/1078366716948811776
WomenatAustin;2018-12-22 10:00;1;3;"Congratulations to the winners of Microsoft's first Female Founders Competition! @AcertaAnalytics @mental_canvas via @geekwire https://www. geekwire.com/2018/microsoft s-investment-arm-m12-announces-winners-4m-female-founders-competition/ …";;@AcertaAnalytics @mental_canvas @geekwire;;"1076492559344529408";https://twitter.com/WomenatAustin/status/1076492559344529408
lao_beijing;2018-12-19 04:43;0;2;"Congrats to the winners! What a founder powerhouse all in one picture.";;;;"1075325848625004544";https://twitter.com/lao_beijing/status/1075325848625004544
DaveBDietz;2018-12-17 19:54;0;0;"Awesome! Congratulations @gretenok Greta @AcertaAnalytics ! https:// twitter.com/satyanadella/s tatus/1072944801098588163 …";;@gretenok @AcertaAnalytics;;"1074830189044088832";https://twitter.com/DaveBDietz/status/1074830189044088832
WaterlooINT;2018-12-17 14:15;0;4;"At least 11 @uwaterlooalumni and former students made the nationally recognized @Forbes "30 under 30" list for 2019. Find out which #UWProud folks made the list: http:// ow.ly/KUSD30mXJIx Including the likes of @embarktrucks @AcertaAnalytics @Monstercat We salute youth talent! pic.twitter.com/BFm3SOH0X9";;@uwaterlooalumni @Forbes @embarktrucks @AcertaAnalytics @Monstercat;#UWProud;"1074744828699783169";https://twitter.com/WaterlooINT/status/1074744828699783169
Lindsay_Rae_M;2018-12-17 10:31;1;4;"Congrats to the two winners of the Female Founders competition @AcertaAnalytics and @Mental_Canvas ! Bravo to @m12vc @eqtventures @SVB_Financial for this great support. https:// blogs.microsoft.com/blog/2018/12/1 1/announcing-the-female-founders-competition-winners/ …";;@AcertaAnalytics @Mental_Canvas @m12vc @eqtventures @SVB_Financial;;"1074688456951947264";https://twitter.com/Lindsay_Rae_M/status/1074688456951947264
MollyM_Gavin;2018-12-12 23:11;0;4;"We need so much more of this! Keep up the great work @PeggyJ @arlenwashere @mlevram @FortuneMPW #FemaleFounder competition is awesome especially when women compete fairly!";;@PeggyJ @arlenwashere @mlevram @FortuneMPW;#FemaleFounder;"1073067900464975873";https://twitter.com/MollyM_Gavin/status/1073067900464975873
briankobus;2018-12-12 17:51;1;6;"More good news re @AcertaAnalytics today! https:// twitter.com/BlackBerry/sta tus/1072922385127497728 …";;@AcertaAnalytics;;"1072987434042875904";https://twitter.com/briankobus/status/1072987434042875904
tedserbinski;2018-12-12 16:12;0;11;"Announcing the Female Founders Competition winners via @M12vc https:// ted.vc/2QoV3Uq > Congrats Greta CEO of @AcertaAnalytics a 2016 Techstars Mobility company! pic.twitter.com/l56v5gG9Sr";;@M12vc @AcertaAnalytics;;"1072962305690927105";https://twitter.com/tedserbinski/status/1072962305690927105
