username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
acurastem;2018-12-20 11:39;0;0;"Proud to announce a new collaboration with CMTRF to test established drugs as possible treatment for #CMT 2A. https:// bit.ly/2GyuF6d #research #cmt #ai #biotech #neuroscience #drugdiscovery #collaboration #precisionmedicine";;;#CMT #research #cmt #ai #biotech #neuroscience #drugdiscovery #collaboration #precisionmedicine;"1075792813550235648";https://twitter.com/acurastem/status/1075792813550235648
ImoveCar;2018-11-07 23:44;0;1;"I’d be happy to @AdeleRene ! What days are you in DC? I’m actually in Dallas at the moment and LA this weekend, but then back in DC for several weeks afterwards!";;@AdeleRene;;"1060392551243497482";https://twitter.com/ImoveCar/status/1060392551243497482
AdeleRene;2018-11-07 23:38;0;1;"Come with!";;;;"1060391083291471872";https://twitter.com/AdeleRene/status/1060391083291471872
ImoveCar;2018-11-05 09:17;0;2;"Thank you SO MUCH for doing this. I live in the DC area in case there’s opportunities to help in any way.";;;;"1059449522642915328";https://twitter.com/ImoveCar/status/1059449522642915328
AdeleRene;2018-11-04 22:00;0;1;"I understand";;;;"1059279276174766080";https://twitter.com/AdeleRene/status/1059279276174766080
msgeekmedia;2018-11-04 20:06;0;3;"He was sick from when I was 8, and passed when I had just turned 12. Yeah. Tough stuff, but I survived. Miss him still, though.";;;;"1059250665355042816";https://twitter.com/msgeekmedia/status/1059250665355042816
AdeleRene;2018-11-04 19:17;0;3;"I’ve heard of him/this!";;;;"1059238266803638272";https://twitter.com/AdeleRene/status/1059238266803638272
AdeleRene;2018-11-04 19:10;0;3;"So sorry to hear that Michelle. It’s heartbreaking to be a part of.";;;;"1059236413013614592";https://twitter.com/AdeleRene/status/1059236413013614592
acurastem;2018-11-04 18:03;2;8;"Thanks to the amazing #ReneeZellweger for all she’s doing to advance ALS research for patients around the . We’re all #TeamNanci in the fight against #ALS ! @alsagoldenwest #WalktoDefeatALS pic.twitter.com/J3tMF63JYF";;@alsagoldenwest;#ReneeZellweger #TeamNanci #ALS #WalktoDefeatALS;"1059219669939183616";https://twitter.com/acurastem/status/1059219669939183616
msgeekmedia;2018-11-04 18:02;0;2;"Lost my father to this horrible disease in 1975.";;;;"1059219275351642114";https://twitter.com/msgeekmedia/status/1059219275351642114
