username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
adeptmindai;2018-12-30 17:30;0;0;"Is your online store up and running with AI Search and Filters? Improve your customer experience and search ASAP! #onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopifyapp #sales #onlinesales #shopifystore #online #shopify #app pic.twitter.com/UDVxHUo1cX";;;#onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopifyapp #sales #onlinesales #shopifystore #online #shopify #app;"1079504957626302465";https://twitter.com/adeptmindai/status/1079504957626302465
adeptmindai;2018-12-30 11:00;0;0;"Sometimes sales & coffee is all you need on a Sunday afternoon! AI Search and Filters app allows you to customize a ton of filters, buttons and colours to really accentuate the products you might have on sale. #onlineshopping #ecommerce #smallbusiness #shopifyapp #sales pic.twitter.com/KlLEs64C0E";;;#onlineshopping #ecommerce #smallbusiness #shopifyapp #sales;"1079406830906982400";https://twitter.com/adeptmindai/status/1079406830906982400
adeptmindai;2018-12-29 17:30;0;0;"Shopping online is getting bigger and bigger! Make sure your online store as AI Search and Filters installed for incredible search and important analytics! #onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopaholics #shoppingaddict #shopifyapp pic.twitter.com/kzI8OKf7gg";;;#onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopaholics #shoppingaddict #shopifyapp;"1079142559736348672";https://twitter.com/adeptmindai/status/1079142559736348672
adeptmindai;2018-12-29 11:00;0;2;"Our search is powered by deep learning, allowing your customers to see the most relevant and accurate search results in your store , leading to increased conversion! Try it out today. #onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopifyapp #sales #online pic.twitter.com/a7SS8d2QNq";;;#onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopifyapp #sales #online;"1079044462934937601";https://twitter.com/adeptmindai/status/1079044462934937601
adeptmindai;2018-12-28 17:30;0;0;"No matter what products you sell , they will be searchable with our AI Search and Filters app. Experience the difference and install our app tonight! #onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopaholics #shoppingaddict #shopifyapp #sales pic.twitter.com/dtmggFkZbK";;;#onlineshopping #retailtherapy #ecommerce #shopping #smallbusiness #shopaholics #shoppingaddict #shopifyapp #sales;"1078780192334757888";https://twitter.com/adeptmindai/status/1078780192334757888
adeptmindai;2018-12-28 11:00;0;0;"Online shoppers enjoy shopping even more when they can find the exact product they're looking for in seconds. AI Search and Filters app can do that for your online store! #onlineshopping #onlinestore #ecommerce #shopping #smallbusiness #retailsales #shopifyapp #sales pic.twitter.com/FO2wrkjztS";;;#onlineshopping #onlinestore #ecommerce #shopping #smallbusiness #retailsales #shopifyapp #sales;"1078682031075352577";https://twitter.com/adeptmindai/status/1078682031075352577
adeptmindai;2018-12-27 17:30;0;0;"Finding the perfect gift can be hard...but it's quite easy with our app! AI Search and Filters app for Shopify makes it effortless for your customers to search exactly what they're looking for. #ecommerce #shopping #smallbusiness #shopaholics #shoppingaddict #shopifyapp pic.twitter.com/frRIR0Hidm";;;#ecommerce #shopping #smallbusiness #shopaholics #shoppingaddict #shopifyapp;"1078417871993298950";https://twitter.com/adeptmindai/status/1078417871993298950
adeptmindai;2018-12-27 11:00;0;0;"Adeptmind can make your site perform better than your best in-store sales associate by providing excellent guidance and asking the right questions! Install our Shopifyapp to check it out. #onlineshopping #ecommerce #shopping #smallbusiness #shoppingaddict #shopifyapp pic.twitter.com/xH3HEaGEGn";;;#onlineshopping #ecommerce #shopping #smallbusiness #shoppingaddict #shopifyapp;"1078319732166660097";https://twitter.com/adeptmindai/status/1078319732166660097
adeptmindai;2018-12-26 17:30;1;0;"With Adeptmind's AI Search and Filters app, our artificial intelligence and machine learning app is constantly learning and adapting to your store no matter what products you're selling #onlineshopping #ecommerce #shopping #smallbusiness #shopaholics #shopifyapp #sales #online pic.twitter.com/pgjxThgdDI";;;#onlineshopping #ecommerce #shopping #smallbusiness #shopaholics #shopifyapp #sales #online;"1078055373456723970";https://twitter.com/adeptmindai/status/1078055373456723970
adeptmindai;2018-12-26 11:00;0;1;"AI Search and Filters provides advanced analytics to monitor the evolution of your customers' search behaviour...anticipating their needs and intentions! #onlineshopping #ecommerce #shopping #smallbusiness #analytics #shopifyapp #ai #online #sales #retail #onlinesales pic.twitter.com/5MaZ4yZcij";;;#onlineshopping #ecommerce #shopping #smallbusiness #analytics #shopifyapp #ai #online #sales #retail #onlinesales;"1077957280279285760";https://twitter.com/adeptmindai/status/1077957280279285760
