username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
huyii;2018-01-08 06:23;0;0;"@TheAdvancer @SplitJones https:// twitter.com/kayodea/status /950063338981089281 …";;@TheAdvancer @SplitJones;;"950327039030120448";https://twitter.com/huyii/status/950327039030120448
xtyzeb;2017-10-31 07:35;0;2;"@GroFin @kudimoneyng @TheAdvancer @paylaterNG @kiakia_co @quickcheckNG http:// innovation-village.com/need-loan-nige rian-startups-making-easy-obtain-loans/ …";;@GroFin @kudimoneyng @TheAdvancer @paylaterNG @kiakia_co @quickcheckNG;;"925325439387742208";https://twitter.com/xtyzeb/status/925325439387742208
gomedici;2017-08-28 08:14;3;3;"#FinTech Companies in Nigeria @theadvancer @vansocom @voguepay @VCASHVTN @zedvance https:// buff.ly/2wCvrJ1 pic.twitter.com/Skl5ySr7VC";;@theadvancer @vansocom @voguepay @VCASHVTN @zedvance;#FinTech;"902142463409836032";https://twitter.com/gomedici/status/902142463409836032
gsopitan;2017-08-16 21:24;0;0;"How is business";;;;"897992592423477248";https://twitter.com/gsopitan/status/897992592423477248
gsopitan;2017-08-16 08:37;0;0;"@TheAdvancer where are you based?";;@TheAdvancer;;"897799492371656705";https://twitter.com/gsopitan/status/897799492371656705
234Finance;2017-08-08 07:00;1;0;"Our #StartupOfTheWeek is @TheAdvancer Check them out on our free business listing here http:// ow.ly/pcma30eeFD1";;@TheAdvancer;#StartupOfTheWeek;"894876005218754560";https://twitter.com/234Finance/status/894876005218754560
BimboTurner;2017-06-26 13:26;0;0;"Boss man";;;;"879390492252917760";https://twitter.com/BimboTurner/status/879390492252917760
lekandaniel;2017-06-26 12:48;0;0;"Happy Mubarak from all of us @theAdvancer . Cheers pic.twitter.com/6y8LthMc9q";;@theAdvancer;;"879380774755160065";https://twitter.com/lekandaniel/status/879380774755160065
tomjackson1988;2017-06-15 09:57;0;0;"@TheAdvancer hi there, can I get an email contact for someone there?";;@TheAdvancer;;"875351650818547712";https://twitter.com/tomjackson1988/status/875351650818547712
obichijiokepas2;2017-05-24 08:52;0;0;"@TheAdvancer hello";;@TheAdvancer;;"867362787756036096";https://twitter.com/obichijiokepas2/status/867362787756036096
30ClubNG;2016-10-13 08:32;0;0;"The expo hall in its usual busy bustling self pic.twitter.com/EZENDNWjKy";;;;"786545039707148289";https://twitter.com/30ClubNG/status/786545039707148289
FinTech_Africa;2016-09-30 04:21;2;1;"Congrats @TheAdvancer made it into the African FinTech 100! Click here for the total top 100: http://www. fintech-africa.com/top-100 #afta16 pic.twitter.com/isPgPcKmvo";;@TheAdvancer;#afta16;"781771046462427136";https://twitter.com/FinTech_Africa/status/781771046462427136
StartupRanking;2016-09-29 20:30;0;1;"New Startup: TheAdvancer - Secure your salary advance in minutes @theadvancer http://www. startupranking.com/theadvancer";;@theadvancer;;"781652312532127745";https://twitter.com/StartupRanking/status/781652312532127745
mide_oG;2016-06-29 06:47;5;0;"Hi guys, pls follow the link and vote for @TheAdvancer . God bless you. Pls RT http://www. fintech-africa.com/country/nigeria";;@TheAdvancer;;"748105521908035584";https://twitter.com/mide_oG/status/748105521908035584
SplitJones;2016-06-21 17:14;2;0;"Vote for @TheAdvancer to be part of African FinTech 100. via @FinTech_Africa #AFTA16";;@TheAdvancer @FinTech_Africa;#AFTA16;"745364297946177536";https://twitter.com/SplitJones/status/745364297946177536
FinTech_Africa;2016-06-09 11:19;0;0;"please email tvanderveeken@cfo.co.za. Thanks for your interest! Speak soon!";;@cfo;;"740926422504595456";https://twitter.com/FinTech_Africa/status/740926422504595456
VC4AfricaMentor;2016-05-02 07:25;11;6;"Africa's Trending Ventures @mellowcabs @ogavenueng @AFRIKRED @TheAdvancer @VC4Africa https:// vc4a.com/ventures/ pic.twitter.com/W1zt35T409";;@mellowcabs @ogavenueng @AFRIKRED @TheAdvancer @VC4Africa;;"727096656223703040";https://twitter.com/VC4AfricaMentor/status/727096656223703040
DBTH_AA;2016-04-27 11:28;0;0;"#Africatech @TheAdvancer provides emergency funds to clients repayable by their next #salary http:// theadvancer.online / pic.twitter.com/jMqjOPDIyH";;@TheAdvancer;#Africatech #salary;"725345828987088896";https://twitter.com/DBTH_AA/status/725345828987088896
NativePen;2016-01-02 12:27;0;0;"@TheAdvancer Let our railways come alive as of old. Enough of avoidable bloodshed on our roads by the trailers. #RescueTheRoadUsers .";;@TheAdvancer;#RescueTheRoadUsers;"683338905375141888";https://twitter.com/NativePen/status/683338905375141888
AyBeeWon;2016-01-01 06:21;1;0;"MUSIC - Download AB1_Momentum Freestyle https:// justrndy.wordpress.com/2015/12/31/mom entumfreestyle-by-ab1-download/ … @ThatNaijaTweep @TheAdvancer @THEBEAT979FM @THEBEAT999FM @theofficialbmax";;@ThatNaijaTweep @TheAdvancer @THEBEAT979FM @THEBEAT999FM @theofficialbmax;;"682884235003314177";https://twitter.com/AyBeeWon/status/682884235003314177
