username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AgileanIn;2018-12-25 01:49;0;1;"SIGN-UP TODAY FOR FREE TRIAL FOR 2 MONTHS @http://WWW. AGILEAN.IN pic.twitter.com/rpdpwR6h1s";;@http;;"1077456277691715584";https://twitter.com/AgileanIn/status/1077456277691715584
chachafance;2018-12-18 07:08;0;0;"Sadly, @lovedragapp isn't free anymore!";;@lovedragapp;;"1074999961996193792";https://twitter.com/chachafance/status/1074999961996193792
10words_io;2018-12-13 10:13;0;1;"Automated workflow agile project management software - @agileanin https:// click.10words.io/click?appIdent ifier=cbb92b6a-dc0d-4ffd-af58-69ec03677e46&utm_source=10words&utm_medium=twitter&utm_campaign=scheduled …";;@agileanin;;"1073234367588122624";https://twitter.com/10words_io/status/1073234367588122624
AgileanIn;2018-12-13 03:32;0;1;"Agilean is featured on #10words today! Check it out to upvote and help us spread the word https:// 10words.io via @10words_io";;@10words_io;#10words;"1073133666086326272";https://twitter.com/AgileanIn/status/1073133666086326272
AgileanIn;2018-12-05 04:08;0;3;"Agilean https://www. thestartupinc.com/startup/agilea n/ … via @thestartupinc1";;@thestartupinc1;;"1070243552888791041";https://twitter.com/AgileanIn/status/1070243552888791041
startupbuffer;2018-11-16 01:05;0;1;"Agilean Solutions - automated work-flow agile software tool https:// buff.ly/2Teiu0K #startups #saas #workflow #automation #scrum #agile #development #tools #services #kanban #analysis @AgileanIn pic.twitter.com/ogig3qJF6u";;@AgileanIn;#startups #saas #workflow #automation #scrum #agile #development #tools #services #kanban #analysis;"1063311961084043264";https://twitter.com/startupbuffer/status/1063311961084043264
AgileanIn;2018-11-15 03:33;2;4;"Agilean Solutions - Startup Buffer | Premium Startup Directory https:// startupbuffer.com/startup/agilea n-solutions#.W-0ucQQSUSo.twitter …";;;#;"1062986853660454914";https://twitter.com/AgileanIn/status/1062986853660454914
startupbuffer;2018-11-14 11:37;0;3;"Hey @AgileanIn , You have been featured on Startup Buffer => https:// startupbuffer.com/startup/agilea n-solutions … Congrats! pic.twitter.com/q6qrEdXa2z";;@AgileanIn;;"1062746348506750976";https://twitter.com/startupbuffer/status/1062746348506750976
10words_io;2018-11-08 12:13;0;1;"Enabling Artificial Intelligence in every meeting conference - @agileanin https:// click.10words.io/click?appIdent ifier=84f8f92f-b38d-48e0-b40d-bc9b6b7053fe&utm_source=10words&utm_medium=twitter&utm_campaign=scheduled …";;@agileanin;;"1060580988349231109";https://twitter.com/10words_io/status/1060580988349231109
startupbaseio;2018-10-20 12:31;0;1;"@AgileanIn you've been featured on StartupBase https:// goo.gl/UGG5Ys";;@AgileanIn;;"1053685097889783808";https://twitter.com/startupbaseio/status/1053685097889783808
AgileanIn;2018-10-15 01:42;1;6;"Agilean became a part of Idea and Innovation startup landscape 2018, in collaboration with @Deloitte . pic.twitter.com/R827Vhv5GF";;@Deloitte;;"1051709789053603841";https://twitter.com/AgileanIn/status/1051709789053603841
AgileanIn;2018-10-13 02:54;0;2;"Yes, We do have disruptive solutions called http://www. acta.ai";;;;"1051003257341050880";https://twitter.com/AgileanIn/status/1051003257341050880
tnwx;2018-10-10 08:07;0;2;"@mavenlink @mondaydotcom @proofhub @PBworks @skylightit @WimiPro @streamtime @wrike @thrive @AgileanIn @ikaboHQ @BalloonrHQ @bpmonline @hygger_app @favroapp @TheOrangescrum @MURAL @upwaveHQ @eXplorance @xmind @RoadmunkApp @kanbantool @targetprocess @ProdPad @GroupMapApp";;@mavenlink @mondaydotcom @proofhub @PBworks @skylightit @WimiPro @streamtime @wrike @thrive @AgileanIn @ikaboHQ @BalloonrHQ @bpmonline @hygger_app @favroapp @TheOrangescrum @MURAL @upwaveHQ @eXplorance @xmind @RoadmunkApp @kanbantool @targetprocess @ProdPad @GroupMapApp;;"1049994846142906368";https://twitter.com/tnwx/status/1049994846142906368
AgileanIn;2018-10-03 02:13;1;2;"Thanks a lot for publishing.";;;;"1047369083870760960";https://twitter.com/AgileanIn/status/1047369083870760960
AgileanIn;2018-09-27 05:04;1;4;"automated work-flow project management software https:// viblo.asia/q/automated-wo rk-flow-project-management-software-DVK2n6jeKLj … #Project Management #team management #Agile #scrum";;;#Project #team #Agile #scrum;"1045237654659506177";https://twitter.com/AgileanIn/status/1045237654659506177
AgileanIn;2018-09-20 03:13;1;3;"Agilean Solution: Automated work-flow project management software pic.twitter.com/qOEiGLoDaQ https:// betalist.com/startups/agile an-solution … via @BetaList";;@BetaList;;"1042673139946336256";https://twitter.com/AgileanIn/status/1042673139946336256
BetaList;2018-09-19 07:32;0;1;"@AgileanIn @sarmabkp You're featured on BetaList! https:// betalist.com/startups/agile an-solution …";;@AgileanIn @sarmabkp;;"1042375762689630208";https://twitter.com/BetaList/status/1042375762689630208
AgileanIn;2018-09-18 08:16;0;2;"Post by Agilean Solutions http://www. linkedin.com/in/agilean-sol utions-785792134 …";;;;"1042024542946963456";https://twitter.com/AgileanIn/status/1042024542946963456
nTaskManager;2018-09-17 13:55;2;6;"The best free productivity apps to use in 2018: https://www. ntaskmanager.com/blog/free-prod uctivity-apps/ … @nTaskManager @evernote @StandardNotes @scanbot @buffer @Pocket @Webex @lovedragapp @PasswordBoss @AgileanIn";;@nTaskManager @evernote @StandardNotes @scanbot @buffer @Pocket @Webex @lovedragapp @PasswordBoss @AgileanIn;;"1041747399545421825";https://twitter.com/nTaskManager/status/1041747399545421825
AgileanIn;2018-09-11 04:21;1;2;""Free Agile tool" by @AgileanIn https:// dev.to/agileanin/free -agile-tool-35ac …";;@AgileanIn;;"1039428772930486272";https://twitter.com/AgileanIn/status/1039428772930486272
PraveenAnan;2018-09-01 10:05;0;0;"@AgileanIn , this is a good article on Structured problem solving you may want to explore more ! https:// twitter.com/VladDaniloff1/ status/1032630986679480321 …";;@AgileanIn;;"1035891437785755648";https://twitter.com/PraveenAnan/status/1035891437785755648
AgileanIn;2018-08-22 01:49;0;0;"Why to work when you can play with Agilean. https:// youtu.be/xN9N8vx5FBQ via @YouTube";;@YouTube;;"1032142616534704128";https://twitter.com/AgileanIn/status/1032142616534704128
AgileanIn;2018-08-15 00:10;0;2;"Agilean wishes you a very happy Independence Day. Sign-up today at http://www. agilean.in and get a free lifetime license (valid only for 15th Aug) pic.twitter.com/VSMvSjJ50N";;;;"1029580999276093440";https://twitter.com/AgileanIn/status/1029580999276093440
AgileanIn;2018-08-08 07:11;0;3;"Agilean ( http://www. agilean.in ) is Inviting the sales partners to work together as a win-win situation for India, USA, Europe and the middle east. It is a SaaS-based Enterprise automated workflow management software tool which caters both SCRUM & KANBAN and many more features pic.twitter.com/bIKPhqXLFN";;;;"1027150187901251585";https://twitter.com/AgileanIn/status/1027150187901251585
AgileanIn;2018-07-25 00:47;1;2;"http:// agilean.justsharedthis.info/cred";;;;"1021980188597542914";https://twitter.com/AgileanIn/status/1021980188597542914
AgileanIn;2018-07-24 11:42;0;0;"https:// agilean.tumblr.com";;;;"1021782698006859776";https://twitter.com/AgileanIn/status/1021782698006859776
AgileanIn;2018-07-19 07:43;0;1;"Artificial Intelligence playing vital role in project management. https://www. linkedin.com/pulse/artifici al-intelligence-playing-vital-role-project-agilean-solutions/?published=t …";;;;"1019910642202042375";https://twitter.com/AgileanIn/status/1019910642202042375
PaulaQuinsee;2018-07-16 04:34;0;1;"Tks for the follow :) @CommonSenseBill @MarwanDaya @DavidCh40464881 @AgileanIn @LundiWiseman @jschawapiwa";;@CommonSenseBill @MarwanDaya @DavidCh40464881 @AgileanIn @LundiWiseman @jschawapiwa;;"1018775849611530240";https://twitter.com/PaulaQuinsee/status/1018775849611530240
AgileanIn;2018-07-09 06:14;0;2;"Make Workflow easier with Agile #agileprojectmanagement #kanban #scrum #Integrations #automatedworkflow pic.twitter.com/1WN73K8XTT";;;#agileprojectmanagement #kanban #scrum #Integrations #automatedworkflow;"1016264233456041984";https://twitter.com/AgileanIn/status/1016264233456041984
AgileanIn;2018-06-29 02:03;0;3;"Switch to Agilean #projectmanagement #productmanagement #switchtoagilean #agilean #kanban #scrum pic.twitter.com/0GGB1fSGzP";;;#projectmanagement #productmanagement #switchtoagilean #agilean #kanban #scrum;"1012577220403998720";https://twitter.com/AgileanIn/status/1012577220403998720
PraveenAnan;2018-06-21 20:12;0;1;"@AgileanIn check this out for MaaS https:// twitter.com/RichardSocher/ status/1009476379790868480 …";;@AgileanIn;;"1009952238201077760";https://twitter.com/PraveenAnan/status/1009952238201077760
eChaiNetwork;2018-06-21 00:10;0;0;"14. Agilean - SaaS based AI and NLP automated workflow & project management software. #eChaiShowcase https:// echai.in/interviews/agi lean-automated-work-flow-tools … @AgileanIn";;@AgileanIn;#eChaiShowcase;"1009649710469132289";https://twitter.com/eChaiNetwork/status/1009649710469132289
AgileanIn;2018-06-18 09:04;0;3;"http:// agilean.clickable.cards/7vOMvBx";;;;"1008696918258733056";https://twitter.com/AgileanIn/status/1008696918258733056
AgileanIn;2018-06-14 11:40;0;3;"3 B2B Lead Generation Books You Can Listen to on Audible https:// blog.capterra.com/b2b-lead-gener ation-books/ … via @Capterra";;@Capterra;;"1007286767899193344";https://twitter.com/AgileanIn/status/1007286767899193344
AgileanIn;2018-06-12 06:30;0;4;"http:// agilean.sharedalink.me/SNwmn";;;;"1006483878486290432";https://twitter.com/AgileanIn/status/1006483878486290432
AgileanIn;2018-06-08 04:51;1;6;"First one on the list of agile project management tools is Agilean http:// sumo.ly/D8vj via @Apium_hub";;@Apium_hub;;"1005009501873790977";https://twitter.com/AgileanIn/status/1005009501873790977
AgileanIn;2018-06-08 03:50;0;2;"http:// agilean.sharedalink.info/yA6Bu6e";;;;"1004994159084630016";https://twitter.com/AgileanIn/status/1004994159084630016
bmoore_20;2018-06-05 10:07;0;2;"Hey @AgileanIn @flycatcher4 @mk03467314 @eComDanny @LABEL_MARS_BOT ! Thanks for the follow!";;@AgileanIn @flycatcher4 @mk03467314 @eComDanny @LABEL_MARS_BOT;;"1004001894694563840";https://twitter.com/bmoore_20/status/1004001894694563840
AgileanIn;2018-06-05 00:41;0;2;"It is highly customizable and user-friendly tool, able to set your automated Kanban work-flow process in 2 mins with "50 Built-in templates" pic.twitter.com/a4snrtDrWd";;;;"1003859449625235457";https://twitter.com/AgileanIn/status/1003859449625235457
AgileanIn;2018-06-04 07:16;0;3;"Why IT companies are shifting to agile work model - The Economic Times https:// m.economictimes.com/tech/ites/why- it-companies-are-shifting-to-an-agile-work-model/articleshow/64430084.cms?utm_source=AMPusers&utm_medium=twittershare&utm_campaign=socialsharebutton …";;;;"1003596383809519617";https://twitter.com/AgileanIn/status/1003596383809519617
frrole;2018-06-04 03:03;0;1;"@AgileanIn Hey! Thanks for the follow. Let us know if you need any help for your brand with our products- Scout (AI #SocialIntelligence platform), @DeepSenseAI ( #AI -platform with emotional intelligence for talent assessments) http:// frrole.ai #AIForGood";;@AgileanIn @DeepSenseAI;#SocialIntelligence #AI #AIForGood;"1003532704959217665";https://twitter.com/frrole/status/1003532704959217665
AgileanIn;2018-05-31 06:26;0;2;"Project management vs. product management: What’s the difference? (Infographic) https:// lab.getapp.com/project-manage ment-vs-product-management-whats-the-difference-infographic/ … via @getapp";;@getapp;;"1002134179155464192";https://twitter.com/AgileanIn/status/1002134179155464192
AgileanIn;2018-05-31 02:00;0;2;"http:// agilean.clickable.cards/MEsP";;;;"1002067206136520704";https://twitter.com/AgileanIn/status/1002067206136520704
AgileanIn;2018-05-25 02:32;0;1;"In this video., we are going to show how to work with release module in agilean. https://www. youtube.com/watch?v=4-nmpP O9obA …";;;;"999901084175843328";https://twitter.com/AgileanIn/status/999901084175843328
AgileanIn;2018-05-22 08:39;0;2;"SCRUM REQUIREMENTS https:// youtu.be/tWI9UDBO26I via @YouTube";;@YouTube;;"998906306168700928";https://twitter.com/AgileanIn/status/998906306168700928
AgileanIn;2018-05-21 01:02;0;1;"http:// agilean.createdacard.me/ZoYh";;;;"998428850831818753";https://twitter.com/AgileanIn/status/998428850831818753
AgileanIn;2018-05-17 08:51;0;1;"4 Reasons why mitigating project risks could be the wrong strategy - PMWorld 360 Magazine | Risk Management https://www. pmworld360.com/4-reasons-why- mitigating-project-risks-could-be-the-wrong-strategy/ …";;;;"997097323262967810";https://twitter.com/AgileanIn/status/997097323262967810
AgileanIn;2018-05-15 03:11;0;1;"Is your project communications plan missing the mark? - PMWorld 360 Magazine | Communications https://www. pmworld360.com/is-your-projec t-communications-plan-missing-the-mark-with-stakeholders/ …";;;;"996286962297331712";https://twitter.com/AgileanIn/status/996286962297331712
AgileanIn;2018-05-14 08:00;0;0;"Nice article, really useful";;;;"995997380565549057";https://twitter.com/AgileanIn/status/995997380565549057
AgileanIn;2018-05-14 03:09;0;2;"Agile Release Planning: 7 Steps for New Teams - PMWorld 360 Magazine | Agile Methods https://www. pmworld360.com/agile-release- planning-7-steps-for-new-teams/ …";;;;"995924155634626560";https://twitter.com/AgileanIn/status/995924155634626560
AgileanIn;2018-05-14 02:53;0;0;"Congratulations Aha Team for achieving this award.";;;;"995919960210784256";https://twitter.com/AgileanIn/status/995919960210784256
AgileanIn;2018-05-11 01:16;2;7;"Project Management tools you should know in 2018 | Apiumhub https:// apiumhub.com/tech-blog-barc elona/agile-project-management-tools/ … via @Apium_hub";;@Apium_hub;;"994808476944740352";https://twitter.com/AgileanIn/status/994808476944740352
AgileanIn;2018-05-10 03:39;0;1;"Project Management tool https:// youtu.be/kTF6lgPdjF0 via @YouTube";;@YouTube;;"994481933089292288";https://twitter.com/AgileanIn/status/994481933089292288
AgileanIn;2018-05-10 00:38;0;1;"http:// agilean.justsharedthis.info/AGpGk";;;;"994436569577607168";https://twitter.com/AgileanIn/status/994436569577607168
AgileanIn;2018-05-08 05:28;0;2;"http:// agilean.createdacard.me/SWtxvSg";;;;"993784623606853633";https://twitter.com/AgileanIn/status/993784623606853633
AgileanIn;2018-05-07 08:16;0;1;"http:// agilean.clickable.cards/TlU3PE";;;;"993464651949133830";https://twitter.com/AgileanIn/status/993464651949133830
AgileanIn;2018-05-02 08:00;0;1;"http:// agilean.justsharedthis.info/7WCj";;;;"991648536662917120";https://twitter.com/AgileanIn/status/991648536662917120
AgileanIn;2018-05-02 06:15;0;2;"Why planning is the most critical step in project management https:// tek.io/2HIVWyM via @techrepublic";;@techrepublic;;"991622112875032576";https://twitter.com/AgileanIn/status/991622112875032576
AgileanIn;2018-04-30 07:08;0;0;"Hi everyone, We are conducting a survey on Project Management tool. Thus, this survey is designed to understand user behavioral intention to use the PM tool. This survey should take 3-5 minutes to complete. https:// docs.google.com/forms/d/e/1FAI pQLSe1JApIxuLmSNAVphfAsyBw_IBe2UgglhN7zrl8runFz4LCgg/viewform … #projectmanagement #Agilean Thanks in advance.";;;#projectmanagement #Agilean;"990910861614006272";https://twitter.com/AgileanIn/status/990910861614006272
AgileanIn;2018-04-30 03:34;2;6;"Agile project management tools that you should know http:// sumo.ly/D8vj via @Apium_hub";;@Apium_hub;;"990856798604177408";https://twitter.com/AgileanIn/status/990856798604177408
AgileanIn;2018-04-26 08:37;0;1;"http:// agilean.clickable.cards/y4AMzp";;;;"989483550201151488";https://twitter.com/AgileanIn/status/989483550201151488
AgileanIn;2018-04-26 06:46;0;1;"Agilean Solutions: How AI is set to disrupt the workflow management s... http:// agileansolutions.blogspot.com/2017/08/how-ai -is-set-to-disrupt-workflow.html?spref=tw …";;;;"989455658599813121";https://twitter.com/AgileanIn/status/989455658599813121
