username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
agripredict;2018-12-29 09:13;0;2;"We will be publishing an official date soon. We are hoping to have it released end of January.";;;;"1079017565161246721";https://twitter.com/agripredict/status/1079017565161246721
StanleySimbeye;2018-12-29 08:48;0;1;"@japhet_praygod @agripredict when are you launching this app?";;@japhet_praygod @agripredict;;"1079011275219353602";https://twitter.com/StanleySimbeye/status/1079011275219353602
mwila_kangwa;2018-12-28 04:13;1;2;"@agripredict is built for this https:// twitter.com/RTB_CGIAR/stat us/1078334777038700545 …";;@agripredict;;"1078579588282896385";https://twitter.com/mwila_kangwa/status/1078579588282896385
IsayaYunge;2018-12-21 11:01;2;4;"@SlushHQ @SAISProgramme I believe investors will finally realize how much we are losing both in-terms of impacts and revenue by not willingly investing in African startups by founders of color and female founders. @agripredict @mwila_kangwa @somaapps @e_auri https:// twitter.com/MorganStanley/ status/1072916900945035264 …";;@SlushHQ @SAISProgramme @agripredict @mwila_kangwa @somaapps @e_auri;;"1076145534749065223";https://twitter.com/IsayaYunge/status/1076145534749065223
DioppyDiop;2018-12-19 11:09;1;1;"#retrospectiveyear @mwila_kangwa you had a good and productive year for @agripredict !!!!good luck for the coming year and hope to see you soon in Senegal https:// twitter.com/mwila_kangwa/s tatus/1075313926097768448 …";;@mwila_kangwa @agripredict;#retrospectiveyear;"1075422855444262913";https://twitter.com/DioppyDiop/status/1075422855444262913
PEPZambia;2018-12-19 05:19;2;5;"Really looking forward to seeing the development of @agripredict in 2019. Stay in touch with @PEPZambia https:// twitter.com/mwila_kangwa/s tatus/1075313926097768448 …";;@agripredict @PEPZambia;;"1075334852419948544";https://twitter.com/PEPZambia/status/1075334852419948544
mwila_kangwa;2018-12-19 03:56;3;20;"2018 has had some wins and some loses. Great for business though. We keep pushing. Excited to share our cool products in 2019 with a group that matters more to us than any other, The Farmer, because we are @agripredict and we make farming cool!. #Slush18 #TheCoolFarmers pic.twitter.com/ScKkvn8lMI";;@agripredict;#Slush18 #TheCoolFarmers;"1075313926097768448";https://twitter.com/mwila_kangwa/status/1075313926097768448
mwila_kangwa;2018-12-19 03:48;1;19;"#Africa2018 representing @agripredict ! pic.twitter.com/JRTPhIEfUj";;@agripredict;#Africa2018;"1075311958713339904";https://twitter.com/mwila_kangwa/status/1075311958713339904
PSikalinda;2018-12-18 14:24;0;1;"It's always a pleasure to work with you @mbuyu_";;@mbuyu_;;"1075109457670094849";https://twitter.com/PSikalinda/status/1075109457670094849
mbuyu_;2018-12-18 14:14;0;7;"My friend @PSikalinda was pitching at Techcrunch Startup Battlefield Africa 2018 with @agripredict and he asked me to be his demo driver. Through this kind act, got the opportunity to listen and speak to some of Africa's Best innovators during the rehearsals. Thanks alot chief pic.twitter.com/IU63unBpVh";;@PSikalinda @agripredict;;"1075107104048992256";https://twitter.com/mbuyu_/status/1075107104048992256
