username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TechHub;2018-12-24 08:30;1;2;"Congratulations to our #TechHubTuesday 2018 Demoers for an amazing 2018! Especially @meet_aiden @farillio @TaxScouts @citymunch @CashmereTheApp @SimbaPay @organisehq https:// blog.techhub.com/techhubtuesday -2018-demoers … https:// blog.techhub.com/techhubtuesday -2018-demoers/ …";;@meet_aiden @farillio @TaxScouts @citymunch @CashmereTheApp @SimbaPay @organisehq;#TechHubTuesday;"1077194821582942208";https://twitter.com/TechHub/status/1077194821582942208
TechHub;2018-12-21 15:40;0;1;"Enjoy the holiday season! Looking forward to hearing your success stories in 2019!";;;;"1076215980995633152";https://twitter.com/TechHub/status/1076215980995633152
TaxScouts;2018-12-21 12:02;0;2;"Great to be part of it! Have a great Christmas and here's to a even better 2019";;;;"1076161026851246080";https://twitter.com/TaxScouts/status/1076161026851246080
CashmereTheApp;2018-12-21 07:51;1;6;"Thank you for having us! Cheers to a great 2018 and an even better 2019. Merry Christmas all!";;;;"1076097717863137281";https://twitter.com/CashmereTheApp/status/1076097717863137281
farillio;2018-12-21 07:00;0;3;"We have LOVED being a #TechHubbers again this year. Proud to belong and to support this amazing tech community. Learned tons. Made so many new friends. Pushed ourselves harder than we imagined. Succeeded. Being here helped enormously with all of that. See you all next year!";;;#TechHubbers;"1076084906378305541";https://twitter.com/farillio/status/1076084906378305541
TechHub;2018-12-21 06:50;4;8;"Congratulations to our #TechHubTuesday 2018 Demoers for an amazing 2018! Especially @meet_aiden @farillio @TaxScouts @citymunch @CashmereTheApp @SimbaPay @organisehq https:// blog.techhub.com/techhubtuesday -2018-demoers/ …";;@meet_aiden @farillio @TaxScouts @citymunch @CashmereTheApp @SimbaPay @organisehq;#TechHubTuesday;"1076082373375217664";https://twitter.com/TechHub/status/1076082373375217664
50inTech;2018-12-19 02:36;0;3;"On episode 10 @ScalingStartups , @MarieOuttier CEO and co-founder of @meet_aiden shares smart startup insights. Super happy to count Marie among our #50inTech members http:// ow.ly/7ov830mW6B4 #AI #scaling #femalefounders #bestpractices #JoinUs pic.twitter.com/LGLoMtVhTF";;@ScalingStartups @MarieOuttier @meet_aiden;#50inTech #AI #scaling #femalefounders #bestpractices #JoinUs;"1075293792939532288";https://twitter.com/50inTech/status/1075293792939532288
meet_aiden;2018-12-13 11:05;0;1;"This has been a great evening, thank you everyone who attended the http:// Aiden.ai Xmas Demo yesterday! pic.twitter.com/hOuuHfVmBU";;;;"1073247504911777792";https://twitter.com/meet_aiden/status/1073247504911777792
PartechPartners;2018-12-12 03:30;2;5;"On episode 10 of @ScalingStartups @RossySheil talks to @MarieOuttier CEO and co-founder of @meet_aiden about #scaling a startup. http:// ow.ly/2ST730mW6uH #AI #productmarketfit #vc #fundraising pic.twitter.com/qSWWvfvuC9";;@ScalingStartups @RossySheil @MarieOuttier @meet_aiden;#scaling #AI #productmarketfit #vc #fundraising;"1072770633765924864";https://twitter.com/PartechPartners/status/1072770633765924864
PartechPartners;2018-12-11 05:00;3;5;"On episode 10 of @ScalingStartups @RossySheil talks to @MarieOuttier CEO and co-founder of @meet_aiden about scaling a startup. http:// ow.ly/7ov830mW6B4 #AI #scaling pic.twitter.com/KFqukem8U9";;@ScalingStartups @RossySheil @MarieOuttier @meet_aiden;#AI #scaling;"1072430892918935554";https://twitter.com/PartechPartners/status/1072430892918935554
jkreim;2018-12-10 14:08;2;3;"A special episode indeed featuring @meet_aiden and @MarieOuttier ! Buckle up for solid startup insights and delightful accents https:// twitter.com/RossySheil/sta tus/1072066488549498881?s=09 …";;@meet_aiden @MarieOuttier;;"1072206363588096000";https://twitter.com/jkreim/status/1072206363588096000
MarieOuttier;2018-12-10 05:42;0;2;"Thanks for having me on the show @RossySheil !";;@RossySheil;;"1072079083549417472";https://twitter.com/MarieOuttier/status/1072079083549417472
