username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AiirInnovations;2018-12-21 07:16;0;1;"Thank you all for being a part of this journey. We wish you happy holidays and all the best for 2019! The Aiir Team";;;;"1076088923338743808";https://twitter.com/AiirInnovations/status/1076088923338743808
AiirInnovations;2018-12-21 07:15;0;4;"The past year has been very exciting. We spoke at top AI and MRO conventions and continued the development of our product. On top of it all, we were very lucky to work on exciting projects with great companies. We cannot wait to continue this adventure in 2019!";;;;"1076088890895855616";https://twitter.com/AiirInnovations/status/1076088890895855616
AiirInnovations;2018-10-30 08:26;1;3;". @NHNieuws dropped by and interviewed us. Click on the link to see the result! https://www. nhnieuws.nl/nieuws/amp/233 739/Startups-in-de-Metropool-Aiir-Innovations …";;@NHNieuws;;"1057247274496131074";https://twitter.com/AiirInnovations/status/1057247274496131074
AiirInnovations;2018-10-19 03:10;1;2;"Great talks and feedback at MRO Europe by @AvWeekEvents . See you next year! #MROEurope #ArificialIntelligence #ComputerVision https://www. linkedin.com/feed/update/ur n:li:activity:6458671349517807616 …";;@AvWeekEvents;#MROEurope #ArificialIntelligence #ComputerVision;"1053181578845798400";https://twitter.com/AiirInnovations/status/1053181578845798400
AiirInnovations;2018-10-17 06:46;0;2;"MRO Europe is underway and @bhlvredebregt and Ruben are at the exhibition! If you are interested in meeting up, drop them a message. And don't miss Bart's talk tomorrow at the Go Live Theater at 12:30h! #MROEurope #MROE #AI #BSI #GoLiveTheater pic.twitter.com/x0Pjhir0yx";;@bhlvredebregt;#MROEurope #MROE #AI #BSI #GoLiveTheater;"1052511165086134272";https://twitter.com/AiirInnovations/status/1052511165086134272
Start_upVillage;2018-10-11 09:46;4;11;"Today @Textkernel visited Startup Village for a workshop & meeting @ACE_incubator companies @AiirInnovations & Dyme. Good to meet you all! @jakubzavrel pic.twitter.com/LKf8Eze9fW";;@Textkernel @ACE_incubator @AiirInnovations @jakubzavrel;;"1050382158865534976";https://twitter.com/Start_upVillage/status/1050382158865534976
AiirInnovations;2018-10-04 04:42;3;4;"Just two more weeks till #MROEurope , where @bhlvredebregt will give a talk about our AI Powered Borescope software! Come join us at the Go Live Theater on Thursday 12:30! #MRO #AI #computervision #Aviation #MROE #MRONetwork @AvWeekEvents @AviationWeek https:// mroeurope.aviationweek.com/eu18/Public/Co ntent.aspx?ID=1070621&sortMenu=109002 …";;@bhlvredebregt @AvWeekEvents @AviationWeek;#MROEurope #MRO #AI #computervision #Aviation #MROE #MRONetwork;"1047769024493441024";https://twitter.com/AiirInnovations/status/1047769024493441024
Iamsterdam;2018-09-13 03:49;11;10;"Have you heard of @AiirInnovations ? The #tech #startup was created by five #AI students and an AI professor and could revolutionise the maintenance industry. Read more: http:// bit.ly/2wGNGMf pic.twitter.com/PqYpdDKVmk";;@AiirInnovations;#tech #startup #AI;"1040145309542834176";https://twitter.com/Iamsterdam/status/1040145309542834176
ACE_incubator;2018-08-31 05:44;2;4;"“When I think about where we have come in just a few years it’s crazy" - at @Iamsterdam co-founder of @AiirInnovations Bart talks teamwork, AI & the future! #startups #incubator #AI #innovation @AdamSciencePark Read the article: https:// twitter.com/AiirInnovation s/status/1035422828206743552 …";;@Iamsterdam @AiirInnovations @AdamSciencePark;#startups #incubator #AI #innovation;"1035463401034719233";https://twitter.com/ACE_incubator/status/1035463401034719233
AiirInnovations;2018-08-31 03:03;2;3;"@bhlvredebregt shared our journey so far with @Iamsterdam . Read about it by clicking the link! https://www. iamsterdam.com/en/business/ke y-sectors/ict/testimonials/aiir-innovations …";;@bhlvredebregt @Iamsterdam;;"1035422828206743552";https://twitter.com/AiirInnovations/status/1035422828206743552
