username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
prasants;2018-12-22 15:54;0;0;"Thanks @JustinLafazan ! Hi @sarthakgh , you can check out @AingelAI - enter some details about your startup, amount you’re looking to raise, and it generates a stackranked list of appropriate VCs. @ashady";;@JustinLafazan @sarthakgh @AingelAI @ashady;;"1076581746043482113";https://twitter.com/prasants/status/1076581746043482113
JustinLafazan;2018-12-19 23:21;0;1;"#NGS2018 partner @AingelAI does this brilliantly! @prasants @ashady";;@AingelAI @prasants @ashady;#NGS2018;"1075607142101590016";https://twitter.com/JustinLafazan/status/1075607142101590016
TycoonStoryCo;2018-12-07 10:29;0;2;"5 Benefits of #Artificial #Intelligence For #Businesses https://www. tycoonstory.com/business/5-ben efits-of-artificial-intelligence-for-businesses/ … - @AingelAI #investing #fundraising #businessopertion #CustomerExperience #BusinessNews #businesstips #crowdfunding #BusinessStrategy pic.twitter.com/XimaIdNYYH";;@AingelAI;#Artificial #Intelligence #Businesses #investing #fundraising #businessopertion #CustomerExperience #BusinessNews #businesstips #crowdfunding #BusinessStrategy;"1071064098698186755";https://twitter.com/TycoonStoryCo/status/1071064098698186755
__racha;2018-11-15 03:12;0;3;". @AingelAI uses machine learning to measure and score startups (& their founders) based on a data. From their cross continental team in Egypt & the US #BoostMENA pic.twitter.com/A4OTpokFpi";;@AingelAI;#BoostMENA;"1062981598025519104";https://twitter.com/__racha/status/1062981598025519104
BECOCapital;2018-11-15 03:04;1;1;"We are back with @ashady Co-founder and CEO of @AingelAI with a keynote titled MENA to the World #BOOSTMENA pic.twitter.com/ywz3uVAQeB";;@ashady @AingelAI;#BOOSTMENA;"1062979687973036032";https://twitter.com/BECOCapital/status/1062979687973036032
launchacademyhq;2018-10-25 16:34;1;1;"Thanks to Prasant Sudhakaran ( @prasants ) and our partners at @AingelAI for coming down to Launch Academy today to share their knowledge about the local and global fundraising landscape! Stay tuned for Prasant's full talk on our YouTube channel: http:// bit.ly/2KodiSq pic.twitter.com/7Kxnw9KCGC";;@prasants @AingelAI;;"1055558147992104961";https://twitter.com/launchacademyhq/status/1055558147992104961
BrainStationYVR;2018-10-22 18:00;0;0;"How do VCs and startups connect these days? Join our friends @launchacademhq and experts from @AingelAI on Oct 25 over lunch, and learn more about the global fundraising landscape! Save 25% using this link: https://www. picatic.com/aingel-lunch-l earn-oct?code=Community25 …";;@launchacademhq @AingelAI;;"1054492809783402496";https://twitter.com/BrainStationYVR/status/1054492809783402496
launchacademyhq;2018-10-22 11:31;0;0;"This Lunch & Learn is all about understanding the fundraising landscape and how VC's and startups connect. Learn more about the event: http:// bit.ly/2ytMr3a @AingelAI pic.twitter.com/cG43GXVvnN";;@AingelAI;;"1054394718069669888";https://twitter.com/launchacademyhq/status/1054394718069669888
nvbc;2018-10-18 14:30;0;0;"Join @launchacademyhq on Oct 25th for lunch and an afternoon session with fundraising expert @prasants , Co-Founder of @AingelAI , a game-changing AI-based analytics platform connecting VCs and startups like yours! Register here: http:// ow.ly/hBFG30mbiEr";;@launchacademyhq @prasants @AingelAI;;"1052990309104328705";https://twitter.com/nvbc/status/1052990309104328705
FuturpreneurBC;2018-10-17 18:20;1;2;"How do VCs and startups connect these days? Join our friends @launchacademhq and experts from @AingelAI on Oct 25 over lunch, and learn more about the global fundraising landscape! Save 25% using this link: https:// bit.ly/2CDrJCf";;@launchacademhq @AingelAI;;"1052685711864926209";https://twitter.com/FuturpreneurBC/status/1052685711864926209
nvbc;2018-10-11 17:51;0;0;"How do VCs and #startups connect these days? Join our friends @launchacademyhq and experts from @AingelAI on Oct 25 over lunch, and learn more about the global fundraising landscape! Save 25% using this link: http:// bit.ly/2CDrJCf";;@launchacademyhq @AingelAI;#startups;"1050504243805851648";https://twitter.com/nvbc/status/1050504243805851648
rafaelrosarioo;2018-08-28 14:29;0;0;"an idea to expand virtual currencies, it is about involving them in solving the problems that most affect society as we already know Technology. Robotization and Automation are leaving every day to millions without work giving way to these commit acts of violence it is about";;;;"1034508201578913792";https://twitter.com/rafaelrosarioo/status/1034508201578913792
rafaelrosarioo;2018-08-28 14:28;0;0;"helping them with the creation of jobs, with training centers, of programming. of Software, to carry out the largest production of Patents and Innovation, so that these inventions and robots do the work of us and so we can continue Thinking and Manufacturing what God has";;;;"1034508133878718466";https://twitter.com/rafaelrosarioo/status/1034508133878718466
rafaelrosarioo;2018-08-28 14:28;0;0;"Manipulation of the Mafias that really govern the world avoid Deforestation, pollution of rivers, sea, air which affect the world also help the thousands of children who die of hunger every day, 24 thousand children every day of hunger for Negligence of the Man. all this without";;;;"1034507940496068608";https://twitter.com/rafaelrosarioo/status/1034507940496068608
rafaelrosarioo;2018-08-28 14:27;0;0;"mentioning the Climate Change that Alarmed the Scientists.the rise of the sea and the great threat we have with kites. In order to compensate the damage caused to the world, with reforestation, dams among many others #MoneyCurrency #jobs #Negligence #changetheworld #Revolution";;;#MoneyCurrency #jobs #Negligence #changetheworld #Revolution;"1034507862704377857";https://twitter.com/rafaelrosarioo/status/1034507862704377857
endeavor_global;2018-08-23 07:49;1;3;"Endeavor's @ashady CEO and Co-founder of @AingelAI , on AI and its potential for investors around the world. https:// buff.ly/2BwQgtf pic.twitter.com/FFDBKGFBTV";;@ashady @AingelAI;;"1032595571293519878";https://twitter.com/endeavor_global/status/1032595571293519878
launchacademyhq;2018-08-03 18:08;1;3;"Did you miss our recent Seed Fundraising panel?! Check out the full event video on our Youtube Channel Thank you to our panelist @craigslagel , @MoniqueMentio , @SarahGoods_ our moderator @gane5h , and our sponsor @AingelAI https:// lnkd.in/gic56du pic.twitter.com/Yf8HOfom7j";;@craigslagel @MoniqueMentio @SarahGoods_ @gane5h @AingelAI;;"1025503681070788609";https://twitter.com/launchacademyhq/status/1025503681070788609
MetaBronx;2018-08-01 16:41;4;12;"A month ago we presented #TheBronx #innovation #ecosystem at Accelerator Awesome, first ever #conference dedicated to #startup accelerators #accelawesome @accelawesome Many thanks to @jmlynn7 @franny_fresh @SAPNextGen @Google @SendGrid @TriNet @knotel @AingelAI See you next year! pic.twitter.com/QY0d7k7GXj";;@accelawesome @jmlynn7 @franny_fresh @SAPNextGen @Google @SendGrid @TriNet @knotel @AingelAI;#TheBronx #innovation #ecosystem #conference #startup #accelawesome;"1024757100084441088";https://twitter.com/MetaBronx/status/1024757100084441088
aamuhaissen;2018-07-30 18:56;0;4;"Excellent book on angel investing by @Jason The founding team is always the most important factor to evaluate. We've done A LOT of research on this at @AingelAI";;@Jason @AingelAI;;"1024066128371318785";https://twitter.com/aamuhaissen/status/1024066128371318785
launchacademyhq;2018-07-17 21:05;2;4;"Hosting our alumni @SarahGoods_ @MoniqueMentio and @craigslagel for a panel on Seed Fundraising! Thank to our moderator @gane5h and our sponsor @AingelAI ! #startup #vancouver #entrepreneur @iheartage @Lendified @RunGoApp pic.twitter.com/iom2BIxKAj – bei Launch Academy";;@SarahGoods_ @MoniqueMentio @craigslagel @gane5h @AingelAI @iheartage @Lendified @RunGoApp;#startup #vancouver #entrepreneur;"1019387592037392384";https://twitter.com/launchacademyhq/status/1019387592037392384
launchacademyhq;2018-07-16 17:04;2;2;"We are happy to announce our new community sponsor @AingelAI who will be partnering with us on a series of upcoming workshops and events. Aingel facilitates fundraising by using AI to generate a list of top matching VCs. http:// bit.ly/2uukAxV pic.twitter.com/LFffomOt8V";;@AingelAI;;"1018964501142622213";https://twitter.com/launchacademyhq/status/1018964501142622213
ashady;2018-07-15 00:31;0;2;"Thx Stuart! Yes exactly. We’ve got a couple of tools that work in tandem to do just that.";;;;"1018352311725260801";https://twitter.com/ashady/status/1018352311725260801
