username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
aircto;2018-12-28 02:26;1;1;"7 Effortless Ways To Reduce Hiring Time in 2019 @Uneecops_HROne Read More here - https:// buff.ly/2Vdy4uj pic.twitter.com/gR7egixfZc";;@Uneecops_HROne;;"1078552869308194816";https://twitter.com/aircto/status/1078552869308194816
aircto;2018-12-27 07:19;1;0;"Top 10 #Developer #Meetups to Attend in Bangalore in January 2019 Learn More - https:// buff.ly/2UbXXtZ pic.twitter.com/jyPVNeV4CW";;;#Developer #Meetups;"1078264147031310336";https://twitter.com/aircto/status/1078264147031310336
manigandanjeff;2018-12-27 00:39;0;0;"It's awesome... food looks delicious";;;;"1078163486109249536";https://twitter.com/manigandanjeff/status/1078163486109249536
aircto;2018-12-26 09:55;1;3;"Santa brings happiness to AirCTO pic.twitter.com/1M87xDU0lo";;;;"1077941040101740546";https://twitter.com/aircto/status/1077941040101740546
aircto;2018-12-25 00:30;1;2;"Merry #Christmas & Happy Holidays pic.twitter.com/RXFeP3o4m0";;;#Christmas;"1077436289551605760";https://twitter.com/aircto/status/1077436289551605760
aircto;2018-12-24 02:59;1;0;"We've partnered with @Crossover4Work to organise an online #hiring event on 29th Decemeber C++ Software Engineer - https:// buff.ly/2EtVV2R Front End Engineer - https:// buff.ly/2EvcpIm Software Architect (.NET) - https:// buff.ly/2ELfi8P pic.twitter.com/jz2vKjaEwO";;@Crossover4Work;#hiring;"1077111615596740608";https://twitter.com/aircto/status/1077111615596740608
aircto;2018-12-21 03:06;1;2;"Everything you need to know to crack the Ola recruitment process @tapchief Learn More - https:// buff.ly/2Cp1XQR pic.twitter.com/t8CXowm3tG";;@tapchief;;"1076025991401795589";https://twitter.com/aircto/status/1076025991401795589
VenturaTec;2018-12-20 14:05;0;0;"O último Ventura Tec News! https://www. venturatec.com.br/paper-li/ Agradecimentos a @aircto @Mohamad28164059 @VicencAcuna #recruitment #marketing";;@aircto @Mohamad28164059 @VicencAcuna;#recruitment #marketing;"1075829451223646209";https://twitter.com/VenturaTec/status/1075829451223646209
aircto;2018-12-20 03:02;2;1;"Learn the 7 Elements for an Awesome Candidate Experience Read the complete list here - https:// buff.ly/2BuQyh2 pic.twitter.com/ff9bmOBrfy";;;;"1075662750070788097";https://twitter.com/aircto/status/1075662750070788097
aircto;2018-12-19 05:57;2;2;"It's nice to just be kids and hang out with your friends at lunch. Team @aircto pic.twitter.com/2ctuQJcXH3";;@aircto;;"1075344431702716416";https://twitter.com/aircto/status/1075344431702716416
