username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kielcenews;2018-12-29 02:14;0;1;"Te dane smucą - co roku w #Kielce aż 400 osób umiera z powodu #SMOG - liczymy, że nowe władze @Kielce_official podejdą do problemu conajmniej tak kompleksowo jak władze @krakow_pl - jest z kogo brać przykład. @airlyeu @Smogathon @alarm_smogowy http:// kielce.wyborcza.pl/kielce/7,47262 ,24312868,specjalista-od-smogu-sasiadowi-trzeba-powiedziec-pan-truje.html#s=BoxLoKiImg1 …";;@Kielce_official @krakow_pl @airlyeu @Smogathon @alarm_smogowy;#Kielce #SMOG #s;"1078912132501131264";https://twitter.com/kielcenews/status/1078912132501131264
pcieslik1906;2018-12-27 11:18;0;1;"Mówiłem";;;;"1078324288032305157";https://twitter.com/pcieslik1906/status/1078324288032305157
Aga16907233;2018-12-27 10:36;0;0;"16:35 i wszystko jasne pic.twitter.com/lHGFqwNtKs";;;;"1078313569236717568";https://twitter.com/Aga16907233/status/1078313569236717568
Aga16907233;2018-12-27 10:33;0;0;"Zielonki wyznacznikiem krakowskiego smogu. A może producentem?";;;;"1078313027164913667";https://twitter.com/Aga16907233/status/1078313027164913667
pcieslik1906;2018-12-27 07:12;0;0;"Poczekaj do 16";;;;"1078262335368769536";https://twitter.com/pcieslik1906/status/1078262335368769536
KODozerca;2018-12-27 06:43;0;1;"Świetnie, ale w Skale tradycyjnie jest katastrofa. Zainteresowanych informuję, że burmistrzem jest Pan Krzysztof Wójtowicz. I pomyśleć, miasteczko położone na wys. ok 400 m npm., z niezłymi przeciągami i takie wyniki. Stare kalosze spalają się chyba w każdym domu. pic.twitter.com/p13DI4f6pm";;;;"1078255120876531716";https://twitter.com/KODozerca/status/1078255120876531716
kam800;2018-12-26 19:35;0;0;"I think statistics can explain that: looks like there is a lot of people being born in september (9 months from now) pic.twitter.com/TdOerRCrFI";;;;"1078086830753570817";https://twitter.com/kam800/status/1078086830753570817
tomek_j;2018-12-26 15:07;0;1;"#smogfighters @airlyeu ile kosztuje czujnik wyraz z miesięcznym serwisem? Dlaczego to jasno nie jest opisane na stronie airly... skoro w naszym kraju to może być największe ograniczenie - koszty zakupu i utrzymania.";;@airlyeu;#smogfighters;"1078019558919806976";https://twitter.com/tomek_j/status/1078019558919806976
Szakulus;2018-12-25 07:42;0;0;"And how can you explain second place ?:)";;;;"1077545026157244416";https://twitter.com/Szakulus/status/1077545026157244416
airlyeu;2018-12-24 09:28;0;3;"Wishing you all a fantastic Christmas filled with happiness in all that you do from Airly team Let the New Year be full of creative energy and new ideas! pic.twitter.com/eeHgAXXfkV";;;;"1077209319215648773";https://twitter.com/airlyeu/status/1077209319215648773
