username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nnovick;2018-12-30 18:16;4;12;"One of my favorite startups of 2018 was @aivatechnology . Their #AI -enabled composer writes soundtracks and new music in many different styles. It's also a great example of Art imitating life: Pierre was inspired to create AIVA after watching the film "Her" https:// youtu.be/wYb3Wimn01s";;@aivatechnology;#AI;"1079516618445737984";https://twitter.com/nnovick/status/1079516618445737984
ZentreY_VR;2018-12-24 06:41;0;1;"@aivatechnology What i'm hyped for in 2019? AIVA! :3";;@aivatechnology;;"1077167337864904704";https://twitter.com/ZentreY_VR/status/1077167337864904704
AndrewRink1;2018-12-15 20:00;0;0;"In homage to rock band Queen, @NVIDIA and @AIVAtechnology collaborated on a new #AI -composed song by training a #deeplearning -based system on hundreds of rock songs. #BohemianRhapsody #AI #music https:// lnkd.in/ga4hceE";;@NVIDIA @AIVAtechnology;#AI #deeplearning #BohemianRhapsody #AI #music;"1074106836704325632";https://twitter.com/AndrewRink1/status/1074106836704325632
LuxTradeInvest;2018-12-14 10:01;2;4;"People make places and Luxembourg is no exception Read about how several foreign CEOs are helping shape the country’s business landscape and why the Grand Duchy is a great place to live: http:// ow.ly/tnfb50jU9Ag @INGLuxembourg @Car_Pay_Diem @aivatechnology pic.twitter.com/FC6yBgyMmO";;@INGLuxembourg @Car_Pay_Diem @aivatechnology;;"1073593819294257153";https://twitter.com/LuxTradeInvest/status/1073593819294257153
cooliofoolio909;2018-12-11 02:17;0;0;"1060 can still play most if not all triple-a games on max settings though";;;;"1072389929076965376";https://twitter.com/cooliofoolio909/status/1072389929076965376
_freshwaves;2018-12-10 16:04;0;1;"I still have the 1060 lol";;;;"1072235749645287424";https://twitter.com/_freshwaves/status/1072235749645287424
aszapla;2018-12-09 01:59;1;2;"AIVA ( https://www. aiva.ai / @aivatechnology ): an Artificial Intelligence capable of composing emotional soundtracks for films, video games, commercials and any type of entertainment content. Country: Luxembourg #unaIAaldia #AI #ArtificialIntelligence pic.twitter.com/6icXWXiJsN";;@aivatechnology;#unaIAaldia #AI #ArtificialIntelligence;"1071660537136656384";https://twitter.com/aszapla/status/1071660537136656384
aszapla;2018-12-08 14:43;0;0;"Caretaker - AI Generated music by @aivatechnology https:// youtu.be/zXzAImRi6Y8 Awesome #AI #ArtificialIntelligence";;@aivatechnology;#AI #ArtificialIntelligence;"1071490578779648000";https://twitter.com/aszapla/status/1071490578779648000
Sandordude;2018-12-07 08:20;0;1;"tru that";;;;"1071031817837391872";https://twitter.com/Sandordude/status/1071031817837391872
Tuttimops;2018-12-07 08:16;0;1;"But the ability of pop music is to be loved by the most people so there is a small chance you would love it to";;;;"1071030793047293953";https://twitter.com/Tuttimops/status/1071030793047293953
Sandordude;2018-12-06 17:57;0;6;"It won't take long until the pop industry creates the most pop machine learning pop song - and it will reach the most pop gaussian-distribution-average normalo chad audience ever.";;;;"1070814639049621504";https://twitter.com/Sandordude/status/1070814639049621504
NVIDIAAIDev;2018-12-06 17:00;52;404;"This year at #NeurIPS2018 , NVIDIA and @aivatechnology collaborated on a brand new #AI -composed song honoring legendary rock band Queen by training a deep learning-based system on hundreds of rock songs. https:// nvda.ws/2BVK6AY pic.twitter.com/nIX9t1EYlK";;@aivatechnology;#NeurIPS2018 #AI;"1070800132432637952";https://twitter.com/NVIDIAAIDev/status/1070800132432637952
luesleypossatti;2018-11-29 18:29;0;0;"@aivatechnology I just met your project through @TEDTalks and I thought it was wonderful. I look forward to new compositions https:// twitter.com/aivatechnology /status/1062292618439282689 …";;@aivatechnology @TEDTalks;;"1068285838847561728";https://twitter.com/luesleypossatti/status/1068285838847561728
aivatechnology;2018-11-29 09:35;0;1;"Going well :) plenty of news to share soon, stay tuned";;;;"1068151516614148096";https://twitter.com/aivatechnology/status/1068151516614148096
ZentreY_VR;2018-11-28 13:55;0;1;"@aivatechnology How is Aiva going?";;@aivatechnology;;"1067854470837649410";https://twitter.com/ZentreY_VR/status/1067854470837649410
MusicAlly;2018-11-23 05:05;0;0;"Thanks for the kind words!";;;;"1065909085701312512";https://twitter.com/MusicAlly/status/1065909085701312512
Steve_T_online;2018-11-23 04:25;0;0;"Really interest @stuartdredge - thanks for sharing...";;@stuartdredge;;"1065899050074030080";https://twitter.com/Steve_T_online/status/1065899050074030080
ZentreY_VR;2018-11-17 07:03;0;0;"@aivatechnology I can't wait to try Aiva, i'm super excited! looking forward :D";;@aivatechnology;;"1063764511977545730";https://twitter.com/ZentreY_VR/status/1063764511977545730
aivatechnology;2018-11-13 05:34;1;4;"Newest composition by AIVA, generated in "Modern Cinematic" style using our Music Engine platform https://www. youtube.com/watch?v=6FxPJD 0JZQo …";;;;"1062292618439282689";https://twitter.com/aivatechnology/status/1062292618439282689
