username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlcazarDotCom;2018-09-24 14:39;0;4;"Thanks to the team at @UCICove for the all the support! #UCICove #UCIAppliedInnovation #StartUp #Money2020 #mortgagetech #Entrepreneur https:// twitter.com/UCICove/status /1044280075846209536 …";;@UCICove;#UCICove #UCIAppliedInnovation #StartUp #Money2020 #mortgagetech #Entrepreneur;"1044295398553137152";https://twitter.com/AlcazarDotCom/status/1044295398553137152
AlcazarDotCom;2018-09-19 17:22;0;0;"Alcazar at the inaugural startup scrimmage. Looking forward to more. #UCICove #UCIAppliedInnovation http:// innovation.uci.edu/2018/09/inaugu ral-startup-scrimmage-kicks-off-at-the-cove-uci/ …";;;#UCICove #UCIAppliedInnovation;"1042524465916043264";https://twitter.com/AlcazarDotCom/status/1042524465916043264
AlcazarDotCom;2018-08-30 20:42;0;1;"Come see Alcazar pitch! https:// twitter.com/UCICove/status /1035210222762000384 …";;;;"1035326825814052865";https://twitter.com/AlcazarDotCom/status/1035326825814052865
AlcazarDotCom;2018-08-30 20:40;0;1;"We're excited as well!";;;;"1035326410108227590";https://twitter.com/AlcazarDotCom/status/1035326410108227590
msmichellemar;2018-08-30 13:54;0;3;"@AlcazarDotCom looking forward to your pitch!";;@AlcazarDotCom;;"1035224258094424064";https://twitter.com/msmichellemar/status/1035224258094424064
AlcazarDotCom;2018-08-14 02:56;0;2;"We won best app/software at the @uciantrepreneur of the Year Awards 2018! http:// blog.alcazar.com/best-app-antre preneur-awards/ …";;@uciantrepreneur;;"1029260337755828224";https://twitter.com/AlcazarDotCom/status/1029260337755828224
AlcazarDotCom;2018-08-02 18:02;1;1;"Thrilled to be selected as one of the industry’s brightest 100 startups and to participate in the Money20/20 USA #Startup Academy! Looking forward to all that’s to come in Vegas: https:// goo.gl/vVLSY6 pic.twitter.com/tZCIlI0Gbi";;;#Startup;"1025139708219670529";https://twitter.com/AlcazarDotCom/status/1025139708219670529
AlcazarDotCom;2018-07-05 18:10;0;2;"Alcazar accepted to Wayfinder Incubator at UCI Applied Innovation! @UCICove http:// blog.alcazar.com/alcazar-accept ed-wayfinder-incubator/ …";;@UCICove;;"1014995027011878912";https://twitter.com/AlcazarDotCom/status/1014995027011878912
AlcazarDotCom;2018-04-04 18:28;0;0;"70% of homebuyers forget their Realtor after 1 year.";;;;"981659844238192641";https://twitter.com/AlcazarDotCom/status/981659844238192641
AlcazarDotCom;2017-11-13 20:09;0;0;"The median home nationwide is now worth $16,000 more than it was at the beginning of the year. @Black_KnightInc #mortgagemonitor";;@Black_KnightInc;#mortgagemonitor;"930241328855760896";https://twitter.com/AlcazarDotCom/status/930241328855760896
AlcazarDotCom;2017-10-05 16:37;0;0;"The average home price in America rose by nearly $15k over the first half of 2017. BKFS";;;;"916039671301390336";https://twitter.com/AlcazarDotCom/status/916039671301390336
ThysyTrinh;2017-10-03 19:27;0;1;"@stephaniersimon was nice meeting you last week at @UCLA @ycombinator thx for advice on our company name @AlcazarDotCom !";;@stephaniersimon @UCLA @ycombinator @AlcazarDotCom;;"915357770609696768";https://twitter.com/ThysyTrinh/status/915357770609696768
AlcazarDotCom;2017-09-27 15:11;0;0;"As of Aug 2017,4 million homes were eligible for refinancing and would likely be in a better position after doing so. Lots of wasted money!";;;;"913119017409187840";https://twitter.com/AlcazarDotCom/status/913119017409187840
