username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlchemyIoT;2018-04-09 11:23;0;1;"#MondayMotivation pic.twitter.com/f9UPwKKQpf";;;#MondayMotivation;"983364667795038208";https://twitter.com/AlchemyIoT/status/983364667795038208
AlchemyIoT;2018-04-02 11:54;0;0;"#MondayMotivation pic.twitter.com/Gt46nQnxPa";;;#MondayMotivation;"980835757442125827";https://twitter.com/AlchemyIoT/status/980835757442125827
AlchemyIoT;2018-03-26 11:19;0;0;"#MondayMotivation pic.twitter.com/9wESC8xFbL";;;#MondayMotivation;"978290234193580033";https://twitter.com/AlchemyIoT/status/978290234193580033
AlchemyIoT;2018-03-21 14:28;1;0;"Alchemy launches ‘no code’ IoT asset intelligence https:// internetofbusiness.com/alchemy-launch es-no-code-iot-asset-intelligence/ … #DataScience #AI #IIoT pic.twitter.com/h3a0W5jC5u";;;#DataScience #AI #IIoT;"976525867852611584";https://twitter.com/AlchemyIoT/status/976525867852611584
BuiltInColorado;2018-03-17 17:30;4;8;"Colorado tech news roundup: @DigitalGlobe partners with SpaceX, @AlchemyIoT 's new EVP, @LivingInkTech wins science grant, and more - http:// bit.ly/2FI0owH pic.twitter.com/HUORhXRnJM";;@DigitalGlobe @AlchemyIoT @LivingInkTech;;"975122118773018624";https://twitter.com/BuiltInColorado/status/975122118773018624
BuiltInColorado;2018-03-15 18:21;1;3;"This week in #ColoradoTech : @DigitalGlobe partners with SpaceX, @AlchemyIoT 's new EVP, and more - http:// bit.ly/2FI0owH pic.twitter.com/ucmGYLAgyj";;@DigitalGlobe @AlchemyIoT;#ColoradoTech;"974410167298215936";https://twitter.com/BuiltInColorado/status/974410167298215936
AlchemyIoT;2018-03-13 11:21;2;3;"We would like to formally welcome Greg Walsh as Executive Vice President of Sales to the Alchemy #IoT family! https://www. prnewswire.com/news-releases/ alchemy-iot-hires-greg-walsh-as-executive-vice-president-of-sales-300612978.html?tc=eml_cleartime … #NewHire pic.twitter.com/UrolhI8xNW";;;#IoT #NewHire;"973579709517914112";https://twitter.com/AlchemyIoT/status/973579709517914112
AlchemyIoT;2018-03-02 13:24;1;1;"Why is the #smart #factory concept key for #manufacturing ? http:// searcherp.techtarget.com/answer/Why-is- the-smart-factory-concept-key-for-manufacturing … @TechTarget @search_ERP";;@TechTarget @search_ERP;#smart #factory #manufacturing;"969639516893040641";https://twitter.com/AlchemyIoT/status/969639516893040641
AlchemyIoT;2018-03-02 11:23;0;0;"Advancing Smart #Manufacturing and #IIoT — #Together or Separately? https://www. automationworld.com/article/topics /industrial-internet-things/advancing-smart-manufacturing-and-iiot-together-or … @automationworld pic.twitter.com/m0OVKAifdZ";;@automationworld;#Manufacturing #IIoT #Together;"969609031676506112";https://twitter.com/AlchemyIoT/status/969609031676506112
AlchemyIoT;2018-03-01 17:57;0;0;". @JohnDeere and the Birth of #Precision #Agriculture https:// spectrum.ieee.org/tech-history/s ilicon-revolution/john-deere-and-the-birth-of-precision-agriculture … @IEEESpectrum pic.twitter.com/EA3sw6u2QO";;@JohnDeere @IEEESpectrum;#Precision #Agriculture;"969345805659250688";https://twitter.com/AlchemyIoT/status/969345805659250688
