username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
allocateai;2018-12-30 11:53;0;2;"We're not saying we don't like timesheets...we just know how to track time a little better. https:// blog.allocate.ai/the-problem-wi th-timesheets-why-logging-time-is-so-hard/ …";;;;"1079420097029201921";https://twitter.com/allocateai/status/1079420097029201921
twopcharts_can;2018-12-28 12:00;0;0;"@allocateai You just reached the milestone of 100 tweets on Twitter. http:// twopcharts.com/allocateai/ms/ tweets …";;@allocateai;;"1078697102149079041";https://twitter.com/twopcharts_can/status/1078697102149079041
allocateai;2018-12-28 11:52;0;4;"This cat just started using @allocate .ai. See how much more productive he is now? pic.twitter.com/RD7dUuM64V";;@allocate;;"1078695069484367872";https://twitter.com/allocateai/status/1078695069484367872
CarrNext;2018-12-28 08:46;0;0;"1st, it’s not about the lawyer, it’s about the customer. 2d, if you charge for service by the hour, you don’t deliver service, you deliver hours. 3rd, customers don’t want hours, they want Delivered Value meaning Effective, Efficient service w/a great customer Experience (DV=E3)";;;;"1078648430216597504";https://twitter.com/CarrNext/status/1078648430216597504
allocateai;2018-12-27 10:36;0;1;"At Allocate, we believe that Allocate can actually help lawyers become more profitable, while lowering their rates, and increasing high-quality and affordable justice for all.";;;;"1078313599330848770";https://twitter.com/allocateai/status/1078313599330848770
allocateai;2018-12-27 10:35;0;0;"Did you also know that "57% of the general population have dealt with a life issue that could have been handled legally but wasn’t." Unsurprisingly, the top three reasons are related to cost and transparency.";;;;"1078313342471688192";https://twitter.com/allocateai/status/1078313342471688192
allocateai;2018-12-27 10:34;0;1;"Imagine you had to opt-in to get your pay check every two weeks with a note about why you deserve to get paid. Now imagine instead of two pay checks per-month you get 2,000 (every 6 mins). Miss one and tough luck. Further, your boss (read: client) decides to pay only 85% of them.";;;;"1078313252055105539";https://twitter.com/allocateai/status/1078313252055105539
allocateai;2018-12-27 09:49;0;1;"You do awesome work for your clients every day. Lower your risk of dropping the ball by implementing Allocate into your practice routines. pic.twitter.com/UwlsRCyvJJ";;;;"1078301727420493824";https://twitter.com/allocateai/status/1078301727420493824
allocateai;2018-12-22 13:47;0;0;"Time management for lawyers is one of the most difficult tasks in a busy law practice. https://www. thebalancesmb.com/effective-lawy er-time-management-2151357 …";;;;"1076549682543845376";https://twitter.com/allocateai/status/1076549682543845376
allocateai;2018-12-19 11:27;0;2;"Untracked work hours are costing businesses billions of dollars each day. Here at @allocateai , we believe time is an even more valuable asset than money. That's why we create tools to help you stay on top of that billable time. pic.twitter.com/j3HgWUjffH";;@allocateai;;"1075427332767277056";https://twitter.com/allocateai/status/1075427332767277056
CarrNext;2018-12-14 05:47;0;2;"As a customer who want to pay for outputs not inputs and results not activity, why, exactly is this a good thing?";;;;"1073529801368051712";https://twitter.com/CarrNext/status/1073529801368051712
allocateai;2018-12-12 13:27;1;0;"Sure thing!";;;;"1072920834623320065";https://twitter.com/allocateai/status/1072920834623320065
ezahnlecker;2018-12-12 13:18;3;3;"Allocate Legal ( @allocateai ) not only allows lawyers to automatically capture their billable time, it also allows them to be competitive with alternative legal services, and by doing so increase client access to justice. #legaltech https:// lawyerist.com/podcast-202-ha ben-girma/ …";;@allocateai;#legaltech;"1072918721390247936";https://twitter.com/ezahnlecker/status/1072918721390247936
PlanetComplianc;2018-12-11 11:26;0;0;"Hey @allocateai , Thank you for the follow!";;@allocateai;;"1072528082404368389";https://twitter.com/PlanetComplianc/status/1072528082404368389
tombed;2018-12-10 12:26;0;3;"Time is money... if you bill by the hour. @allocateai can give professional service providers 1.3 Hours extra per day and boost profits. https://www. artificiallawyer.com/2018/12/10/all ocate-can-give-lawyers-1-3-hours-extra-per-day-boost-firm-profits/ … via @ArtificialLawya pic.twitter.com/gcuEjqLTB8";;@allocateai @ArtificialLawya;;"1072180815277154305";https://twitter.com/tombed/status/1072180815277154305
ezahnlecker;2018-12-10 11:59;0;3;"Nice writeup on Allocate Legal ( @allocateai ) by @ArtificialLawya ! Excited to be adding such value for our legal clients. https:// twitter.com/ArtificialLawy a/status/1072039864756002819 …";;@allocateai @ArtificialLawya;;"1072173895933775872";https://twitter.com/ezahnlecker/status/1072173895933775872
ArtificialLawya;2018-12-10 03:06;4;8;"If lawyers are going to keep billing by time then they may as well capture all their time data.... chat with @allocateai about their offering and what it may mean for lawyers. >>> (Although, what about a fixed fee world?) #legaltech #machinelearning https://www. artificiallawyer.com/2018/12/10/all ocate-can-give-lawyers-1-3-hours-extra-per-day-boost-firm-profits/ …";;@allocateai;#legaltech #machinelearning;"1072039864756002819";https://twitter.com/ArtificialLawya/status/1072039864756002819
thescribes_;2018-12-03 21:08;0;0;"And then save time by hiring a transcriptionist!";;;;"1069775464183476225";https://twitter.com/thescribes_/status/1069775464183476225
allocateai;2018-11-22 09:09;0;1;"Great tips! But also, @allocateai can help by passively and automatically keeping track of time even on those pesky 0.1 hour emails. Lawyers who use Allocate capture 1.3 more hours per day on average compared to their former selves.";;@allocateai;;"1065608144037036033";https://twitter.com/allocateai/status/1065608144037036033
elolawstl;2018-11-15 13:14;0;0;"@allocateai thanks for the follow!";;@allocateai;;"1063133060743487488";https://twitter.com/elolawstl/status/1063133060743487488
allocateai;2018-11-06 02:10;1;5;"Time is our scarcest resource. With @allocateai , logging hours takes less time. You can use that extra time to relax, or to continue to work hard for your clients. pic.twitter.com/gTZz0nOdY0";;@allocateai;;"1059704437793468416";https://twitter.com/allocateai/status/1059704437793468416
allocateai;2018-11-05 17:51;0;3;"Janet @confettilife says Allocate Legal helps one of her partners capture DOUBLE the billable hours per day. Yes you read that right, double! Guess they can take the first 6mo. of 2019 off! pic.twitter.com/OGtIOCO8dS";;@confettilife;;"1059579101764374530";https://twitter.com/allocateai/status/1059579101764374530
kbennettlaw;2018-11-01 12:25;0;2;"Awesome! I’ve been a user for some time. Now, I just need to flip the switch!";;;;"1058032395981443072";https://twitter.com/kbennettlaw/status/1058032395981443072
