username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
amperity;2018-12-27 13:37;0;1;"Google continually leveraging its data to provide customers seamless alternatives to outdated, painful travel experiences... #innovation #CDP #omnichannel https:// skift.com/2018/12/17/goo gle-is-filling-in-the-missing-pieces-with-mobile-flight-delay-notifications/?utm_campaign=Daily%20Newsletter&utm_source=hs_email&utm_medium=email&utm_content=68555004&_hsenc=p2ANqtz-_iWKI0axzCkUe00RULSL97Eg9N3JJp_w2TijiLMbDHWJZBu30uPWHqdBhAJyLxlsvxrQCL6EOqEughFI77ZQy4vB8ZAw&_hsmi=68555004 …";;;#innovation #CDP #omnichannel;"1078359187535454208";https://twitter.com/amperity/status/1078359187535454208
amperity;2018-12-20 14:54;0;1;"Great @Forbes article on the echoed challenges of leveraging customer data for successful digital marketing. We believe the starting point is adopting the right technology to clean up your customer data and provide a unified view. https://www. forbes.com/sites/nicolema rtin1/2018/12/18/how-to-overcome-the-challenges-of-data-driven-digital-marketing/#794fa48b4767 …";;@Forbes;#794fa48b4767;"1075841867768422400";https://twitter.com/amperity/status/1075841867768422400
amperity;2018-12-19 13:01;0;0;"Putting the customer first necessitates a devotion of internal resources to that practice and empowering roles like CCO to prioritize the mission. #chiefcustomerofficer #customercentric #customerdata https:// amperity.com/blog/the-rise- of-the-b2c-chief-customer-officer-and-how-to-excel-as-one/ …";;;#chiefcustomerofficer #customercentric #customerdata;"1075451023383134210";https://twitter.com/amperity/status/1075451023383134210
jakebenn;2018-12-19 11:56;2;1;"There's a gap between what's possible with customer data today and the actual experiences that consumer brands are producing. @chrisjoneshome makes the case that data-savvy Chief Customer Officers will be the ones to fix this. @amperity #MarTech http:// bit.ly/2R8CMdD";;@chrisjoneshome @amperity;#MarTech;"1075434828617592832";https://twitter.com/jakebenn/status/1075434828617592832
stuarthalloway;2018-12-18 07:06;0;2;"Great #Clojure team development talk from @amperity https://www. youtube.com/watch?v=QBsjYy g9bLE&index=27&list=PLZdCLR02grLpMkEBXT22FTaJYxB92i3V3 …";;@amperity;#Clojure;"1074999414798893057";https://twitter.com/stuarthalloway/status/1074999414798893057
amperity;2018-12-17 16:34;0;0;"https:// retail.emarketer.com/article/challe nges-solutions-customer-retention/5c12b342b979f10274b29f98 …";;;;"1074779913721339904";https://twitter.com/amperity/status/1074779913721339904
amperity;2018-12-17 16:34;0;0;"Making a decision on the most effective strategy to increase customer retention and lifetime value necessitates complete, accurate customer data & profiles to derive the correct actions, prioritize the budget allocation and measure results. #customerretention #lifetimevalue #CDP";;;#customerretention #lifetimevalue #CDP;"1074779876048068608";https://twitter.com/amperity/status/1074779876048068608
amperity;2018-12-13 14:53;1;4;"Brooks has made a conscious decision to sprint their business into the future by taking a chance on cutting edge tech, building a best-in-breed stack, and really driving towards customer centricity. We are honored to be on the journey with them! http:// ow.ly/r5Ck30mYKOP";;;;"1073304947976953857";https://twitter.com/amperity/status/1073304947976953857
amperity;2018-12-12 14:07;0;0;"https:// retail.emarketer.com/article/why-da ta-key-retail-success/5c0eb980b979f1059ca4b77a?ecid=NL1014 …";;;;"1072930984452968448";https://twitter.com/amperity/status/1072930984452968448
amperity;2018-12-12 14:07;0;1;""The retail industry had the highest number (89%) that placed great importance on getting better insights into customer needs and expectations. Faster decision-making was also a priority (79%) as well as improving process and cost efficiency (68%)." - HarvardBR / eMarketer";;;;"1072930937803964417";https://twitter.com/amperity/status/1072930937803964417
