username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TelecomReseller;2018-12-30 11:45;1;2;"Startups in #marketing #crm #sales @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti #iot @OrCam @FogHorn_IoT @MaanaKnowledge @PreferredNet @C3IoT Consider - Call for Papers for AI Symposium & AIQ Awards https:// aiuserforum.com / #news pic.twitter.com/aGGPBlk7ex";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti @OrCam @FogHorn_IoT @MaanaKnowledge @PreferredNet @C3IoT;#marketing #crm #sales #iot #news;"1079418105078661121";https://twitter.com/TelecomReseller/status/1079418105078661121
bocobuffs;2018-12-29 21:00;0;0;"#1 #AI #Career #Job site, find your dream job from @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti and 100s of others here: http:// aiuserforum.com / sponsored by @aiqawards @techtionary #hiring #News #iot #iiot #bigdata #marketing #crm #sales pic.twitter.com/xbINJOWwcx";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti @aiqawards @techtionary;#1 #AI #Career #Job #hiring #News #iot #iiot #bigdata #marketing #crm #sales;"1079195444272455680";https://twitter.com/bocobuffs/status/1079195444272455680
TelecomReseller;2018-12-29 01:30;1;0;"Hey @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @brightedge @afiniti -- Are you Hiring in #AI place your #jobs #careers on AI Forum Job Page: http:// aiuserforum.com / #hiring #News #iot #iiot #bigdata #marketing #crm #sales pic.twitter.com/d2j1yzVeyO";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @brightedge @afiniti;#AI #jobs #careers #hiring #News #iot #iiot #bigdata #marketing #crm #sales;"1078900959269404672";https://twitter.com/TelecomReseller/status/1078900959269404672
boulderbusiness;2018-12-28 16:35;0;0;"#1 #AI #Career #Job site, find your dream job from @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti and 100s of others here: http:// aiuserforum.com / sponsored by @aiqawards @techtionary #hiring #News #iot #iiot #bigdata #marketing #crm #sales pic.twitter.com/Cnl9Gj7ROJ";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti @aiqawards @techtionary;#1 #AI #Career #Job #hiring #News #iot #iiot #bigdata #marketing #crm #sales;"1078766307196071936";https://twitter.com/boulderbusiness/status/1078766307196071936
bocobuffs;2018-12-27 07:40;0;1;"Startups in #marketing #crm #sales @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti #iot @OrCam @FogHorn_IoT @MaanaKnowledge @PreferredNet @C3IoT Consider - Call for Papers for AI Symposium & AIQ Awards https:// aiuserforum.com / Chaired by @evankirstel #news pic.twitter.com/Fcv0Nsv1NY";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti @OrCam @FogHorn_IoT @MaanaKnowledge @PreferredNet @C3IoT @evankirstel;#marketing #crm #sales #iot #news;"1078269282125897730";https://twitter.com/bocobuffs/status/1078269282125897730
bocobuffs;2018-12-22 20:00;0;0;"#1 #AI #Career #Job site, find your dream job from @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti and 100s of others here: http:// aiuserforum.com / sponsored by @aiqawards @techtionary #hiring #News #iot #iiot #bigdata #marketing #crm #sales pic.twitter.com/znQiNZfc9s";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti @aiqawards @techtionary;#1 #AI #Career #Job #hiring #News #iot #iiot #bigdata #marketing #crm #sales;"1076643635821604864";https://twitter.com/bocobuffs/status/1076643635821604864
boulderbusiness;2018-12-21 16:35;0;0;"#1 #AI #Career #Job site, find your dream job from @AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti and 100s of others here: http:// aiuserforum.com / sponsored by @aiqawards @techtionary #hiring #News #iot #iiot #bigdata #marketing #crm #sales pic.twitter.com/uujSrWZQYB";;@AmpleroInc @Invoca @Gong_io @InsideSales @MyConversica @afiniti @aiqawards @techtionary;#1 #AI #Career #Job #hiring #News #iot #iiot #bigdata #marketing #crm #sales;"1076229595676925954";https://twitter.com/boulderbusiness/status/1076229595676925954
AmpleroInc;2018-12-21 14:50;0;0;"This week's roundup covers true loyalty, retention marketing done right, holiday harmony with gift cards and data driving impactful brand experiences. http:// ow.ly/E0bo30n4HmT #customerloyalty #customermarketing";;;#customerloyalty #customermarketing;"1076203166318977024";https://twitter.com/AmpleroInc/status/1076203166318977024
AmpleroInc;2018-12-21 10:20;0;0;"3 ways customer data drives more impactful brand experiences https:// mklnd.com/2EzrzMt #CX";;;#CX;"1076135228660482048";https://twitter.com/AmpleroInc/status/1076135228660482048
AmpleroInc;2018-12-19 10:25;0;0;"Here's how to do retention marketing right! http:// ow.ly/fd7R30mZp7O #customermarketing #retention";;;#customermarketing #retention;"1075411706636046342";https://twitter.com/AmpleroInc/status/1075411706636046342
AmpleroInc;2018-12-17 10:15;0;0;"47% of consumers will leave brands that lack a purpose. http:// ow.ly/B2dx30mYUVm #consumerbrands";;;#consumerbrands;"1074684422681698304";https://twitter.com/AmpleroInc/status/1074684422681698304
TelecomReseller;2018-12-16 19:30;1;0;"Before you select an #ArtificialIntelligence solution from @AmpleroInc @Invoca @Gong_io or anyone else get a Market/Validation for Business/Product/Strategy Critical Analysis from @aiqawards via @TelecomReseller https:// telecomreseller.com/2018/11/12/bef ore-your-artificial-intelligence-project-product-fails-get-a-critical-analysis-for-buyers-of-ai-solutions-and-technology/ … #tech #news #VentureCapital #AI";;@AmpleroInc @Invoca @Gong_io @aiqawards @TelecomReseller;#ArtificialIntelligence #tech #news #VentureCapital #AI;"1074461792808534016";https://twitter.com/TelecomReseller/status/1074461792808534016
