username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Accion;2018-12-30 10:23;2;5;"“Getting the Apollo input loan allowed me to plant on time — before the rains.” This episode of @MastercardNews ’ and @gimletcreative 's #FFtB podcast includes a story from an @apolloagri customer—plus insights from @VikasRaj1 . Listen: https:// bit.ly/2E6pc3L";;@MastercardNews @gimletcreative @apolloagri @VikasRaj1;#FFtB;"1079397447405715458";https://twitter.com/Accion/status/1079397447405715458
EmedenFarmers;2018-12-26 09:40;0;0;"@apolloagri Can work with @EmedenFarmers to realize our shared values and visions for smallholder farmers";;@apolloagri @EmedenFarmers;;"1077937073506738176";https://twitter.com/EmedenFarmers/status/1077937073506738176
ugo_anums;2018-12-13 05:07;0;1;"Nigeria's @maxdotng";;@maxdotng;;"1073157444061274112";https://twitter.com/ugo_anums/status/1073157444061274112
Nevosys;2018-12-13 02:32;2;3;"#TCBattlefield top 5 #startup finalist W - South Africa's @BettrFinance - Kenya's @apolloagri - Nigeria's @maxdotng - Uganda's @mScan_UG - Nigeria's @Powerstove Which of these startups will win #TCBattlefield Africa 2018? #AI";;@BettrFinance @apolloagri @maxdotng @mScan_UG @Powerstove;#TCBattlefield #startup #TCBattlefield #AI;"1073118440058171392";https://twitter.com/Nevosys/status/1073118440058171392
Nevosys;2018-12-13 02:30;0;1;"@Powerstove TCBattlefield top 5 #startup finalist - South Africa's @BettrFinance - Kenya's @apolloagri - Nigeria's @maxdotng - Uganda's @mScan_UG - Nigeria's @Powerstove Which of these startups will win #TCBattlefield Africa 2018?";;@Powerstove @BettrFinance @apolloagri @maxdotng @mScan_UG @Powerstove;#startup #TCBattlefield;"1073117956836610054";https://twitter.com/Nevosys/status/1073117956836610054
techie_geeks;2018-12-12 14:46;1;4;"#TCBattlefield top 5 finalist - South Africa's @BettrFinance - Kenya's @apolloagri - Nigeria's @maxdotng - Uganda's @mScan_UG - Nigeria's @Powerstove You are all WINNER. #techiegeeks #blockchain #EmergingTech #startup #fintech #cybersecurity #industry40 #IoT #AI #BigData";;@BettrFinance @apolloagri @maxdotng @mScan_UG @Powerstove;#TCBattlefield #techiegeeks #blockchain #EmergingTech #startup #fintech #cybersecurity #industry40 #IoT #AI #BigData;"1072940763481300992";https://twitter.com/techie_geeks/status/1072940763481300992
ThinkroomSME;2018-12-12 01:03;4;2;"#Entrepreneurship | African entrepreneurs visit MIT for leadership boot camp http:// news.mit.edu/2018/mit-legat um-center-leadership-forum-inclusive-entrepreneurs-africa-1211 … @mitlegatum @MastercardFdn @MIT @4Afrika @GrindstoneXL @apolloagri @BidhaaSasa @farmdriveke @farmerline @LanteOTC @matontine @GetWala @wefarm @freeze_solar @HiLynkGlobal";;@mitlegatum @MastercardFdn @MIT @4Afrika @GrindstoneXL @apolloagri @BidhaaSasa @farmdriveke @farmerline @LanteOTC @matontine @GetWala @wefarm @freeze_solar @HiLynkGlobal;#Entrepreneurship;"1072733770996957184";https://twitter.com/ThinkroomSME/status/1072733770996957184
mitlegatum;2018-12-11 15:33;5;16;"Africa’s top entrepreneurs recently convened at MIT for our leadership boot camp designed to amplify impact as well as update our experts on the evolving ecosystem. @tulaanews @apolloagri @LanteOTC @farmdriveke @RecyclePointsNG @MITSloan @MastercardFdn http:// news.mit.edu/2018/mit-legat um-center-leadership-forum-inclusive-entrepreneurs-africa-1211 …";;@tulaanews @apolloagri @LanteOTC @farmdriveke @RecyclePointsNG @MITSloan @MastercardFdn;;"1072590174444552192";https://twitter.com/mitlegatum/status/1072590174444552192
technextdotng;2018-12-11 13:14;0;2;"They all gave in their best.....";;;;"1072555165679521794";https://twitter.com/technextdotng/status/1072555165679521794
TobievanZyl;2018-12-11 12:13;0;5;"Could not believe. Incredible talent solving the worlds most pressing problems. Everyone a rockstar in their own category.";;;;"1072539762014253056";https://twitter.com/TobievanZyl/status/1072539762014253056
technextdotng;2018-12-11 11:24;6;19;"5 finalists for the #TCbattlefield , - South Africa's @BettrFinance - Kenya's @apolloagri - Nigeria's @maxidotng - Uganda's @mScan_UG - Nigeria's @Powerstove They are currently pitching for 1st position. Which of these startups will win #TCBattlefield Africa 2018?";;@BettrFinance @apolloagri @maxidotng @mScan_UG @Powerstove;#TCbattlefield #TCBattlefield;"1072527601464422402";https://twitter.com/technextdotng/status/1072527601464422402
techloy;2018-12-11 11:18;6;8;"#TCBattlefield top 5 #startup finalist - South Africa's @BettrFinance - Kenya's @apolloagri - Nigeria's @maxdotng - Uganda's @mScan_UG - Nigeria's @Powerstove Which of these startups will win #TCBattlefield Africa 2018?";;@BettrFinance @apolloagri @maxdotng @mScan_UG @Powerstove;#TCBattlefield #startup #TCBattlefield;"1072526136096292865";https://twitter.com/techloy/status/1072526136096292865
Parbhoo_Amee;2018-12-11 10:42;0;3;"Nice work Ben and the @apolloagri team! #TCBattlefield https:// twitter.com/tahiradosani/s tatus/1072416545610129408 …";;@apolloagri;#TCBattlefield;"1072516891741163520";https://twitter.com/Parbhoo_Amee/status/1072516891741163520
Sleeksavvy;2018-12-11 10:20;1;2;"First of the 5 Finalists... @apolloagri #TCBattlefield pic.twitter.com/hW6bNgWn2p";;@apolloagri;#TCBattlefield;"1072511563297382400";https://twitter.com/Sleeksavvy/status/1072511563297382400
