username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
janchmelikCI;2018-11-29 19:56;4;9;"Bidding farewell to @ApuTime_com & @Spaceflowapp of the #CzechAccelerator Cohort #3 tonight! Awesome companies that we are definitely gonna hear from soon! @CzechInvest_CZ @CzechConsNY @StartupsCZ @VentureOutNY pic.twitter.com/yGCOdzWPwI – bei Bohemian National Hall";;@ApuTime_com @Spaceflowapp @CzechInvest_CZ @CzechConsNY @StartupsCZ @VentureOutNY;#CzechAccelerator #3;"1068307799329906689";https://twitter.com/janchmelikCI/status/1068307799329906689
Spaceflowapp;2018-11-20 16:20;0;1;"Looking forward to this one. Thank you for having us! @CzechConsNY @StartupsCZ @VentureOutNY @CzechInvest_CZ @ApuTime";;@CzechConsNY @StartupsCZ @VentureOutNY @CzechInvest_CZ @ApuTime;;"1064992011936239618";https://twitter.com/Spaceflowapp/status/1064992011936239618
janchmelikCI;2018-11-20 08:34;2;6;"Before you hit the road for Thanksgiving, mark your calendar for next Tuesday 11/29, 6pm, to give some thanks to @Spaceflowapp & @ApuTime_com at #CzechAcceleratorNYC Cohort 3 DemoNight! Register here: https:// goo.gl/r3BmMW @CzechConsNY @StartupsCZ @VentureOutNY @CzechInvest_CZ pic.twitter.com/7PbtXPSIEL";;@Spaceflowapp @ApuTime_com @CzechConsNY @StartupsCZ @VentureOutNY @CzechInvest_CZ;#CzechAcceleratorNYC;"1064874717570637824";https://twitter.com/janchmelikCI/status/1064874717570637824
ApuTime_com;2018-11-14 18:36;1;1;"Our seed investor met us in NY to talk about the plans for 2019 in US pic.twitter.com/GwV0FFIhCF";;;;"1062851859772293121";https://twitter.com/ApuTime_com/status/1062851859772293121
gcverse;2018-11-08 13:06;0;2;"#AI -enhanced project management sounds like the way of the future. @ApuTime_com #projectmanagement #softwaredevelopment";;@ApuTime_com;#AI #projectmanagement #softwaredevelopment;"1060594459862274049";https://twitter.com/gcverse/status/1060594459862274049
CzechInvest_CZ;2018-10-25 10:19;4;13;"Cesta naší generální ředitelky @sjirotkova1 v #USA pokračuje! Včera se setkala v coworkingu @rent24coworking Bryant Park se zástupci @VentureOutNY a "našich" start-upů @eventeeco @Spaceflowapp a @ApuTime_com #CzechAccelerator #CzechMatch @StartupsCZ pic.twitter.com/Ah2XBpGBi9";;@sjirotkova1 @rent24coworking @VentureOutNY @eventeeco @Spaceflowapp @ApuTime_com @StartupsCZ;#USA #CzechAccelerator #CzechMatch;"1055463761350418433";https://twitter.com/CzechInvest_CZ/status/1055463761350418433
StartupsCZ;2018-10-25 07:25;2;5;"CEO of CzechInvest @sjirotkova1 met with the Czech startups from program #CzechMatch #CzechAccelerator in the heart of New York. #Feedback #Follow @ApuTime_com @spaceflow @eventeeco #alumni pic.twitter.com/1pZbEYsNzl";;@sjirotkova1 @ApuTime_com @spaceflow @eventeeco;#CzechMatch #CzechAccelerator #Feedback #Follow #alumni;"1055420146892836864";https://twitter.com/StartupsCZ/status/1055420146892836864
ApuTime_com;2018-10-15 06:03;0;1;"Welcome to @SaaStock , Dublin! #saastock #startuplife pic.twitter.com/oap4wUfqrD";;@SaaStock;#saastock #startuplife;"1051775685767950337";https://twitter.com/ApuTime_com/status/1051775685767950337
VentureOutNY;2018-10-02 12:00;1;3;"We are happy to have @pbianc from @ffvc sit down with @ApuTime_com and give some knowledge about the importance of financing and fundraising #CzechAccelerator #VentureOutCzech pic.twitter.com/9oVZQLBsvN";;@pbianc @ffvc @ApuTime_com;#CzechAccelerator #VentureOutCzech;"1047154297753018370";https://twitter.com/VentureOutNY/status/1047154297753018370
janchmelikCI;2018-10-01 11:47;0;1;"Time is ticking and the progress is just great! #month2 ! @StartupsCZ @CzechInvest_CZ @Spaceflowapp @ApuTime_com https:// twitter.com/VentureOutNY/s tatus/1046779616407490560 …";;@StartupsCZ @CzechInvest_CZ @Spaceflowapp @ApuTime_com;#month2;"1046788697834680320";https://twitter.com/janchmelikCI/status/1046788697834680320
VentureOutNY;2018-10-01 11:11;0;4;"Month two is kicking off this Monday for @ApuTime_com and @Spaceflowapp 's three month accelerator program! Our own Eric Wollberg is speaking with the startups about program strategy #CzechAccelerator #VentureOutCzech pic.twitter.com/1QGS3LCPTh";;@ApuTime_com @Spaceflowapp;#CzechAccelerator #VentureOutCzech;"1046779616407490560";https://twitter.com/VentureOutNY/status/1046779616407490560
ApuTime_com;2018-09-28 18:58;3;2;"We are one of the sixteen startups chosen for Pitch Competition in Dublin It is the next milestone, because our team will meet each other after months on this place pic.twitter.com/W3ZqZo5zXZ";;;;"1045809937299976195";https://twitter.com/ApuTime_com/status/1045809937299976195
ApuTime_com;2018-09-26 19:28;2;0;"Today we are networking with CEO of @Trello @michaelpryor It is necessary to understand successful people in similar segment! pic.twitter.com/x23JM0wItx";;@Trello @michaelpryor;;"1045092691455938566";https://twitter.com/ApuTime_com/status/1045092691455938566
StartupsCZ;2018-09-26 04:33;6;15;"#CzechAcceleratorNYC startups @ApuTime_com & @Spaceflowapp participated on the @Forbes 100+100 Years of Innovations conference in New York City. Great event discussing a potential of CEE startups among other topics @ForbesCesko @CzechInvest_CZ @janchmelikCI pic.twitter.com/QYO1Fl64L5";;@ApuTime_com @Spaceflowapp @Forbes @ForbesCesko @CzechInvest_CZ @janchmelikCI;#CzechAcceleratorNYC;"1044867532937719808";https://twitter.com/StartupsCZ/status/1044867532937719808
ApuTime_com;2018-09-25 14:22;0;2;"100 years of innovations in Czechoslovakia. @Forbes @ForbesTech #startuplife #gamechanger pic.twitter.com/Y55Cgpt9W3";;@Forbes @ForbesTech;#startuplife #gamechanger;"1044653362258616321";https://twitter.com/ApuTime_com/status/1044653362258616321
ApuTime_com;2018-09-21 00:23;2;3;"We are not part of the CzechAccerator in New York only! We don't sleep even in Czech. Our team is growing with @Google Academy pic.twitter.com/O5x2ql2eOJ";;@Google;;"1042992703011577856";https://twitter.com/ApuTime_com/status/1042992703011577856
