username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Aquant_io;2018-12-17 12:27;2;5;"Thanks again @gdibner ! We're excited to have @AngularVentures as one of our leading investors. #Aquant #AI #Saas https://www. linkedin.com/feed/update/ur n:li:activity:6480162111489081344 …";;@gdibner @AngularVentures;#Aquant #AI #Saas;"1074717823832862722";https://twitter.com/Aquant_io/status/1074717823832862722
Aquant_io;2018-12-07 12:36;3;5;"http:// fortune.com/2018/12/07/ter m-sheet-friday-december-7/ … pic.twitter.com/BNODJoS415";;;;"1071096079112957952";https://twitter.com/Aquant_io/status/1071096079112957952
kerryritz;2018-12-07 02:45;0;0;"Great news .well done. Onwards and upwards.";;;;"1070947419569958912";https://twitter.com/kerryritz/status/1070947419569958912
shahar_chen;2018-12-06 16:14;0;1;"Proud of our amazing @Aquant_io team. We’re hiring smart people that want to change the world! http://www. aquant.io/careers https:// twitter.com/Aquant_io/stat us/1070774414973767685 …";;@Aquant_io;;"1070788608091656192";https://twitter.com/shahar_chen/status/1070788608091656192
Aquant_io;2018-12-06 15:18;2;3;"We are honored to announce that we have secured $10M in Series A funding led by @lightspeedvp - A major milestone for our AI-powered Service Intelligence platform! @shahar_chen @melochna #Aquant #ArtificialIntelligence #uptime #SeriesA #Funding #AI http://www. digitaljournal.com/pr/4058620 pic.twitter.com/InaaBZHb5W";;@lightspeedvp @shahar_chen @melochna;#Aquant #ArtificialIntelligence #uptime #SeriesA #Funding #AI;"1070774414973767685";https://twitter.com/Aquant_io/status/1070774414973767685
StartupTracker;2018-12-04 07:52;0;0;"@Aquant_io Hey, we got a tip saying you are working on something cool. Can you tell us more about what you do here: https:// startuptracker.io/crowdsourcing/ @Aquant_io?t=hb … ?";;@Aquant_io @Aquant_io;;"1069937605624647680";https://twitter.com/StartupTracker/status/1069937605624647680
AlleyWatch;2018-12-03 12:56;0;0;"These 13 NYC Startup Raised the Most Capital in November 2018 ft @Aquant_io https:// alleywat.ch/2Q9EUlS via @AlleyWatch";;@Aquant_io @AlleyWatch;;"1069651585146478594";https://twitter.com/AlleyWatch/status/1069651585146478594
AlleyWatch;2018-12-02 15:11;0;0;"#NYCtech Week in Review: 11/25/18-12/1/18 ft @Aquant_io https:// alleywat.ch/2AMnu3V via @AlleyWatch";;@Aquant_io @AlleyWatch;#NYCtech;"1069323188943941633";https://twitter.com/AlleyWatch/status/1069323188943941633
AlleyWatch;2018-11-26 14:26;1;0;"The AlleyWatch NYC Startup Daily Funding Report: 11/26/18 ft @Aquant_io https:// alleywat.ch/2PTjN78 via @AlleyWatch";;@Aquant_io @AlleyWatch;;"1067137593765187585";https://twitter.com/AlleyWatch/status/1067137593765187585
gdibner;2018-11-26 07:15;0;1;"5/ Oh - and issue #44 of the Angular Ventures Enterprise Tech Weekly is out. https:// medium.com/angularventure s/europe-israel-enterprise-tech-weekly-4570c39b1e84 …";;;#44;"1067029047258034178";https://twitter.com/gdibner/status/1067029047258034178
