username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
creative_crypto;2018-12-30 09:22;0;0;"Right on! Send us a message and we'll get this rolling.";;;;"1079382103832313857";https://twitter.com/creative_crypto/status/1079382103832313857
OlivierMarian00;2018-12-30 06:42;2;3;"We’ll be happy to help with Arteia and Raisonline ! @arteiaart https://www. communicart.fr/en/raisonlinet m-first-offering-digital-catalogue-raisonne-rooted-blockchain-arteia-and-cahiers-dart … https:// twitter.com/creative_crypt o/status/1079113941656260611 …";;@arteiaart;;"1079341888954609664";https://twitter.com/OlivierMarian00/status/1079341888954609664
arteiaart;2018-12-27 05:02;4;3;""Thanks to Arteïa I can show any part of my collection easily on my smartphone and in a few clicks send images. Very practical when I'm on my business trips." - #art #artmarket #collector #collectors #artcollector #artcollection #collection #contemporaryart #artwork #artlover pic.twitter.com/VMNMqpHeIV";;;#art #artmarket #collector #collectors #artcollector #artcollection #collection #contemporaryart #artwork #artlover;"1078229508514369536";https://twitter.com/arteiaart/status/1078229508514369536
arteiaart;2018-12-25 05:08;3;4;"The Arteïa team wishes you a happy holiday season! We'll be back in 2019 with lots of nice surprises! See you soon! - #arteia #wishes #happynewyear #newyear #newyear2019 #2019 #newyeariscomming #art #artmarket #collector #collectors #artcollector #artcollection #artwork pic.twitter.com/YGck6gWnqB";;;#arteia #wishes #happynewyear #newyear #newyear2019 #2019 #newyeariscomming #art #artmarket #collector #collectors #artcollector #artcollection #artwork;"1077506255210590208";https://twitter.com/arteiaart/status/1077506255210590208
arteiaart;2018-12-13 10:53;1;8;"Today in French art newspaper Le Quotidien de l'Art Alison Moss takes a look back at the Art Market Day at the @CentrePompidou when Olivier Marian, CTO of Arteïa discussed the increasing importance of #Blockchain technology for the art world. pic.twitter.com/UAuNQ486K0";;@CentrePompidou;#Blockchain;"1073244475240124419";https://twitter.com/arteiaart/status/1073244475240124419
OlivierMarian00;2018-12-03 07:45;0;0;"« Concerns about accuracy can be eased if living artists cryptographically sign off on their works, Dekking said, creating an immutable and time-stamped record on the blockchain. » That’s exactly our point Cahiers d’Art + @arteiaart = RaisOnline https://www. cahiersdart.com/news/2018/nove mber-2018/raisonline …";;@arteiaart;;"1069573303424176129";https://twitter.com/OlivierMarian00/status/1069573303424176129
OlivierMarian00;2018-12-02 03:02;1;7;"Heading to Miami, #ArtBaselMiami , #TheArtOfBlockchain conference and more ! Please get in touch if you want to talk about Art Cataloguing, Art in general, Blockchain, Digital Catalogue Raisonnés ... @arteiaart pic.twitter.com/QwSeJVGDVF – bei Brussels Airport (BRU)";;@arteiaart;#ArtBaselMiami #TheArtOfBlockchain;"1069139612751327232";https://twitter.com/OlivierMarian00/status/1069139612751327232
artribune;2018-11-20 05:00;5;5;"Nasce #RAISONLINE , il primo format di catalogo ragionato digitale firmato da @Cahiers_dArt e @arteiaart . Gli artisti potranno ora catalogare le proprie opere digitalmente, conferendo alle collezioni un valore inalterabile per l’eternità: http:// ow.ly/sbUi30mFj7a";;@Cahiers_dArt @arteiaart;#RAISONLINE;"1064820820424441856";https://twitter.com/artribune/status/1064820820424441856
OlivierMarian00;2018-11-07 15:08;1;5;"@arteiaart pic.twitter.com/VGT644VHCG";;@arteiaart;;"1060262823379566593";https://twitter.com/OlivierMarian00/status/1060262823379566593
myriamboutoulle;2018-11-06 05:26;1;1;"Arteia lance le premier catalogue raisonné (celui de l'artiste Adel Abdessemed) ancré dans la blockchain en collaboration avec Cahiers d'art. https://www. communicart.fr/raisonlinetm-l a-premiere-offre-de-catalogue-raisonne-digital-ancre-dans-la-blockchain-par-arteia-et … @AdelAbdesssemed @arteiaart @Cdesarts @cahiersdart #blockchain";;@AdelAbdesssemed @arteiaart @Cdesarts @cahiersdart;#blockchain;"1059753996846616576";https://twitter.com/myriamboutoulle/status/1059753996846616576
ElisaGravil;2018-11-05 10:26;0;2;"@DianeDrubay pour info";;@DianeDrubay;;"1059466934150938628";https://twitter.com/ElisaGravil/status/1059466934150938628
aniabywanis;2018-11-05 09:25;0;1;"This has been an amazing ride for @arteiaart and @cahiersdart ! Many art+tech companies working with blockchain have been struggling with incorrect or fraudulent #provenance data. We decided to start at the very core of where an artwork originates - the #Artist ...";;@arteiaart @cahiersdart;#provenance #Artist;"1059451586051751936";https://twitter.com/aniabywanis/status/1059451586051751936
aniabywanis;2018-11-05 08:06;0;1;"Bravo @arteiaart !!! https:// twitter.com/CommunicArt/st atus/1059430767372181504 …";;@arteiaart;;"1059431856335142912";https://twitter.com/aniabywanis/status/1059431856335142912
CommunicArt;2018-11-05 08:02;2;4;"Alliance unique de la #technologie d’ @arteiaart et du contenu premium de @cahiersdart , RAISONLINE by Cahiers d’Art est une solution de catalogue raisonné #digital ancré dans la #Blockchain , appelée à devenir un standard de référence pour les acteurs du marché de l’art ! pic.twitter.com/uFVPxDZLrJ";;@arteiaart @cahiersdart;#technologie #digital #Blockchain;"1059430767372181504";https://twitter.com/CommunicArt/status/1059430767372181504
Quotidiendelart;2018-11-05 07:17;0;3;"Keynote @Cahiers_dArt et @arteiaart // Catalogue raisonné et blockchain #TAMD #artmarket #keynote pic.twitter.com/Fk7CUdYNLt";;@Cahiers_dArt @arteiaart;#TAMD #artmarket #keynote;"1059419384417042432";https://twitter.com/Quotidiendelart/status/1059419384417042432
Von_Lafore;2018-11-05 07:17;2;5;"En partenariat avec @Cahiers_dArt @arteiaart invente...RAISONLINE™ qui sera inauguré par Adel Abdessemed ! #TAMD pic.twitter.com/kf2bhglFkn";;@Cahiers_dArt @arteiaart;#TAMD;"1059419309842358272";https://twitter.com/Von_Lafore/status/1059419309842358272
eleonorethery;2018-11-05 07:16;0;1;"@arteiaart annonce un partenariat avec #cahiersdart pour un catalogue raisonné online via la #blockchain #raisonline / #theartmarketday @Quotidiendelart";;@arteiaart @Quotidiendelart;#cahiersdart #blockchain #raisonline #theartmarketday;"1059419281451089922";https://twitter.com/eleonorethery/status/1059419281451089922
eleonorethery;2018-11-05 07:12;8;8;"« L’arrivée massive des #millenials va profondément changer le marché de l’art. Aujourd’hui 50% du ca mondial est réalisé sur seulement 50 signatures d’artistes » Philippe Gellman de @arteiaart dans #theartmarketday du @Quotidiendelart pic.twitter.com/vK6NTIcQLQ";;@arteiaart @Quotidiendelart;#millenials #theartmarketday;"1059418261782183936";https://twitter.com/eleonorethery/status/1059418261782183936
arteiaart;2018-11-05 06:33;3;16;"Arteïa’s co-founder & CSO @OlivierMarian00 on stage of The Art Market Day in @CentrePompidou talking about the #future of #blockchain pic.twitter.com/Hd6gdooSxV";;@OlivierMarian00 @CentrePompidou;#future #blockchain;"1059408365883940864";https://twitter.com/arteiaart/status/1059408365883940864
CommunicArt;2018-11-02 12:56;0;0;"@arteiaart la solution de catalogage ultime pour gérer une collection d’art, participera à The Art Market Day, la conférence du Le @Quotidiendelart , le lundi 5 novembre au @CentrePompidou ! pic.twitter.com/1Zd6J26SLz";;@arteiaart @Quotidiendelart @CentrePompidou;;"1058402547365527553";https://twitter.com/CommunicArt/status/1058402547365527553
