username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AspectWise;2017-08-19 10:13;0;1;"The pursuit of AI: a better world for whom? https:// yourstory.com/2017/08/ai-bet ter-world/?utm_source=twitter … via @YourStoryCo";;@YourStoryCo;;"898910768745201665";https://twitter.com/AspectWise/status/898910768745201665
AspectWise;2017-07-24 08:00;0;0;"The 5 types of AC lovers - https://www. buzzopinion.com/article/the-5- types-of-ac-lovers … via @BuzzOpinion";;@BuzzOpinion;;"889455324431695872";https://twitter.com/AspectWise/status/889455324431695872
AspectWise;2017-07-20 03:41;0;0;"How to Select Your Ideal Headphone Companion? https:// thebroodle.com/how-to/how-to- select-your-ideal-headphone-companion/ … via @maitpatni";;@maitpatni;;"887940575273525248";https://twitter.com/AspectWise/status/887940575273525248
AspectWise;2017-06-30 06:53;0;1;"Don’t get the Wrong Laptop! Read this http:// techniblogic.com/dont-get-wrong -laptop-read/ … via @techniblogic";;@techniblogic;;"880741065233375232";https://twitter.com/AspectWise/status/880741065233375232
Kr1shnaa;2016-07-05 14:22;0;1;"If you are an ardent #ecommerce shopper, then this tool is a must try! @AspectWise http:// dreamweaverdiaries.in/2016/07/02/mak e-smarter-and-quicker-decisions-of-your-product-purchase-with-aspectwise/ … #startups #Indians #innovative";;@AspectWise;#ecommerce #startups #Indians #innovative;"750394318494441472";https://twitter.com/Kr1shnaa/status/750394318494441472
Mashkingblog;2016-07-01 11:11;0;2;"ASPECTWISE: SHOPPING FOR BEST AND LEAVING THE REST! http:// goo.gl/p4Xcjg @AspectWise @aspectwise_in";;@AspectWise @aspectwise_in;;"748896703428767745";https://twitter.com/Mashkingblog/status/748896703428767745
AshishKamble007;2016-07-01 11:09;1;0;"ASPECTWISE: SHOPPING FOR BEST AND LEAVING THE REST! http:// goo.gl/p4Xcjg #buymobile #comparemobile @aspectwise_in @AspectWise";;@aspectwise_in @AspectWise;#buymobile #comparemobile;"748896300393897985";https://twitter.com/AshishKamble007/status/748896300393897985
AmbilyAdithyan;2016-03-29 12:55;2;3;"Before u buy ur next phone, chk out for features dat matter to u @AspectWise http:// goo.gl/WC4n4B #iitbstartup https:// twitter.com/AspectWise/sta tus/714853113862209536 …";;@AspectWise;#iitbstartup;"714858485536669697";https://twitter.com/AmbilyAdithyan/status/714858485536669697
AspectWise;2016-03-29 12:33;0;6;"Looking for a #mobile & feeling lost among thousands of #phones & millions of ratings? Time to think #AspectWise : http:// goo.gl/MT3rXy";;;#mobile #phones #AspectWise;"714853113862209536";https://twitter.com/AspectWise/status/714853113862209536
ankit_arya13;2016-03-29 04:23;0;0;"@AspectWise you got this right #ValueForMoney #Mobile #Honor7 #ProudUser . @HiHonorIndia keep up the good work.:) https:// twitter.com/AspectWise/sta tus/714399538413441024 …";;@AspectWise @HiHonorIndia;#ValueForMoney #Mobile #Honor7 #ProudUser;"714729767598211077";https://twitter.com/ankit_arya13/status/714729767598211077
AspectWise;2016-03-28 06:31;0;3;"Congratulations @HiHonorIndia .. The Honor Series dominates the rankings for Best Cellphones for Value for Money!.. http://www. aspectwise.in/best?desires=V alue+For+Money&category=cellphone …";;@HiHonorIndia;;"714399538413441024";https://twitter.com/AspectWise/status/714399538413441024
AspectWise;2016-03-16 11:42;0;1;"Great going @Samsungtweets, Galaxy Tab A is the Best Tablet under $250 for Performance as per User Reviews - http://www. aspectwise.com/article/the_be st_tablets_under_$250_for_performance_as_per_user_reviews_16_Mar_2016 …";;@Samsungtweets;;"710129183670865920";https://twitter.com/AspectWise/status/710129183670865920
AspectWise;2016-03-16 11:36;0;1;"Congrats @Bose , SoundLink is the Best Designed Wireless Speaker going by User Reviews - http://www. aspectwise.com/article/the_be st_designed_wireless_speaker_going_by_user_reviews_16_Mar_2016 …";;@Bose;;"710127660328992768";https://twitter.com/AspectWise/status/710127660328992768
AspectWise;2016-03-11 05:47;0;2;"We're excited to do a soft alpha launch of http://www. aspectwise.com - the User Reviews centered Product Search and Intelligence Web App.";;;;"708243029098893313";https://twitter.com/AspectWise/status/708243029098893313
