username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AstraeaInc;2018-12-17 09:59;2;4;"Thank you to @unreasonable and @Barclays for supporting companies like ours who view the future as an opportunity for #Impact . We're proud to be included! #UnreasonableImpact #DataScience #MachineLearning #ArtificialIntelligence #BorealForest #Solar #AlternativeEnergy https:// twitter.com/unreasonable/s tatus/1073991325161324544 …";;@unreasonable @Barclays;#Impact #UnreasonableImpact #DataScience #MachineLearning #ArtificialIntelligence #BorealForest #Solar #AlternativeEnergy;"1074680555093090306";https://twitter.com/AstraeaInc/status/1074680555093090306
vpipkt;2018-12-17 09:45;0;2;"If you've ever asked me what I do at work... This is the answer I tried to give you!";;;;"1074677061976014848";https://twitter.com/vpipkt/status/1074677061976014848
unreasonable;2018-12-15 12:21;4;10;". @AstraeaInc is solving the world's biggest problems using data and powerful #machinelearning approaches. They're empowering corporations, organizations, and individuals to easily access, analyze, and extract actionable insights about our planet. #UnreasonableImpact #AI #IoT pic.twitter.com/6rqXWpKxHc";;@AstraeaInc;#machinelearning #UnreasonableImpact #AI #IoT;"1073991325161324544";https://twitter.com/unreasonable/status/1073991325161324544
AstraeaInc;2018-12-05 16:35;5;4;"We're proud to be part of the #Charlottesville #Startup community! Thanks for the mention, @cvillenews_desk ! http://www. c-ville.com/start-whats-cl imate-entrepreneurs-charlottesville-improve/#.XAhCLZNKii4 …";;@cvillenews_desk;#Charlottesville #Startup #;"1070431498354995203";https://twitter.com/AstraeaInc/status/1070431498354995203
KimOfTheScotts;2018-11-29 10:14;0;2;"Hey - that's me! Excited to attend my first IEEE WIE Forum tomorrow!";;;;"1068161182903820289";https://twitter.com/KimOfTheScotts/status/1068161182903820289
AstraeaInc;2018-11-29 10:11;1;3;"Our own VP of Data Science, Dr. Kimberly Scott, is speaking tomorrow about the opportunities for innovation and professional growth in #technology #startups ! @IEEEWIE @KimOfTheScotts #womenintech https:// twitter.com/IEEEUSA/status /1066014018467520512 …";;@IEEEWIE @KimOfTheScotts;#technology #startups #womenintech;"1068160591347503109";https://twitter.com/AstraeaInc/status/1068160591347503109
vpipkt;2018-11-23 20:26;0;0;"@AstraeaInc";;@AstraeaInc;;"1066141032218324993";https://twitter.com/vpipkt/status/1066141032218324993
AstraeaInc;2018-11-12 16:34;2;3;"Thanks to @mlangan1121 for the great interview! #podcast #EarthDomain https:// twitter.com/earth_domain/s tatus/1061994248273346560 …";;@mlangan1121;#podcast #EarthDomain;"1062096236109545473";https://twitter.com/AstraeaInc/status/1062096236109545473
earth_domain;2018-11-12 09:48;1;3;"PODCAST: http:// Astraea.Earth Harnesses the Power of Global Geospatial Data to Solve the World’s Biggest Challenges @AstraeaInc #GEOINT #EarthDomain #Geospatial #GeospatialData https:// bit.ly/2T7PU10";;@AstraeaInc;#GEOINT #EarthDomain #Geospatial #GeospatialData;"1061994248273346560";https://twitter.com/earth_domain/status/1061994248273346560
mlangan1121;2018-11-12 09:48;0;4;"PODCAST: http:// Astraea.Earth Harnesses the Power of Global Geospatial Data to Solve the World’s Biggest Challenges @AstraeaInc #GEOINT #EarthDomain #Geospatial #GeospatialData https:// bit.ly/2T7PU10";;@AstraeaInc;#GEOINT #EarthDomain #Geospatial #GeospatialData;"1061994051921166337";https://twitter.com/mlangan1121/status/1061994051921166337
AstraeaInc;2018-11-06 14:10;0;2;"We're honored to be chosen for this year's #UnreasonableImpact programme along with so many other great businesses! #ImpactUS18 @unreasonable @barclays https:// twitter.com/unreasonable/s tatus/1059807615612411904 …";;@unreasonable @barclays;#UnreasonableImpact #ImpactUS18;"1059885651146035200";https://twitter.com/AstraeaInc/status/1059885651146035200
unreasonable;2018-11-06 09:00;4;10;"With @AstraeaInc we can access, analyze, and extract actionable insights about our planet in ways we never could before. That's why the business is one of the newest #UnreasonableImpact ventures and part of our partnership with @Barclays . Find out more https:// bit.ly/2Oej9eP pic.twitter.com/kVV8WBmJIe";;@AstraeaInc @Barclays;#UnreasonableImpact;"1059807615612411904";https://twitter.com/unreasonable/status/1059807615612411904
zincfiveinc;2018-10-30 15:26;2;6;"We're here! Follow @zincfiveinc as we work with these great companies, solving global challenges & creating green jobs: @AstraeaInc @KuliKuliFoods @stonycreekinc @CambrianInno @vitalvio @futureofapparel @EcoSmartHydro @zeromasswater @Hydrostor @ECORglobal @inventysinc #ImpactUS18 https:// twitter.com/Barclays_cship /status/1057342680232091648 …";;@zincfiveinc @AstraeaInc @KuliKuliFoods @stonycreekinc @CambrianInno @vitalvio @futureofapparel @EcoSmartHydro @zeromasswater @Hydrostor @ECORglobal @inventysinc;#ImpactUS18;"1057353183847051264";https://twitter.com/zincfiveinc/status/1057353183847051264
mouthofmorrison;2018-10-25 12:13;0;0;"@Fly_Agaric astutely pointed out the same thing--you map people are quite observant.";;@Fly_Agaric;;"1055492553255124994";https://twitter.com/mouthofmorrison/status/1055492553255124994
HarelDan;2018-10-25 12:12;0;1;"I'm actually more intrigued by this part of Canada. pic.twitter.com/MFnm3n5GeI";;;;"1055492263843745794";https://twitter.com/HarelDan/status/1055492263843745794
mouthofmorrison;2018-10-25 12:02;0;0;"You can hide from HD, but you cannot run";;;;"1055489704450252800";https://twitter.com/mouthofmorrison/status/1055489704450252800
mouthofmorrison;2018-10-25 12:01;0;0;"Good spot! What's that about?";;;;"1055489583507537921";https://twitter.com/mouthofmorrison/status/1055489583507537921
HarelDan;2018-10-25 12:01;0;1;"There's one in every country";;;;"1055489488221282306";https://twitter.com/HarelDan/status/1055489488221282306
Fly_Agaric;2018-10-25 11:57;0;2;"Ok. But what's going on w/ that "island" in Ontario?";;;;"1055488571002376192";https://twitter.com/Fly_Agaric/status/1055488571002376192
metasim;2018-10-25 11:35;3;7;"My @AstraeaInc colleagues discovered something interesting about NAIP coverage. #GIS #Imagery pic.twitter.com/INIPkS0T6x";;@AstraeaInc;#GIS #Imagery;"1055483012148850688";https://twitter.com/metasim/status/1055483012148850688
AstraeaInc;2018-10-16 15:33;0;5;"We are honored and excited to be invited to the #UnreasonableImpact Americas programme! Thank you for supporting companies like Astraea. See you in a few weeks! @unreasonable @Barclays";;@unreasonable @Barclays;#UnreasonableImpact;"1052281476467879936";https://twitter.com/AstraeaInc/status/1052281476467879936
metasim;2018-10-16 15:09;1;5;"w00t! @AstraeaInc is on a (the?) map! https:// twitter.com/corentin_guill o/status/1051497890433171457 …";;@AstraeaInc;;"1052275447814340609";https://twitter.com/metasim/status/1052275447814340609
AstraeaInc;2018-10-04 11:31;1;7;"Thanks to @TomTomFest for hosting #TomToberFest last weekend and to @cvilletomorrow for the coverage. We're proud to be a part of such a strong #tech community in #Charlottesville ! https://www. cvilletomorrow.org/news/article/3 1561-local-tech-nonprofit-sectors-converge-tomtoberfest/ … pic.twitter.com/Ymbr6U1jiw";;@TomTomFest @cvilletomorrow;#TomToberFest #tech #Charlottesville;"1047871963992137729";https://twitter.com/AstraeaInc/status/1047871963992137729
mouthofmorrison;2018-10-02 17:04;0;1;"Jason gave a great lightnight talk. Every question after the talks was directed to him if that tells ya something.";;;;"1047230934217646080";https://twitter.com/mouthofmorrison/status/1047230934217646080
metasim;2018-10-02 16:47;1;3;"@mouthofmorrison Great article: Three (Earth) Observations from Sat Summit 2018 https://www. azavea.com/blog/2018/09/2 4/three-earth-observations-from-sat-summit-2018/ … Thanks for the shoutout to @AstraeaInc !";;@mouthofmorrison @AstraeaInc;;"1047226495595368448";https://twitter.com/metasim/status/1047226495595368448
AstraeaInc;2018-09-27 15:26;0;3;"Thank you to @PlumAlleyCo and everyone who attended last night's event! We are excited to be part of the important discussion regarding gender diversity in the startup workplace. @Daniel_Bailey3 @KimOfTheScotts #startups #genderdiversity https:// twitter.com/TiENewYork/sta tus/1045103040234225664 …";;@PlumAlleyCo @Daniel_Bailey3 @KimOfTheScotts;#startups #genderdiversity;"1045394276400713728";https://twitter.com/AstraeaInc/status/1045394276400713728
TiENewYork;2018-09-26 20:09;2;8;"Our friends @PlumAlleyCo have invested $10m in woman and gender diverse-led companies in just two years. Tonight our new board member Avantika Daing, who heads Venture Investments introduced two #startups that are likely to move that needle @AstraeaInc & @nodeio . @aturnermoffitt pic.twitter.com/p1qn3l4Jb2 – bei Rise New York";;@PlumAlleyCo @AstraeaInc @nodeio @aturnermoffitt;#startups;"1045103040234225664";https://twitter.com/TiENewYork/status/1045103040234225664
AstraeaInc;2018-09-19 14:25;2;8;"Very proud of two members of our Data Science team, Courtney Whalen and Jason Brown, for presenting their Mapping Deforestation Trends in the Brazilian Rainforest talk today at @sat_summit Thank you to everyone for their very insightful questions! #SatSummit #DataScience @vpipkt https:// twitter.com/YoniNachmany/s tatus/1042478849685159941 …";;@sat_summit @vpipkt;#SatSummit #DataScience;"1042479806040952833";https://twitter.com/AstraeaInc/status/1042479806040952833
YoniNachmany;2018-09-19 14:21;3;18;"Great lightning talks on the #environment from @AstraeaInc , @JupiterIntel , @NASA , @developmentseed , and @azavea at @sat_summit #satsummit pic.twitter.com/e1M34HexMz";;@AstraeaInc @JupiterIntel @NASA @developmentseed @azavea @sat_summit;#environment #satsummit;"1042478849685159941";https://twitter.com/YoniNachmany/status/1042478849685159941
AstraeaInc;2018-09-19 09:24;1;3;"We're excited to participate! #SatSummit https:// twitter.com/sat_summit/sta tus/1040255346860863492 …";;;#SatSummit;"1042404107032637440";https://twitter.com/AstraeaInc/status/1042404107032637440
AstraeaInc;2018-09-19 09:23;3;6;"The Astraea Data Science team is attending @sat_summit in #WashingtonDC today! #SatSummit #DataScience https:// twitter.com/vpipkt/status/ 1042391666240438272 …";;@sat_summit;#WashingtonDC #SatSummit #DataScience;"1042403774935883776";https://twitter.com/AstraeaInc/status/1042403774935883776
vpipkt;2018-09-19 08:35;0;3;"Let's go! I'm excited to connect with the community here #SatSummit @sat_summit @AstraeaInc pic.twitter.com/V107NVBgUP";;@sat_summit @AstraeaInc;#SatSummit;"1042391666240438272";https://twitter.com/vpipkt/status/1042391666240438272
TomTomFest;2018-09-18 16:05;7;6;"Hosted by @ccri_inc, a machine learning get together will take place at the @acacCV #Tomtoberfest Tech Mixer @uvadsi @astraeainc @metismachine. Submit your resume today! https:// tomtomfest.com/techmixer/ #tomtombest #freefallcville #machinelearning #datascience @wtju911fm @cvillenews_desk";;@ccri_inc @acacCV @uvadsi @astraeainc @metismachine @wtju911fm @cvillenews_desk;#Tomtoberfest #tomtombest #freefallcville #machinelearning #datascience;"1042142485303230465";https://twitter.com/TomTomFest/status/1042142485303230465
vpipkt;2018-09-13 20:35;0;2;"Proud to be part of the lineup! @AstraeaInc https:// twitter.com/sat_summit/sta tus/1040255346860863492 …";;@AstraeaInc;;"1040398531255828481";https://twitter.com/vpipkt/status/1040398531255828481
AstraeaInc;2018-08-31 14:27;1;2;"Thank you! We think so too. @metasim #STAC #FOSS4G2018 https:// twitter.com/GeoSkeptic/sta tus/1034786570749059072 …";;@metasim;#STAC #FOSS4G2018;"1035594873171333125";https://twitter.com/AstraeaInc/status/1035594873171333125
OurRadiantEarth;2018-08-29 13:59;0;3;"Absolutely! Thank you to all who were able to make such an incredible event possible! @planetlabs @MaxarTech @USGS @pcigeomatics @azavea @AstraeaInc @CosmiqWorks @cosineBV @climatecorp @VulcanInc pic.twitter.com/7RcMDOK6Tm";;@planetlabs @MaxarTech @USGS @pcigeomatics @azavea @AstraeaInc @CosmiqWorks @cosineBV @climatecorp @VulcanInc;;"1034863103685607425";https://twitter.com/OurRadiantEarth/status/1034863103685607425
GeoSkeptic;2018-08-29 08:55;3;10;"It's great to see STAC already getting traction in cool open source projects like RasterFrames @AstraeaInc , h/t @azavea State of @geotrellis by @echeipesh #FOSS4G2018 https:// github.com/radiantearth/s tac-spec … pic.twitter.com/3qCOJdk8YX";;@AstraeaInc @azavea @geotrellis @echeipesh;#FOSS4G2018;"1034786570749059072";https://twitter.com/GeoSkeptic/status/1034786570749059072
metasim;2018-08-17 09:51;0;1;"#Charlottesville will always be my sweet";;;#Charlottesville;"1030452049467465728";https://twitter.com/metasim/status/1030452049467465728
AstraeaInc;2018-08-17 09:46;0;1;"We're not in #Charlottesville anymore. https:// twitter.com/metasim/status /1030215819194585088 …";;;#Charlottesville;"1030450677749821447";https://twitter.com/AstraeaInc/status/1030450677749821447
AstraeaInc;2018-08-17 09:39;0;0;"We were happy to be there and support such a great collaboration!";;;;"1030449027312246784";https://twitter.com/AstraeaInc/status/1030449027312246784
opencholmes;2018-08-16 12:59;4;12;"Lots of appreciation to @AstraeaInc for sponsoring #ARDSTACWorkshop and sending such a great group to help push forward on both SpatioTemporal Asset Catalogs and Analysis Ready Data. It was great to learn more about RasterFrames - such a cool project: http:// rasterframes.io /";;@AstraeaInc;#ARDSTACWorkshop;"1030136922104950785";https://twitter.com/opencholmes/status/1030136922104950785
