username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Audtrait;2018-07-29 10:04;1;2;""I'm mining Bitcoin from the desert of Burning Man." Watch the Audtra Satire Demo + Bloopers: http:// audtra.com/qrcode pic.twitter.com/ZKBfw9P59B";;;;"1023569867880976384";https://twitter.com/Audtrait/status/1023569867880976384
Audtrait;2018-07-25 18:59;0;2;"Minimum viable exhibit v3 at @VoiceSummitAI . #Voice2018 pic.twitter.com/ZAQnx9lnsZ";;@VoiceSummitAI;#Voice2018;"1022255075744509952";https://twitter.com/Audtrait/status/1022255075744509952
Audtrait;2018-03-29 18:56;0;0;"We’re #NASASocial waitlisted for recording the Mars InSight Launch (first interplanetary launch from the West Coast) to our audio search engine and founder’s Audtra channel. https:// twitter.com/nasainsight/st atus/974700874474733569 …";;;#NASASocial;"979492463093133313";https://twitter.com/Audtrait/status/979492463093133313
SiliconHBO;2018-03-26 16:24;0;2;"Our algorithm finds you the cheapest, fastest pizza. Opt in and confirm your #Sliceline order: https:// l.fooji.com/l/6b669a9e #SiliconValleyHBO";;;#Sliceline #SiliconValleyHBO;"978367182408245248";https://twitter.com/SiliconHBO/status/978367182408245248
Audtrait;2018-02-23 14:28;0;0;"Introducing a New Economy: http:// audtra.com/post/introduci ng-a-new-economy … pic.twitter.com/uJDkUX9NId";;;;"967119075750137856";https://twitter.com/Audtrait/status/967119075750137856
Audtrait;2017-11-22 14:59;0;0;"Audtra signed the April 2017 and Cyber Monday Startups for Net Neutrality letters. https:// ctt.ec/ZYscP+";;;;"933424631507275776";https://twitter.com/Audtrait/status/933424631507275776
Audtrait;2017-09-30 12:55;0;1;"Micro-Podcasting at the World Maker Faire: http:// audtra.com/post/micro-pod casting … pic.twitter.com/LE0HMZEWPF";;;;"914171753160683521";https://twitter.com/Audtrait/status/914171753160683521
Audtrait;2017-09-30 12:32;0;0;"Welcome to the Netflix of Audio https:// audtra.com/post/influence rs …";;;;"914166051583250433";https://twitter.com/Audtrait/status/914166051583250433
dsimposters;2017-09-24 11:19;1;1;"Here with B. from Audtra ... Check it out. @Audtrait pic.twitter.com/tg5XKJovtE";;@Audtrait;;"911973297465778177";https://twitter.com/dsimposters/status/911973297465778177
Audtrait;2017-09-15 14:28;0;0;"Euphoria at the World Maker Faire: http:// audtra.com/post/wmf2016 pic.twitter.com/sD2XBbwNcS";;;;"908759557576552448";https://twitter.com/Audtrait/status/908759557576552448
chouhanarvind1;2017-04-08 08:31;0;0;"Patent-pending, first social audio/transcription and analytics platform @AudtraIt Submit #startup at http:// bit.ly/1VGNaW6";;@AudtraIt;#startup;"850687637522337792";https://twitter.com/chouhanarvind1/status/850687637522337792
Audtrait;2017-02-06 13:11;0;1;"Thank you for the Cards Against SV, @CBInsights . Next: 25th hour for playtime. HT @DisruptCards";;@CBInsights @DisruptCards;;"828667421238112256";https://twitter.com/Audtrait/status/828667421238112256
