username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AvidaBiotech;2018-11-16 09:20;0;1;"Ostres! Mira de no tornar-lo a agafar, que la segona vegada és pitjor!";;;;"1063436561973415936";https://twitter.com/AvidaBiotech/status/1063436561973415936
matilmartinez;2018-11-16 09:14;0;1;"Aiiiii! Jo el vaig atrapar a Nicaragua, el dengue!";;;;"1063435017144156166";https://twitter.com/matilmartinez/status/1063435017144156166
Questions_cat;2018-11-16 09:12;0;1;"pic.twitter.com/gO7LEmzG0b";;;;"1063434728303460361";https://twitter.com/Questions_cat/status/1063434728303460361
AvidaBiotech;2018-11-16 09:01;0;0;"Sí. Com deia l'Ovidi: tot explota, o pel cap o per la pota.";;;;"1063431830957899779";https://twitter.com/AvidaBiotech/status/1063431830957899779
Questions_cat;2018-11-16 08:58;0;0;"Doncs que "bé" que pinta tot plegat";;;;"1063431227825418241";https://twitter.com/Questions_cat/status/1063431227825418241
jesuspurroy;2018-11-16 08:57;0;1;"Doncs sí, això estava més o menys previst. Amb el canvi climàtic els mosquits tigre poden ser portadors (encara que amb menys eficiència que els seus cosins tropicals). Gràcies per estar a l'aguait!";;;;"1063430769807380480";https://twitter.com/jesuspurroy/status/1063430769807380480
Questions_cat;2018-11-16 08:52;0;0;"Ep, @AvidaBiotech @jesuspurroy https://www. ara.cat/societat/Detec ten-cas-dengue-autocton-Catalunya_0_2126187466.html …";;@AvidaBiotech @jesuspurroy;;"1063429488111964160";https://twitter.com/Questions_cat/status/1063429488111964160
biocat_cat;2018-07-24 05:26;0;1;"REPORTATGE | No tothom té plans exòtics aquest #estiu . A molts els toca treballar, sobretot als emprenedors de la #BioRegió . Aquest és el cas de Salva Gutiérrez, CEO de @MJNneuroserveis , Judit Cubedo, CEO de GlyCardial i @jesuspurroy d' @AvidaBiotech . http:// bit.ly/reportatge_est iu … pic.twitter.com/YlAhVdMySz";;@MJNneuroserveis @jesuspurroy @AvidaBiotech;#estiu #BioRegi;"1021688043550515201";https://twitter.com/biocat_cat/status/1021688043550515201
PCB_UB;2018-06-19 07:09;1;0;"Dr Jesús Purroy, founder of @AvidaBiotech : "We must attempt ambitious projects, there is always time to do small things" https:// bit.ly/2t9vw3X via @biocat_en #StartupGeneration pic.twitter.com/LMD8EJT9bg";;@AvidaBiotech @biocat_en;#StartupGeneration;"1009030295138385920";https://twitter.com/PCB_UB/status/1009030295138385920
biocat_en;2018-06-15 05:21;7;8;"INTERVIEW | Jesús Purroy, founder of @AvidaBiotech : "We must attempt ambitious projects, there is always time to do small things". Read it here http:// bit.ly/2t7nJTy pic.twitter.com/GY5GRQ3pjA";;@AvidaBiotech;;"1007553675630383104";https://twitter.com/biocat_en/status/1007553675630383104
biocat_es;2018-06-15 05:16;4;3;"ENTREVISTA | Jesús Purroy, fundador de @AvidaBiotech : "Hay que acometer proyectos ambiciosos, siempre estamos a tiempo de hacer cosas pequeñas". Léela http:// bit.ly/2Mw3AiG pic.twitter.com/mW0cZnNWq5";;@AvidaBiotech;;"1007552319976767490";https://twitter.com/biocat_es/status/1007552319976767490
biocat_cat;2018-06-15 05:14;5;15;"ENTREVISTA | Jesús Purroy, fundador d' @AvidaBiotech : "Cal emprendre projectes ambiciosos, sempre som a temps de fer coses petites". Llegeix-la http:// bit.ly/2JQEgTb pic.twitter.com/LINw3w4F48";;@AvidaBiotech;;"1007551801300783105";https://twitter.com/biocat_cat/status/1007551801300783105
AvidaBiotech;2018-06-06 07:13;4;9;"We are pleased to start a collaboration with @institutpasteur to work on the prevention of Dengue and other infectious diseases.";;@institutpasteur;;"1004320384248926208";https://twitter.com/AvidaBiotech/status/1004320384248926208
AvidaBiotech;2018-05-24 13:44;3;3;"A very enjoyable discussion with two good entrepreneur friends! https:// twitter.com/IFBarcelona/st atus/999701647373815810 …";;;;"999707760534179841";https://twitter.com/AvidaBiotech/status/999707760534179841
IFBarcelona;2018-05-24 13:20;4;5;"#ImagineIF2018 Thanks to @newbsolutions @AvidaBiotech @MJNneuroserveis for the sharing experiences. https:// twitter.com/joao_curado/st atus/999699591628034050 …";;@newbsolutions @AvidaBiotech @MJNneuroserveis;#ImagineIF2018;"999701647373815810";https://twitter.com/IFBarcelona/status/999701647373815810
DemiumStartups;2018-05-24 08:08;0;1;"Do you want to know more information about how an #accelerator can help your #business ? If the answer is yes, you have to attend the "Do you need to get accelerated twice?" Created by @IFBarcelona with @newbsolutions @avidabiotech and @mjnneuroserveis https:// buff.ly/2IExuz4 pic.twitter.com/SfB91j3ddk";;@IFBarcelona @newbsolutions @avidabiotech @mjnneuroserveis;#accelerator #business;"999623066073346048";https://twitter.com/DemiumStartups/status/999623066073346048
IFBarcelona;2018-05-24 03:05;4;5;"See you this afternoon at @MovistarCentre to present #ImagineIF2018 , the Global Accelerator of @Innovation_F With @newbsolutions @AvidaBiotech @MJNneuroserveis and @JParlinska Programming and LAST TICKETS here: http:// ow.ly/QjVI30k81hl pic.twitter.com/iH7Txs0c2J";;@MovistarCentre @Innovation_F @newbsolutions @AvidaBiotech @MJNneuroserveis @JParlinska;#ImagineIF2018;"999546811567214592";https://twitter.com/IFBarcelona/status/999546811567214592
DemiumStartups;2018-05-23 10:42;0;1;"Do you want to know more information about how an #accelerator can help your #business ? If the answer is yes, you have to attend the "Do you need to get accelerated twice?" Created by @IFBarcelona with @newbsolutions @avidabiotech and @mjnneuroserveis https:// buff.ly/2IExuz4 pic.twitter.com/BKiTxKK1Pp";;@IFBarcelona @newbsolutions @avidabiotech @mjnneuroserveis;#accelerator #business;"999299430435213313";https://twitter.com/DemiumStartups/status/999299430435213313
AvidaBiotech;2018-05-23 09:55;0;1;"Gràcies!";;;;"999287779782807552";https://twitter.com/AvidaBiotech/status/999287779782807552
pil_puig;2018-05-23 09:55;0;0;"Felicitats!!";;;;"999287676196065285";https://twitter.com/pil_puig/status/999287676196065285
AvidaBiotech;2018-05-23 09:31;0;0;"Gràcies!";;;;"999281677422747648";https://twitter.com/AvidaBiotech/status/999281677422747648
Questions_cat;2018-05-23 09:30;0;0;"Felicitats!";;;;"999281383825707008";https://twitter.com/Questions_cat/status/999281383825707008
AvidaBiotech;2018-05-23 09:27;1;9;"Segon premi! Gràcies a tot l'equip de @treballempresa #CafeAventuraSBD ! https:// twitter.com/treballempresa /status/999256704809340930 …";;@treballempresa;#CafeAventuraSBD;"999280770547142656";https://twitter.com/AvidaBiotech/status/999280770547142656
asunsolans;2018-05-23 09:20;2;3;"Felicitats, @AvidaBiotech !! https:// twitter.com/treballempresa /status/999256704809340930 …";;@AvidaBiotech;;"999278887518564352";https://twitter.com/asunsolans/status/999278887518564352
treballempresa;2018-05-23 03:32;3;6;"@AvidaBiotech explica la seva iniciativa per al tractament de malalties infeccioses amb vacunes #SBDEmpresa #cafeaventuraSBD pic.twitter.com/XLVPqvyVC1";;@AvidaBiotech;#SBDEmpresa #cafeaventuraSBD;"999191197079015426";https://twitter.com/treballempresa/status/999191197079015426
biocat_cat;2017-12-11 06:50;5;4;"Avui estem amb #Ferrer i @AvidaBiotech a la #Missió Inversa d' #Austràlia per conèixer el seu ecosistema de ciències de la vida http:// ow.ly/5t5m30h8VRR #internacionalització @bioXclusters @HealthindsSA pic.twitter.com/x8LzgmFOXi";;@AvidaBiotech @bioXclusters @HealthindsSA;#Ferrer #Missi #Austr #internacionalitzaci;"940186902786953216";https://twitter.com/biocat_cat/status/940186902786953216
AvidaBiotech;2017-12-05 08:44;0;0;"Thanks Maria!";;;;"938041498440028160";https://twitter.com/AvidaBiotech/status/938041498440028160
mariachatzou;2017-12-05 08:40;4;8;"@AvidaBiotech and my good friend Jesus Purroy on stage - pioneering vaccines against dengue virus. Inspiring pitch! #IFLC2017 #IMAGINEIF2017 pic.twitter.com/TLTjUVcduo";;@AvidaBiotech;#IFLC2017 #IMAGINEIF2017;"938040463562543105";https://twitter.com/mariachatzou/status/938040463562543105
