username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarProse;2017-05-22 14:00;2;0;"Josh credits BarProse for helping him #pass the 2017 #CABar on his 4th attempt, read his full review here: http:// barprose.com/blog/post/test imonial_josh …";;;#pass #CABar;"866715338477510657";https://twitter.com/BarProse/status/866715338477510657
ToscaSac;2017-04-20 13:09;1;1;"Oh how I loved this. @BarProse So sorry I missed it live. In another life I'd do law school. Sigh http://www. youtube.com.ln.is/0A0kV @1MillionCupsSAC";;@BarProse @1MillionCupsSAC;;"855106202019221504";https://twitter.com/ToscaSac/status/855106202019221504
BarProse;2017-04-12 22:16;1;1;"BarProse is free if you are one of the first 10 students at your law school to register. 50% off for the next 90 http:// barprose.com/registration/p romotion … …";;;;"852344655295283201";https://twitter.com/BarProse/status/852344655295283201
BarProse;2017-04-12 13:45;3;7;"Thank you @1MillionCupsSAC , @goodlaura for hosting us! #1mcsac #barprep https:// twitter.com/goodlaura/stat us/852193120468877312 …";;@1MillionCupsSAC @goodlaura;#1mcsac #barprep;"852216050636554241";https://twitter.com/BarProse/status/852216050636554241
sacstartup;2017-04-12 12:19;5;2;"Elliot answers how the community can help @BarProse #1mcsac #startupsac pic.twitter.com/N6LVcWvG6B";;@BarProse;#1mcsac #startupsac;"852194432119996417";https://twitter.com/sacstartup/status/852194432119996417
sacstartup;2017-04-12 12:14;3;2;"Elliott, co-founder of @BarProse introduces his startup this morning at #1mcsac #startupsac pic.twitter.com/p37fNiYh95";;@BarProse;#1mcsac #startupsac;"852193325796925440";https://twitter.com/sacstartup/status/852193325796925440
goodlaura;2017-04-12 12:14;3;3;"Our first presenter at @1MillionCupsSAC today is Elliot @BarProse , an app for law students that helps them improve essay writing. #1mcsac";;@1MillionCupsSAC @BarProse;#1mcsac;"852193170297200640";https://twitter.com/goodlaura/status/852193170297200640
goodlaura;2017-04-12 12:14;2;4;"Our first presenter at @1MillionCupsSAC today is Elliot @BarProse , an app for law students that helps them improve essay writing. #1mcsac pic.twitter.com/6C5puL1il2";;@1MillionCupsSAC @BarProse;#1mcsac;"852193120468877312";https://twitter.com/goodlaura/status/852193120468877312
EntrprnrShwcs;2017-04-12 12:01;1;1;"We're getting set for @1MillionCupsSAC this morning with @BarProse and @eHarvestHub ! #1MC #1MCSac pic.twitter.com/aj5ZQHWWXk";;@1MillionCupsSAC @BarProse @eHarvestHub;#1MC #1MCSac;"852189890242519041";https://twitter.com/EntrprnrShwcs/status/852189890242519041
EntrprnrShwcs;2017-04-11 14:15;0;1;"Come check out @BarProse and @eHarvestHub tomorrow at @1MillionCupsSAC at 9:00am! #1MC #1MCSac";;@BarProse @eHarvestHub @1MillionCupsSAC;#1MC #1MCSac;"851861182411669504";https://twitter.com/EntrprnrShwcs/status/851861182411669504
1MillionCupsSAC;2017-04-11 13:10;2;1;"Tomorrow's presenters all tuned & lined up. They are: @BarProse & @eHarvestHub . Legal & Agricultural pursuits on tap. Follow them.";;@BarProse @eHarvestHub;;"851844875121156096";https://twitter.com/1MillionCupsSAC/status/851844875121156096
AthenaIntel;2017-04-04 16:43;0;2;"Happy to be involved with fellow local entrepreneurs!";;;;"849361870909845504";https://twitter.com/AthenaIntel/status/849361870909845504
sacstartup;2017-04-04 15:48;6;7;"Newest additions to Sacramento startup directory 2/2: @yellowcirclenet @BarProse @AthenaIntel @thehaptical http:// startupsac.com/sacramento-sta rtup-directory/ …";;@yellowcirclenet @BarProse @AthenaIntel @thehaptical;;"849348043040325633";https://twitter.com/sacstartup/status/849348043040325633
BarProse;2017-02-08 18:07;0;1;"Is the CA Bar Exam harder? http:// barprose.com/blog/post/is_t he_california_bar_exam_harder … #CAbar #BarExam #BarPrep #lawschool #Data";;;#CAbar #BarExam #BarPrep #lawschool #Data;"829466766141034496";https://twitter.com/BarProse/status/829466766141034496
BarProse;2017-01-19 12:56;0;0;"Our next #RuleoftheDay series will focus on #Homicide http:// barprose.com/blog/post/homi cide_overview … #barprep #CriminalLaw";;;#RuleoftheDay #Homicide #barprep #CriminalLaw;"822140715077509120";https://twitter.com/BarProse/status/822140715077509120
BarProse;2017-01-18 13:16;0;0;"#RuleoftheDay Negligence - Damages http:// barprose.com/blog/post/negl igence_damages … #torts #negligence #damages #barprep #barexam";;;#RuleoftheDay #torts #negligence #damages #barprep #barexam;"821783299290853376";https://twitter.com/BarProse/status/821783299290853376
BarProse;2017-01-17 15:00;0;1;"#RuleoftheDay Negligence - Causation http:// barprose.com/blog/post/negl igence_causation … #ActualCause #ProximateCause #Torts #Negligence #barprep";;;#RuleoftheDay #ActualCause #ProximateCause #Torts #Negligence #barprep;"821447129658847232";https://twitter.com/BarProse/status/821447129658847232
BarProse;2017-01-16 12:14;0;1;"#RuleoftheDay Negligence - Breach http:// barprose.com/blog/post/negl igence_breach … #torts #essaywriting #barexam #freestudyguides";;;#RuleoftheDay #torts #essaywriting #barexam #freestudyguides;"821043000440594432";https://twitter.com/BarProse/status/821043000440594432
BarProse;2017-01-14 18:30;0;0;"Need help with your #negligence essays? Check out our unqiue free walkthrough http:// barprose.com/blog/post/core _negligence_approach … #ruleoftheday #barexam #barprep";;;#negligence #ruleoftheday #barexam #barprep;"820412744562196480";https://twitter.com/BarProse/status/820412744562196480
BarProse;2017-01-06 12:41;0;0;"Interesting article on spreading the #BarExam over 3 years from @TheNLJ http://www. nationallawjournal.com/home/id=120277 6192065/Could-Spreading-the-Bar-Exam-Over-Three-Years-Raise-Passage-Rates?mcode=1202617074964&curindex=0&slreturn=20170006123414 …";;@TheNLJ;#BarExam;"817425813070938112";https://twitter.com/BarProse/status/817425813070938112
BarProse;2016-12-20 13:22;0;1;"Assumptions people make about law school http://www. uloop.com/news/view.php/ 223418/Assumptions-People-Will-Make-About-Your-Time-in-Law-School … by @uloop #lawschool #lawyers #barexam #legaleduation";;@uloop;#lawschool #lawyers #barexam #legaleduation;"811275547657535488";https://twitter.com/BarProse/status/811275547657535488
BarProse;2016-12-13 13:30;0;1;"@atlblog reports only 5 CA law schools met the ABA's proposed bar exam passage standards http:// abovethelaw.com/2016/12/califo rnia-bar-exam-results-by-law-school-2016/ … #barexam #lawschool";;@atlblog;#barexam #lawschool;"808740844685627396";https://twitter.com/BarProse/status/808740844685627396
BarProse;2016-12-08 11:50;0;0;"Great observations about streamlining the bar exam nationwide @Kathryn1 https:// twitter.com/atlblog/status /806869849226018816 …";;@Kathryn1;;"806903786560065536";https://twitter.com/BarProse/status/806903786560065536
BarProse;2016-12-08 10:46;0;0;"http:// BarExamStats.com says BarProse is "the wave of the future for essay grading." Full #review here: http://www. barexamstats.com/barprose-walkt hrough/ …";;;#review;"806887588980064256";https://twitter.com/BarProse/status/806887588980064256
BarProse;2016-12-07 20:49;1;0;"Our Essay Bank feature is now live: 106 #official #CAbarexam questions at your fingertips, with personalized feedback on 47 #barprep #edtech";;;#official #CAbarexam #barprep #edtech;"806677013788360704";https://twitter.com/BarProse/status/806677013788360704
BarProse;2016-12-06 15:16;0;0;"@atlblog is taking a strong position against the CA Bar Examiners. The July 2016 pass rate is certain to shake up the way students #barprep https:// twitter.com/atlblog/status /806190862178852864 …";;@atlblog;#barprep;"806230813008240640";https://twitter.com/BarProse/status/806230813008240640
BarProse;2016-12-05 10:59;0;0;"#ruleoftheday Negligence: (1) Duty, (2) Breach, (3) Causation, (4) Damages. Where would you discuss Negligence Per Se? #barexam #quiz";;;#ruleoftheday #barexam #quiz;"805803740770881536";https://twitter.com/BarProse/status/805803740770881536
BarProse;2016-12-01 10:47;0;1;"This is what the future of essay feedback looks like #ProsePractice #barexam #barprep #edtech #legaltech #legalED #MachineLearning #AI pic.twitter.com/qMVmlERcUj";;;#ProsePractice #barexam #barprep #edtech #legaltech #legalED #MachineLearning #AI;"804351306890522625";https://twitter.com/BarProse/status/804351306890522625
BarProse;2016-11-30 11:29;0;0;"Curious to see how BarProse reviews #baressays ? Start your #freetrial to view a sample essay and submit your own http:// barprose.com/registration?f reetrial …";;;#baressays #freetrial;"803999329778176000";https://twitter.com/BarProse/status/803999329778176000
BarProse;2016-11-29 20:15;0;0;"Our latest blog post will review how to interpret your CA #barexam score sheet http:// barprose.com/blog/post/inte rpreting_your_score_sheet … #prosepractice #barprep #barreview";;;#barexam #prosepractice #barprep #barreview;"803769482652958721";https://twitter.com/BarProse/status/803769482652958721
BarProse;2016-11-27 17:56;1;0;"The first post on our new #blog is live, topic: #CAJuly2016 pass rate http:// barprose.com/blog/post/ca_j uly_2016_bar_exam_results … #barexam #barstats #barprep #IRAC #blogging";;;#blog #CAJuly2016 #barexam #barstats #barprep #IRAC #blogging;"803009578661122048";https://twitter.com/BarProse/status/803009578661122048
BarProse;2016-11-25 16:19;0;0;"Looking for a black Friday deal? BarProse will grade 1 CA Bar essay for free today: http:// barprose.com/registration?f reetrial … #freetrial #cabarexam #bartutor";;;#freetrial #cabarexam #bartutor;"802260346488508416";https://twitter.com/BarProse/status/802260346488508416
BarProse;2016-11-21 12:43;0;1;"Great analysis of the CA Bar results by @atlblog https:// twitter.com/atlblog/status /800750356061949956 …";;@atlblog;;"800756645613563904";https://twitter.com/BarProse/status/800756645613563904
BarProse;2016-11-21 11:38;0;0;"July 2016 CA Bar Results released Friday: 43% overall pass rate, 62% Cal ABA first timers http://www. calbar.ca.gov/AboutUs/News/T hisYearsNewsReleases/201645.aspx … #barexam #barprep";;;#barexam #barprep;"800740157129310208";https://twitter.com/BarProse/status/800740157129310208
