username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mcelhinneyjames;2018-12-29 01:05;0;0;"@basiqio how do I go about activating my account for live institutions?";;@basiqio;;"1078894731898187776";https://twitter.com/mcelhinneyjames/status/1078894731898187776
basiqio;2018-12-09 19:01;0;5;"Banks will assess loans using real spending data: Basiq https://www. afr.com/business/banki ng-and-finance/banks-will-assess-loans-using-real-spending-data-basiq-20181206-h18sr2 …";;;;"1071917718775844864";https://twitter.com/basiqio/status/1071917718775844864
stoneandchalk;2018-12-06 22:56;0;0;"Banks will access loans using real spending data @basiqio via @FinancialReview > https://www. afr.com/business/banki ng-and-finance/banks-will-assess-loans-using-real-spending-data-basiq-20181206-h18sr2 … #fintech #startups #scaleups #openbanking #data #datasharing #news";;@basiqio @FinancialReview;#fintech #startups #scaleups #openbanking #data #datasharing #news;"1070889635914477568";https://twitter.com/stoneandchalk/status/1070889635914477568
austfintech;2018-12-06 21:32;0;5;"Banks will assess loans using real spending data: @Basiqio https:// australianfintech.com.au/banks-will-ass ess-loans-using-real-spending-data-basiq/ … #fintech #australianfintech #data #lending";;@Basiqio;#fintech #australianfintech #data #lending;"1070868543544029184";https://twitter.com/austfintech/status/1070868543544029184
OscarHvala;2018-12-06 03:07;0;0;"Start doing this, banks won’t be needed. No one will be able to borrow at all as banks will always go ultra conservative. House Prices will drop but there will be no one around with money to buy. Unintended consequences.";;;;"1070590442842935297";https://twitter.com/OscarHvala/status/1070590442842935297
pbkub;2018-12-06 02:35;0;0;"So past performance is an indicator of future results after all?";;;;"1070582385358454784";https://twitter.com/pbkub/status/1070582385358454784
FinancialReview;2018-12-06 02:30;2;6;"Banks will assesses loans using real spending data: @basiqio http:// bit.ly/2Pl5Ppp #fintech";;@basiqio;#fintech;"1070581104850100225";https://twitter.com/FinancialReview/status/1070581104850100225
stoneandchalk;2018-10-30 23:14;1;6;"@IntersektFest with @moneytreehq #MoneyCatcha @basiqio @TradeVictoria @ausfintech #fintech #panel #Australia #events #conference #Intersekt18 pic.twitter.com/dBiB2jMTr1";;@IntersektFest @moneytreehq @basiqio @TradeVictoria @ausfintech;#MoneyCatcha #fintech #panel #Australia #events #conference #Intersekt18;"1057470748959207424";https://twitter.com/stoneandchalk/status/1057470748959207424
Eccles_Dave;2018-10-29 20:30;0;6;"Open Banking debate @IntersektFest - interesting insights as to the impacts and opportunities of the big banks vs start ups. @NAB @ANZ_AU and @ReinventureFund vs. @mecco_uk @MoneytreeInc and @basiqio pic.twitter.com/L7N1lowYCV";;@IntersektFest @NAB @ANZ_AU @ReinventureFund @mecco_uk @MoneytreeInc @basiqio;;"1057067133459263488";https://twitter.com/Eccles_Dave/status/1057067133459263488
austfintech;2018-10-23 20:15;0;3;"@Verrency adds two more partners – @BasiqIO and Pulse iD – to enable financial data aggregation and geolocation services to be easily accessed by banks. https:// australianfintech.com.au/verrency-adds- two-partners-basiq-pulse-id-enable-financial-data-aggregation-geolocation-services-easily-accessed-banks/ … #fintech #australianfintech #data #dataaggregation #geolocationservices #banking";;@Verrency @BasiqIO;#fintech #australianfintech #data #dataaggregation #geolocationservices #banking;"1054889119954886657";https://twitter.com/austfintech/status/1054889119954886657
verrency;2018-10-23 17:56;1;3;"Pleased to announce our partnership w/ @Basiqio & Pulse iD! The deal will enable Basiq & Pulse iD to easily distribute their financial data aggregation & geolocation services to global financial institutions via Verrency’s integration platform. https:// prn.to/2D1SgcG #Money2020 pic.twitter.com/SfbCXpDeSX";;@Basiqio;#Money2020;"1054854037676318721";https://twitter.com/verrency/status/1054854037676318721
ReinventureFund;2018-10-18 01:58;1;6;"Some more @IntersektFest highlights - don't miss our portfolio family members @basiqio @BRICKX @InDebtedHQ sharing their perspectives on #openbanking #data #proptech #debttech and more! Check out the full program here: https://www. intersektfestival.com/agenda";;@IntersektFest @basiqio @BRICKX @InDebtedHQ;#openbanking #data #proptech #debttech;"1052801068646596608";https://twitter.com/ReinventureFund/status/1052801068646596608
crowie89;2018-10-15 23:05;1;2;"The Era Of Open APIs with @basiqio @Yodlee @ashurst @meeco chaired by @VSL_Pearce #fintechsummit2018 #fintechaus #fintech pic.twitter.com/oUuyZuC0wD";;@basiqio @Yodlee @ashurst @meeco @VSL_Pearce;#fintechsummit2018 #fintechaus #fintech;"1052032637068427264";https://twitter.com/crowie89/status/1052032637068427264
airtreevc;2018-10-07 18:38;0;4;"Looking fwd to joining a stellar line-up (cc. @brighteAU , @AfterPayAU , @xinjamoney , @AthenaHomeLoans , @basiqio , @Yodlee + plenty more) at the 5th Annual Fintech Summit, 16 Oct in SYD - http:// fintechsummit.com.au / - great opp for those redefining FS sector in AUS to get together!";;@brighteAU @AfterPayAU @xinjamoney @AthenaHomeLoans @basiqio @Yodlee;;"1049066352319717376";https://twitter.com/airtreevc/status/1049066352319717376
ReinventureFund;2018-09-17 19:08;0;0;"Partnering with @verrency , @basiqio is helping banks store enhanced transaction data, allowing them to deliver more innovative, personalised offerings https:// twitter.com/basiqio/status /1041517216708026369 …";;@verrency @basiqio;;"1041826129944956928";https://twitter.com/ReinventureFund/status/1041826129944956928
austfintech;2018-09-17 01:46;0;2;"@BasiqIO and @Verrency partner to enable banks to drastically improve the quality of their #data https:// australianfintech.com.au/basiq-verrency -enable-banks-drastically-improve-quality-data/ … #fintech #australianfintech";;@BasiqIO @Verrency;#data #fintech #australianfintech;"1041564087879032832";https://twitter.com/austfintech/status/1041564087879032832
stoneandchalk;2018-09-17 00:54;0;2;"@basiqio + @verrency have joined forces to help banks store clean, categorised and enhanced transaction data, all in real-time, at point of purchase #future #partnerships #fintech #startups #news https:// blog.basiq.io/basiq-and-verr ency-partner-to/ … pic.twitter.com/sWp0Rwdpud";;@basiqio @verrency;#future #partnerships #fintech #startups #news;"1041550983929556993";https://twitter.com/stoneandchalk/status/1041550983929556993
basiqio;2018-09-16 22:40;4;10;"Basiq and Verrency have joined forces to enable banks to store clean, categorised and enhanced transaction data - in real-time, at point of purchase. This will uncover new opportunities for banks downstream. https:// blog.basiq.io/basiq-and-verr ency-partner-to/ …";;;;"1041517216708026369";https://twitter.com/basiqio/status/1041517216708026369
