username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
instigating;2018-12-30 16:12;1;3;"Boom! #AI is expanding its reach (geo & industry), learning fast, of political consequence & mostly male @techreview @elenalfaro @tabithagold @ladyniasan @jase @getBellwethr @mbauwens @meedabyte @AlbertCanig @lesamitchell @njbowden @LedaGlyptis @otherlab https://www. technologyreview.com/s/612582/data- that-illuminates-the-ai-boom/amp/ …";;@techreview @elenalfaro @tabithagold @ladyniasan @jase @getBellwethr @mbauwens @meedabyte @AlbertCanig @lesamitchell @njbowden @LedaGlyptis @otherlab;#AI;"1079485525923254272";https://twitter.com/instigating/status/1079485525923254272
instigating;2018-12-16 16:20;0;4;"Data makes things #visible then actionable. This applies to #traffic but what abt #governance + #cybersecurity !! @apolitical @Worldsensing @rmchase @CarloRatti @fabiengirardin @getBellwethr @mtravizano @njbowden @elenalfaro @CityLab http://www. bbc.com/future/story/2 0181212-can-artificial-intelligence-end-traffic-jams …";;@apolitical @Worldsensing @rmchase @CarloRatti @fabiengirardin @getBellwethr @mtravizano @njbowden @elenalfaro @CityLab;#visible #traffic #governance #cybersecurity;"1074413904564936704";https://twitter.com/instigating/status/1074413904564936704
instigating;2018-12-14 11:51;1;6;"New mission statement: @patagonia is in business to save our home #planet @yvonchouinard using business to move us together urgently #Climate @e2org @NRDC @techstars @lesamitchell @wattbuy @getBellwethr @platformcoop @javicreus @TreborS @ntnsndr @rmchase https://www. fastcompany.com/90280950/exclu sive-patagonia-is-in-business-to-save-our-home-planet …";;@patagonia @yvonchouinard @e2org @NRDC @techstars @lesamitchell @wattbuy @getBellwethr @platformcoop @javicreus @TreborS @ntnsndr @rmchase;#planet #Climate;"1073621434549776386";https://twitter.com/instigating/status/1073621434549776386
instigating;2018-12-14 09:47;3;11;"Leading your company into the world of #AI a playbook by a master teacher, @AndrewYNg @elenalfaro @javicreus @lesamitchell @getBellwethr @mbauwens @davidbrear @ladyniasan @jase @LedaGlyptis @rosco_methven @Derek_j_white @TreborS @ntnsndr #gift #platform https:// landing.ai/ai-transformat ion-playbook/ …";;@AndrewYNg @elenalfaro @javicreus @lesamitchell @getBellwethr @mbauwens @davidbrear @ladyniasan @jase @LedaGlyptis @rosco_methven @Derek_j_white @TreborS @ntnsndr;#AI #gift #platform;"1073590329142439936";https://twitter.com/instigating/status/1073590329142439936
instigating;2018-12-09 11:03;0;3;"Predicted growth in use of #AI predictive analytics in #drug discovery @getBellwethr @lesamitchell @fabiengirardin @elenalfaro @tabithagold @cognition_x @EskoKilpi ht @pevans_c https://www. prnewswire.com/news-releases/ cloud-based-drug-discovery-platform-market-to-reach-us-43235-million-by-2025---persistence-market-research-656341793.html …";;@getBellwethr @lesamitchell @fabiengirardin @elenalfaro @tabithagold @cognition_x @EskoKilpi @pevans_c;#AI #drug;"1071797497645826048";https://twitter.com/instigating/status/1071797497645826048
instigating;2018-12-08 16:29;2;1;"Talent magnet, synthesizer & enlightened #AI decoder ring, @tabithagold shares insights via @cognition_x with @susannahbutter @LiamABlack @GOVUK @black_in_ai @elenalfaro @mbauwens @BBVAData @getBellwethr @RobynScott @EskoKilpi @KhalidiAlmadani https://www. standard.co.uk/lifestyle/lond on-life/the-female-tech-entrepreneur-thats-propelling-londons-ai-revolution-a3542096.html …";;@tabithagold @cognition_x @susannahbutter @LiamABlack @GOVUK @black_in_ai @elenalfaro @mbauwens @BBVAData @getBellwethr @RobynScott @EskoKilpi @KhalidiAlmadani;#AI;"1071517110507982848";https://twitter.com/instigating/status/1071517110507982848
instigating;2018-12-07 21:21;1;3;"5 distressing trends in #AI : decoupling consequences of design from designers; surveillance (loss of privacy/freedoms) & more. Timely issues to address. #ethics @elenalfaro @black_in_ai @UNGlobalPulse @LedaGlyptis @lesamitchell @getBellwethr @tabithagold https:// gizmodo.com/the-five-most- worrying-trends-in-artificial-intelligenc-1830945466/amp …";;@elenalfaro @black_in_ai @UNGlobalPulse @LedaGlyptis @lesamitchell @getBellwethr @tabithagold;#AI #ethics;"1071228367100243968";https://twitter.com/instigating/status/1071228367100243968
mr_salina;2018-11-27 12:27;2;2;"Looking forward to this event next Wednesday. The guest speaker, Matt Moody, is presenting on his company @getBellwethr & the technologies they use for business applications. Churn predictions & machine learning are just a couple of the items they offer. https://www. eventbrite.com/e/startup-sali na-morning-meetup-december-2018-tickets-53062116218?aff=efbeventtix&fbclid=IwAR0GDHWEP240G6WOActZp1pUlrADmZH10ZOsy08nsdVfwviCw4MNFnqtbCs …";;@getBellwethr;;"1067469941090250752";https://twitter.com/mr_salina/status/1067469941090250752
instigating;2018-11-10 22:07;2;9;"Succinct: an #algorithm is an opinion buried in math. (aka code) @elenalfaro @theRSAorg @cognition_x @BBVAData @j_murillo_arias @JC2go @davidbrear @LedaGlyptis @sytaylor @lesamitchell @getBellwethr @mtravizano @WibsonOrg https:// m.youtube.com/watch?v=heQzqX 35c9A&feature=youtu.be …";;@elenalfaro @theRSAorg @cognition_x @BBVAData @j_murillo_arias @JC2go @davidbrear @LedaGlyptis @sytaylor @lesamitchell @getBellwethr @mtravizano @WibsonOrg;#algorithm;"1061455375319228416";https://twitter.com/instigating/status/1061455375319228416
instigating;2018-11-01 10:45;3;4;"Data for Good, the role of Data Philanthropy & improving impact for society as a whole, @elenalfaro shares insights from @UN 2018 Data Forum @BBVAData @Derek_j_white @mbauwens @lesamitchell @getBellwethr @cognition_x @apoliticalco @jase @datacommons https://www. bbva.com/en/opinion/why -is-the-data-revolution-failing-to-make-good-on-its-promise-to-make-a-difference/ …";;@elenalfaro @UN @BBVAData @Derek_j_white @mbauwens @lesamitchell @getBellwethr @cognition_x @apoliticalco @jase @datacommons;;"1058007193159557120";https://twitter.com/instigating/status/1058007193159557120
instigating;2018-10-29 10:25;2;4;"What if using #AI meant doctors have more patient time? @elenalfaro @mbauwens @j_murillo_arias @tabithagold @getBellwethr @ACLU @lesamitchell @apoliticalco https://www. technologyreview.com/s/612277/ai-ca nt-replace-doctors-but-it-can-make-them-better/ …";;@elenalfaro @mbauwens @j_murillo_arias @tabithagold @getBellwethr @ACLU @lesamitchell @apoliticalco;#AI;"1056915045937016832";https://twitter.com/instigating/status/1056915045937016832
instigating;2018-10-29 10:15;1;1;"When #machinelearning = spreading #prejudice @JanelleCShane shares her work. @elenalfaro @j_murillo_arias @tabithagold @cognition_x @mbauwens @getBellwethr @lesamitchell @ladyniasan @LedaGlyptis @black_in_ai @apoliticalco @jase @ACLU @nytimes #AI https://www. nytimes.com/interactive/20 18/10/26/opinion/halloween-spooky-costumes-machine-learning-generator.html?smid=tw-share …";;@JanelleCShane @elenalfaro @j_murillo_arias @tabithagold @cognition_x @mbauwens @getBellwethr @lesamitchell @ladyniasan @LedaGlyptis @black_in_ai @apoliticalco @jase @ACLU @nytimes;#machinelearning #prejudice #AI;"1056912373729112064";https://twitter.com/instigating/status/1056912373729112064
Selina_Marshall;2018-10-25 11:40;0;4;"Love this!! Already miss you all!";;;;"1055484263049715713";https://twitter.com/Selina_Marshall/status/1055484263049715713
lesamitchell;2018-10-24 01:26;4;28;"So happy and lucky to work with such great founders. Hearts and heads! @solofunds @noviquapp @qwyk_io @wattbuy @SDSdetects @dauplerinc @townfolio @EdSights_ @getBellwethr @health_sara @techstars #FounderCon pic.twitter.com/EowBh9INoO";;@solofunds @noviquapp @qwyk_io @wattbuy @SDSdetects @dauplerinc @townfolio @EdSights_ @getBellwethr @health_sara @techstars;#FounderCon;"1054967395469746176";https://twitter.com/lesamitchell/status/1054967395469746176
lesamitchell;2018-10-22 21:17;1;7;"Hey mr @getBellwethr #foundercon pic.twitter.com/9ajjlU1YK2";;@getBellwethr;#foundercon;"1054542211168186368";https://twitter.com/lesamitchell/status/1054542211168186368
instigating;2018-10-21 05:23;0;7;"5 #AI experts in their own words #design @yvesbehar @fuseproject @tabithagold @elenalfaro @UNGlobalPulse @BBVAData @fabiengirardin @getBellwethr @lesamitchell @cognition_x @Derek_j_white @zeekay @davidbrear @LedaGlyptis https://www. google.com/amp/s/www.nyti mes.com/2018/10/19/business/five-artificial-intelligence-insiders-in-their-own-words.amp.html …";;@yvesbehar @fuseproject @tabithagold @elenalfaro @UNGlobalPulse @BBVAData @fabiengirardin @getBellwethr @lesamitchell @cognition_x @Derek_j_white @zeekay @davidbrear @LedaGlyptis;#AI #design;"1053939754293616640";https://twitter.com/instigating/status/1053939754293616640
instigating;2018-10-21 02:16;0;0;"Good piece re #collaboration of humans & #AI building capacity & shared learning. HT @harmenvs @sharingcity @Shareable @BBVAData @mbauwens @javicreus @cognition_x @tabithagold @apoliticalco @black_in_ai @lesamitchell @getBellwethr https://www. ft.com/content/bcd81a 88-cadb-11e8-b276-b9069bde0956 …";;@harmenvs @sharingcity @Shareable @BBVAData @mbauwens @javicreus @cognition_x @tabithagold @apoliticalco @black_in_ai @lesamitchell @getBellwethr;#collaboration #AI;"1053892785735168000";https://twitter.com/instigating/status/1053892785735168000
matmoody;2018-10-19 23:14;0;0;"Thank you! Glad I could help. If any more questions pop up feel free to give me a shout!";;;;"1053484508023046144";https://twitter.com/matmoody/status/1053484508023046144
k7vin;2018-10-19 21:04;0;11;"Best thing about @techstars is the network. You have a question, most probably another founder went through the experience as well, you just need to call and 10min later you've everything you need to know - thank you @matmoody & congrats w/ @getBellwethr ;)";;@techstars @matmoody @getBellwethr;;"1053451870126071810";https://twitter.com/k7vin/status/1053451870126071810
instigating;2018-10-19 07:44;1;2;"More diverse ecosystems, greater learning. Businesses & countries w weak #data protection = bad partners in #datasharing #Japan steps up. @FujitsuAmerica @BBVAData @elenalfaro @lesamitchell @getBellwethr @mbauwens @apoliticalco @Derek_j_white https:// asia.nikkei.com/Politics/Inter national-Relations/US-Japan-EU-to-form-alliance-in-data-battle-with-China …";;@FujitsuAmerica @BBVAData @elenalfaro @lesamitchell @getBellwethr @mbauwens @apoliticalco @Derek_j_white;#data #datasharing #Japan;"1053250547371913216";https://twitter.com/instigating/status/1053250547371913216
zachpettet;2018-10-18 21:30;0;1;"You’re welcome at @fountaincityft anytime. I’m sure a few of the founders would benefit from learning about @getBellwethr . Holla.";;@fountaincityft @getBellwethr;;"1053096015996338176";https://twitter.com/zachpettet/status/1053096015996338176
getBellwethr;2018-10-14 21:35;8;11;"Checkout the Bellwethr demo at #TechstarsKC Demo Day https://www. youtube.com/watch?v=jRq9nZ TRMgU …";;;#TechstarsKC;"1051647605112037376";https://twitter.com/getBellwethr/status/1051647605112037376
JasonBates;2018-10-13 12:18;0;0;"Thanks Lisa";;;;"1051145162724962305";https://twitter.com/JasonBates/status/1051145162724962305
instigating;2018-10-13 11:42;1;5;"Of all the shoulder to stand on... @JasonBates is perfect #mentor & tour guide for design & growing #digital products & experiences! #birdseyeview @monzo @StarlingBank @rosco_methven @j_murillo_arias @traity @wattbuy @turo @zeekay @getBellwethr @lesamitchell @mtravizano @jase https:// twitter.com/davidbrear/sta tus/1051037611249360896 …";;@JasonBates @monzo @StarlingBank @rosco_methven @j_murillo_arias @traity @wattbuy @turo @zeekay @getBellwethr @lesamitchell @mtravizano @jase;#mentor #digital #birdseyeview;"1051136211635466240";https://twitter.com/instigating/status/1051136211635466240
