username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BeyourselfApp;2018-12-04 06:01;0;0;"@101bestandroids Hello guys, your website has a problem in the submission form, we would like to send our app for review. Tks https://www. beyourself.io /";;@101bestandroids;;"1069909458137047042";https://twitter.com/BeyourselfApp/status/1069909458137047042
BeyourselfApp;2018-11-07 11:12;0;1;"Get App FREE on Play Store - Beyourself App - https:// play.google.com/store/apps/det ails?id=com.beyourselfapp … #Beyourself #Technology #AI #Science #BigData #Marketing #iOS #Android #Mobile #Video #Design #Innovation #Startup #Blockchain #NowPlaying #HowTo #Tech pic.twitter.com/PY15LcW5Dq";;;#Beyourself #Technology #AI #Science #BigData #Marketing #iOS #Android #Mobile #Video #Design #Innovation #Startup #Blockchain #NowPlaying #HowTo #Tech;"1060203413605154816";https://twitter.com/BeyourselfApp/status/1060203413605154816
BeyourselfApp;2018-11-07 11:10;1;2;"Get App FREE on Play Store - Beyourself App - https:// play.google.com/store/apps/det ails?id=com.beyourselfapp … - #Beyourself #Technology #AI #Science #BigData #Marketing #iOS #Android #Mobile #Video #Design #Innovation #Startup #Blockchain #NowPlaying #HowTo #Tech";;;#Beyourself #Technology #AI #Science #BigData #Marketing #iOS #Android #Mobile #Video #Design #Innovation #Startup #Blockchain #NowPlaying #HowTo #Tech;"1060202907721781248";https://twitter.com/BeyourselfApp/status/1060202907721781248
BeyourselfApp;2018-11-01 20:08;0;0;"Beyourself Settings (Behind the Mind) Map http:// goo.gl/tB9bJ8 pic.twitter.com/2hpzf9Ob09";;;;"1058148720829710338";https://twitter.com/BeyourselfApp/status/1058148720829710338
BeyourselfApp;2018-11-01 19:08;0;0;"Beyourself Menu Map http:// goo.gl/CSSBmW pic.twitter.com/92PBw1RtAo";;;;"1058133613328453632";https://twitter.com/BeyourselfApp/status/1058133613328453632
BeyourselfApp;2018-10-31 17:52;0;1;"Hi @avinaba_mitra , we submit to @beta_page check this out https:// betapage.co/startup/beyour self …";;@avinaba_mitra @beta_page;;"1057752136447156225";https://twitter.com/BeyourselfApp/status/1057752136447156225
BeyourselfApp;2018-10-31 16:24;0;1;"Beyourself @AngelList https:// angel.co/projects/84734 5-beyourself-apps-on-google-play?src=share_link …";;@AngelList;;"1057729936323162112";https://twitter.com/BeyourselfApp/status/1057729936323162112
BeyourselfApp;2018-10-31 15:03;0;1;"Beyourself on @beta_page https:// betapage.co/startup/beyour self …";;@beta_page;;"1057709695086010368";https://twitter.com/BeyourselfApp/status/1057709695086010368
BeyourselfApp;2018-10-30 19:57;2;1;"Beyourself Settings (Behind the Mind) Map https://www. beyourself.io/beyourself-set tings-behind-the-mind-map/ … #Beyourself #app #ai #artificialintelligence #deeplearning #machinelearning #bigdata #startup #memories #aimind #socialmedia #cloudstorage #virtualassistant #smartservices pic.twitter.com/HVFZiWhMHG";;;#Beyourself #app #ai #artificialintelligence #deeplearning #machinelearning #bigdata #startup #memories #aimind #socialmedia #cloudstorage #virtualassistant #smartservices;"1057421177315045377";https://twitter.com/BeyourselfApp/status/1057421177315045377
BeyourselfApp;2018-10-29 16:56;6;6;"Beyourself Profile Map https://www. beyourself.io/beyourself-pro file-map/ … #Beyourself #app #ai #artificialintelligence #deeplearning #machinelearning #bigdata #startup #memories #aimind #socialmedia #cloudstorage #virtualassistant #smartservices pic.twitter.com/u1tPKDpzqK";;;#Beyourself #app #ai #artificialintelligence #deeplearning #machinelearning #bigdata #startup #memories #aimind #socialmedia #cloudstorage #virtualassistant #smartservices;"1057013259906228226";https://twitter.com/BeyourselfApp/status/1057013259906228226
