username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bicedeep;2018-01-12 20:02;0;1;"Bicedeep AI FAQ Page: https:// bicedeepai.com/Landing/faq #AI #DeepLearning #BigData #MachineLearning #DataScience";;;#AI #DeepLearning #BigData #MachineLearning #DataScience;"951982646627778562";https://twitter.com/bicedeep/status/951982646627778562
icezzzz;2017-11-22 10:34;0;1;"https:// futurism.com/first-time-rob ot-passed-medical-licensing-exam/ … #AI #BigData @bicedeep";;@bicedeep;#AI #BigData;"933358128640548865";https://twitter.com/icezzzz/status/933358128640548865
bicedeep;2017-11-19 15:16;6;2;"Bicedeep AI API Python Client is ready: https:// github.com/Bicedeep/Biced eepAiApiPythonClient … #AI #DeepLearning #BigData #MachineLearning #python #DataScience";;;#AI #DeepLearning #BigData #MachineLearning #python #DataScience;"932341864824532992";https://twitter.com/bicedeep/status/932341864824532992
bicedeep;2017-11-01 10:30;0;0;"Now you can create query files and process millions of queries in mins -> http:// bicedeep.com #AI #DataScience #BigData #DeepLearning";;;#AI #DataScience #BigData #DeepLearning;"925731666097819648";https://twitter.com/bicedeep/status/925731666097819648
mavenblog;2017-10-02 07:58;0;0;"@bicedeep Hi! Check our blueprint to a successful online business http:// startgrowsucceed.com/start9";;@bicedeep;;"914821943018311681";https://twitter.com/mavenblog/status/914821943018311681
bicedeep;2017-10-01 18:04;0;0;"Our Rank is increasing http://www. startupranking.com/bicedeep #AI #DataScience #BigData #DeepLearning";;;#AI #DataScience #BigData #DeepLearning;"914611897860788224";https://twitter.com/bicedeep/status/914611897860788224
bicedeep;2017-09-17 06:53;0;0;"Find your next great career opportunity at Bicedeep, Inc. https://www. indeedjobs.com/bicedeep-inc/_ hl/en_US …";;;;"909369687242428417";https://twitter.com/bicedeep/status/909369687242428417
timebloggers;2017-09-15 13:59;0;0;"@bicedeep Thanks for the follow! Here’s our blueprint to a successful lifestyle business http:// startgrowsucceed.com/begin5";;@bicedeep;;"908752243654086656";https://twitter.com/timebloggers/status/908752243654086656
bicedeep;2017-09-15 13:01;0;2;"bicedeep ( @bicedeep ) is hiring a Marketing, Sales Co-founder in San Francisco, Seattle, California! Apply now! https:// angel.co/l/22Mszj";;@bicedeep;;"908737662512779265";https://twitter.com/bicedeep/status/908737662512779265
bicedeep;2017-09-09 12:57;0;0;"A new release : http:// bicedeepai.com";;;;"906562179553484801";https://twitter.com/bicedeep/status/906562179553484801
TheBookDistrict;2017-08-30 01:42;0;0;"hey @bicedeep <------- you are awesome!";;@bicedeep;;"902768492092547077";https://twitter.com/TheBookDistrict/status/902768492092547077
bicedeep;2017-08-28 16:46;0;2;"We have updated our crunchbase profile: https://www. crunchbase.com/organization/b icedeep …";;;;"902271239015858178";https://twitter.com/bicedeep/status/902271239015858178
bicedeep;2017-08-23 11:26;0;0;"bicedeep linkedin page: https://www. linkedin.com/company/bicede ep …";;;;"900378634137022468";https://twitter.com/bicedeep/status/900378634137022468
bicedeep;2017-08-22 09:34;0;0;"bicedeep process summary video: https://www. youtube.com/watch?v=GtDQcn eOWlM …";;;;"899988022149644289";https://twitter.com/bicedeep/status/899988022149644289
bicedeep;2017-08-16 08:03;0;0;"New facebook page: https://www. facebook.com/bicedeep/";;;;"897790995080851457";https://twitter.com/bicedeep/status/897790995080851457
bicedeep;2017-08-06 14:10;0;1;"https:// deepmind.com/blog/ai-and-ne uroscience-virtuous-circle …";;;;"894259409479774212";https://twitter.com/bicedeep/status/894259409479774212
bicedeep;2017-08-01 14:53;0;0;"Face it, AI is better at data-analysis than humans https:// tnw.to/2v4xjK0";;;;"892458345713602561";https://twitter.com/bicedeep/status/892458345713602561
bicedeep;2017-06-24 11:08;0;0;"https:// bicedeep.com";;;;"878631007846584320";https://twitter.com/bicedeep/status/878631007846584320
bicedeep;2017-06-24 11:04;0;0;"Hello Twitter! #myfirstTweet";;;#myfirstTweet;"878629962294677504";https://twitter.com/bicedeep/status/878629962294677504
