username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Luxfactorycom;2018-12-06 05:31;12;10;"J-32 before CES 2019 LV! ARE YOU CES READY? https://www. youtube.com/watch?v=POZVR6 BRSA0 … @koosmik @CarVROOM2 @skeeledHR @crowdaa_music @teambimy @AtisNetwork @Artdesignpaint2 @Coinplus_SA @LuxAI_SA @vmullerdesigner @scrybto @mysardines @SYDLuxembourg @yatta @mudesign @jerlegrand pic.twitter.com/atjYuH3iKS";;@koosmik @CarVROOM2 @skeeledHR @crowdaa_music @teambimy @AtisNetwork @Artdesignpaint2 @Coinplus_SA @LuxAI_SA @vmullerdesigner @scrybto @mysardines @SYDLuxembourg @yatta @mudesign @jerlegrand;;"1070626818871443456";https://twitter.com/Luxfactorycom/status/1070626818871443456
teambimy;2018-12-02 09:40;0;1;"Learn the story behind "BIM-Y partira au CES 2019 avec le Luxembourg" and help us meet our goal. @indiegogo https:// igg.me/at/bimy";;@indiegogo;;"1069239836949864450";https://twitter.com/teambimy/status/1069239836949864450
PwC_Luxembourg;2018-11-29 06:52;3;3;"How to maintain old #buildings ? How to manage existing properties ? That’s what @teambimy ’s solution does! A picture-based solution, Its #software links technicians, manufacturers and property managers, explains Thouraya Meftah. #repwcl pic.twitter.com/QddIXmhruE";;@teambimy;#buildings #software #repwcl;"1068110530211180545";https://twitter.com/PwC_Luxembourg/status/1068110530211180545
teambimy;2018-11-23 07:01;0;1;"10 Startups Shaping The Future of Smart Cities https://www. siliconluxembourg.lu/10-startups-sh aping-the-future-of-smart-cities/ …";;;;"1065938423314300928";https://twitter.com/teambimy/status/1065938423314300928
teambimy;2018-11-21 04:42;0;2;"Take a look on the page 24/25 @teambimy https://www. calameo.com/read/005458769 73ca56900475 …";;@teambimy;;"1065178661438013440";https://twitter.com/teambimy/status/1065178661438013440
teambimy;2018-11-14 15:25;0;2;"Merci à tous les visiteurs du BIMLUX 2018 de la part de @teambimy pic.twitter.com/LZuz2yXxJC";;@teambimy;;"1062803687012294660";https://twitter.com/teambimy/status/1062803687012294660
teambimy;2018-11-13 09:30;0;0;"BIMLUX 2018 ouvrira ses portes demain à partir de 9H00 à la Maison du Savoir. Venez nombreux visiter notre stand (N°7) et découvrir nos solutions BIM pour les bâtiments existants. #bim #luxembourg #madeinluxembourg #scantobim pic.twitter.com/NsLaLi82Nq";;;#bim #luxembourg #madeinluxembourg #scantobim;"1062352089718931458";https://twitter.com/teambimy/status/1062352089718931458
AptiSkills;2018-11-09 09:47;0;2;"@teambimy accélère la #digitalisation des bâtiments https:// bit.ly/2JQPUya via @Paperjam_lu #BIM #BTP #TransitionNumerique pic.twitter.com/zo7cF0iPzi";;@teambimy @Paperjam_lu;#digitalisation #BIM #BTP #TransitionNumerique;"1060906697101922304";https://twitter.com/AptiSkills/status/1060906697101922304
teambimy;2018-11-06 06:47;0;3;"Découvrez l'interview de Thouraya MEFTAH, co-fondatrice de @teambimy , pour la chaine économique tunisienne Arriyeda TV lors du salon BatiMaghreb 2018. #tunisie #maghreb #bim #arriyedatv https:// vimeo.com/299196786";;@teambimy;#tunisie #maghreb #bim #arriyedatv;"1059774342391828480";https://twitter.com/teambimy/status/1059774342391828480
teambimy;2018-11-05 08:28;0;1;"Retrouvez-nous sur le stand N°7 au BIMLUX 2018 le 14 novembre 2018. Venez découvrir ou redécouvrir nos solutions BIM pour les bâtiments existants.";;;;"1059437316538884096";https://twitter.com/teambimy/status/1059437316538884096
teambimy;2018-11-05 06:26;0;1;"BIMLUX 2018 https://www. bim-y.com/event/2018/11/ 14/bimlux-2018 …";;;;"1059406694625800194";https://twitter.com/teambimy/status/1059406694625800194
teambimy;2018-10-25 05:21;0;1;"@teambimy sélectionnée par @paperJam_lu et un panel de 11 experts comme l'une des 50 Startups à suivre pour l'année 2019 !! Après sa sélection pour partir au @CES 2019 à Las Vegas, c'est une très belle fin d'année pour BIM-Y ! http:// paperjam.lu/news/bim-y #bim #luxembourg #startup";;@teambimy @paperJam_lu @CES;#bim #luxembourg #startup;"1055388822274560001";https://twitter.com/teambimy/status/1055388822274560001
teambimy;2018-10-24 10:04;0;2;"Nous invitons tous nos amis et partenaires tunisiens à venir assister à cette conférence qui vous donnera une nouvelle perspective pour l’accès au BIM pour les bâtiments existants. @teambimy #BIM #ScanToBIM #Tunisie pic.twitter.com/egJMGJG4kH";;@teambimy;#BIM #ScanToBIM #Tunisie;"1055097727003099136";https://twitter.com/teambimy/status/1055097727003099136
