username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PRNewswireIL;2018-12-18 16:43;0;0;"#KPMG & http:// Binah.ai #Partner to Solve #Business #Challenges for #Financial #Institutions http:// ow.ly/RVzX30n2kzk @binah_ai";;@binah_ai;#KPMG #Partner #Business #Challenges #Financial #Institutions;"1075144605417508865";https://twitter.com/PRNewswireIL/status/1075144605417508865
bigdatatokyo;2018-10-23 23:14;4;1;""Binah took the hard path and implemented it's own mathematical backend" @binah_ai @dmaman #DeepLearning #Tokyo #ILS #InnovationLeaderSummit #MachineLearning #DataAnalytics #AI pic.twitter.com/VjvdsZtJCA";;@binah_ai @dmaman;#DeepLearning #Tokyo #ILS #InnovationLeaderSummit #MachineLearning #DataAnalytics #AI;"1054934049750376449";https://twitter.com/bigdatatokyo/status/1054934049750376449
bigdatatokyo;2018-10-23 23:07;0;0;"@binah_ai の創業者CEO/CTO デイビッド・ママン氏。信号処理とAI技術を組み合わせて #ビッグデータ からノイズを除去し必要なデータのみを残す技術について講演中です。 #ILS2018 #人工知能 pic.twitter.com/G0usWT49VP";;@binah_ai;# #ILS2018 #;"1054932307151224833";https://twitter.com/bigdatatokyo/status/1054932307151224833
bigdatatokyo;2018-10-23 23:05;1;2;"David Maman from @binah_ai shows how AI, machine- and deep-learning-based system turns business hypotheses and operational questions into actionable intelligence. "We sell accuracy" @dmaman #ai #DeepLearning #tokyo #ils #innovationleadersummit #MachineLearning #DataAnalytics";;@binah_ai @dmaman;#ai #DeepLearning #tokyo #ils #innovationleadersummit #MachineLearning #DataAnalytics;"1054931825779388417";https://twitter.com/bigdatatokyo/status/1054931825779388417
bigdatatokyo;2018-10-23 21:34;2;7;"We are ready to welcome you in 1h to hear entrepreneurs from overseas talk about how industries are being transformed today by A.I. #tokyo #ils #innovationsummit #toranomonhills #ai @basistechnology @diffeo @Tamr_Inc @LuminosoInsight @ThriveBio @binah_ai @PolySwarm @konasearch pic.twitter.com/ZZpO729mqk";;@basistechnology @diffeo @Tamr_Inc @LuminosoInsight @ThriveBio @binah_ai @PolySwarm @konasearch;#tokyo #ils #innovationsummit #toranomonhills #ai;"1054908940759101441";https://twitter.com/bigdatatokyo/status/1054908940759101441
bigdatatokyo;2018-10-22 21:11;2;5;"First day of exhibitions yesterday at ILS included @LuminosoInsight demo on #datadiscovery and @diffeo #aiassistant . Today's BDAT booth (Hall A1, booth G12 and G13) joins @binah_ai , @konasearch and DouZen. pic.twitter.com/t0KzTCy4f1";;@LuminosoInsight @diffeo @binah_ai @konasearch;#datadiscovery #aiassistant;"1054540904151699458";https://twitter.com/bigdatatokyo/status/1054540904151699458
BO_I_T;2018-10-18 03:37;0;1;"Organisiert von @business_ruhr haben wir und andere Vertreter aus der Region das israelische Unternehmen http:// binah.ai @binah_ai getroffen. Ein spannender Austausch! https://www. youtube.com/watch?v=uXf9oy pnB3k&feature=youtu …";;@business_ruhr @binah_ai;;"1052825869788446721";https://twitter.com/BO_I_T/status/1052825869788446721
binah_ai;2018-08-28 09:31;0;0;"New Blog Post: Think Small http://www. binah.ai/think-small/";;;;"1034433202239270912";https://twitter.com/binah_ai/status/1034433202239270912
binah_ai;2018-08-14 09:47;0;2;"Exciting times! http:// binah.ai won the 1st place at the Shenzhen Nanshan “Entrepreneurship Star” Contest in Israel, out of doze finalists! Winning a money prize as well as an opportunity to win at the Global competition. 4th first place win in row! pic.twitter.com/WSJNGqkcf7";;;;"1029363859843416065";https://twitter.com/binah_ai/status/1029363859843416065
binah_ai;2018-07-24 05:59;0;1;"http:// Binah.ai won the first place at TAU innovation conference startup competition, out of hundreds of startups! Winning US$ 150K and recognition! Thank you everyone! At the picture: Alon Shem-Tov, David Maman, CEO and Itzik Amado from Binah. #ai #binahai pic.twitter.com/sZsH6vDXwE";;;#ai #binahai;"1021696380128120832";https://twitter.com/binah_ai/status/1021696380128120832
