username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AmplifyherVC;2018-12-13 18:08;2;5;"We're taking a brief break from applying Purelll to share how excited we are to back the @WeillCornell Professor & @CornellTechnion PhDs behind @BiotiaNYC - NextGen DNA Sequencing to mitigate infectious diseases in hospitals. https://www. wired.com/story/dna-sequ encing-detect-infectious-disease/?fbclid=IwAR3JLLjJiEnV4YKwL28k9UT2sLJtDvuhCAehqJvHBw3SV9YNPgk7dbPCVkA …";;@WeillCornell @CornellTechnion @BiotiaNYC;;"1073354120587825153";https://twitter.com/AmplifyherVC/status/1073354120587825153
BiotiaNYC;2018-11-27 10:27;1;6;"Excited to be at the HITLAB Innovators Summit today and tomorrow: Come meet and chat with us about our #sequencing and #AI -based solutions against #infectiousdiseases in #hospitals ! #hitlab #digitalhealth #innovation #healthcare #innovators #AMR #technology #HealthTech #nyc pic.twitter.com/mvfzCVRk1H – bei Fordham University Graduate School Of Social Service";;;#sequencing #AI #infectiousdiseases #hospitals #hitlab #digitalhealth #innovation #healthcare #innovators #AMR #technology #HealthTech #nyc;"1067439657477115904";https://twitter.com/BiotiaNYC/status/1067439657477115904
BiotiaNYC;2018-11-26 16:52;4;5;"Come chat with us tonight about #Digitalhealthcare and the future of #patientcare and hospitals at Columbia university. Please register for free at https://www. eventbrite.com/e/november-riv erside-chat-digital-health-tickets-52688877852 … #AI #AR #VR #technology #healthcare #nyc #harlembiospace";;;#Digitalhealthcare #patientcare #AI #AR #VR #technology #healthcare #nyc #harlembiospace;"1067174399764250627";https://twitter.com/BiotiaNYC/status/1067174399764250627
BiotiaNYC;2018-11-20 15:02;0;4;"Hospitals Build Case for Pathogen Sequencing to Track Resistance, Monitor Outbreaks #AMR #HAI #infectiousdiseases #cdiff #microbiome #16S https://www. genomeweb.com/sequencing/hos pitals-build-case-pathogen-sequencing-track-resistance-monitor-outbreaks?utm_source=addthis_shares#.W_Rmyt2Gb7R.twitter …";;;#AMR #HAI #infectiousdiseases #cdiff #microbiome #16S #;"1064972338536550400";https://twitter.com/BiotiaNYC/status/1064972338536550400
MZamkow;2018-10-23 09:53;0;4;"An excellent write up about the DNA sequencing's potential to prevent the spread of infectious diseases https://www. wired.com/story/dna-sequ encing-detect-infectious-disease/ … @BiotiaNYC";;@BiotiaNYC;;"1054732534754525184";https://twitter.com/MZamkow/status/1054732534754525184
BiotiaNYC;2018-10-22 21:41;1;5;"Great article by #Wired about our work against infectious diseases! "DNA Tests Could Help Docs Detect Infectious Diseases Faster" #healthtech #healthcare #biotechnology #sequencing #DNA #infectiousdiseases #nosocomialinfections #AI #startup #NYC @WIRED https://www. wired.com/story/dna-sequ encing-detect-infectious-disease/ …";;@WIRED;#Wired #healthtech #healthcare #biotechnology #sequencing #DNA #infectiousdiseases #nosocomialinfections #AI #startup #NYC;"1054548256414416896";https://twitter.com/BiotiaNYC/status/1054548256414416896
TechnionUSA;2018-10-22 12:58;4;5;"5 Cornell Tech companies to watch: https:// buff.ly/2yUFoAO #TechnionNYC cc @OnSiteIQ @BiotiaNYC #Tatch pic.twitter.com/vRpSWBjg2z";;@OnSiteIQ @BiotiaNYC;#TechnionNYC #Tatch;"1054416805249331200";https://twitter.com/TechnionUSA/status/1054416805249331200
BiotiaNYC;2018-10-21 08:35;0;1;"Bumrungrad International Hospital to pilot AI for pathogen and drug resistance detection | Startup Thailand https://www. startupthailand.org/en/bumrungrad- international-hospital-to-pilot-ai-for-pathogen-and-drug-resistance-detection/#.W8xyhQVTSrE.twitter …";;;#;"1053988141487611904";https://twitter.com/BiotiaNYC/status/1053988141487611904
MountSinai_IP;2018-10-17 11:58;0;3;"Meet the four #startups in the Digital Health Breakthrough Network cohort! https:// goo.gl/vEUYfJ @NYCEDC @HITLABnyc @BiotiaNYC @KnowNOWSTD @OpticSurg @soundmindintel pic.twitter.com/0c66IxAB7v";;@NYCEDC @HITLABnyc @BiotiaNYC @KnowNOWSTD @OpticSurg @soundmindintel;#startups;"1052589678052954118";https://twitter.com/MountSinai_IP/status/1052589678052954118
BiotiaNYC;2018-10-12 13:13;4;5;"https:// tech.cornell.edu/news/runway-st artup-partners-with-hospital-to-pilot-pioneering-pathogen-detection-technology/ …";;;;"1050796663558823937";https://twitter.com/BiotiaNYC/status/1050796663558823937
cornell_tech;2018-10-12 12:21;3;7;"Jacobs Institute Runway Startup @BiotiaNYC partners with Bumrungrad International Hospital to pilot their pathogen and drug resistance detection technology. https:// twitter.com/BiotiaNYC/stat us/1050776112995950592 …";;@BiotiaNYC;;"1050783615502704640";https://twitter.com/cornell_tech/status/1050783615502704640
BiotiaNYC;2018-10-12 11:52;0;3;"Biotia to pilot AI and sequencing-based pathogen and drug resistance detection technology in Bumrungrad International Hospital https://www. technology.org/2018/10/11/bio tia-to-pilot-ai-and-sequencing-based-pathogen-and-drug-resistance-detection-technology-in-bumrungrad-international-hospital/#.W8DDCNSY-wA.twitter … #healthcare #healthtech #NGS";;;# #healthcare #healthtech #NGS;"1050776112995950592";https://twitter.com/BiotiaNYC/status/1050776112995950592
BiotiaNYC;2018-10-12 11:48;1;6;"http://www. sytec.news/robotics/bioti a-to-pilot-ai-and-sequencing-based-pathogen-and-drug-resistance-detection-technology-in-bumrungrad-international-hospital/ … - Biotia to pilot AI and sequencing-based pathogen and drug resistance detection technology in Bumrungrad International Hospital";;;;"1050775190005792769";https://twitter.com/BiotiaNYC/status/1050775190005792769
