username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sevenshapes_7S;2018-11-09 05:56;1;3;"On teste et on apprend face aux Panels-PC de @blackswantec pour rendre un jour la 7-Shapes School totalement utilisable sur écran tactile En attendant ce jour, à vos ordinateurs ! http:// bit.ly/2qC5d4M #testandlearn #seriousgame #leanmanagement #startup #industrie40 pic.twitter.com/hz02YpnKMH";;@blackswantec;#testandlearn #seriousgame #leanmanagement #startup #industrie40;"1060848590468329472";https://twitter.com/sevenshapes_7S/status/1060848590468329472
blackswantec;2017-10-27 16:40;3;6;"CORE (Cloud Outage Risk Engine) Beta sign up opens to finance and insurance companies aiming to structure cloud technology derivatives. pic.twitter.com/zMbzuh8CQP";;;;"924012941619245056";https://twitter.com/blackswantec/status/924012941619245056
blackswantec;2017-10-27 15:27;0;4;"COPA user dashboard makes it easy to visualize cloud performance metrics and payout records when businesses are disrupted by cloud outages. pic.twitter.com/lR14KfZP7i";;;;"923994489357713410";https://twitter.com/blackswantec/status/923994489357713410
StartupRanking;2017-09-27 20:30;0;0;"New Startup: Black Swan Technology - Financial Protection Against Cloud Service Outages @blackswantec http://www. startupranking.com/black-swan-tec hnology …";;@blackswantec;;"913199101432516609";https://twitter.com/StartupRanking/status/913199101432516609
blackswantec;2017-07-19 17:07;2;1;"Insurers claim cyber calamities could cost more than Hurricane Sandy https://www. theregister.co.uk/2017/07/18/cyb er_calamity_costs/ … via @theregister";;@theregister;;"887781051317100544";https://twitter.com/blackswantec/status/887781051317100544
blackswantec;2017-07-19 17:02;0;1;"Global cyber attack could spur $53 billion in losses: Lloyd's of London http:// reut.rs/2utIATp";;;;"887779719596302336";https://twitter.com/blackswantec/status/887779719596302336
blackswantec;2017-07-08 02:17;0;1;"Outages, partnerships claim top AWS news slots http:// searchaws.techtarget.com/feature/Outage s-partnerships-claim-top-AWS-news-slots …";;;;"883570812694839297";https://twitter.com/blackswantec/status/883570812694839297
blackswantec;2017-07-04 00:09;2;3;"Data glitch sets tech company stock prices at $123.47 - The Verge https:// apple.news/A777KF8lHT8ioW XIKocXMeQ …";;;;"882089044049448961";https://twitter.com/blackswantec/status/882089044049448961
blackswantec;2017-07-04 00:08;2;2;"Microsoft could lay off ‘thousands’ as it focuses more on cloud services - The Verge https:// apple.news/AfxNccqbtTWqTG ngFgiwSXg …";;;;"882088774078930945";https://twitter.com/blackswantec/status/882088774078930945
blackswantec;2017-07-03 18:14;3;6;"Check out the June 2017's operational performance summary of major cloud service providers http:// bit.ly/2tjQR9G @cloudstatuseu pic.twitter.com/LqQdlSugQB";;@cloudstatuseu;;"881999524213870592";https://twitter.com/blackswantec/status/881999524213870592
CoachMannyLive;2017-07-02 17:03;0;0;"Hey! Awesome! Thanks for following me @blackswantec !!!! Look forward to checking out your tweets!";;@blackswantec;;"881619276570009601";https://twitter.com/CoachMannyLive/status/881619276570009601
blackswantec;2017-07-01 20:18;1;3;"Rackspace suffers global outage - Telco/ISP - iTnews https://www. itnews.com.au/news/rackspace -suffers-global-outage-467078 …";;;;"881306066662735873";https://twitter.com/blackswantec/status/881306066662735873
blackswantec;2017-06-30 23:37;2;1;"@Rackspace Experiencing email delays on hosted MS Exchange. #CloudComputing http:// bit.ly/JVkCWi pic.twitter.com/lhvH0FalLl";;@Rackspace;#CloudComputing;"880993789413793792";https://twitter.com/blackswantec/status/880993789413793792
blackswantec;2017-06-29 23:51;1;3;"Apple device owners unable to restore from backup as iCloud outage continues http:// iphone.appleinsider.com/articles/17/06 /28/apple-device-owners-unable-to-restore-from-backup-as-icloud-outage-continues …";;;;"880634955176452097";https://twitter.com/blackswantec/status/880634955176452097
blackswantec;2017-06-29 15:19;2;2;"2016: cloud outages destroyed $34B of business value. Learn how COPA can protect your company against financial losses of service failure. pic.twitter.com/RwkDncJXmP";;;;"880506046808154113";https://twitter.com/blackswantec/status/880506046808154113
StartupTracker;2017-06-28 14:06;0;0;"#Startup @blackswantec full profile just crowdsourced! Discover w/ https:// startuptracker.io #Finance #Insurance pic.twitter.com/9lnBM38XlN";;@blackswantec;#Startup #Finance #Insurance;"880125244605964289";https://twitter.com/StartupTracker/status/880125244605964289
blackswantec;2017-06-27 20:12;0;1;"Big thanks to our 1st round maven customers for testing our product! Limited invites going to wave 2 of selected businesses. #CloudComputing pic.twitter.com/HUXGcWOCCi";;;#CloudComputing;"879854963714699264";https://twitter.com/blackswantec/status/879854963714699264
blackswantec;2017-06-27 14:57;0;2;"Partners: Massive RNC Voter Info Data Leak In AWS Highlights Need For Cloud Security Expertise - CRN https:// apple.news/A6BuskmrqP-uD1 O7h8aooeQ …";;;;"879775837318402048";https://twitter.com/blackswantec/status/879775837318402048
blackswantec;2017-06-27 13:58;0;1;"https://www. geekwire.com/2017/global-ra nsomware-attack-spreads-europe/ …";;;;"879760740797759488";https://twitter.com/blackswantec/status/879760740797759488
blackswantec;2017-06-25 23:48;4;3;"MS Azure - Korea Central Region's network infrastructure was down for about 1 hour on June 26. http:// bit.ly/2u56yRl pic.twitter.com/2TYBRrUxww";;;;"879184595106668548";https://twitter.com/blackswantec/status/879184595106668548
blackswantec;2017-06-25 20:43;2;2;"AWS Lambda (N. Virginia) was down for 9 hours on June 22. #COPA successfully issued its first batch of payout. pic.twitter.com/QYIArWSLNF";;;#COPA;"879137943247437826";https://twitter.com/blackswantec/status/879137943247437826
blackswantec;2017-06-25 19:56;0;1;"An In-depth Analysis of the AWS S3 Outage Impact http:// blog.catchpoint.com/2017/03/01/aws -s3-outage-impact/ …";;;;"879126292188221440";https://twitter.com/blackswantec/status/879126292188221440
blackswantec;2017-06-25 00:15;1;2;"https://www. wsj.com/graphics/25-te chnology-companies-to-watch/?utm_content=bufferedb0d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …";;;;"878828896627474432";https://twitter.com/blackswantec/status/878828896627474432
blackswantec;2017-06-23 15:47;1;2;"SoftBank Invests $100 Million in Security Startup Cybereason http:// bit.ly/2srpwDV";;;;"878338804192428032";https://twitter.com/blackswantec/status/878338804192428032
blackswantec;2017-06-23 15:46;1;1;"South Korean Web Host Pays $1 Million to Recover Customer Data http:// bit.ly/2tTOA4k";;;;"878338597174222848";https://twitter.com/blackswantec/status/878338597174222848
blackswantec;2017-06-23 15:45;0;1;"Edge Data Centers in the Self-Driving-Car Future http:// bit.ly/2swHUcN";;;;"878338332794564608";https://twitter.com/blackswantec/status/878338332794564608
RKBWriter;2017-06-23 13:45;0;0;"Yes, please. I will privately message you.";;;;"878307932043194368";https://twitter.com/RKBWriter/status/878307932043194368
blackswantec;2017-06-23 13:44;0;0;"Sure want to talk?";;;;"878307730229940224";https://twitter.com/blackswantec/status/878307730229940224
RKBWriter;2017-06-23 13:43;0;0;"@blackswantec I have two proposals for you if you are interested in hearing them. Also, I have a gift I am currently preparing for you.";;@blackswantec;;"878307423328620544";https://twitter.com/RKBWriter/status/878307423328620544
blackswantec;2017-06-23 13:12;2;3;"Check out how many operational issues major cloud providers experienced in May 2017. @cloudstatuseu http:// bit.ly/2s48f00 pic.twitter.com/KiU7rr3ndP";;@cloudstatuseu;;"878299727783120896";https://twitter.com/blackswantec/status/878299727783120896
blackswantec;2017-06-22 02:47;0;4;"BA's IT meltdown caused by someone 'switching it off and on again' - Daily Mail https:// apple.news/AkE3blTJ4QseTb xCQT9Gz7A …";;;;"877779940531253248";https://twitter.com/blackswantec/status/877779940531253248
blackswantec;2017-06-22 02:46;0;2;"Oracle surges on booming cloud business - http:// SiliconValley.com https:// apple.news/A5oKWOjsgORCwx Xb0DpntCw …";;;;"877779834897801216";https://twitter.com/blackswantec/status/877779834897801216
RKBWriter;2017-06-21 19:15;0;0;"@blackswantec I'd love to meet you. I have prepared two offers for your team. One is free. PM if you are interested. Thank you in advance.";;@blackswantec;;"877666335525916677";https://twitter.com/RKBWriter/status/877666335525916677
blackswantec;2017-06-21 14:01;0;0;"@MailroomPR When are you planning to launch your service?";;@MailroomPR;;"877587413236711424";https://twitter.com/blackswantec/status/877587413236711424
blackswantec;2017-06-21 02:42;0;2;"Partners: Massive RNC Voter Info Data Leak In AWS Highlights Need For Cloud Security Expertise - CRN https:// apple.news/A6BuskmrqP-uD1 O7h8aooeQ …";;;;"877416408598036481";https://twitter.com/blackswantec/status/877416408598036481
PaulDamalie;2017-06-20 22:48;0;1;"Thanks for the recent follow @nancy73027506 @blackswantec ! Happy to connect :) have a great Wednesday. Get this https:// commun.it/thank-you/?aid =thankyou126 …";;@nancy73027506 @blackswantec;;"877357440131620864";https://twitter.com/PaulDamalie/status/877357440131620864
blackswantec;2017-06-20 22:14;0;2;"CenturyLink (CTL) Faces Major Setback: Is $12B Fine Lurking? - http:// Nasdaq.com http:// bit.ly/2rOofIe @nasdaq";;@nasdaq;;"877348945067876352";https://twitter.com/blackswantec/status/877348945067876352
blackswantec;2017-06-20 18:28;0;1;"6 Data Outages And Lessons Learned From 2016 | Zetta http://www. zetta.net/about/blog/6-d ata-outages-and-lessons-learned-2016#.WUmhactaCRI.twitter …";;;#;"877291987904233473";https://twitter.com/blackswantec/status/877291987904233473
blackswantec;2017-06-20 17:13;0;2;"Cloud Computing Hits a Tipping Point http:// bit.ly/2rNznoQ";;;;"877273115578908672";https://twitter.com/blackswantec/status/877273115578908672
phaggio;2017-06-20 16:33;0;0;"@blackswantec Wow! http:// business.financialpost.com/fp-tech-desk/c io/you-had-one-job-how-one-amazon-typo-caused-an-internet-meltdown-this-week …";;@blackswantec;;"877263041754054656";https://twitter.com/phaggio/status/877263041754054656
blackswantec;2017-06-20 13:25;0;1;"@cloudstatuseu You can monitor the outages status of popular Cloud Service Providers in a single dashboard. http://www. cloudstatus.eu";;@cloudstatuseu;;"877215877757714432";https://twitter.com/blackswantec/status/877215877757714432
blackswantec;2017-06-20 02:52;0;1;"Oracle acquire cloud security vendor Palerra. https:// apple.news/AHdI-M2vNNPiWT pDsIPB4Pw …";;;;"877056591643631616";https://twitter.com/blackswantec/status/877056591643631616
blackswantec;2017-06-20 02:19;0;2;"AWS and Azure still leading the pack. https:// apple.news/Aw6Cob787NiGHe 33FKiIrCg …";;;;"877048184853286912";https://twitter.com/blackswantec/status/877048184853286912
blackswantec;2017-06-17 17:47;0;2;"How EndPoint Systems uses Google Jobs API to match jon searching candidates https:// appdevelopermagazine.com/5279/2017/6/14 /Endpoint-Systems-is-utilizing-the-new-Google-Jobs-API/ … via @appdevelopermag";;@appdevelopermag;;"876194570765180930";https://twitter.com/blackswantec/status/876194570765180930
blackswantec;2017-06-17 12:56;0;1;"Why Amazon Buying Slack Makes Perfect Sense (and Also Why It Doesn't) - Inc. https:// apple.news/AvVecLrgINSSof 69xT4f6ew …";;;;"876121417560883200";https://twitter.com/blackswantec/status/876121417560883200
blackswantec;2017-06-17 12:56;0;0;"How to make your apps serverless - Creative Blog https:// apple.news/A9KiZwppWMoW0C cryj9JQNQ …";;;;"876121353841029120";https://twitter.com/blackswantec/status/876121353841029120
blackswantec;2017-06-15 04:14;0;0;"@cloudstatuseu First and orobably the only decent site that tracks the status of cloud operational issues. Test free trial";;@cloudstatuseu;;"875265317940768768";https://twitter.com/blackswantec/status/875265317940768768
blackswantec;2017-06-15 04:11;0;2;"Partial Google Home Outage Points to Larger Implications for the Future of Smart Homes - 1redDrop https:// 1reddrop.com/2017/06/07/par tial-google-home-outage-points-to-larger-implications-for-the-future-of-smart-homes/ …";;;;"875264500504477696";https://twitter.com/blackswantec/status/875264500504477696
blackswantec;2017-06-15 04:10;0;1;"Lululemon CEO blames IBM for site outage http://www. cnbc.com/2017/06/02/lul ulemon-ceo-blames-ibm-for-site-outage.html …";;;;"875264349647982592";https://twitter.com/blackswantec/status/875264349647982592
