username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KathleenECraig;2018-12-11 10:47;0;2;"Great stuff @Uday_Akkaraju !!! Congrats to the @BondDotAi team. https:// twitter.com/VentureCenter/ status/1072353263398342656 …";;@Uday_Akkaraju @BondDotAi;;"1072518257662418944";https://twitter.com/KathleenECraig/status/1072518257662418944
VentureCenter;2018-12-10 23:51;6;14;"Congratulation to @BONDdotAI for signing a new teaming agreement! Keep up the great work. http:// Bond.AI is a member of our @FISGlobal #FinTech #Accelerator 2017 cohort. #StartUp #ArkansasBusiness #ARnews pic.twitter.com/mbDx6aowBQ";;@BONDdotAI @FISGlobal;#FinTech #Accelerator #StartUp #ArkansasBusiness #ARnews;"1072353263398342656";https://twitter.com/VentureCenter/status/1072353263398342656
BondDotAi;2018-11-28 12:59;0;0;"Thanks @jeffrydean !";;@jeffrydean;;"1067840357835128833";https://twitter.com/BondDotAi/status/1067840357835128833
jeffrydean;2018-11-28 09:38;0;3;"Congrats to Uday and the @BondDotAi team for the big win @Finovate . So proud to have you in Arkansas!";;@BondDotAi @Finovate;;"1067789837686706177";https://twitter.com/jeffrydean/status/1067789837686706177
VentureCenter;2018-11-27 21:33;5;11;"Congrats to @BondDotAi , alumni of the VC @FISGlobal #FinTech Accelerator 2017 cohort, for winning Best of Show at FinovateFall 2018! https:// talkbusiness.net/2018/11/bond-a i-wins-fintech-best-of-show/ …";;@BondDotAi @FISGlobal;#FinTech;"1067607462860259333";https://twitter.com/VentureCenter/status/1067607462860259333
ArkansasEDC;2018-11-27 16:32;1;5;"Little Rock-based @BondDotAi recently won best of show at FinovateFall 2018, a major international #FinTech conference. https:// bit.ly/2AunZjj #finovatefall2018 @Finovate";;@BondDotAi @Finovate;#FinTech #finovatefall2018;"1067531509765218304";https://twitter.com/ArkansasEDC/status/1067531509765218304
Lago72;2018-10-25 11:14;0;1;"My pleasure!";;;;"1055477677031874563";https://twitter.com/Lago72/status/1055477677031874563
Lago72;2018-10-21 10:21;0;2;"Why Digital #Banking Should Include A Human Component https:// buff.ly/2J58JgF v/ @FinancialBrand @JimMarous by @psb_dc w/ @Celent_Research @Finovate @BondDotAi @meniga @join_golden @EnvelBank #AI #fintech #finserv #innovation #CX #UX @guzmand @BrettKing @leimer @helene_wpli pic.twitter.com/yOnyjhzV1d";;@FinancialBrand @JimMarous @psb_dc @Celent_Research @Finovate @BondDotAi @meniga @join_golden @EnvelBank @guzmand @BrettKing @leimer @helene_wpli;#Banking #AI #fintech #finserv #innovation #CX #UX;"1054014864690155525";https://twitter.com/Lago72/status/1054014864690155525
KarinaKozak5;2018-10-19 11:54;0;4;"Apparently, Alexa can help you buy a home with @BondDotAi #SternFintech2018 pic.twitter.com/71CJrUwiDp";;@BondDotAi;#SternFintech2018;"1053313380965117952";https://twitter.com/KarinaKozak5/status/1053313380965117952
ValJagar;2018-10-12 16:56;0;1;"Averse* - great line agreed.";;;;"1050852830678941696";https://twitter.com/ValJagar/status/1050852830678941696
