username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
botanalyticsco;2018-12-28 17:51;0;0;"AI Index puts out major insights into the world of Artificial Intelligence and the report has four sections: Data, Other Measures, Discussion and Appendix. https://www. analyticsindiamag.com/vc-funding-in- ai-increased-450-in-the-last-5-years-says-the-ai-index-2018-report/ … pic.twitter.com/EXIHUc4hBt";;;;"1078785420983500802";https://twitter.com/botanalyticsco/status/1078785420983500802
botanalyticsco;2018-12-27 17:48;0;0;"In the wake of the fourth industrial revolution, artificial intelligence and automation are the new norm for today’s enterprise. https:// economictimes.indiatimes.com/tech/ites/ai-c an-help-businesses-stay-ahead-of-the-curve/articleshow/67242393.cms … pic.twitter.com/Cl3zz5tsFh";;;;"1078422278491246594";https://twitter.com/botanalyticsco/status/1078422278491246594
botanalyticsco;2018-12-27 03:41;1;2;"While GDPR arrived early in the year, many businesses are still scrambling to ensure they are compliant.Those investing in voice assistant technology will have to take special steps to ensure they are hosting a GDPR compliant chatbot. You should always encrypt voice analytics. pic.twitter.com/IV8lGJk6HF";;;;"1078209339545083904";https://twitter.com/botanalyticsco/status/1078209339545083904
botanalyticsco;2018-12-22 21:04;0;1;"Setting up Alexa Routines—and getting the most out of them—takes a bit of work and creativity. Here’s everything you need to know about making your own: https://www. techhive.com/article/332750 1/speakers/how-to-use-alexa-routines.html … pic.twitter.com/gluKenY1Kp";;;;"1076659664421638144";https://twitter.com/botanalyticsco/status/1076659664421638144
botanalyticsco;2018-12-21 21:03;0;0;"If you've been waiting to listen to Apple Music on your Alexa-enabled smart speakers, it's your lucky day. The skill for Apple Music is live and available via the Alexa app for Android and iPhone. https://www. cnet.com/news/apple-mus ic-now-works-on-amazon-alexa-smart-speakers/ … pic.twitter.com/opSWen8JRb";;;;"1076297026562863115";https://twitter.com/botanalyticsco/status/1076297026562863115
botanalyticsco;2018-12-20 21:02;0;1;"AI’s rapid expansion isn’t just limited to manufacturing and IT industries. It’s also hitting the front line of a field that relies heavily on a human connection: therapy. https:// news.vice.com/en_us/article/ nep53m/will-chatbots-replace-therapists-we-tested-it-out … pic.twitter.com/N4QN9aVaWP";;;;"1075934382958002176";https://twitter.com/botanalyticsco/status/1075934382958002176
botanalyticsco;2018-12-19 21:00;0;1;"Ahmed Bouzid, Tom Hewitson, and Karen Kaushansky discuss the biggest stories of 2018, break down what Amazon, Google, and Apple did right and wrong this year, whether Samsung Bixby will succeed, and predictions for 2019. https:// voicebot.ai/2018/12/17/voi ce-assistant-year-in-review-with-ahmed-bouzid-tom-hewitson-and-karen-kaushansky-voicebot-podcast-ep-74/ … pic.twitter.com/RYPfqe7ldZ";;;;"1075571500030275585";https://twitter.com/botanalyticsco/status/1075571500030275585
botanalyticsco;2018-12-19 15:42;0;1;"Facebook Messenger’s Discover tab is an important directory, and its featured section is prime real estate for bot makers who want to cast a wide net on an audience. Once you’re ready to submit your bot, follow the directions: https:// bit.ly/2cEizW5 pic.twitter.com/urVdDWre6m";;;;"1075491541777571841";https://twitter.com/botanalyticsco/status/1075491541777571841
botanalyticsco;2018-12-18 11:00;0;1;"Working together to develop the technology also means paying heed to the ethics involved. https://www. governmentciomedia.com/machine-learni ng-ai-national-defense-require-industry-government-collaboration … pic.twitter.com/mToFYkaAxx";;;;"1075058208136400902";https://twitter.com/botanalyticsco/status/1075058208136400902
botanalyticsco;2018-12-17 18:00;0;0;"Will Voice Games Competitions Maintain Amazon's Market Share Lead? https:// voicebot.ai/2018/12/17/ama zon-alexa-games-skill-challenge-winners-announced-for-europe/ … pic.twitter.com/8F9tWaRszn";;;;"1074801537086558211";https://twitter.com/botanalyticsco/status/1074801537086558211
Bitext;2018-12-17 12:12;0;1;"Chatbot is a Necessity to Stay Relevant—Here’s Why https:// hubs.ly/H0fVpwr0 by @botanalyticsco #Chatbots @E2020 #H2020";;@botanalyticsco @E2020;#Chatbots #H2020;"1074713963894587394";https://twitter.com/Bitext/status/1074713963894587394
solyarisoftware;2018-12-17 09:18;1;0;"yes sirs, see my proposal: Integrate the Alexa Developer Portal with a boilerplate/mockup code generator 1-CLICK WIZARD tool https:// forums.developer.amazon.com/idea/194438/in tegrate-the-alexa-developer-portal-with-a-boiler.html …";;;;"1074670059677716481";https://twitter.com/solyarisoftware/status/1074670059677716481
botanalyticsco;2018-12-14 17:25;0;1;"Now you can personalize your Amazon Echo one step further by changing its name. Here's how: https://www. cnbc.com/2018/12/07/how -to-change-amazon-alexas-name-on-echo.html … pic.twitter.com/bW2WTaKvQR";;;;"1073705450695221248";https://twitter.com/botanalyticsco/status/1073705450695221248
botanalyticsco;2018-12-13 17:22;0;0;"We will continue to see the advancement of ML and AI-related technologies in 2019 and beyond. Companies such as Amazon,IBM and Microsoft are investing in research and development of AI, which will benefit the ecosystem in bringing AI closer to consumers. https:// bit.ly/2Qnhfyd";;;;"1073342302247153666";https://twitter.com/botanalyticsco/status/1073342302247153666
botanalyticsco;2018-12-13 16:26;0;1;"BrightLocal's Voice Search for Local Business Study (2018) has some great key findings! pic.twitter.com/EJn8xGpIx3";;;;"1073328444828717056";https://twitter.com/botanalyticsco/status/1073328444828717056
botanalyticsco;2018-12-11 17:17;0;1;"Social media-trawling AIs are quickly becoming tools for detecting elusive behavioral health problems, read the rest at https:// bit.ly/2Laqufs . pic.twitter.com/DsgbXBKY3n";;;;"1072616272641318912";https://twitter.com/botanalyticsco/status/1072616272641318912
botanalyticsco;2018-12-10 14:16;0;1;""No sector is impervious to the use of chatbot technology or self-service automated solutions, and most companies will be able to cut costs significantly with a reduced need for live voice agents, or any need at all." https:// venturebeat.com/2018/12/08/cus tomer-support-how-bots-and-automation-are-reaping-outsized-dividends-for-brands-vb-live/ … pic.twitter.com/PjtxvgUMVn";;;;"1072208391316127746";https://twitter.com/botanalyticsco/status/1072208391316127746
botanalyticsco;2018-12-09 10:56;1;1;""...you can now let the user interact immediately after hearing the audio. This is a great help in opening up new engagement opportunities, as the user now remains in the skill and does not need to re-invoke it just to pick up where they left off." https:// bit.ly/2rwsq9f pic.twitter.com/m2yJJEe0GN";;;;"1071795613606572032";https://twitter.com/botanalyticsco/status/1071795613606572032
botanalyticsco;2018-12-07 12:54;0;1;"[Fresh Blog Post] There's plenty you can do to boost Alexa skill retention by keeping an eye on Alexa voice analytics and revising your conversation design https:// botanalytics.co/blog/2018/12/0 7/raise-voice-app-retention/ … pic.twitter.com/06JEnW4r1m";;;;"1071100764515434496";https://twitter.com/botanalyticsco/status/1071100764515434496
botanalyticsco;2018-12-07 10:53;0;0;"These wireless earbuds would be integrated with voice assistants like Google Assistant and Amazon Alexa https://www. businessinsider.com/google-amazon- apple-airpods-competitors-report-2018-12 … pic.twitter.com/8fdjDLuvIG";;;;"1071070086277029889";https://twitter.com/botanalyticsco/status/1071070086277029889
botanalyticsco;2018-12-06 11:01;0;0;"The bot is available 24x7 and can be accessed by logging into one's Facebook account and sending a message to the page "MeToo India". https://www. thenewsminute.com/article/new-ch atbot-shakti-help-women-fight-workplace-harassment-92796 … pic.twitter.com/Ya8cZvubG1";;;;"1070709704274403328";https://twitter.com/botanalyticsco/status/1070709704274403328
botanalyticsco;2018-12-06 07:40;0;2;"There are two major categories of voice apps with high retention: those that fit into daily routines and those that have some sort of utility (like controlling connected appliances). pic.twitter.com/QmaXoEmKi7";;;;"1070659183295545344";https://twitter.com/botanalyticsco/status/1070659183295545344
botanalyticsco;2018-12-04 22:02;0;0;"The report features potential risks in regards to present and future open doors in the Chatbot advertise and furthermore gives uncomplicated and fastidious market diagram consolidating measurements and evaluations. https:// ufuomasblog.com/2018/12/01/glo bal-chatbot-market-2017-2021-world-wide-key-manufacturers-and-revenue-analysis-report/ … pic.twitter.com/o2jXBMgA6I";;;;"1070151276594425862";https://twitter.com/botanalyticsco/status/1070151276594425862
