username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BrandonTechExec;2018-02-15 17:49;0;1;"Excited to have the @_botcentral team join @LivePerson at a really exciting time for our industry #conversationalvommerce #bots https://www. prnewswire.com/news-releases/ botcentral-team-joins-liveperson-to-accelerate-conversational-commerce-at-the-worlds-largest-brands-300599785.html …";;@_botcentral @LivePerson;#conversationalvommerce #bots;"964270495330906112";https://twitter.com/BrandonTechExec/status/964270495330906112
mvhxmmd;2018-02-05 14:12;0;1;"lmao @_botcentral is a huge ass scam. go get a chargeback from your card company. the only legit bot dealer there is as far as i have experienced is @BotBroker best of luck";;@_botcentral @BotBroker;;"960591893527760897";https://twitter.com/mvhxmmd/status/960591893527760897
eswarpr;2018-01-12 18:03;0;2;"So, BotCentral just launched with the OTHER major US home improvement retailer! #TwiceAsNice #Bots #AI #ConvComm @_botcentral https:// lnkd.in/gfN_XUh";;@_botcentral;#TwiceAsNice #Bots #AI #ConvComm;"951952854259974144";https://twitter.com/eswarpr/status/951952854259974144
reworkMI;2017-12-22 09:34;0;0;"@itzpallab from @_botcentral @MercedesBenz will focus on the optimization aspects of CNN for computer vision applications targeted for fully autonomous driving during his talk at the #MI Summit in Hong Kong. https:// buff.ly/2B9lhmr #REWORKMI #MI pic.twitter.com/FFvL0ueCjP";;@itzpallab @_botcentral @MercedesBenz;#MI #REWORKMI #MI;"944214487057534976";https://twitter.com/reworkMI/status/944214487057534976
CustContactWeek;2017-10-13 15:46;0;0;"@_botcentral Our attendees are looking for the #Chatbot solutions that you provide. We'd love to chat about having you at our event. DM Us?";;@_botcentral;#Chatbot;"918925847448387585";https://twitter.com/CustContactWeek/status/918925847448387585
eswarpr;2017-09-07 14:31;0;4;"When Gartner / Forrester  email your company to see what's up #startup #entrepreneur BotCentral @_botcentral #bots #ai #convcomm";;@_botcentral;#startup #entrepreneur #bots #ai #convcomm;"905861170044788737";https://twitter.com/eswarpr/status/905861170044788737
ppk007;2017-07-14 13:21;0;0;"I need to find the occasion to use, "I strongly find that this is an insult to life itself."";;;;"885912263269302272";https://twitter.com/ppk007/status/885912263269302272
eswarpr;2017-07-14 11:03;0;0;"Ouch. There but for the grace of the #AI gods go I @_botcentral https:// twitter.com/ageitgey/statu s/885598368566607872 …";;@_botcentral;#AI;"885877322976514049";https://twitter.com/eswarpr/status/885877322976514049
ZuzuDotAI;2017-07-10 18:57;0;0;"RT @eswarpr : First, let's make #AI that works @_botcentral https:// twitter.com/ft/status/8845 37744655077376 …";;@eswarpr @_botcentral;#AI;"884547133151600642";https://twitter.com/ZuzuDotAI/status/884547133151600642
eswarpr;2017-07-10 18:56;0;2;"First, let's make #AI that works @_botcentral https:// twitter.com/ft/status/8845 37744655077376 …";;@_botcentral;#AI;"884546781127655424";https://twitter.com/eswarpr/status/884546781127655424
eswarpr;2017-06-26 05:59;0;1;"#Bots in #Berlin @_botcentral pic.twitter.com/2lVrw8rr3Z";;@_botcentral;#Bots #Berlin;"879278041951850496";https://twitter.com/eswarpr/status/879278041951850496
eswarpr;2017-06-26 05:41;0;2;"Another day, another city, another show #berlin #chatbotsummit @_botcentral #bots #ai https:// lnkd.in/gtD-d3V";;@_botcentral;#berlin #chatbotsummit #bots #ai;"879273439990697984";https://twitter.com/eswarpr/status/879273439990697984
eswarpr;2017-06-20 12:06;2;6;"Ravi and I preaching #bots inside the beautiful Brooklyn Navy Yard @LivePerson @_botcentral pic.twitter.com/w09fSI3MFE";;@LivePerson @_botcentral;#bots;"877195954973290497";https://twitter.com/eswarpr/status/877195954973290497
eswarpr;2017-05-27 15:23;1;3;"I like these #desi bragging rights - Inspired to get @_botcentral to > $1B! https:// twitter.com/valaafshar/sta tus/863869704926105600 …";;@_botcentral;#desi;"868548180593344512";https://twitter.com/eswarpr/status/868548180593344512
eswarpr;2017-05-03 08:05;0;2;"Bot Summit time: @_botcentral , @IBMWatson , @chatfuel , @LivePerson et al prepping to pitch #bots to the Enterprise pic.twitter.com/GBy1ILrQQV";;@_botcentral @IBMWatson @chatfuel @LivePerson;#bots;"859740696605052928";https://twitter.com/eswarpr/status/859740696605052928
eswarpr;2017-05-02 14:32;0;6;"Two #bots in windy Pittsburgh for the @LivePerson Bot Summit @_botcentral pic.twitter.com/3yfyd4LOFU";;@LivePerson @_botcentral;#bots;"859475803972788224";https://twitter.com/eswarpr/status/859475803972788224
helmstetler;2017-03-22 04:35;4;4;"checkout: https://www. producthunt.com/posts/parlo @peterbuch @botlistco @BotStash @_botcentral @ChatBotsLife @kojouharov @bottomatik @botsvector @beta_page";;@peterbuch @botlistco @BotStash @_botcentral @ChatBotsLife @kojouharov @bottomatik @botsvector @beta_page;;"844467615435276288";https://twitter.com/helmstetler/status/844467615435276288
helmstetler;2017-03-07 17:12;0;2;"New #chatbot post by @GetParlo @_botcentral @botlistco @botnerds #media https:// twitter.com/GetParlo/statu s/839230444759572480 …";;@GetParlo @_botcentral @botlistco @botnerds;#chatbot #media;"839237235962621952";https://twitter.com/helmstetler/status/839237235962621952
