username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bots_Crew;2018-12-27 07:35;0;0;"I added a video to a @YouTube playlist http:// youtu.be/A0Ysn3rpRWw?a Ep.3 Live. Dream. Achieve | BotsCrew Travel";;@YouTube;;"1078268187245006858";https://twitter.com/Bots_Crew/status/1078268187245006858
Bots_Crew;2018-12-27 07:34;0;0;"I added a video to a @YouTube playlist http:// youtu.be/czTL7cKNuiA?a Ep.2 Live. Dream. Achieve.| BotsCrew Travel";;@YouTube;;"1078267960714846208";https://twitter.com/Bots_Crew/status/1078267960714846208
Bots_Crew;2018-12-27 06:43;0;0;"Ep.3 Live. Dream. Achieve | BotsCrew Travel: http:// youtu.be/A0Ysn3rpRWw?a via @YouTube";;@YouTube;;"1078254933865127937";https://twitter.com/Bots_Crew/status/1078254933865127937
Bots_Crew;2018-12-21 03:01;0;1;"The truth is that the faster you can respond to a potential client the more likely the odds will be for closing a deal. Chatbots help brands to cut their response time to a matter of seconds. Learn more about chatbots in our guide. https:// buff.ly/2Cpoayz pic.twitter.com/5Si1iN3vXq";;;;"1076024741327265792";https://twitter.com/Bots_Crew/status/1076024741327265792
Bots_Crew;2018-12-20 11:00;1;2;"Howdy Did you know that according to a HubSpot recent research 47% of consumers are open to buying items through a chatbot? Learn more in our guide “Chatbots. A new way to communicate with your customers”. https:// buff.ly/2Cpoayz pic.twitter.com/ZtCmJmxRJ2";;;;"1075783072082206720";https://twitter.com/Bots_Crew/status/1075783072082206720
Koldirkaev;2018-12-19 11:54;0;1;"Updated.";;;;"1075434261568733184";https://twitter.com/Koldirkaev/status/1075434261568733184
LetheanVPN;2018-12-19 05:56;0;3;"We have had a rebrand in September from IntenseCoin to LETHEAN feel free to update your info. https:// lethean.io /";;;;"1075344148746649601";https://twitter.com/LetheanVPN/status/1075344148746649601
Koldirkaev;2018-12-17 14:33;1;2;"@_intensecoin @LetheanVPN @leviarcoin_fdn @LinesCoin @maskcurrency @monero @monero_v @mutexcrypto @OfficialMutex @Bots_Crew @parsicoin @pyrexcoin @QRLedger @coal_re @safe_exchange @superiorcoins @W0wn3r0 @xDropProject @ZeleriusNetwork @Citadel_Team";;@_intensecoin @LetheanVPN @leviarcoin_fdn @LinesCoin @maskcurrency @monero @monero_v @mutexcrypto @OfficialMutex @Bots_Crew @parsicoin @pyrexcoin @QRLedger @coal_re @safe_exchange @superiorcoins @W0wn3r0 @xDropProject @ZeleriusNetwork @Citadel_Team;;"1074749350042132480";https://twitter.com/Koldirkaev/status/1074749350042132480
mobileappdaily;2018-12-13 02:04;2;10;"On the basis of various factors and with in-depth research we have shortlisted the 'Top Chatbot App Development Companies" who are known for delivering excellence. https:// bit.ly/2rzT4hu @ELEKSSoftware @icreon @NeotericEU @MobiDev_ @Appinventiv @CodeteGmbH @Bots_Crew @loftylabs";;@ELEKSSoftware @icreon @NeotericEU @MobiDev_ @Appinventiv @CodeteGmbH @Bots_Crew @loftylabs;;"1073111309015642112";https://twitter.com/mobileappdaily/status/1073111309015642112
Lviv_IT_Cluster;2018-11-20 05:21;0;0;"Max Hladysh and Oleh Pylypchak, co-founders of a Lviv-based company @Bots_Crew , on why post-millennials prefer texting, and whether #chatbots will replace humans in 5 years. Read more: http:// bit.ly/2Tue5XE pic.twitter.com/hXy7LcSYpE";;@Bots_Crew;#chatbots;"1064826182133317632";https://twitter.com/Lviv_IT_Cluster/status/1064826182133317632
the__manifest;2018-10-26 12:25;1;0;"Here's Our List of the Top Chatbot Development Companies – https:// buff.ly/2D6guT7 @AzilenTech @Bots_Crew @cedextech @IcreonTech @OngraphTech @Pentoz2 @Symbyo @Unicsoft #chatbot #development #companies pic.twitter.com/qeCoTO0q5R";;@AzilenTech @Bots_Crew @cedextech @IcreonTech @OngraphTech @Pentoz2 @Symbyo @Unicsoft;#chatbot #development #companies;"1055858031160897537";https://twitter.com/the__manifest/status/1055858031160897537
Rogeliketweety;2018-10-23 10:05;0;0;"One More #Bug I Love #Java on #Instagram @Bots_Crew #API #Developers #Funny #Lol #socialmedia #SocialNetwork #SocialNetworks #Cartoon #photography By BotsCrew https://www. facebook.com/rogerbl.verhoe ven/posts/1919555041432868 …";;@Bots_Crew;#Bug #Java #Instagram #API #Developers #Funny #Lol #socialmedia #SocialNetwork #SocialNetworks #Cartoon #photography;"1054735612908093440";https://twitter.com/Rogeliketweety/status/1054735612908093440
Bots_Crew;2018-10-11 12:56;0;1;"I added a video to a @YouTube playlist http:// youtu.be/MCSJH1vnEqo?a Chatbot For Business: Summing Up Lecture";;@YouTube;;"1050430036187258885";https://twitter.com/Bots_Crew/status/1050430036187258885
Bots_Crew;2018-10-05 08:28;0;0;"I added a video to a @YouTube playlist http:// youtu.be/2ANh2RB0v3g?a Chatbot For Business: Train your chatbot";;@YouTube;;"1048188163666141184";https://twitter.com/Bots_Crew/status/1048188163666141184
Bots_Crew;2018-10-05 07:01;0;0;"I added a video to a @YouTube playlist http:// youtu.be/TJVXovMSwCw?a Chatbot For Business: Train your chatbot";;@YouTube;;"1048166247618236416";https://twitter.com/Bots_Crew/status/1048166247618236416
Bots_Crew;2018-09-26 08:38;1;1;"I added a video to a @YouTube playlist http:// youtu.be/Gio9kfvyZOc?a Chatbot For Business: Market your chatbot";;@YouTube;;"1044929292130504709";https://twitter.com/Bots_Crew/status/1044929292130504709
StartupLeagueHQ;2018-09-26 07:00;0;0;"@Bots_Crew we're looking to support 10 startups to exhibit at WebSummit 2018 for FREE. Join the #LeagueOf100 for booth reimbursement, free marketing goodies and more! Apply now: https:// bit.ly/2IdfIng pic.twitter.com/dtyNrLd2HS";;@Bots_Crew;#LeagueOf100;"1044904422738808832";https://twitter.com/StartupLeagueHQ/status/1044904422738808832
Bots_Crew;2018-09-07 05:37;0;0;"I added a video to a @YouTube playlist http:// youtu.be/6MlEu3qIjog?a Chatbot for business: How to start a chatbot development";;@YouTube;;"1037998370227273728";https://twitter.com/Bots_Crew/status/1037998370227273728
Bots_Crew;2018-09-07 05:37;0;0;"Chatbot for business: How to start a chatbot development: http:// youtu.be/6MlEu3qIjog?a via @YouTube";;@YouTube;;"1037998368121733120";https://twitter.com/Bots_Crew/status/1037998368121733120
Bots_Crew;2018-08-31 11:39;0;1;"Great news! Today the second episode of our Chatbot Academy course “Chatbot benefits for different industries” is launched! Visit our blog to find out more about six industries where #chatbots have made the biggest impact and see some examples : http:// ow.ly/OVgn30lDzhs";;;#chatbots;"1035552674236821505";https://twitter.com/Bots_Crew/status/1035552674236821505
Bots_Crew;2018-08-30 06:55;0;0;"Chatbot benefits for different industries: http:// youtu.be/lDcNazvLMd8?a via @YouTube";;@YouTube;;"1035118769071214592";https://twitter.com/Bots_Crew/status/1035118769071214592
