username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Nitinrajput290;2018-12-16 07:06;0;1;"Right says";;;;"1074274566971699203";https://twitter.com/Nitinrajput290/status/1074274566971699203
MelGames9;2018-11-15 13:46;0;1;"Thank you for letting me share my #Melania game!";;;#Melania;"1063141270502158337";https://twitter.com/MelGames9/status/1063141270502158337
thatcherbell;2018-11-06 19:53;0;5;"Great demo from @bowtie_ai at #nytm @cornell_tech";;@bowtie_ai @cornell_tech;#nytm;"1059972024049774593";https://twitter.com/thatcherbell/status/1059972024049774593
NYTM;2018-11-06 19:51;1;2;". @bowtie_ai shows off their #AI receptionist service at #NYTM pic.twitter.com/70qP02EpYz";;@bowtie_ai;#AI #NYTM;"1059971655219494912";https://twitter.com/NYTM/status/1059971655219494912
PieShell;2018-11-06 19:18;0;2;"Thanks for having us!";;;;"1059963238518005760";https://twitter.com/PieShell/status/1059963238518005760
NicholasLFuller;2018-11-06 19:12;2;7;"Thank you @NYTechAlliance for bringing together New York’s Tech community each month and curating an excellent batch of startups! Tonight’s demos: @goldenwheel @MelGames9 @bowtie_ai @PieShell @SumAll @withyoursquad #nytm pic.twitter.com/Qw7QWPd0Ho – bei AppNexus Razzle Dazzle";;@NYTechAlliance @goldenwheel @MelGames9 @bowtie_ai @PieShell @SumAll @withyoursquad;#nytm;"1059961848441851904";https://twitter.com/NicholasLFuller/status/1059961848441851904
PieShell;2018-11-06 18:58;0;0;"Woohoo! Let’s do this!!";;;;"1059958303692861445";https://twitter.com/PieShell/status/1059958303692861445
NYTM;2018-11-06 18:55;2;6;"Getting ready to kick off this month’s #NYTM at @AppNexusEng ! Demoers include #GoldenWheel , @MelGames9 , @TurnTheTweet , @bowtie_ai , @FoodMoves , @PieShell , @SumAll & @withyoursquad . pic.twitter.com/qxx9XShFWP";;@AppNexusEng @MelGames9 @TurnTheTweet @bowtie_ai @FoodMoves @PieShell @SumAll @withyoursquad;#NYTM #GoldenWheel;"1059957352743555072";https://twitter.com/NYTM/status/1059957352743555072
DKmitsos;2018-10-22 07:47;0;0;"I recommend you meet Ron ( @Ch00by ) from @bowtie_ai";;@Ch00by @bowtie_ai;;"1054338423912366080";https://twitter.com/DKmitsos/status/1054338423912366080
NYUFutureLabs;2018-10-02 10:53;0;0;"Always! pic.twitter.com/h9Gqacszsq";;;;"1047137499246727168";https://twitter.com/NYUFutureLabs/status/1047137499246727168
NYUFutureLabs;2018-10-02 10:51;0;1;"Come visit any time! We miss you already.";;;;"1047136919862304768";https://twitter.com/NYUFutureLabs/status/1047136919862304768
