username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rockettheme;2018-12-26 15:17;1;5;"When is the best time of year for great deals? After Christmas, of course! Start your post-Christmas shopping by purchasing a new template from RocketTheme. 50% Off Templates and Themes for #Joomla , #WordPress , and @GetGrav plus 35% Off Club Memberships. https:// rockettheme.com pic.twitter.com/YuPvY4eNsJ";;@GetGrav;#Joomla #WordPress;"1078022078853455873";https://twitter.com/rockettheme/status/1078022078853455873
2020digging;2018-12-21 14:25;0;0;"Still won’t open? I can’t get onto your website!";;;;"1076196969037459456";https://twitter.com/2020digging/status/1076196969037459456
stephencassidy;2018-12-21 14:13;0;0;"You should screenshot the whole page. As I’m always using VyprVPN and RocketTheme somehow blocks it.";;;;"1076193877789458439";https://twitter.com/stephencassidy/status/1076193877789458439
rockettheme;2018-12-21 13:33;1;4;"Christmas has come early with our newest template, Koleti! Slideshows and sliders, dynamic side-sliding menu, interactive event calendar, and more. Koleti has everything you need to create a stunning website for your school, boot camp, or university. https:// rockettheme.com pic.twitter.com/yt17yhEZac";;;;"1076183901599600641";https://twitter.com/rockettheme/status/1076183901599600641
2020digging;2018-12-20 16:24;0;0;"Done but it's just really really slow to load! Get to the home page after 10 minutes then nowhere to go,,,";;;;"1075864590724939776";https://twitter.com/2020digging/status/1075864590724939776
rockettheme;2018-12-20 12:30;0;0;"Nope, we’ve had no downtime today.. PM us your IP and we can check if you have been blocked accidentally by our security systems.";;;;"1075805745084477440";https://twitter.com/rockettheme/status/1075805745084477440
2020digging;2018-12-20 06:03;0;0;"@rockettheme your site down?";;@rockettheme;;"1075708156532019200";https://twitter.com/2020digging/status/1075708156532019200
rockettheme;2018-12-17 17:26;3;10;"Have a Merry Christmas and a Happy New Year with a new theme from RocketTheme! For a limited time, save 35% on Club memberships and renewals, and 50% on themes for #WordPress , @GetGrav , and #Joomla ! pic.twitter.com/To4ig03673";;@GetGrav;#WordPress #Joomla;"1074792995529072641";https://twitter.com/rockettheme/status/1074792995529072641
ipmdesign;2018-12-14 19:10;0;0;"Great, thanks for the update!";;;;"1073731948923813888";https://twitter.com/ipmdesign/status/1073731948923813888
rockettheme;2018-12-14 17:24;0;0;"Latest Gantry is compatible with WP 5.0";;;;"1073705197602394112";https://twitter.com/rockettheme/status/1073705197602394112
rockettheme;2018-12-14 11:44;0;6;"Gantry 5 update for #Joomla , #WordPress , and @getgrav ! Now includes new Section Variations field for adding Margins/Paddings to your section. Download the update today! http:// gantry.org / pic.twitter.com/Eh8NRyFaqq";;@getgrav;#Joomla #WordPress;"1073619658006245376";https://twitter.com/rockettheme/status/1073619658006245376
ITsoldSEO;2018-12-14 04:48;0;0;"Client Notice: RT @rockettheme : Flux 1.1.0 theme update for #Joomla , #WordPress , and @getgrav ! New particles, improvements, and bug fixes. Update today! Joomla: https:// bit.ly/2rBlLdD Grav: https:// bit.ly/2GiTpPB WordPress: https:// bit.ly/2SOegfa pic.twitter.com/bGJGfOs6Qt";;@rockettheme @getgrav;#Joomla #WordPress;"1073515010276626432";https://twitter.com/ITsoldSEO/status/1073515010276626432
rockettheme;2018-12-13 18:24;0;2;"Flux 1.1.0 theme update for #Joomla , #WordPress , and @getgrav ! New particles, improvements, and bug fixes. Update today! Joomla: https:// bit.ly/2rBlLdD Grav: https:// bit.ly/2GiTpPB WordPress: https:// bit.ly/2SOegfa pic.twitter.com/vF3WPBxstP";;@getgrav;#Joomla #WordPress;"1073357916164538368";https://twitter.com/rockettheme/status/1073357916164538368
stephencassidy;2018-12-12 17:17;0;0;"Already done, last time :-)";;;;"1072978804505747459";https://twitter.com/stephencassidy/status/1072978804505747459
ipmdesign;2018-12-07 00:24;0;0;"@rockettheme Hey there! We were wondering if we have compatibility already with Gantry 5 and its themes for Wordpress 5.0?";;@rockettheme;;"1070911781932068865";https://twitter.com/ipmdesign/status/1070911781932068865
rockettheme;2018-12-04 18:19;0;3;"Fluent 1.1.0 theme update for #Joomla , #WordPress , and @getgrav ! New particles, improvements, and bug fixes. Update today! Joomla: https:// bit.ly/2zF01Sv Grav: https:// bit.ly/2EhFHe2 WordPress: https:// bit.ly/2SsJjNu pic.twitter.com/p5aTgGNj4i";;@getgrav;#Joomla #WordPress;"1070095383538425856";https://twitter.com/rockettheme/status/1070095383538425856
rockettheme;2018-11-30 17:59;0;0;"You're welcome!";;;;"1068640782729584641";https://twitter.com/rockettheme/status/1068640782729584641
h4joTv;2018-11-30 17:59;0;0;"Oh ok. Thank you!";;;;"1068640691725709313";https://twitter.com/h4joTv/status/1068640691725709313
rockettheme;2018-11-30 17:58;0;1;"Chimera is available for Joomla for both the Gantry 4 and Gantry 5 framework: https:// rockettheme.com/joomla/templat es/chimera …";;;;"1068640493112885249";https://twitter.com/rockettheme/status/1068640493112885249
h4joTv;2018-11-30 17:57;0;0;"Will there be "Chimera" for Joomla too?";;;;"1068640066308853765";https://twitter.com/h4joTv/status/1068640066308853765
rockettheme;2018-11-30 16:23;0;2;"Calla 1.1.0 theme update for #Joomla , #WordPress , and @Getgrav ! New particles, improvements, and bug fixes. Update today! Joomla: https:// rockettheme.com/joomla/templat es/calla … Grav: https:// rockettheme.com/grav/themes/ca lla … WordPress: https:// rockettheme.com/wordpress/them es/calla … pic.twitter.com/JbV1NwZmEB";;@Getgrav;#Joomla #WordPress;"1068616652135256064";https://twitter.com/rockettheme/status/1068616652135256064
rockettheme;2018-11-30 10:13;0;1;"Last day! https:// buff.ly/2PpRaJX Save big themes for #WordPress , #Joomla , and @GetGrav ! Get your site ready for 2019 with RocketTheme. pic.twitter.com/Bt081i8nS0";;@GetGrav;#WordPress #Joomla;"1068523408135118849";https://twitter.com/rockettheme/status/1068523408135118849
rockettheme;2018-11-29 23:06;1;0;"Tick tock, tick tock! https:// buff.ly/2PpRaJX Your opportunity to save big on themes for #WordPress , #Joomla , and @GetGrav is ending soon! Act now while it lasts. pic.twitter.com/r6EwUK0G5O";;@GetGrav;#WordPress #Joomla;"1068355470921003008";https://twitter.com/rockettheme/status/1068355470921003008
rockettheme;2018-11-29 10:49;0;1;"It’s the final two days of our biggest sale of the year! https:// buff.ly/2PpRaJX Dozens of designs to choose from! Act fast, these deals won’t last. pic.twitter.com/eoegMD2wED";;;;"1068169993777541122";https://twitter.com/rockettheme/status/1068169993777541122
rockettheme;2018-11-29 10:39;1;1;"The clock is ticking on the season's best deals on templates and themes from RocketTheme. Save 50% on #Joomla templates, #WordPress and @getgrav themes, and 35% on Club memberships and renewals, today! https:// rockettheme.com pic.twitter.com/H4qao8W14l";;@getgrav;#Joomla #WordPress;"1068167696091660289";https://twitter.com/rockettheme/status/1068167696091660289
stephencassidy;2018-11-28 17:19;0;0;"Done...only 145 to go ¯\_(ツ)_/¯ pic.twitter.com/TqgjtoGtH7";;;;"1067905890718810112";https://twitter.com/stephencassidy/status/1067905890718810112
rockettheme;2018-11-26 20:46;0;1;"50% off themes? Don't miss out! https:// buff.ly/2PpRaJX Dozens of designs to choose from! pic.twitter.com/CaymW00zmp";;;;"1067233129570729984";https://twitter.com/rockettheme/status/1067233129570729984
rockettheme;2018-11-26 10:05;0;1;"It’s Cyber Monday and we are keeping the savings going with 50% off templates and themes for #wordpress , #joomla , and @getgrav and 35% off club memberships and renewals! https:// buff.ly/2PpRaJX Act fast! This deal won’t last long! pic.twitter.com/nBNA0fQyNf";;@getgrav;#wordpress #joomla;"1067071779372449793";https://twitter.com/rockettheme/status/1067071779372449793
rockettheme;2018-11-23 14:56;0;4;"Need a new look for your #WordPress , #Joomla , or @GetGrav site? https:// buff.ly/2ITQkmt Save 50% on themes and 35% on club memberships at RocketTheme! #blackfridaysale pic.twitter.com/5sRUAVgrWR";;@GetGrav;#WordPress #Joomla #blackfridaysale;"1066057808775397383";https://twitter.com/rockettheme/status/1066057808775397383
rockettheme;2018-11-23 10:04;1;1;"All of our themes for #WordPress , #Joomla , and @GetGrav are 50% off today! https:// buff.ly/2ITQkmt Club memberships and renewals are 35% off! #blackfridaysale pic.twitter.com/9qiGWmqEc2";;@GetGrav;#WordPress #Joomla #blackfridaysale;"1065984328042233856";https://twitter.com/rockettheme/status/1065984328042233856
rockettheme;2018-11-22 14:27;0;4;"Waiting for the Turkey timer to go off? Take this opportunity to save 50% on templates and themes for #WordPress , #Joomla , and @GetGrav ! https:// buff.ly/2ITQkmt Club memberships and renewals are 35% off! #blackfridaysale pic.twitter.com/RFqB0LAQq1";;@GetGrav;#WordPress #Joomla #blackfridaysale;"1065688254396141570";https://twitter.com/rockettheme/status/1065688254396141570
rockettheme;2018-11-21 15:29;2;2;"Our Black Friday Sale is on now! Save 50% on templates and themes for #WordPress , #Joomla , and @GetGrav ! https:// buff.ly/2ITQkmt Club memberships and renewals are 35% off! Give your site a new look for 2019 and save, today! #blackfridaysale pic.twitter.com/Xn7DBCEoZ2";;@GetGrav;#WordPress #Joomla #blackfridaysale;"1065341420612055040";https://twitter.com/rockettheme/status/1065341420612055040
ITsoldSEO;2018-11-20 09:51;0;0;"RT @rockettheme : Chimera is now a part of the Gantry 5 family! Check it out on Joomla ( https:// buff.ly/2Kja0kw ) and Grav ( https:// buff.ly/2Bio8be ) today! One of our hottest designs on the latest next-generation framework. pic.twitter.com/WXONr3wygt";;@rockettheme;;"1064894026627891206";https://twitter.com/ITsoldSEO/status/1064894026627891206
rockettheme;2018-11-19 18:48;0;1;"Chimera is now a part of the Gantry 5 family! Check it out on Joomla ( https:// buff.ly/2Kja0kw ) and Grav ( https:// buff.ly/2Bio8be ) today! One of our hottest designs on the latest next-generation framework. pic.twitter.com/UWpTGseZ1p";;;;"1064666636270096385";https://twitter.com/rockettheme/status/1064666636270096385
ivrendiTech;2018-11-12 10:21;0;0;"@rockettheme https:// iwi.ivrenditech.com Developed from Helium to new fresh Breeth #Wordpress #Theme #iwi Ready for #free #download Demo: https:// iwi.ivrenditech.com";;@rockettheme;#Wordpress #Theme #iwi #free #download;"1062002524318773248";https://twitter.com/ivrendiTech/status/1062002524318773248
Malkio;2018-11-12 01:33;0;0;"@JoomlArt so how do you feel about acquiring @rockettheme , wouldn't be a bad Idea, just saying.";;@JoomlArt @rockettheme;;"1061869459789496321";https://twitter.com/Malkio/status/1061869459789496321
rockettheme;2018-11-07 17:03;0;0;"Yes, please ensure you are using the latest version (1.9): https:// rockettheme.com/joomla/templat es/chimera …";;;;"1060291723409133574";https://twitter.com/rockettheme/status/1060291723409133574
yolknet;2018-11-07 16:46;0;0;"@rockettheme Is your template Chimera compatible with Php 7.1 and 7.2? ^Robert";;@rockettheme;;"1060287504845361152";https://twitter.com/yolknet/status/1060287504845361152
rockettheme;2018-11-05 14:02;0;0;"Only 10 hours left of our Halloween Sale! 50% OFF themes / 35% OFF memberships https:// rockettheme.com / pic.twitter.com/u4KCTRKWQ5";;;;"1059521282730065921";https://twitter.com/rockettheme/status/1059521282730065921
rockettheme;2018-11-03 16:10;2;2;"Ambrosia is one of our most popular themes of all time, and it's available for @GetGrav ! https:// buff.ly/2Dkhnb1 Try one of our all-time favorite themes on the popular new flat-file CMS! pic.twitter.com/StOvxLNEDC";;@GetGrav;;"1058813580827602944";https://twitter.com/rockettheme/status/1058813580827602944
rockettheme;2018-11-03 14:56;2;2;"Denali is a breathtaking #Joomla template built on the powerful Gantry 5 framework! https:// buff.ly/2zn2Dni Great for events, venues, photographers, artists, and startups! 50% off for a very limited time! pic.twitter.com/s1l9XO5fTq";;;#Joomla;"1058794951184707584";https://twitter.com/rockettheme/status/1058794951184707584
rockettheme;2018-11-03 12:58;0;1;"Don't miss out on your chance to save 50% on our entire library of templates and themes for #WordPress , #Joomla , and @GetGrav ! https:// buff.ly/2ITQkmt Including our stylish theme, Calla! This modern look is perfect for fashion blogs, e-commerce, and magazines. pic.twitter.com/Zgnmg5j5Vi";;@GetGrav;#WordPress #Joomla;"1058765259102662656";https://twitter.com/rockettheme/status/1058765259102662656
