username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
r_snoek;2018-12-29 10:50;4;6;"Dit apparaat geeft uitstekend inzicht in de luchtkwaliteit. Ook in grafieken. pic.twitter.com/GMDT6kx1W8";;;;"1079042073918091268";https://twitter.com/r_snoek/status/1079042073918091268
BriseCare;2018-12-29 06:25;3;4;"Carry & Meter #AirQuality everywhere with advanced laser sensors + Lithium battyrry inside. Available soon in #EU . Register here http://www. brisecare.com/en/air-meter/ pic.twitter.com/Is8taw8yBy";;;#AirQuality #EU;"1078975289420582913";https://twitter.com/BriseCare/status/1078975289420582913
BriseCare;2018-12-27 16:09;3;3;"Europe’s dirty air kills 400,000 people every year https://www. weforum.org/agenda/2018/09 /europe-s-dirty-air-kills-400-000-people-every-year/ … 來自 @wef";;@wef;;"1078397564867825664";https://twitter.com/BriseCare/status/1078397564867825664
BriseCare;2018-12-24 06:20;3;4;"Almost end of year, we wish you a Merry Christmas and Healthy New Year #2019. #BRISE will keep innovating and help people with better health. #BRISEAngel @BriseNederland pic.twitter.com/yWbTYsSzwY";;@BriseNederland;#2019 #BRISE #BRISEAngel;"1077162082167078912";https://twitter.com/BriseCare/status/1077162082167078912
AriaFrescaaaaaa;2018-12-22 01:20;0;0;"De een z'n dood is de ander z'n brood.";;;;"1076361788898402304";https://twitter.com/AriaFrescaaaaaa/status/1076361788898402304
BriseCare;2018-12-11 07:44;3;4;"Very happy to see such great feedback from our user, who has #asthma and #BRISE helps her a lot. #Dutch #Astma #praktijk #VOS #fijnstof pic.twitter.com/Q5BwAuidLy";;;#asthma #BRISE #Dutch #Astma #praktijk #VOS #fijnstof;"1072472086906585088";https://twitter.com/BriseCare/status/1072472086906585088
BriseCare;2018-12-07 08:50;1;2;"https:// twitter.com/r_snoek/status /1070936734014291968 …";;;;"1071039270889107456";https://twitter.com/BriseCare/status/1071039270889107456
airgobrand;2018-12-06 12:00;0;1;"@guardian : London schools tackle #airpollution with face masks and air purifiers @airgobrand @BriseCare https:// goo.gl/q5SuKD";;@guardian @airgobrand @BriseCare;#airpollution;"1070724566970970113";https://twitter.com/airgobrand/status/1070724566970970113
BriseCare;2018-12-05 08:16;0;4;"Cute #BRISE pic.twitter.com/lQvri2nU9W";;;#BRISE;"1070305883882700800";https://twitter.com/BriseCare/status/1070305883882700800
BriseCare;2018-12-04 03:15;3;3;"Reduce invisible #allergens inside house since infant age will prevent them from becoming allergic kids, and even later stage #asthma . Read about #AllergyMarch medical report. pic.twitter.com/h3VcrRSQLv";;;#allergens #asthma #AllergyMarch;"1069867825588854784";https://twitter.com/BriseCare/status/1069867825588854784
BriseCare;2018-12-03 08:30;4;4;"Have you ever thought about how long the filter can be used when choosing airpurifier? Our innovative #SmartHEPA tech makes sure that your won’t waste any euro cent on #filter . Not like other conventional #airpurifier . #luchtreiniger #allergy pic.twitter.com/ggJ2YN7UFy";;;#SmartHEPA #filter #airpurifier #luchtreiniger #allergy;"1069584690074537984";https://twitter.com/BriseCare/status/1069584690074537984
iringabim;2018-12-01 15:52;0;1;"Mede als gevolg van de enorme toename van de #fijnstof . Laagvliegen boven land kost veel extra brandstof die bovendien niet volledig verbrandt. Dus explosie fijnstof. Economische groei ten kosten van #volksgezondheid ! @remcovvd @GemeenteEde";;@remcovvd @GemeenteEde;#fijnstof #volksgezondheid;"1068971121024880641";https://twitter.com/iringabim/status/1068971121024880641
BriseCare;2018-12-01 09:28;4;7;"In 2017 kregen naar schatting 87.300 nieuwe patiënten de diagnose astma bij de huisarts: 40.200 mannen en 47.100 vrouwen. Vóór de puberteit is het aantal nieuwe gevallen van astma bij jongens hoger dan bij meisjes. #volksgezondheidenzorg";;;#volksgezondheidenzorg;"1068874379457630208";https://twitter.com/BriseCare/status/1068874379457630208
BriseCare;2018-11-28 11:08;4;5;"Efficiency test of filtering PM2.5 https:// seetheair.wordpress.com/2018/05/22/bri se-c200-pm2-5-efficiency-tests/ … #fijnstof #luchtreiniger #airpurifier";;;#fijnstof #luchtreiniger #airpurifier;"1067812559250698243";https://twitter.com/BriseCare/status/1067812559250698243
BriseCare;2018-11-28 01:51;1;2;"https:// twitter.com/AriaFrescaaaaa a/status/1067561422647934977 …";;;;"1067672222398119936";https://twitter.com/BriseCare/status/1067672222398119936
AriaFrescaaaaaa;2018-11-27 18:30;1;3;"Brise #airpurifier #Trendy #lifestyle 2018 The only way to protect your family against #airpollution from #woodsmoke .";;;#airpurifier #Trendy #lifestyle #airpollution #woodsmoke;"1067561422647934977";https://twitter.com/AriaFrescaaaaaa/status/1067561422647934977
BriseCare;2018-11-27 12:55;3;3;"Take a look at bottom side of front panel of #BRISE C200 ! There is special design for family who has #pets in house. Air can be taken in from floor level since #dog #cat are not so tall #airpurifier #luchtreiniger #allergy #allergieën pic.twitter.com/zAfHRk4iGb";;;#BRISE #pets #dog #cat #airpurifier #luchtreiniger #allergy #allergie;"1067476918826618881";https://twitter.com/BriseCare/status/1067476918826618881
BriseCare;2018-11-27 05:24;1;0;"Review: https:// seetheair.wordpress.com/2018/05/14/rev iew-brise-c200-air-purifier/ …";;;;"1067363556314816513";https://twitter.com/BriseCare/status/1067363556314816513
BriseCare;2018-11-26 15:43;0;1;"After being replaced, reset the life time of filter via App, then it starts with new again.";;;;"1067156837320048640";https://twitter.com/BriseCare/status/1067156837320048640
BriseCare;2018-11-26 15:40;0;1;"Brise App will notify you when the life time of filter is less than 10%. You won’t need to write the datum down anymore. Entirely user oriented.";;;;"1067156280731668480";https://twitter.com/BriseCare/status/1067156280731668480
Gerben_Nebreg;2018-11-26 14:36;0;0;"How do you know when the active carbon filter is to be replaced?";;;;"1067140166962286602";https://twitter.com/Gerben_Nebreg/status/1067140166962286602
