username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nis7029;2018-12-12 00:31;0;0;"@byte_prophecy #d3 #developers https:// twitter.com/mbostock/statu s/1072412362974601216 …";;@byte_prophecy;#d3 #developers;"1072725697947361281";https://twitter.com/nis7029/status/1072725697947361281
nis7029;2018-11-01 06:39;0;0;"#MariaDB @byte_prophecy https:// twitter.com/mangiacaprini/ status/1057238639804121088 …";;@byte_prophecy;#MariaDB;"1057945338923732992";https://twitter.com/nis7029/status/1057945338923732992
nis7029;2018-10-25 02:22;0;0;"#Python @byte_prophecy https:// twitter.com/fvsmassa/statu s/1055205021544079363 …";;@byte_prophecy;#Python;"1055343758881878017";https://twitter.com/nis7029/status/1055343758881878017
byte_prophecy;2018-10-03 06:36;1;2;"Byte Prophecy is hiring for its next phase of growth! Join us https://www. linkedin.com/jobs/view/8770 49133 …";;;;"1047435183882997762";https://twitter.com/byte_prophecy/status/1047435183882997762
nis7029;2018-08-28 01:33;0;1;"#D3 #javascript #Developer @byte_prophecy https:// twitter.com/mbostock/statu s/1034217565436801029 …";;@byte_prophecy;#D3 #javascript #Developer;"1034312996787376128";https://twitter.com/nis7029/status/1034312996787376128
nis7029;2018-08-20 01:11;0;0;"#d3 @byte_prophecy https:// twitter.com/mbostock/statu s/1030111503653851136 …";;@byte_prophecy;#d3;"1031408320718942208";https://twitter.com/nis7029/status/1031408320718942208
nis7029;2018-06-26 05:46;0;3;"#d3 @byte_prophecy https:// twitter.com/mbostock/statu s/1011297781456125953 …";;@byte_prophecy;#d3;"1011546194110177280";https://twitter.com/nis7029/status/1011546194110177280
nis7029;2018-06-06 01:11;0;0;"@byte_prophecy https:// twitter.com/visualisingdat a/status/1002842224411992064 …";;@byte_prophecy;;"1004229181683597312";https://twitter.com/nis7029/status/1004229181683597312
nis7029;2018-04-18 00:40;0;0;"#d3js #developers @byte_prophecy https:// twitter.com/mbostock/statu s/986278131337056257 …";;@byte_prophecy;#d3js #developers;"986464567361339393";https://twitter.com/nis7029/status/986464567361339393
nis7029;2018-03-29 00:44;0;0;"@byte_prophecy #developers https:// twitter.com/mbostock/statu s/979096205794799616 …";;@byte_prophecy;#developers;"979217664315764736";https://twitter.com/nis7029/status/979217664315764736
nis7029;2018-03-13 00:35;0;1;"#d3js #developers @byte_prophecy https:// twitter.com/mbostock/statu s/973366734387257344 …";;@byte_prophecy;#d3js #developers;"973417129000148992";https://twitter.com/nis7029/status/973417129000148992
mushfiqweb;2018-02-07 00:22;0;0;"#ReactJS #Javascript RT @nis7029 : #javascript #React #reactjs #developers @byte_prophecy https:// twitter.com/PhilMangione/s tatus/960958367144595456 …";;@nis7029 @byte_prophecy;#ReactJS #Javascript #javascript #React #reactjs #developers;"961107806513491968";https://twitter.com/mushfiqweb/status/961107806513491968
nis7029;2018-02-06 23:56;0;0;"#javascript #React #reactjs #developers @byte_prophecy https:// twitter.com/PhilMangione/s tatus/960958367144595456 …";;@byte_prophecy;#javascript #React #reactjs #developers;"961101440163905537";https://twitter.com/nis7029/status/961101440163905537
nis7029;2017-11-12 01:15;0;0;"#javascript30 #developers #Nodejs @byte_prophecy https:// twitter.com/JavaScriptDail y/status/929484637226889216 …";;@byte_prophecy;#javascript30 #developers #Nodejs;"929593462713749504";https://twitter.com/nis7029/status/929593462713749504
nis7029;2017-09-22 07:30;0;2;"#javascript #developers #d3js @byte_prophecy https:// twitter.com/mbostock/statu s/910924082857656320 …";;@byte_prophecy;#javascript #developers #d3js;"911191027318366208";https://twitter.com/nis7029/status/911191027318366208
hasjob;2016-11-15 01:09;1;0;"Software Engineer | Front End https:// hasjob.co/byteprophecy.c om/ps3qk … #Ahmedabad @byte_prophecy";;@byte_prophecy;#Ahmedabad;"798407645627613188";https://twitter.com/hasjob/status/798407645627613188
kuntalshah;2016-10-03 07:04;0;0;"Great meeting with @darshit_it and Mrugank @byte_prophecy . Sent you #xtremeprogramming #classic book by @KentBeck . Give it a shot. #payback pic.twitter.com/HhsQq35Wgt";;@darshit_it @byte_prophecy @KentBeck;#xtremeprogramming #classic #payback;"782899228578230272";https://twitter.com/kuntalshah/status/782899228578230272
byte_prophecy;2016-06-08 08:37;0;0;"We are hiring! https:// twitter.com/hasjob/status/ 740516707442122752 …";;;;"740523097481187329";https://twitter.com/byte_prophecy/status/740523097481187329
byte_prophecy;2016-06-08 08:36;0;0;"Get in touch! https:// twitter.com/hasjob/status/ 740519958531051520 …";;;;"740522981689053185";https://twitter.com/byte_prophecy/status/740522981689053185
byte_prophecy;2016-06-08 08:36;0;2;"Check out our new website built as a Progressive Web App http:// byteprophecy.com #pwa";;;#pwa;"740522819600142336";https://twitter.com/byte_prophecy/status/740522819600142336
theimsheth;2016-06-08 08:27;0;0;"Job: UI/UX Designer | Web apps @byte_prophecy https:// hasjob.co/byteprophecy.c om/kczjr?utm_campaign=share&utm_medium=twitter … via @hasjob";;@byte_prophecy @hasjob;;"740520607620567040";https://twitter.com/theimsheth/status/740520607620567040
hasjob;2016-06-08 08:24;1;0;"UI/UX Designer | Web apps https:// hasjob.co/byteprophecy.c om/kczjr … #Ahmedabad @byte_prophecy";;@byte_prophecy;#Ahmedabad;"740519958531051520";https://twitter.com/hasjob/status/740519958531051520
theimsheth;2016-06-08 08:14;0;0;"Job: Software Engineer | Front End @byte_prophecy https:// hasjob.co/byteprophecy.c om/q3l9e?utm_campaign=share&utm_medium=twitter … via @hasjob";;@byte_prophecy @hasjob;;"740517401112940544";https://twitter.com/theimsheth/status/740517401112940544
hasjob;2016-06-08 08:11;1;1;"Software Engineer | Front End https:// hasjob.co/byteprophecy.c om/q3l9e … #Ahmedabad @byte_prophecy";;@byte_prophecy;#Ahmedabad;"740516707442122752";https://twitter.com/hasjob/status/740516707442122752
