username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
C2RO_Robotics;2018-12-20 14:26;1;1;"Come experience the future of retail with #C2RO at @NRFBigShow and see for yourself how machine vision can personalize and enhance retail customer experiences. Book a demo with us at http:// c2ro.com/nrf-2019 #NRF2019 #machinevision #Retail #CX pic.twitter.com/dABBPTA18u";;@NRFBigShow;#C2RO #NRF2019 #machinevision #Retail #CX;"1075834870998417416";https://twitter.com/C2RO_Robotics/status/1075834870998417416
TandemLaunch;2018-12-17 09:57;2;5;"If you weren't able to make it to @AWSreInvent last month to attend @C2RO_Robotics 's talk on AWS IoT Analytics, you can catch it in the link below! https://www. youtube.com/watch?v=I-tynk aNg9Y&feature=youtu.be&t=1554 …";;@AWSreInvent @C2RO_Robotics;;"1074680092356476928";https://twitter.com/TandemLaunch/status/1074680092356476928
ZuzuDotAI;2018-12-14 08:43;0;3;"RT @ChrisCasemore : Canadian Government to invest $6.3 million in Montreal AI companies https:// hubs.ly/H0fRW4t0 #AI #montreal #canada #tech #innovation @element_ai @imagia_ai @keatextai @ara_robotique @C2RO_Robotics @roof_ai";;@ChrisCasemore @element_ai @imagia_ai @keatextai @ara_robotique @C2RO_Robotics @roof_ai;#AI #montreal #canada #tech #innovation;"1073574167813992451";https://twitter.com/ZuzuDotAI/status/1073574167813992451
ChrisCasemore;2018-12-14 08:40;3;9;"Canadian Government to invest $6.3 million in Montreal AI companies https:// hubs.ly/H0fRW4t0 #AI #montreal #canada #tech #innovation @element_ai @imagia_ai @keatextai @ara_robotique @C2RO_Robotics @roof_ai";;@element_ai @imagia_ai @keatextai @ara_robotique @C2RO_Robotics @roof_ai;#AI #montreal #canada #tech #innovation;"1073573410587009025";https://twitter.com/ChrisCasemore/status/1073573410587009025
GrandMTL;2018-12-13 14:10;0;4;"@element_ai obtient un financement de 5 millions de dollars du palier administratif fédéral. @imagia_ai , @KeatextAI , @ARA_Robotique, @C2RO_Robotics et Roof Ai se partagent quant à eux 1,3 million de dollars. #IA http:// bit.ly/2Lc3w7S pic.twitter.com/Xm9LS9qzFW";;@element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics;#IA;"1073293982782943232";https://twitter.com/GrandMTL/status/1073293982782943232
TandemLaunch;2018-12-10 13:46;0;2;"Congrats to @Soodeh_Farokhi , Founder and CTO of @C2RO_Robotics on being recognized as one of the top 750 digital innovators of the world! pic.twitter.com/EhbOZtHxHj";;@Soodeh_Farokhi @C2RO_Robotics;;"1072200896942100482";https://twitter.com/TandemLaunch/status/1072200896942100482
Soodeh_Farokhi;2018-12-10 12:59;1;14;"As the founder of @C2RO_Robotics , I'm honored to be selected among the 750 digital #innovators in the world in 2018 by #DataBird Research Journal pic.twitter.com/qHOMwSJOAC";;@C2RO_Robotics;#innovators #DataBird;"1072189061912244229";https://twitter.com/Soodeh_Farokhi/status/1072189061912244229
RaphaelAttias;2018-12-07 11:37;0;2;"@SkillogsAcarya @MILAMontreal @Institut_Dataia @IBMWatson #ai4humanity @TRInnovLeaders @bramsonboudreau";;@SkillogsAcarya @MILAMontreal @Institut_Dataia @IBMWatson @TRInnovLeaders @bramsonboudreau;#ai4humanity;"1071081290013786112";https://twitter.com/RaphaelAttias/status/1071081290013786112
ActuIAFr;2018-12-07 06:48;11;25;"Le #Canada investit dans 6 entreprises d' #IntelligenceArtificielle et créé 1000 #emplois @element_ai @imagia_ai @ARA_Robotique @C2RO_Robotics @KeatextAI @roof_ai - @DevEconCan #Montréal #IA https:// bit.ly/2QiT5VP";;@element_ai @imagia_ai @ARA_Robotique @C2RO_Robotics @KeatextAI @roof_ai @DevEconCan;#Canada #IntelligenceArtificielle #emplois #Montr #IA;"1071008525269254144";https://twitter.com/ActuIAFr/status/1071008525269254144
ID_MTL;2018-12-06 13:02;3;6;"Le gouvernement du #Canada investit 6,3 M$ dans 6 entreprises montréalaises en #IntelligenceArtificielle | @DevEconCan #Montréal #ArtificialIntelligence #AI @imagia_ai @element_ai @ARA_Robotique @C2RO_Robotics Français > https:// bit.ly/2AVz8Kb English > https:// bit.ly/2E4Ztsn pic.twitter.com/kYu3RrutNf";;@DevEconCan @imagia_ai @element_ai @ARA_Robotique @C2RO_Robotics;#Canada #IntelligenceArtificielle #Montr #ArtificialIntelligence #AI;"1070740283208409091";https://twitter.com/ID_MTL/status/1070740283208409091
FScammells;2018-12-06 10:30;2;3;"Government of Canada invests nearly $6.3 mil to support @element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics & @roof_ai "This investment will help accelerate the company's global expansion & create jobs" @iamannemartel #CanadaAI http:// bit.ly/2BUpxVC pic.twitter.com/XBag5W1Taq";;@element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics @roof_ai @iamannemartel;#CanadaAI;"1070702136760119298";https://twitter.com/FScammells/status/1070702136760119298
BQToronto1;2018-12-06 10:18;0;4;"Annonce - #DEC (Développement #économique #Canada pour les régions du #Québec ) - 6 entreprises #montréalaises prennent leur envol et partent à la conquête de nouveaux marchés @element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics #RoofAi @economie_quebec #IA #Innovation https:// twitter.com/DevEconCan/sta tus/1070420066867535872 …";;@element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics @economie_quebec;#DEC # #Canada #Qu #montr #RoofAi #IA #Innovation;"1070698915555631105";https://twitter.com/BQToronto1/status/1070698915555631105
Aerial_IOT;2018-12-05 15:21;1;6;"Congrats to @element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics & http:// Roof.ai . Such exciting times to be working in #AI in #Montreal https:// twitter.com/MTLINTL/status /1070409391814443008 …";;@element_ai @imagia_ai @KeatextAI @ARA_Robotique @C2RO_Robotics;#AI #Montreal;"1070412961427054592";https://twitter.com/Aerial_IOT/status/1070412961427054592
TandemLaunch;2018-12-05 14:11;2;6;"Great news! Minister @NavdeepSBains announced that the Government of @Canada is making a major investment in @C2RO_Robotics to support its international growth. Congrats to the team at @C2RO_Robotics ! Details http:// bit.ly/2L4c5l7 pic.twitter.com/syissnfDIV";;@NavdeepSBains @Canada @C2RO_Robotics @C2RO_Robotics;;"1070395140534165506";https://twitter.com/TandemLaunch/status/1070395140534165506
wangjian3362;2018-12-05 11:45;0;0;"哈哈";;;;"1070358627611885568";https://twitter.com/wangjian3362/status/1070358627611885568
C2RO_Robotics;2018-12-05 10:43;2;9;"Our CEO, Riccardo Badalone, with Minister @NavdeepSBains after his announcement of a major investment in AI for MTL companies at @element_ai . #C2RO #ArtificialIntelligence #Montreal pic.twitter.com/4FxqQngEbE";;@NavdeepSBains @element_ai;#C2RO #ArtificialIntelligence #Montreal;"1070342796685520896";https://twitter.com/C2RO_Robotics/status/1070342796685520896
C2RO_Robotics;2018-11-29 14:13;0;3;"#C2RO x #AWS at #reInvent 2018 is about to start! Join us at 3 in the MGM Grand Ballroom to learn how to unlock the value of the HERE & NOW";;;#C2RO #AWS #reInvent;"1068221529580810241";https://twitter.com/C2RO_Robotics/status/1068221529580810241
Soodeh_Farokhi;2018-11-28 14:03;0;2;"@C2RO_Robotics as @AWS partner will be on stage tomorrow at @AWSreInvent to present #C2ROENGAGE and demonstrating how the #AWS IoT Analytics platform can be used to make data preparation and analysis more efficient and valuable. https:// twitter.com/C2RO_Robotics/ status/1067853301239218177 …";;@C2RO_Robotics @AWS @AWSreInvent;#C2ROENGAGE #AWS;"1067856447193657344";https://twitter.com/Soodeh_Farokhi/status/1067856447193657344
C2RO_Robotics;2018-11-28 13:50;0;4;"Don’t miss #C2RO at #reInvent tomorrow, talking about the #AWS IoT Analytics platform. Join the session to step up your IoT #analytics game! pic.twitter.com/oLr0xwW7MA";;;#C2RO #reInvent #AWS #analytics;"1067853301239218177";https://twitter.com/C2RO_Robotics/status/1067853301239218177
ben11kehoe;2018-11-27 12:18;0;1;"It’s true (and amazon’s robotics is narrow in scope), though I don’t think though smaller companies are going to be successful at turning robotics experience into proper scalable, affordable cloud services to commodities robotics (though @C2RO_Robotics is giving it a go).";;@C2RO_Robotics;;"1067467593106153474";https://twitter.com/ben11kehoe/status/1067467593106153474
bestinsaasaward;2018-11-19 14:50;0;0;"Further separate yourself from your competitors @c2ro_robotics !!! Enter your nominations to WIN in the 2019 Best in SaaS Awards!!! http:// ow.ly/hPL130mFCNz";;@c2ro_robotics;;"1064606778065866755";https://twitter.com/bestinsaasaward/status/1064606778065866755
McGill_CIM;2018-11-13 16:24;2;3;"Amir Haji Abolhassani, computer vision specialist at @C2RO_Robotics at the @McGill_CIM Student Research Showcase. @C2RO_Robotics is a member of the @McGill_CIM Industrial Affiliates Program. pic.twitter.com/18ZitJQPSi";;@C2RO_Robotics @McGill_CIM @C2RO_Robotics @McGill_CIM;;"1062456181531258880";https://twitter.com/McGill_CIM/status/1062456181531258880
AlduxVM;2018-11-09 21:59;0;0;"Customer deployment on the works! #cloudrobotics @C2RO_Robotics pic.twitter.com/WA5BkHWHWU";;@C2RO_Robotics;#cloudrobotics;"1061090969704108032";https://twitter.com/AlduxVM/status/1061090969704108032
TechSciResearch;2018-11-08 04:28;1;2;"#Cloud #Robotics market is expected to grow at a double digit CAGR during the #forecast period. https:// goo.gl/xc23Un #IoT #AI @Huawei @RapyutaRobotics @CloudMinds_Tech @C2RO_Robotics pic.twitter.com/JyE4oPGRsu";;@Huawei @RapyutaRobotics @CloudMinds_Tech @C2RO_Robotics;#Cloud #Robotics #forecast #IoT #AI;"1060464069097021440";https://twitter.com/TechSciResearch/status/1060464069097021440
FScammells;2018-11-07 04:58;1;1;"Congratulations to top players recognized n the #GlobalCloudRobotics market report! Montreal's @C2RO_Robotics along with @RapyutaRobotics @HitRobot @AmazonRobotics , @GoogleAI , @Huawei , @IBMcloud , and @Microsoft ! http:// bit.ly/2F8B7QE pic.twitter.com/U8cV415lkq";;@C2RO_Robotics @RapyutaRobotics @HitRobot @AmazonRobotics @GoogleAI @Huawei @IBMcloud @Microsoft;#GlobalCloudRobotics;"1060109314667528192";https://twitter.com/FScammells/status/1060109314667528192
TandemLaunch;2018-11-06 15:57;0;1;"Congratulations @C2RO_Robotics for once again being recognized as a top player in the global cloud robotic market along with players like @AmazonRobotics , @GoogleAI , @Huawei , @IBMcloud , and @Microsoft ! https:// bit.ly/2JKaWyq";;@C2RO_Robotics @AmazonRobotics @GoogleAI @Huawei @IBMcloud @Microsoft;;"1059912791270875138";https://twitter.com/TandemLaunch/status/1059912791270875138
TandemLaunch;2018-10-19 16:55;0;0;"Stringent password policies help prevent fraud, @IUBloomington study finds. @TandemLaunch is working with IU's Professor Geoffrey Fox together with @C2RO_Robotics . https:// bit.ly/2NPWeq3";;@IUBloomington @TandemLaunch @C2RO_Robotics;;"1053389234822938629";https://twitter.com/TandemLaunch/status/1053389234822938629
plasmacomp;2018-10-08 15:14;1;0;"#Tattoos conduct electricity, turn #humans into basic cyborgs >> @MikeQuindazzi >> #HealthTech #IoT #Wearables #DataAnalytics #Robotics #FinTech #WearableTech https:// twitter.com/MikeQuindazzi/ status/1044587976980910081 … cc: @IoTInsights @SmartIoTBlog @IIoTEvolution @GoIIoT @IIoTML @C2RO_Robotics @IoT2030 @IOTMELB";;@MikeQuindazzi @IoTInsights @SmartIoTBlog @IIoTEvolution @GoIIoT @IIoTML @C2RO_Robotics @IoT2030 @IOTMELB;#Tattoos #humans #HealthTech #IoT #Wearables #DataAnalytics #Robotics #FinTech #WearableTech;"1049377392509292545";https://twitter.com/plasmacomp/status/1049377392509292545
C2RO_Robotics;2018-09-17 12:49;0;1;"Proud to be a part of @Startup_Canada 's Canadian Export Challenge in Montreal on Sept 24! Come and watch @C2RO_Robotics pitch in a competition to win $1000 and the chance to move on to compete in Ottawa for $10,000! #AI #Robotics #cloudrobotics http:// bit.ly/2NV6Rfm";;@Startup_Canada @C2RO_Robotics;#AI #Robotics #cloudrobotics;"1041730779930341376";https://twitter.com/C2RO_Robotics/status/1041730779930341376
SisterMcdull;2018-09-13 11:48;0;0;"Hey Aldo,:)";;;;"1040265890028298240";https://twitter.com/SisterMcdull/status/1040265890028298240
TandemLaunch;2018-09-13 11:17;4;5;"Did you hear? Three of our portfolio startup companies here at @TandemLaunch are semifinalists in @TechCoHQ 's Startup of the Year 2018! @C2RO_Robotics , @WaveliteIoT & @Soundskrit will be competing to become THE STARTUP OF THE YEAR! https:// bit.ly/2xdKRSs pic.twitter.com/69JGKAHnYs";;@TandemLaunch @TechCoHQ @C2RO_Robotics @WaveliteIoT @Soundskrit;;"1040258160064438272";https://twitter.com/TandemLaunch/status/1040258160064438272
TandemLaunch;2018-09-05 14:49;0;1;"Curious how face recognition software can change retail shopping? The in-person shopping interaction always starts at ;"How can I help you?" which can be a drag. @C2RO_Robotics have a solution for this. Check out what @C2RO_Robotics are up to. https:// bit.ly/2LXhGs8";;@C2RO_Robotics @C2RO_Robotics;;"1037412435467153408";https://twitter.com/TandemLaunch/status/1037412435467153408
C2RO_Robotics;2018-09-04 20:28;0;3;"It is a great honour to be recognized once again as a top player at the #CloudRobotics market along with @Google @IBM @AmazonRobotics and @Microsoft https://www. openpr.com/news/1218813/G lobal-Cloud-Robotics-Market-trends-and-business-development-strategies-forecast-by-2025-with-top-player-analysis-Amazon-Robotics-Google-Huawei-Technologies-IBM-Microsoft-C2RO-Cloud-Robotics-CloudMinds-Technology-Inc-Ericsson-Rockwell-Automatio.html …";;@Google @IBM @AmazonRobotics @Microsoft;#CloudRobotics;"1037135283479896066";https://twitter.com/C2RO_Robotics/status/1037135283479896066
StartupofYear;2018-08-17 11:42;2;1;"Guess who is headed to #Boston ? @BitsboxKids , @buoy_labs & @C2RO_Robotics are! They were selected in the first 50 of 100 startups competing for Startup of the Year at #InnovateCelebrate . Check out the other startups & spread the great news > http:// bit.ly/first50SOTY pic.twitter.com/4aZDht4qiM";;@BitsboxKids @buoy_labs @C2RO_Robotics;#Boston #InnovateCelebrate;"1030480058631237633";https://twitter.com/StartupofYear/status/1030480058631237633
TandemLaunch;2018-08-16 13:48;0;0;"What if we can help blind and visually impaired people navigate the web? That's exactly what Davide Bolchini at @IUBloomington did. Our portfolio company, @C2RO_Robotics also utilizes research completed by Professor Geoffrey Fox from @IUBloomington . https:// news.iu.edu/stories/2018/0 8/iupui/02-researcher-seeks-to-untether-blind-and-visually-impaired-users-with-screenless-mobile-phones.html …";;@IUBloomington @C2RO_Robotics @IUBloomington;;"1030149288943386624";https://twitter.com/TandemLaunch/status/1030149288943386624
TandemLaunch;2018-08-08 10:14;1;3;"Did you ever want to work within a growing startup ecosystem with entrepreneurs, researchers and engineers? @C2RO_Robotics is looking for an AI Research Lead who is willing to solve industry challenges in the field of AI computer vision and cloud robotics! https:// c2ro.breezy.hr/p/06f1f2190947 -ai-research-lead …";;@C2RO_Robotics;;"1027196477523853312";https://twitter.com/TandemLaunch/status/1027196477523853312
