username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wil_bielert;2018-12-21 05:22;0;1;"Hey @CausaLens , Thank you for the follow!";;@CausaLens;;"1076060260253749248";https://twitter.com/wil_bielert/status/1076060260253749248
CausaLens;2018-12-11 07:32;0;4;"Throwback at the @CausaLens presentation at @MCubedLondon discussing the Next Generation of Predictive Technology for Complex and Dynamic Systems! #M3London #MachinePredictingTheEconomy #AutoML #TimeSeries #PredictiveAnalytics #AutomatedMachineLearning https://www. youtube.com/watch?v=95tmu3 xmHJ4&feature=youtu.be …";;@CausaLens @MCubedLondon;#M3London #MachinePredictingTheEconomy #AutoML #TimeSeries #PredictiveAnalytics #AutomatedMachineLearning;"1072469113174413318";https://twitter.com/CausaLens/status/1072469113174413318
CausaLens;2018-12-06 12:33;0;5;"It was awesome having our CEO, @DarkoMatovski presenting at Google Stage at #slush18 the causaLens machine that predicts the global economy in real-time! #slush #MachinePredictingTheEconomy #AutoML #TimeSeries #Predictions #AI #PredictiveAnalytics #AutomatedMachineLearning pic.twitter.com/UlZZfWUahl";;@DarkoMatovski;#slush18 #slush #MachinePredictingTheEconomy #AutoML #TimeSeries #Predictions #AI #PredictiveAnalytics #AutomatedMachineLearning;"1070733049472708608";https://twitter.com/CausaLens/status/1070733049472708608
TMollinger;2018-12-05 07:40;1;2;"@CausaLens presenting at @SlushHQ https:// twitter.com/GoogleCloudNor d/status/1070288555203796997 …";;@CausaLens @SlushHQ;;"1070296771627311105";https://twitter.com/TMollinger/status/1070296771627311105
GoogleCloudNord;2018-12-05 07:07;1;6;". @causaLens is building the next generation of predictive technology for complex and dynamic systems. At our stage CEO @DarkoMatovski speaks about a machine that predicts the global economy in real-time. #Slush18 pic.twitter.com/teHHEW8xtw";;@causaLens @DarkoMatovski;#Slush18;"1070288555203796997";https://twitter.com/GoogleCloudNord/status/1070288555203796997
BakerLJ;2018-12-05 03:57;0;1;"Hello Tiffany, may I invite you to @ThinkRiseLDN for a coffee and to establish @seldon_io on your radar? https://www. youtube.com/watch?v=pDlapG tecbY&t=24s …";;@ThinkRiseLDN @seldon_io;;"1070240667841019904";https://twitter.com/BakerLJ/status/1070240667841019904
CBioAugSystems;2018-12-04 06:23;0;1;"Hi @tiffanyyoung01 - we're now called BIOS at @BIOShealth - is it possible to change in the article and link to our new website https://www. bios.health / ?";;@tiffanyyoung01 @BIOShealth;;"1069914973814558720";https://twitter.com/CBioAugSystems/status/1069914973814558720
Helene_wild_ai;2018-12-03 18:01;1;6;"Proud of our investment @CausaLens ! Way to go ! https:// twitter.com/CausaLens/stat us/1069575877355335681 …";;@CausaLens;;"1069728249465335808";https://twitter.com/Helene_wild_ai/status/1069728249465335808
tasabat;2018-12-03 17:25;0;0;"Hey @kdnuggets , Grakn's handle is @GraknLabs ;)";;@kdnuggets @GraknLabs;;"1069719297818284032";https://twitter.com/tasabat/status/1069719297818284032
CausaLens;2018-12-03 07:55;1;3;"@Forbes features @CausaLens in the top 15 Machine Learning companies to watch in Europe. Keep up the good work team! #MachinePredictingTheEconomy #AutoML #TimeSeries #Predictions #DynamicSystems #AI #PredictiveAnalytics #AutomatedMachineLearning https://www. forbes.com/sites/tiffanyy oung1/2018/11/27/15-machine-learning-companies-to-watch-in-europe/#567e9b181b99 …";;@Forbes @CausaLens;#MachinePredictingTheEconomy #AutoML #TimeSeries #Predictions #DynamicSystems #AI #PredictiveAnalytics #AutomatedMachineLearning #567e9b181b99;"1069575877355335681";https://twitter.com/CausaLens/status/1069575877355335681
