username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_sagarbhatt;2017-05-26 16:29;0;0;"@ccoboxinfo , are you still looking for software engineer summer intern? I am really interested in this opportunity! Thank you.";;@ccoboxinfo;;"868202396593344512";https://twitter.com/_sagarbhatt/status/868202396593344512
FinTechPC;2017-05-25 14:43;0;1;". @ccoboxinfo is #upgrading transaction monitoring at issuing banks. #Innovators @pnpfintech pic.twitter.com/jL1ifDXtDE";;@ccoboxinfo @pnpfintech;#upgrading #Innovators;"867813454035521536";https://twitter.com/FinTechPC/status/867813454035521536
canaanpartners;2017-04-19 00:08;1;2;"VIDEO from our West Coast #FinTechCentral event led by @MBGilroy with @LendingClub @plaid @CitiVentures @ccoboxinfo https:// youtu.be/75pAQ1U64QQ";;@MBGilroy @LendingClub @plaid @CitiVentures @ccoboxinfo;#FinTechCentral;"854547266517979137";https://twitter.com/canaanpartners/status/854547266517979137
canaanpartners;2017-04-18 20:00;9;10;"We recently held our 1st West Coast #FinTechCentral w @LendingClub @CitiVentures @plaid @ccoboxinfo . Here's a recap! https:// blog.canaan.com/fintech-centra l-the-2nd-wave-of-fintech-4abd7b899097 …";;@LendingClub @CitiVentures @plaid @ccoboxinfo;#FinTechCentral;"854484805584605186";https://twitter.com/canaanpartners/status/854484805584605186
MBGilroy;2017-04-18 18:02;1;2;"We recently held our 1st West Coast #FintechCentral with @LendingClub @Citi @plaidhq & @ccoboxinfo . Here's a recap! https:// medium.com/@MBGilroy/fint ech-central-the-2nd-wave-of-fintech-4abd7b899097 …";;@LendingClub @Citi @plaidhq @ccoboxinfo @MBGilroy;#FintechCentral;"854455105462181889";https://twitter.com/MBGilroy/status/854455105462181889
pnpfintech;2017-04-10 19:42;1;1;". @ccoboxinfo gives their prediction for 2017. #AML pic.twitter.com/IpJ8bMD8nb";;@ccoboxinfo;#AML;"851581198426005504";https://twitter.com/pnpfintech/status/851581198426005504
PlugandPlayTC;2017-04-10 14:46;4;2;"Article w/ @trulioo @getShoCard @ccoboxinfo @bigidsecure @authomateinc: 6 #Fintech Trends for Anti-Money Laundering http:// buff.ly/2oZit1B pic.twitter.com/S7JsLwSqG2";;@trulioo @getShoCard @ccoboxinfo @bigidsecure @authomateinc;#Fintech;"851506593829093376";https://twitter.com/PlugandPlayTC/status/851506593829093376
canaanpartners;2017-04-06 22:45;5;7;"Great night! Thanks to everyone who joined us for #FinTechCentral @LendingClub @Plaid @CitiVentures @ccoboxinfo @MBGilroy pic.twitter.com/DRppHBpeSl";;@LendingClub @Plaid @CitiVentures @ccoboxinfo @MBGilroy;#FinTechCentral;"850177629831348224";https://twitter.com/canaanpartners/status/850177629831348224
canaanpartners;2017-04-06 21:44;1;2;". @ccoboxinfo and @plaid 's mission is to build the next gen #fintech infrastructure #FinTechCentral @canaanpartners pic.twitter.com/MECyKeZ9iz";;@ccoboxinfo @plaid @canaanpartners;#fintech #FinTechCentral;"850162296835850240";https://twitter.com/canaanpartners/status/850162296835850240
canaanpartners;2017-04-06 21:29;3;7;". @MBGilroy kicking off #FinTechCentral w @SameerGulatiLC @LendingClub , @zachperret @plaid , Ben D. @ccoboxinfo , Victoria C. @CitiVentures pic.twitter.com/2MTUWvDHqr";;@MBGilroy @SameerGulatiLC @LendingClub @zachperret @plaid @ccoboxinfo @CitiVentures;#FinTechCentral;"850158576282750977";https://twitter.com/canaanpartners/status/850158576282750977
