username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TerriMcCormic10;2018-05-28 09:42;1;0;"Elon: Disruption of the political class and its press has begun. Our big data research and analytics has provided the IP to do so ... @LeadershipInGov https:// twitter.com/elonmusk/statu s/1000474267161513984 …";;@LeadershipInGov;;"1001096408387276801";https://twitter.com/TerriMcCormic10/status/1001096408387276801
LeadershipInGov;2018-03-14 14:43;1;0;"@TerriMcCormic10 Please take a look at this new tool that will access leadership qualities / types of Public Leaders. https:// twitter.com/LeadershipInGo v/status/973565683081666561 …";;@TerriMcCormic10;;"973993064757899278";https://twitter.com/LeadershipInGov/status/973993064757899278
LeadershipInGov;2018-03-13 10:25;1;2;"Learn the story behind "HAVE POLITICAL LEADERS FAILED THE AMERICAN PEOPLE?" and help us meet our goal. @indiegogo https:// igg.me/at/cpl";;@indiegogo;;"973565683081666561";https://twitter.com/LeadershipInGov/status/973565683081666561
LeadershipInGov;2018-03-12 15:30;0;0;"Political Leadership and toughness - a new standard for breakthroughs in American foreign policy? ... What do the EXPERTS SAY? https:// twitter.com/FullMeasureNew s/status/969709053902499840 …";;;;"973280035837763585";https://twitter.com/LeadershipInGov/status/973280035837763585
LeadershipInGov;2018-03-12 15:18;0;0;"Statements Like this from @LouDobbs point to the fact that Political Leaders are influenced by more than the citizens who elect them. Public Policy for the greater good suffers as a result... https:// twitter.com/LouDobbs/statu s/971152305822330880 …";;@LouDobbs;;"973276941020291073";https://twitter.com/LeadershipInGov/status/973276941020291073
LeadershipInGov;2018-03-12 14:58;0;0;"MEASURING personal freedom against the construct of Freedom. @FactTank https:// twitter.com/RichardWike/st atus/973229671621058560 …";;@FactTank;;"973272121722966016";https://twitter.com/LeadershipInGov/status/973272121722966016
LeadershipInGov;2018-03-12 14:58;0;0;"@RichardWike - nice scatter plot. Can this methodology be suggested for other applications? https:// twitter.com/RichardWike/st atus/973229671621058560 …";;@RichardWike;;"973271944194875393";https://twitter.com/LeadershipInGov/status/973271944194875393
LeadershipInGov;2018-03-12 14:48;1;2;"What form of Political Leader is needed in today's age of digital communication and engaged citizenry?";;;;"973269598626897925";https://twitter.com/LeadershipInGov/status/973269598626897925
LeadershipInGov;2018-03-12 14:47;0;0;"@SebGorka More to the point - what checks and balances to the power of unelected bureaucrats are in place?";;@SebGorka;;"973269327016333318";https://twitter.com/LeadershipInGov/status/973269327016333318
LeadershipInGov;2018-03-09 09:47;0;0;"@ForeignPolicy Announced @POTUS U.S. President Donald Trump on Thursday accepted an invitation to meet with North Korean leader Kim Jong Un within two months.If the two do actually meet its an unprecedented sumsitting U.S. president has ever met with a North Korean leader.";;@ForeignPolicy @POTUS;;"972121706771906561";https://twitter.com/LeadershipInGov/status/972121706771906561
TerriMcCormic10;2018-03-08 14:59;0;0;"Deep State Politics: alive and well? @LeadershipInGov https:// twitter.com/TerriMcCormic1 0/status/909515776994004993 …";;@LeadershipInGov;;"971837917575380993";https://twitter.com/TerriMcCormic10/status/971837917575380993
thefairelection;2018-03-04 12:51;0;0;"Exactly. Criminal forfeiture has been misused. And for the same reason, if criminality is proven, I want Civil forfeiture of 45’s wrongs to the public: E.Os, cabinet, staff, deregs, jurists. The swamp is why I developed a campaign financing alternative.";;;;"970356110786945024";https://twitter.com/thefairelection/status/970356110786945024
LeadershipInGov;2018-02-26 10:45;0;0;"@POTUS Ask an Expert on School and Homeland Security to assist with School Safety! - @tracybeanz is a former teacher, coach, administrator with Homeland Security Clearance @DonaldTrump @EricTrump https:// twitter.com/tracybeanz/sta tus/967964696870576128 …";;@POTUS @tracybeanz @DonaldTrump @EricTrump;;"968149987862437889";https://twitter.com/LeadershipInGov/status/968149987862437889
LeadershipInGov;2018-02-16 10:24;0;1;"Talk later";;;;"964520880905711616";https://twitter.com/LeadershipInGov/status/964520880905711616
LeadershipInGov;2018-02-14 13:25;0;0;"Congressman Issa Identifies a Corrupt Donor System Writing Public Policy in Washington, D.C. Congressman Daryll Issa's Exit Interview on Full Measure, makes the case for work at the Center for Leadership in Government. http:// fullmeasure.news/news/full-epis odes/full-measure-february-4-2018 …";;;;"963841683648602114";https://twitter.com/LeadershipInGov/status/963841683648602114
TerriJMcCormick;2018-01-31 12:39;1;0;"THANK YOU FOR YOUR SERVICE: You served with integrity and self sacrifice traits in a Political Leader that will be sorely missed. @TGOWDYSC @LeadershipInGov https:// twitter.com/TGowdySC/statu s/958750202206318592 …";;@TGOWDYSC @LeadershipInGov;;"958756580652191744";https://twitter.com/TerriJMcCormick/status/958756580652191744
LeadershipInGov;2017-09-18 14:41;0;1;"One-of-a-kind research center will inform public about who politicians ‘really are’ https:// badgerherald.com/news/2016/03/1 5/one-of-a-kind-research-center-will-inform-public-about-who-politicians-really-are/ … via @badgerherald";;@badgerherald;;"909849989794418688";https://twitter.com/LeadershipInGov/status/909849989794418688
LeadershipInGov;2017-05-24 11:26;0;0;"@TerriMcCormic10 @fox11producer @WBAY @pressgazette @journalsentinel https:// twitter.com/LeadershipInGo v/status/867390649418616832 …";;@TerriMcCormic10 @fox11producer @WBAY @pressgazette @journalsentinel;;"867401465324859395";https://twitter.com/LeadershipInGov/status/867401465324859395
LeadershipInGov;2017-05-24 10:43;1;1;"Check out "FIRST 100 DAYS: EXECUTIVE ROUND TABLE " https://www. eventbrite.com/e/first-100-da ys-executive-round-table-tickets-34855696326?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&aff=estw&utm-source=tw&utm-term=listing … @Eventbrite";;@Eventbrite;;"867390649418616832";https://twitter.com/LeadershipInGov/status/867390649418616832
LeadershipInGov;2016-03-31 20:56;0;0;"Democrat Presidential Candidates refer to each other as Liars: https:// twitter.com/jaketapper/sta tus/715701829800222721 …";;;;"715704348236341249";https://twitter.com/LeadershipInGov/status/715704348236341249
LeadershipInGov;2016-03-31 20:53;0;0;"The Impact of Poor Political Leadership can be seen in the @WHOUkraine : https:// twitter.com/CSIS/status/71 5702726047326208 …";;@WHOUkraine;;"715703491340017669";https://twitter.com/LeadershipInGov/status/715703491340017669
LeadershipInGov;2016-03-31 20:41;0;0;"2016 Presidential Race: How have the Party Chairs shaped/responded to the Insider versus Outsider candidates? https:// twitter.com/thehill/status /715698962334920710 …";;;;"715700699066146816";https://twitter.com/LeadershipInGov/status/715700699066146816
LeadershipInGov;2016-03-31 20:35;0;0;"Ted Cruz hits the campaign trail in WI with wife Heidi and Carly Fiorina; He is doing well with women at the polls? https:// twitter.com/MarkHalperin/s tatus/715696339615670278 …";;;;"715699000205307904";https://twitter.com/LeadershipInGov/status/715699000205307904
LeadershipInGov;2016-03-31 20:28;0;0;"AS THE GOP PRIMARY HEATS UP: the pledge to support the winner disappears. https:// twitter.com/FoxNews/status /715372819157114881 …";;;;"715697311922388992";https://twitter.com/LeadershipInGov/status/715697311922388992
LeadershipInGov;2016-03-28 13:39;0;2;"@FoxNews @DonaldJTrumpJr @realDonaldTrump @foxandfriends Isn't this common sense? Without proper security on our borders we are vulnerable.";;@FoxNews @DonaldJTrumpJr @realDonaldTrump @foxandfriends;;"714507146717605888";https://twitter.com/LeadershipInGov/status/714507146717605888
LeadershipInGov;2016-03-28 13:38;0;1;"Mr. Trump believes opening borders without adequate security makes US citizens vulnerable to attack. Don't we all? https:// twitter.com/FoxNews/status /714424004732256257 …";;;;"714506884644937728";https://twitter.com/LeadershipInGov/status/714506884644937728
LeadershipInGov;2016-03-24 15:26;0;0;"@FoxBusiness reveals Romney to be the "Cleveland" Nominee - Impact? 'World War III': Insiders Speak Out http:// nbcnews.to/1LunWGU via @nbcnews";;@FoxBusiness @nbcnews;;"713084581126266880";https://twitter.com/LeadershipInGov/status/713084581126266880
LeadershipInGov;2016-03-22 20:07;0;0;"Dr. @TerriMcCormic10 discusses the Presidential Primary on WKOW Madison Television: http://www. wkow.com/category/13515 3/video-landing-page?clipId=12306138&autostart=true …";;@TerriMcCormic10;;"712430466763075584";https://twitter.com/LeadershipInGov/status/712430466763075584
TerriJMcCormick;2016-03-19 21:34;0;0;"@TerriMcCormic10 @nancymace @RepTJMcCormick @LeadershipInGov Research shows Mr. Trump shows more leadership traits than other candidates.";;@TerriMcCormic10 @nancymace @RepTJMcCormick @LeadershipInGov;;"711365266622394368";https://twitter.com/TerriJMcCormick/status/711365266622394368
LeadershipInGov;2016-03-03 19:58;0;0;"Examining the variables that shape American presidential candidates and their leadership. Are politicians in fact leaders?";;;;"705558029505339392";https://twitter.com/LeadershipInGov/status/705558029505339392
LeadershipInGov;2016-03-03 19:45;0;0;"Evidently "Paul Ryan states that he is neutral on 2016 presidential race today"... https:// twitter.com/thehill/status /705554123752660992 …";;;;"705554821173084160";https://twitter.com/LeadershipInGov/status/705554821173084160
LeadershipInGov;2016-03-03 19:41;0;0;"@JoeNBC @realDonaldTrump It would appear it will take several other resounding victories through to the Convention.";;@JoeNBC @realDonaldTrump;;"705553841169764353";https://twitter.com/LeadershipInGov/status/705553841169764353
LeadershipInGov;2016-03-03 12:42;0;0;"Super Tuesday is a Wrap and Zynga Founder is Out. Click to Watch Today's Top ... #dailytopheadlines http://www. slideshare.net/LinkedInPulse/ mar2-vidv1 … via @SlideShare";;@SlideShare;#dailytopheadlines;"705448306948882432";https://twitter.com/LeadershipInGov/status/705448306948882432
LeadershipInGov;2016-03-01 18:25;0;0;"@chucktodd Does the public have a right to choose their own candidates? Or will the panel hold a wake for the status quo politicians?";;@chucktodd;;"704809693168996352";https://twitter.com/LeadershipInGov/status/704809693168996352
LeadershipInGov;2016-03-01 18:15;0;0;"@MSNBC The report that incumbent US GOP Senators will endorse Hillary Clinton begs the question: IS there "no" difference in Dems and GOP?";;@MSNBC;;"704807267074502656";https://twitter.com/LeadershipInGov/status/704807267074502656
LeadershipInGov;2016-03-01 17:20;1;0;"The Negative attacks on @DonaldJTrumpJr appear to be helping Hillary Clinton - not those throwing the mud - see http:// centerforleadershipingovernment.org/elections-2016/";;@DonaldJTrumpJr;;"704793384335106049";https://twitter.com/LeadershipInGov/status/704793384335106049
LeadershipInGov;2016-03-01 14:51;0;0;"According to the American sentiment: @DonaldJTrumpJr will have a good day: http:// centerforleadershipingovernment.org/elections-2016/ - despite the hits from press and party.";;@DonaldJTrumpJr;;"704755863819526148";https://twitter.com/LeadershipInGov/status/704755863819526148
LeadershipInGov;2016-02-20 19:51;0;0;"@CatoInstitute @realDonaldTrump wins our U.S. Sentiment Data Poll: http:// centerforleadershipingovernment.org/elections-2016/";;@CatoInstitute @realDonaldTrump;;"701207557260509184";https://twitter.com/LeadershipInGov/status/701207557260509184
LeadershipInGov;2016-02-20 19:50;0;0;"@Reuters @realDonaldTrump wins our U.S. Sentiment Data Poll: http:// centerforleadershipingovernment.org/elections-2016/";;@Reuters @realDonaldTrump;;"701207382542528514";https://twitter.com/LeadershipInGov/status/701207382542528514
