username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mooredetails;2018-12-30 17:06;4;9;"Sweet thanks @avalara ! #AccountingTop100 but it’s working with awesome social peeps like @Xero @Hubdoc @thechataHQ @Wagepoint that make this nerdy bookkeeper kinda hip https:// twitter.com/avalara/status /1077993273631813634 …";;@avalara @Xero @Hubdoc @thechataHQ @Wagepoint;#AccountingTop100;"1079499067485536257";https://twitter.com/mooredetails/status/1079499067485536257
mooredetails;2018-12-30 17:01;0;0;"Excited to be on this journey with you! #XeroToSixty";;;#XeroToSixty;"1079497698758328325";https://twitter.com/mooredetails/status/1079497698758328325
KariViccars;2018-12-30 12:46;0;0;"Thanks Murph! And Happy Holidays!";;;;"1079433527110684673";https://twitter.com/KariViccars/status/1079433527110684673
QBMurph;2018-12-28 16:00;0;2;"The green ball or blue ball, we don't care, we like that Chata can play with either ball !";;;;"1078757723725017088";https://twitter.com/QBMurph/status/1078757723725017088
Shabbir42744222;2018-12-28 06:17;0;1;"V beautiful";;;;"1078611003464667137";https://twitter.com/Shabbir42744222/status/1078611003464667137
thechataHQ;2018-12-27 15:25;2;9;"We’re excited to be in the #Xero community alongside #XeroPartner Jennie Moore! Learn how @mooredetails uses technology and apps like http:// chata.ai to provide top-notch advisory service in the #cloudaccounting world. #chatwithyourdata >>> http:// bit.ly/2RPy0yI pic.twitter.com/E4njBPx9RY";;@mooredetails;#Xero #XeroPartner #cloudaccounting #chatwithyourdata;"1078386329287880704";https://twitter.com/thechataHQ/status/1078386329287880704
BradCelmainis;2018-12-27 15:19;1;6;"Never far away from me. Gotta stay hydrated y’know? @erplainapp @thechataHQ @mydryrun @tsheets @knowify @kninjaknetwork @IntuitAcctsCA @QuickBooksCA #QBOChat pic.twitter.com/0aOjkr3YPN";;@erplainapp @thechataHQ @mydryrun @tsheets @knowify @kninjaknetwork @IntuitAcctsCA @QuickBooksCA;#QBOChat;"1078384972698972160";https://twitter.com/BradCelmainis/status/1078384972698972160
IntuitAcctsCA;2018-12-26 15:45;1;4;". @thechataHQ - a #smallbiz #appshowdown finalist - is an easy-to-use, conversational reporting and analytics tool that can help you "chat" with the data in #QuickBooksOnline . Learn more: https:// intuit.me/2RPEmyn . pic.twitter.com/UoQ7vJHJ5W";;@thechataHQ;#smallbiz #appshowdown #QuickBooksOnline;"1078028954701914112";https://twitter.com/IntuitAcctsCA/status/1078028954701914112
thechataHQ;2018-12-24 16:45;0;0;"On the final Click of Christmas, http:// chata.ai sent to me… 12 Sales Summaries! **Mind blown ** #Xero #QBO #chatwithyourdata >>> http:// bit.ly/2EmoPC0 pic.twitter.com/84zBI9PVqo";;;#Xero #QBO #chatwithyourdata;"1077319283032625152";https://twitter.com/thechataHQ/status/1077319283032625152
IntuitAcctsCA;2018-12-24 11:45;0;0;". @thechataHQ - a #smallbiz #appshowdown finalist - is an easy-to-use, conversational reporting and analytics tool that can help you "chat" with the data in #QuickBooksOnline . Learn more: https:// intuit.me/2RPEmyn . pic.twitter.com/XNJYT43c5P";;@thechataHQ;#smallbiz #appshowdown #QuickBooksOnline;"1077243791202050053";https://twitter.com/IntuitAcctsCA/status/1077243791202050053
thechataHQ;2018-12-24 11:24;0;3;"Happy Holidays from our family to yours! #HappyHolidays #HappyNewYear pic.twitter.com/mTAcpTGrnm";;;#HappyHolidays #HappyNewYear;"1077238599211376640";https://twitter.com/thechataHQ/status/1077238599211376640
