username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MiroHQ;2018-07-02 18:14;0;1;"Developing an experience map for AI startups to define their product vision — a story behind @cherrydotai https:// realtimeboard.com/blog/experienc e-map-ai-startup/?utm_source=twitter&utm_medium=social&utm_campaign=articles_promotion&utm_content=experience_map … pic.twitter.com/C66dqV7fgz";;@cherrydotai;;"1013908698031370241";https://twitter.com/MiroHQ/status/1013908698031370241
StartupTracker;2018-06-02 05:53;0;0;"@cherrydotai Hey, we got a tip saying you are working on something cool. Can you tell us more about what you do here: https:// startuptracker.io/crowdsourcing/ @cherrydotai?t=hb … ?";;@cherrydotai @cherrydotai;;"1002850593545883648";https://twitter.com/StartupTracker/status/1002850593545883648
BetaList;2018-06-01 11:30;0;0;"@cherrydotai @m_4rk0 @m_4rina You're featured on BetaList! https:// betalist.com/startups/cherr y-ai …";;@cherrydotai @m_4rk0 @m_4rina;;"1002573210775445504";https://twitter.com/BetaList/status/1002573210775445504
MedicalQuack;2018-04-22 11:34;0;0;"RT @cherrydotai : I just wanted some water #iot pic.twitter.com/Dn3cIkbB19 :)";;@cherrydotai;#iot;"988078711663554561";https://twitter.com/MedicalQuack/status/988078711663554561
MiroHQ;2018-03-23 16:21;1;1;"Developing an experience map for AI startups to define their product vision — a story behind @cherrydotai https:// realtimeboard.com/blog/experienc e-map-ai-startup/?utm_source=twitter&utm_medium=social&utm_campaign=articles_promotion&utm_content=experience_map … pic.twitter.com/7m2pqJeKch";;@cherrydotai;;"977279069770444800";https://twitter.com/MiroHQ/status/977279069770444800
RiCHi;2017-09-29 12:39;0;0;"I was all about the coffee yesterday";;;;"913805458430861312";https://twitter.com/RiCHi/status/913805458430861312
fnkey;2017-09-29 00:30;0;1;"Lol.. BSOD safe I assume. So had your water?";;;;"913621861790920705";https://twitter.com/fnkey/status/913621861790920705
dukethepcdr;2017-09-26 11:29;0;2;"That's what's wrong with making everything computerized. I certainly don't want a computer driven car. :)";;;;"912700637522964480";https://twitter.com/dukethepcdr/status/912700637522964480
RiCHi;2017-09-26 11:10;7;19;"via @gerber ; RT @cherrydotai : I just wanted some water #iot pic.twitter.com/AjILJJlvTZ";;@gerber @cherrydotai;#iot;"912695833149177856";https://twitter.com/RiCHi/status/912695833149177856
tusharniras;2017-08-15 11:37;0;0;"@cherrydotai You have #bot for replying tweets as well ?";;@cherrydotai;#bot;"897482322852720640";https://twitter.com/tusharniras/status/897482322852720640
jgrados;2017-08-06 20:30;0;0;"Please, can you tell me about this image ?book or link ?";;;;"894354976763502593";https://twitter.com/jgrados/status/894354976763502593
crissantamarina;2017-07-27 07:07;1;3;"Totally agree, responding to frequent inputs is a must. This is my config for @bots4health after real users broke it in different ways pic.twitter.com/SFkc1ei8iH";;@bots4health;;"890529064649404416";https://twitter.com/crissantamarina/status/890529064649404416
TheLedge80;2017-07-27 06:53;0;1;"Hmmm @crissantamarina #Chatbots";;@crissantamarina;#Chatbots;"890525670169874432";https://twitter.com/TheLedge80/status/890525670169874432
retrofacd;2017-07-16 14:33;0;0;"@cherrydotai @m_4rina";;@cherrydotai @m_4rina;;"886655127330856960";https://twitter.com/retrofacd/status/886655127330856960
PlanetaChatbot;2017-07-12 06:08;0;3;""Facebook #Chatbot : Cosas que ojalá hubiera sabido antes" de @m_4rina de @cherrydotai ¡No te lo pierdas! http:// bit.ly/2tdaC0Y";;@m_4rina @cherrydotai;#Chatbot;"885078341094604800";https://twitter.com/PlanetaChatbot/status/885078341094604800
thegoddesscher;2017-07-11 06:42;0;1;"I wish i understood this better.";;;;"884724469155209218";https://twitter.com/thegoddesscher/status/884724469155209218
BodyShotLS;2017-07-10 20:12;0;0;"Hey @m_4rina Marina, Does @cherrydotai Offer a Fullbody Chatbot? We are looking for a FullBody AI Persona for use with out BodyShot System. pic.twitter.com/DelzoATDRY";;@m_4rina @cherrydotai;;"884566090738782211";https://twitter.com/BodyShotLS/status/884566090738782211
jcamillegray;2017-07-07 08:42;0;3;"@m_4rk0 this illustration speaks volumes.";;@m_4rk0;;"883305142870831104";https://twitter.com/jcamillegray/status/883305142870831104
LREwoke;2017-07-04 15:19;0;0;"Physics & flow, Google. The World is where many of the dots connect themselves, not conduct your business, in short.";;;;"882317869039616000";https://twitter.com/LREwoke/status/882317869039616000
PlanetaChatbot;2017-06-30 05:06;1;3;"¿Estás preparado para la nueva generación de trabajadores? @m_4rina de @cherrydotai te lo explica http:// bit.ly/2trkl87";;@m_4rina @cherrydotai;;"880714268026564610";https://twitter.com/PlanetaChatbot/status/880714268026564610
FlipScriptMedia;2017-06-29 17:29;0;0;"Here's a great #HowTo for building a #FacebookChatbot via @cherrydotai http:// bit.ly/2u45T3q #Chatbot pic.twitter.com/fqSNHYRDHE";;@cherrydotai;#HowTo #FacebookChatbot #Chatbot;"880538828171231233";https://twitter.com/FlipScriptMedia/status/880538828171231233
cherrydotai;2017-06-29 09:52;30;89;"Don't let your chatbot fail at simple tasks https:// goo.gl/txcr2P pic.twitter.com/66esLidm9q";;;;"880423708384538624";https://twitter.com/cherrydotai/status/880423708384538624
