username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ThomasCorsetti1;2018-12-11 04:22;1;4;"Top 10 #EmotionalArtificialIntelligence Startups that Have Created a Global #Disruption @promobot , @Affectiva , @Emotibot , @beyondverbal , @nviso , @entropiktech , @wearehuman_io , @CrowdEmotion , @MadStreetDen via @analyticsinme #AI - https://www. analyticsinsight.net/top-10-emotion al-artificial-intelligence-startups-that-have-created-a-global-disruption/ …";;@promobot @Affectiva @Emotibot @beyondverbal @nviso @entropiktech @wearehuman_io @CrowdEmotion @MadStreetDen @analyticsinme;#EmotionalArtificialIntelligence #Disruption #AI;"1072421357433036800";https://twitter.com/ThomasCorsetti1/status/1072421357433036800
analyticsinme;2018-12-10 13:33;3;7;"Top 10 #EmotionalArtificialIntelligence Startups that Have Created a Global #Disruption https:// bit.ly/2B9OryX @promobot , @Affectiva , @Emotibot , @beyondverbal , @nviso , @cynny_inc, @entropiktech , @wearehuman_io , @CrowdEmotion , @MadStreetDen pic.twitter.com/MEiLAnMqox";;@promobot @Affectiva @Emotibot @beyondverbal @nviso @cynny_inc @entropiktech @wearehuman_io @CrowdEmotion @MadStreetDen;#EmotionalArtificialIntelligence #Disruption;"1072197640677351425";https://twitter.com/analyticsinme/status/1072197640677351425
CENTI_London;2018-09-28 17:27;1;5;"Congratulations to the winners @ecentime , Jiandao Technology @wearehuman_io , @unifi_id , and Cathayeco. Also, a special thanks to our Judging panel: Mr. Cui Cheng, Mr. Wang Hui, Mr. Zhang Jiawei, @SimonSpier , and Issam Abu-Aisheh! pic.twitter.com/Jq5dr0P79i";;@ecentime @wearehuman_io @unifi_id @SimonSpier;;"1045787103546740737";https://twitter.com/CENTI_London/status/1045787103546740737
WayraUK;2018-09-20 12:56;0;2;"@wearehuman_io did you predict that we'd #relaunch and #rebrand ..because we did! We want you to come and celebrate with us #WeAreWayra and we scale start-ups @Telefonica @Wayra @WayraES @WayraUK @WayraDE @WayraAR @WayraBrasil @WayraCo @WayraChile @WayraPe @WayraMexico @WayraVE";;@wearehuman_io @Telefonica @Wayra @WayraES @WayraUK @WayraDE @WayraAR @WayraBrasil @WayraCo @WayraChile @WayraPe @WayraMexico @WayraVE;#relaunch #rebrand #WeAreWayra;"1042819837783883776";https://twitter.com/WayraUK/status/1042819837783883776
rubenharris;2018-07-12 22:46;0;0;"Nope! But would love to learn more!!";;;;"1017601010380898305";https://twitter.com/rubenharris/status/1017601010380898305
ZibbyZ;2018-07-12 20:33;0;1;"Interesting. Are you using @PaulEkman ‘s work?";;@PaulEkman;;"1017567535548358656";https://twitter.com/ZibbyZ/status/1017567535548358656
speirin;2018-07-12 15:21;0;1;"No probs";;;;"1017489076453302272";https://twitter.com/speirin/status/1017489076453302272
rubenharris;2018-07-12 14:30;0;1;"Thank you my brother";;;;"1017476288242597889";https://twitter.com/rubenharris/status/1017476288242597889
speirin;2018-07-12 13:51;0;2;"Check out @wearehuman_io";;@wearehuman_io;;"1017466458929057795";https://twitter.com/speirin/status/1017466458929057795
AAlomainy;2018-05-16 11:57;2;5;"Enabling humans to be emotionally intelligent through AI enables technology! Presentation by Wearehuman Ltd @QMUL @QMEECS @QMAntennas @epsrc @wearehuman_io";;@QMUL @QMEECS @QMAntennas @epsrc @wearehuman_io;;"996781726948085760";https://twitter.com/AAlomainy/status/996781726948085760
