username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
charlesdhaussy;2018-10-02 07:16;0;0;"@ClareAI_ChatBot @FWDInsurance @enumatech @HSBC_HK @Alipay @Microsoft pic.twitter.com/ylXd0VYRJR";;@ClareAI_ChatBot @FWDInsurance @enumatech @HSBC_HK @Alipay @Microsoft;;"1047082769900130304";https://twitter.com/charlesdhaussy/status/1047082769900130304
HKEXGroup;2018-09-28 06:21;1;2;"HKEX’s Innovation Lab hosted the 4th HK Tech Meetup at our Connect Hall, with @click_ventures and SIG as the special guest investors. Three start-ups, @KintoHub , @ClareAI_ChatBot and MemePR, pitched their business ideas live on-stage. Looking forward to seeing you at the next one. pic.twitter.com/Tx9WCJUAjW";;@click_ventures @KintoHub @ClareAI_ChatBot;;"1045619591789961217";https://twitter.com/HKEXGroup/status/1045619591789961217
HKEXGroup;2018-09-28 06:20;0;0;"香港交易所創新實驗室近日在香港金融大會堂舉辦了第四次HK Tech Meetup活動。 @click_ventures 和SIG作為特邀風險投資者，聽取了三家初創企業 @Kintohub 、 @ClareAI_ChatBot 和MemePR的商業計劃並為他們的發展現場提出了回饋。下次上場展示的，會是你嗎？ pic.twitter.com/MVKP5KkNDH";;@click_ventures @Kintohub @ClareAI_ChatBot;;"1045619303603568640";https://twitter.com/HKEXGroup/status/1045619303603568640
whub_io;2018-09-26 08:36;0;0;"On stage, @ClareAI_ChatBot , pitching in front of investors at @852tech , understands that customers expect instant responses in their preferred language, this cannot be ignored by enterprises. Their chatbot is the solution to this crisis. #852tech @whub_io pic.twitter.com/FSBT9RZBJQ";;@ClareAI_ChatBot @852tech @whub_io;#852tech;"1044928755230068737";https://twitter.com/whub_io/status/1044928755230068737
parthajy;2018-09-24 03:29;1;1;"The best domain for Chatbots - http:// ChatAI.io . For sale at @Undeveloped . @Tweet_Trilyo @acquire_io @StreeboInc @motionai @collectchat @mobilemonkey_ @BotEngineAI @ActiveAibot @AdaSupport @meya @morph_ai @zochats @aichatco @ClareAI_ChatBot @bold360 @botsify_app pic.twitter.com/MIth49S5o4";;@Undeveloped @Tweet_Trilyo @acquire_io @StreeboInc @motionai @collectchat @mobilemonkey_ @BotEngineAI @ActiveAibot @AdaSupport @meya @morph_ai @zochats @aichatco @ClareAI_ChatBot @bold360 @botsify_app;;"1044126700454305792";https://twitter.com/parthajy/status/1044126700454305792
MarcoGsyHK;2018-06-07 03:12;0;2;"@newsgovhk @GoogleBrain @NASA @eBay @dbsbank @SwissRe @riken_en @tvbcom @cumulyst @AIST_EN @HSBC @BryanCaveLLP @superzadeh @ClareAI_ChatBot @CausaLens @seekjobs @bankofthailand @nickwhite___ @noah_phd @DHLGlobal @ASWatsonGroup @HSBC_DE";;@newsgovhk @GoogleBrain @NASA @eBay @dbsbank @SwissRe @riken_en @tvbcom @cumulyst @AIST_EN @HSBC @BryanCaveLLP @superzadeh @ClareAI_ChatBot @CausaLens @seekjobs @bankofthailand @nickwhite___ @noah_phd @DHLGlobal @ASWatsonGroup @HSBC_DE;;"1004622016559734784";https://twitter.com/MarcoGsyHK/status/1004622016559734784
reworkMI;2018-06-07 01:57;1;3;"It is wonderful to see such innovative companies exhibiting alongside the summit today, safe to say @rayhoran of Emotics is having a great time! Thank you - @ClareAI_ChatBot , @Prenetics & BACHcode! #reworkMI pic.twitter.com/kZAkTQX0Pe";;@rayhoran @ClareAI_ChatBot @Prenetics;#reworkMI;"1004603338816536576";https://twitter.com/reworkMI/status/1004603338816536576
reworkMI;2018-06-07 00:24;1;3;"Inspiring startup session this morning at the HK Machine Intelligence Summit. Growing companies to look out for! Imago, GoGoVan, @EmoticsSoftware , @ClareAI_ChatBot , @CausaLens #reworkMI pic.twitter.com/f5HXazSNR6";;@EmoticsSoftware @ClareAI_ChatBot @CausaLens;#reworkMI;"1004579791335575552";https://twitter.com/reworkMI/status/1004579791335575552
nikitaljohnson;2018-05-25 10:44;3;4;"#FF - some of the speakers we're looking forward to hearing from at the Machine Intelligence Summit in Hong Kong next month! @cumulyst @valizadegan @itzpallab @clareai_chatbot @RebootAI @EmoticsSoftware http:// bit.ly/2qo6InH #reworkMI pic.twitter.com/zxvURwn0EZ";;@cumulyst @valizadegan @itzpallab @clareai_chatbot @RebootAI @EmoticsSoftware;#FF #reworkMI;"1000024753065922561";https://twitter.com/nikitaljohnson/status/1000024753065922561
EM360Tech;2018-05-01 11:07;3;2;"Congratulations to @dialogflow , @chatfuel , @ManyChatHQ and the runners-up for making the top 10 this week with their incredible chatbots! @conversable @gupshup @botsify_app @ClareAI_ChatBot @bold360 @BotEngineAI https://www. em360tech.com/tech-news/tech -features/top-10-ai-chatbots-revolutionising-customer-service/ …";;@dialogflow @chatfuel @ManyChatHQ @conversable @gupshup @botsify_app @ClareAI_ChatBot @bold360 @BotEngineAI;;"991333225065795589";https://twitter.com/EM360Tech/status/991333225065795589
ClareAI_ChatBot;2018-04-29 22:30;1;2;"The Conversational Channel Roadmap: http:// ow.ly/HYtt30jJZDB #chatbot #AI For chatbot solutions for your business visit: http://www. Clare.AI";;;#chatbot #AI;"990780304355971072";https://twitter.com/ClareAI_ChatBot/status/990780304355971072
ClareAI_ChatBot;2018-04-26 22:35;3;0;"Unlike the traditional banking methods, chatbots can bring in a better and faster user experience providing 24×7 intelligent customer service. Use cases of AI-powered chatbots in the banking industry: http:// ow.ly/gamw30jHDLW #chatbot #AI Learn more: http://www. Clare.AI";;;#chatbot #AI;"989694382126325760";https://twitter.com/ClareAI_ChatBot/status/989694382126325760
ClareAI_ChatBot;2018-04-25 22:35;1;2;"55% of consumers would rather interact with a business using messaging apps to solve a problem. Engage Your Customers with AI Digital Assistants: Learn More http://www. Clare.AI #chatbot pic.twitter.com/DX1WuVID1O";;;#chatbot;"989331996961857536";https://twitter.com/ClareAI_ChatBot/status/989331996961857536
