username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LaunchDarkly;2018-11-29 13:18;0;1;"“No matter how cautious or clever we are as engineers, or as leaders of engineers these things are inevitable, and we can always learn from each other.” - Eric Pollman, CTO of @clearbraininc https:// buff.ly/2PFHfEA pic.twitter.com/lRsVWiBC9s";;@clearbraininc;;"1068207483787902976";https://twitter.com/LaunchDarkly/status/1068207483787902976
LaunchDarkly;2018-11-19 14:42;1;0;". @ericpollmann , CTO of @clearbraininc , shares lessons learned from the time Google Ads went completely offline for 90 mins: https:// buff.ly/2PFHfEA pic.twitter.com/V3MbzQuCeE";;@ericpollmann @clearbraininc;;"1064604798828376064";https://twitter.com/LaunchDarkly/status/1064604798828376064
keyvaluesio;2018-10-22 15:07;1;2;". @clearbraininc is building the first self-serve AI platform for growth marketing. They're building cool tech not by choice, but by necessity, and as a small team, they have the luxury of knowing one another well. (Taylor Swift and D&D, anyone?!) https://www. keyvalues.com/clearbrain pic.twitter.com/Ez2kXTas58";;@clearbraininc;;"1054449301806403584";https://twitter.com/keyvaluesio/status/1054449301806403584
clearbraininc;2018-10-10 19:15;3;5;"Get a peak inside ClearBrain's engineering culture, and our commitment to inclusion, ownership, and empathy. https://www. keyvalues.com/clearbrain #engineering #careers";;;#engineering #careers;"1050163012944846850";https://twitter.com/clearbraininc/status/1050163012944846850
bilalmahmood;2018-10-10 19:14;1;4;"Excited to share @clearbraininc engineering culture on @keyvaluesio . Proud of our team, and our commitment to inclusion, ownership, and empathy. https://www. keyvalues.com/clearbrain";;@clearbraininc @keyvaluesio;;"1050162686045052928";https://twitter.com/bilalmahmood/status/1050162686045052928
thezedwards;2018-10-06 13:08;0;0;"One other little thread jack - I also found that ML outputs can be reformatted into a product feed schema so that it can be ingested into any marketing systems allowing them. @clearbraininc has it in their product I believe and a few other folks have played with those PF outputs";;@clearbraininc;;"1048621087146344449";https://twitter.com/thezedwards/status/1048621087146344449
thezedwards;2018-10-06 13:07;0;3;"Very true - most ML systems require manual intervention, but I found with a @segment event infrastructure & dynamic personas + @clearbraininc path/product ML + CB’s @facebook audience integration = full stack dynamic FB retargeting w/ personalized landing pages via @trychameleon";;@segment @clearbraininc @facebook @trychameleon;;"1048620669771108352";https://twitter.com/thezedwards/status/1048620669771108352
clearbraininc;2018-10-05 21:03;0;1;"Thank you for attending!";;;;"1048378108015828992";https://twitter.com/clearbraininc/status/1048378108015828992
GetBetter_FC;2018-10-03 21:37;0;3;"If he brings us the silverware he can enjoy as many views as he wants!";;;;"1047662082865291264";https://twitter.com/GetBetter_FC/status/1047662082865291264
TentCityTownies;2018-10-03 21:29;0;5;"The new generation of players just don’t get it. Just a white Pogba if you ask me. #dab";;;#dab;"1047659893656698880";https://twitter.com/TentCityTownies/status/1047659893656698880
GetBetter_FC;2018-10-03 21:28;0;1;"Views don’t help when we have 0 wins on the season!";;;;"1047659734541561857";https://twitter.com/GetBetter_FC/status/1047659734541561857
KAilloud;2018-10-03 21:09;1;2;"But look at that! pic.twitter.com/kSZcFpROIy";;;;"1047654811695378432";https://twitter.com/KAilloud/status/1047654811695378432
BornaAgent;2018-10-03 21:07;0;3;"Stop working! And go train for tomorrow!";;;;"1047654488100618241";https://twitter.com/BornaAgent/status/1047654488100618241
KAilloud;2018-10-03 20:43;0;7;"First time in the @salesforce tower, attending a @segment and @clearbraininc growth panel, let’s do it! #ThatViewThough pic.twitter.com/grJ2iSnx3U";;@salesforce @segment @clearbraininc;#ThatViewThough;"1047648400798183424";https://twitter.com/KAilloud/status/1047648400798183424
bilalmahmood;2018-09-25 13:30;1;2;"We're cohosting a Growth Panel with @clearbraininc and @segment at the Salesforce Tower next week! Hear from growth leaders at @InVisionApp , @Dropbox , @Optimizely who will share their unique playbooks for growth marketing and product. RSVP at: … … https://thesegme ntclearbraingrowthpane.splashthat.com / pic.twitter.com/vjJrVPyzyy";;@clearbraininc @segment @InVisionApp @Dropbox @Optimizely;;"1044640403666821120";https://twitter.com/bilalmahmood/status/1044640403666821120
