username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kylenakatsuji;2018-12-28 17:42;0;12;"Thanks to the @clearcover team and our customers for a great 2018, and looking forward to a Better-er 2019! https:// twitter.com/clearcover/sta tus/1078765097194082309 …";;@clearcover;;"1078783382979571713";https://twitter.com/kylenakatsuji/status/1078783382979571713
clearcover;2018-12-28 16:30;3;10;"2018 has been a great year and we are looking forward to even bigger things in 2019! Happy New Year! pic.twitter.com/R09i7Kn47n";;;;"1078765097194082309";https://twitter.com/clearcover/status/1078765097194082309
clearcover;2018-12-21 09:25;0;2;"Wishing everyone happy and safe holidays! Our office will resume normal hours beginning 1/2/19. We will respond to Claim inquiries on our closed days as needed. pic.twitter.com/VWgd2z3FrW";;;;"1076121372500393984";https://twitter.com/clearcover/status/1076121372500393984
clearcover;2018-12-20 12:59;0;0;"Do you know what you should keep in your car during the winter? Check out our list here so that you can stay safe during the cold! #winterdriving https:// buff.ly/2pC1LX1 pic.twitter.com/DkyRJ9rNMA";;;#winterdriving;"1075812850445238273";https://twitter.com/clearcover/status/1075812850445238273
clearcover;2018-12-18 09:25;1;3;"Our prices aren't the only thing that our customers appreciate. #car #insurance #mobileapp #technology pic.twitter.com/t5EXYVLvyZ";;;#car #insurance #mobileapp #technology;"1075034204344410114";https://twitter.com/clearcover/status/1075034204344410114
hydeparkangels;2018-12-15 17:55;1;4;"3 of the #Midwest 's top 10 #VC #funding #rounds in 2018 went to #InsureTech #startups . Learn why #VCs like @AmFamVentures are keen on @joinroot , @Bind_ODHI , @kinsured , & @clearcover — via @PeteWilkins_ for @VentureBeat : https:// bit.ly/2Qq5giB";;@AmFamVentures @joinroot @Bind_ODHI @kinsured @clearcover @PeteWilkins_ @VentureBeat;#Midwest #VC #funding #rounds #InsureTech #startups #VCs;"1074075386861027328";https://twitter.com/hydeparkangels/status/1074075386861027328
kylenakatsuji;2018-12-14 17:36;0;5;"So cool to have our remote employees in for the week and participating in this.";;;;"1073708442483867648";https://twitter.com/kylenakatsuji/status/1073708442483867648
clearcover;2018-12-14 14:03;2;10;"Some new creative in the works for 2019 featuring our amazing Customer Advocates...stay tuned! #car #insurance pic.twitter.com/MHTmEW6nmu";;;#car #insurance;"1073654673851252738";https://twitter.com/clearcover/status/1073654673851252738
csrowe_2;2018-12-14 10:05;0;1;"@clearcover ’s Kyle Nakatsuji on the insurtech movement and the looming extinction of the agent model.";;@clearcover;;"1073594860303724547";https://twitter.com/csrowe_2/status/1073594860303724547
clearcover;2018-12-13 09:25;0;2;"We work to make our claims process as painless as possible. https:// buff.ly/2Bz8IPC pic.twitter.com/5adyBypmvX";;;;"1073222268724174850";https://twitter.com/clearcover/status/1073222268724174850
