username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CloudxLab;2018-12-19 08:24;2;2;"Let's celebrate the most wonderful time of the year with CloudxLab ! CloudxLab is offering flat 25% off on all our courses &lab. Hurry ! this offer expires on December 26th. Merry Christmas to all ! pic.twitter.com/wPOuSO8gqf";;;;"1075381260162383872";https://twitter.com/CloudxLab/status/1075381260162383872
ElzbthMcCrthy;2018-12-19 00:55;0;1;"Goin' fishin' through course specifications and putting my machine learning into practice in #highered context. #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/obUfKH9qat";;@CloudxLab;#highered #100DaysLearningMachineLearning #python;"1075268466377015296";https://twitter.com/ElzbthMcCrthy/status/1075268466377015296
CloudxLab;2018-12-18 10:28;0;1;"Introduction & career in AI: http:// youtu.be/VCCrajGsxNw?a via @YouTube";;@YouTube;;"1075050084843352065";https://twitter.com/CloudxLab/status/1075050084843352065
CloudxLab;2018-12-18 08:28;0;1;"Introduction and career in AI: http:// youtu.be/N6QrTjg4-Rs?a via @YouTube";;@YouTube;;"1075019994012897280";https://twitter.com/CloudxLab/status/1075019994012897280
CloudxLab;2018-12-18 08:28;0;2;"Introduction and career in AI: http:// youtu.be/wboEWjE7CRE?a via @YouTube";;@YouTube;;"1075019928032268293";https://twitter.com/CloudxLab/status/1075019928032268293
ElzbthMcCrthy;2018-12-17 03:26;1;2;"Day17: Why split data into training:testing early? ,-~~-.___. / | ' \ ( ) 0 \_/-, ,---' == // / \--'~; /~~(O) / _/~| / | =( ________| (_______| #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1074581670500524032";https://twitter.com/ElzbthMcCrthy/status/1074581670500524032
ElzbthMcCrthy;2018-12-16 02:02;1;1;"Day16: Training wheels off for the End to End Project - Estimate wine quality #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1074198105417908224";https://twitter.com/ElzbthMcCrthy/status/1074198105417908224
ElzbthMcCrthy;2018-12-16 01:56;0;3;"Day16: Gauss what? Passed through the density curves' End to End Project #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/92YQYwARKx";;@CloudxLab;#100DaysLearningMachineLearning #python;"1074196599763423233";https://twitter.com/ElzbthMcCrthy/status/1074196599763423233
ElzbthMcCrthy;2018-12-16 01:32;1;1;"Day16: Winning at Step 3- Explore data and gain insights #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/8psd0JZHmN";;@CloudxLab;#100DaysLearningMachineLearning #python;"1074190589925548032";https://twitter.com/ElzbthMcCrthy/status/1074190589925548032
ElzbthMcCrthy;2018-12-16 01:06;1;3;"Day16: Pandas shining a light on variables using the ".describe() " function #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1074184025814618114";https://twitter.com/ElzbthMcCrthy/status/1074184025814618114
ElzbthMcCrthy;2018-12-15 08:39;0;2;"Day15: No chance of getting bit by pandas tonight while I safari through mtcars.csv data #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/pIEUKCQQf2";;@CloudxLab;#100DaysLearningMachineLearning #python;"1073935617266900992";https://twitter.com/ElzbthMcCrthy/status/1073935617266900992
sandeepgiri;2018-12-06 13:24;1;0;"Now, @PyTorch and @h2oai are available in @CloudxLab";;@PyTorch @h2oai @CloudxLab;;"1070745752815759363";https://twitter.com/sandeepgiri/status/1070745752815759363
ElzbthMcCrthy;2018-12-04 04:38;1;1;"Day14: Inner Badge-zilla being revealed as I perform all types of actions and wait to be awarded my next badge on the forums of #100DaysLearningMachineLearning @CloudxLab #python #badgezilla #dopamine";;@CloudxLab;#100DaysLearningMachineLearning #python #badgezilla #dopamine;"1069888580741300224";https://twitter.com/ElzbthMcCrthy/status/1069888580741300224
ElzbthMcCrthy;2018-12-04 04:07;0;1;"Day14: the Artful Badger #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/cLyzQcMQkF";;@CloudxLab;#100DaysLearningMachineLearning #python;"1069880908528812038";https://twitter.com/ElzbthMcCrthy/status/1069880908528812038
ElzbthMcCrthy;2018-12-04 04:04;2;1;"Day14: While my spirit animal is definitely #otter , I am happy to go badger today on the discussion board / forum of #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/RVGjKoudCo";;@CloudxLab;#otter #100DaysLearningMachineLearning #python;"1069880152983658496";https://twitter.com/ElzbthMcCrthy/status/1069880152983658496
ElzbthMcCrthy;2018-11-24 07:16;2;4;"Day13: tfw you have been supervised through a supervised machine learning project, and you are feeling a WHOLE lot like a learning machine. #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/OTEaLcXkX7";;@CloudxLab;#100DaysLearningMachineLearning #python;"1066304543007232002";https://twitter.com/ElzbthMcCrthy/status/1066304543007232002
ElzbthMcCrthy;2018-11-22 16:09;1;2;"Day12: Doing some fine fine-tuning with Grid Search and Randomised Search in the hunt for the ULTIMATE model - well, at least the one that fits best from the range that we choose. #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1065713872827367424";https://twitter.com/ElzbthMcCrthy/status/1065713872827367424
ElzbthMcCrthy;2018-11-22 00:30;1;3;"Day11: PROGRESS CHECK: 1.Frame the problem and look at the big picture 2.Get the data 3.Explore the data to gain insights 4.Prepare the data for Machine Learning algorithms 5.Explore ML algorithms ......... #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1065477706903543809";https://twitter.com/ElzbthMcCrthy/status/1065477706903543809
ElzbthMcCrthy;2018-11-22 00:15;1;0;"Day11: Today's class is all CLASS . hashtag classy #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1065473812618067968";https://twitter.com/ElzbthMcCrthy/status/1065473812618067968
ElzbthMcCrthy;2018-11-21 23:35;0;0;"Day11: I don't know about you, but I find the construction of a transformation pipeline to be most transformative. #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1065463756061270016";https://twitter.com/ElzbthMcCrthy/status/1065463756061270016
ElzbthMcCrthy;2018-11-21 23:27;1;1;"Day11: Covering feature scaling: normalisation vs standardisation . My environmental variables tend to be non-Gaussian in distribution, so I typically use normalisation. #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1065461640332636161";https://twitter.com/ElzbthMcCrthy/status/1065461640332636161
sandeepgiri;2018-11-21 02:43;0;1;"We need to work on this. The bookmarking should be natural in the LMS.";;;;"1065148684139200512";https://twitter.com/sandeepgiri/status/1065148684139200512
ElzbthMcCrthy;2018-11-19 16:48;0;3;"Day10: Highly appropriate that I cover ONE HOT ENCODING on day "10". Convert all categories in a feature to attributes, and when encoded, only one attribute is HOT (1) while others are COLD (0) #100DaysLearningMachineLearning @CloudxLab #python";;@CloudxLab;#100DaysLearningMachineLearning #python;"1064636646874726401";https://twitter.com/ElzbthMcCrthy/status/1064636646874726401
ElzbthMcCrthy;2018-11-18 15:47;1;3;"Day09: And what metrics do we start with #scatterplots ? Correlation coefficient and coefficient of determination. Feel pangs of regret over always focussing on first row, but not the others. R, I was blind, but now I see. #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/GiIRtJXyHZ";;@CloudxLab;#scatterplots #100DaysLearningMachineLearning #python;"1064258727040020480";https://twitter.com/ElzbthMcCrthy/status/1064258727040020480
ElzbthMcCrthy;2018-11-18 05:51;1;1;"Day08: The magic of transparency values, point sizing, and heatmaps when applied to a scatterplot #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/oeGPhhFeiJ";;@CloudxLab;#100DaysLearningMachineLearning #python;"1064108919826468864";https://twitter.com/ElzbthMcCrthy/status/1064108919826468864
ElzbthMcCrthy;2018-11-18 05:25;2;3;"Day08: Levelling up the power of the scatterplot to investigate #data by including an #alpha transparency argument to further demonstrate clustering of points #100DaysLearningMachineLearning @CloudxLab #python pic.twitter.com/3MFDMJ3NqC";;@CloudxLab;#data #alpha #100DaysLearningMachineLearning #python;"1064102287449055232";https://twitter.com/ElzbthMcCrthy/status/1064102287449055232
