username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sam_cholera;2018-09-26 10:16;0;1;"@ycombinator backed @voice_ops seems like a game changer for call centres, and a must have! https:// twitter.com/rrhoover/statu s/1044951738564788230 …";;@ycombinator @voice_ops;;"1044953914175557632";https://twitter.com/sam_cholera/status/1044953914175557632
keyvaluesio;2018-07-10 14:48;1;3;". @voice_ops ' product roadmap is driven by customer feedback. All of their devs have exposure to customers as they help them make sense of and leverage *their* customer conversations. How is this small team is making voice data queryable? https://www. keyvalues.com/voiceops pic.twitter.com/Aggk3bEtdB";;@voice_ops;;"1016755960897994754";https://twitter.com/keyvaluesio/status/1016755960897994754
PrecursorVC;2018-05-14 18:49;3;1;". @voice_ops is #hiring for a new #customersuccess manager! Check out the opportunity here: https:// angel.co/voiceops/jobs/ 210923-customer-success-manager … #mondaymotivation";;@voice_ops;#hiring #customersuccess #mondaymotivation;"996160696944480256";https://twitter.com/PrecursorVC/status/996160696944480256
PinchForth;2018-05-04 06:17;0;0;"This startup has built a product that does in an hour what currently takes sales managers days. @Voice_Ops is definitely at the forefront of voice data analytics. VoiceOps Uses AI to Help Sales Teams Improve Their Calls https:// pinchforth.com/blog/2018/04/2 7/voiceops-uses-ai-to-help-sales-teams-improve-their-calls/ … pic.twitter.com/5e2CsNj1gk";;@Voice_Ops;;"992347360071180288";https://twitter.com/PinchForth/status/992347360071180288
PinchForth;2018-05-03 13:22;0;0;"This startup has built a product that does in an hour what currently takes sales managers days. @Voice_Ops is definitely at the forefront of voice data analytics. VoiceOps Uses AI to Help Sales Teams Improve Their Calls https:// pinchforth.com/blog/2018/04/2 7/voiceops-uses-ai-to-help-sales-teams-improve-their-calls/ … pic.twitter.com/nX7xyGtrmJ";;@Voice_Ops;;"992092151231143936";https://twitter.com/PinchForth/status/992092151231143936
insidertrends;2018-03-29 10:35;1;2;". @daco_io , Delphia, @Layer6AI , Mindtrace, @voice_ops , @WittosMobile and 44 more on our 2018 list of the 50 best #retail tech startups - http:// bit.ly/2DMlhVU pic.twitter.com/jtD6BmOQnb";;@daco_io @Layer6AI @voice_ops @WittosMobile;#retail;"979366354246684672";https://twitter.com/insidertrends/status/979366354246684672
antonio;2018-03-09 15:33;0;1;"Great initiative!";;;;"972208898961649664";https://twitter.com/antonio/status/972208898961649664
eriktorenberg;2018-03-08 18:51;0;1;"Thank you for partnering on an awesome event";;;;"971896144656830464";https://twitter.com/eriktorenberg/status/971896144656830464
ilyasu;2018-03-08 18:39;0;2;"Wow nice!";;;;"971893310829703169";https://twitter.com/ilyasu/status/971893310829703169
rajavick;2018-03-08 18:36;0;3;"Love the diversity in all senses of the word of these co’s. Congrats!";;;;"971892469666283520";https://twitter.com/rajavick/status/971892469666283520
