username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cnvrg_io;2018-12-30 10:38;2;4;"“Automating model building is just one component of automating machine learning. To be truly useful, automated machine learning has to go much deeper than model building” - wise words from @bigdata ! https:// oreil.ly/2EVP0ju Browse our features at http:// cnvrg.io/product pic.twitter.com/SkIbedVTZs";;@bigdata;;"1079401228499603458";https://twitter.com/cnvrg_io/status/1079401228499603458
cnvrg_io;2018-12-30 03:56;1;3;"ML in production? Come hear our Itay Ariel speaking about deploying models to Kubernetes clusters https:// bit.ly/2ENdTOa";;;;"1079300069550100481";https://twitter.com/cnvrg_io/status/1079300069550100481
cnvrg_io;2018-12-19 08:16;0;0;"Ever wonder if you're a data scientist Ever wonder what skills you need? It's possible you are! Or could be with cnvrg by your side Deep dive into these stats: https:// bit.ly/2EwdE9W #DataScientist #MachineLearning #DeepLearning #Python #Java #SQL #AWS";;;#DataScientist #MachineLearning #DeepLearning #Python #Java #SQL #AWS;"1075379456494182401";https://twitter.com/cnvrg_io/status/1075379456494182401
cnvrg_io;2018-12-14 15:39;0;2;"#ArtificialIntelligence #MachineLearning https:// on.wsj.com/2QAUes1";;;#ArtificialIntelligence #MachineLearning;"1073678817359728643";https://twitter.com/cnvrg_io/status/1073678817359728643
cnvrg_io;2018-12-12 09:35;1;4;"Data scientists in training at @ITechallenge ! Today’s lesson: how to utilize http:// cnvrg.io platform to unify your project and simplify your process - with no need for devops pic.twitter.com/SXpzgYqP9M";;@ITechallenge;;"1072862467187822593";https://twitter.com/cnvrg_io/status/1072862467187822593
drizham;2018-12-04 14:49;0;2;"Because to date there was no human intelligence ... arguably... you are right";;;;"1070042416361684992";https://twitter.com/drizham/status/1070042416361684992
cnvrg_io;2018-12-04 04:19;3;3;"The future of human intelligence is here! Fostering intelligent humans - building intelligent machines @cnvrg_io #DataScientist #MachineLearning #ArtificialIntelligence #baby pic.twitter.com/kZrYVE6zzx";;@cnvrg_io;#DataScientist #MachineLearning #ArtificialIntelligence #baby;"1069883865945264129";https://twitter.com/cnvrg_io/status/1069883865945264129
cnvrg_io;2018-11-02 13:36;0;0;"#PaperOfTheWeek Read about Facebook's new open source Reinforcement Learning framework Horizon and how it's used in production to solve real business use-cases https:// research.fb.com/publications/h orizon-facebooks-open-source-applied-reinforcement-learning-platform/ … #ReinforcementLearning #AI #MachineLearning";;;#PaperOfTheWeek #ReinforcementLearning #AI #MachineLearning;"1058412532803743745";https://twitter.com/cnvrg_io/status/1058412532803743745
cnvrg_io;2018-11-02 12:19;0;1;"Thanks, Zach! Come visit";;;;"1058393134873350145";https://twitter.com/cnvrg_io/status/1058393134873350145
drizham;2018-11-02 06:24;0;0;"Nice office";;;;"1058303759883952129";https://twitter.com/drizham/status/1058303759883952129
cnvrg_io;2018-11-01 09:15;2;3;"not only does http:// cnvrg.io train ML models... it also trains dogs #dogsofdatascience #gooddog #AI #MachineLearning pic.twitter.com/8MaOWsCRZs";;;#dogsofdatascience #gooddog #AI #MachineLearning;"1057984524699795457";https://twitter.com/cnvrg_io/status/1057984524699795457
noamcnvrgio1;2018-10-29 06:06;0;1;"Hey @figmadesign , I moved over to Figma at @cnvrg_io Really helping the product to dev workflow in so many ways. Thanks";;@figmadesign @cnvrg_io;;"1056849627826262016";https://twitter.com/noamcnvrgio1/status/1056849627826262016
cnvrg_io;2018-10-24 09:36;0;3;"Behind the scenes of data science teams with @AngeBassa ! We at http:// cnvrg.io also believe all data scientists can be "Full-stack data scientists" and teams should "work with each other and not just alongside" #DataScience #collaboration #fullstack @HarvardBiz https:// twitter.com/HarvardBiz/sta tus/1055082755774693376 …";;@AngeBassa @HarvardBiz;#DataScience #collaboration #fullstack;"1055090724293742592";https://twitter.com/cnvrg_io/status/1055090724293742592
IBMBizAnalytics;2018-10-18 22:35;0;4;"Thanks for the follow! @Dcg_Ind @cnvrg_io @AlainKOSSO @Rbelgrave @MalinSoederlund @mlamons1 @AutonFusion @FactoryBitsHQ @IRCGROUP_ @estherngomeli @fabiomoioli @atellierstudios @timhatton @pistismex @BurtonKirsten2 @Nzuza18 pic.twitter.com/hdBOAqd9ts";;@Dcg_Ind @cnvrg_io @AlainKOSSO @Rbelgrave @MalinSoederlund @mlamons1 @AutonFusion @FactoryBitsHQ @IRCGROUP_ @estherngomeli @fabiomoioli @atellierstudios @timhatton @pistismex @BurtonKirsten2 @Nzuza18;;"1053112275811422209";https://twitter.com/IBMBizAnalytics/status/1053112275811422209
cnvrg_io;2018-10-18 08:21;3;3;"#GTC badges of honor #DataScience #AI #MachineLearning pic.twitter.com/33DYZFHgYC";;;#GTC #DataScience #AI #MachineLearning;"1052897473633632256";https://twitter.com/cnvrg_io/status/1052897473633632256
