username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RobotAndAIWorld;2018-12-23 05:10;1;0;"Would you trust this robot security guard with your life? http:// cnb.cx/2ltkaUr @CNBC @CobaltRobotics #robot #robots #robotics #robosecurity #security pic.twitter.com/Ur7mYhl9ef";;@CNBC @CobaltRobotics;#robot #robots #robotics #robosecurity #security;"1076782159938101249";https://twitter.com/RobotAndAIWorld/status/1076782159938101249
a_profligate;2018-12-13 02:47;0;0;"JEffs security tips: 1. get a max sized TSM mouse pad 2. lower that mouse sensitivity 3. never misclick AGAIN due to precision arm aiming";;;;"1073122233785176065";https://twitter.com/a_profligate/status/1073122233785176065
CobaltRobotics;2018-12-12 15:59;0;1;"We're definitely going to need that mouse to badge in, @geoffbelknap !";;@geoffbelknap;;"1072959116337852416";https://twitter.com/CobaltRobotics/status/1072959116337852416
techdarko;2018-12-12 12:32;0;1;"The robots know what you browsed last summer Geoff. Run.";;;;"1072907120431968256";https://twitter.com/techdarko/status/1072907120431968256
geoffbelknap;2018-12-12 12:29;2;14;"I’m not sure what I walked in on here. But it looks like @CobaltRobotics has determined my mouse is up to no good. pic.twitter.com/vEb60cny36";;@CobaltRobotics;;"1072906256883412992";https://twitter.com/geoffbelknap/status/1072906256883412992
CobaltRobotics;2018-12-11 19:57;3;16;"Cobalt CEO Travis Deyle weighs in on the state of #robotics in #security for this roundtable on @SecInfoWatch . http:// bit.ly/2C4m5rw";;@SecInfoWatch;#robotics #security;"1072656716544782337";https://twitter.com/CobaltRobotics/status/1072656716544782337
CobaltRobotics;2018-12-10 19:33;2;5;"We’re looking for folks who are scrappy, collaborative, excited, and eager to share their knowledge and expertise with the rest of our team. Is that you?";;;;"1072288247705817088";https://twitter.com/CobaltRobotics/status/1072288247705817088
CobaltRobotics;2018-12-06 12:37;7;20;"Now Live: Cobalt CTO Erik Schluntz is sitting with @SVI_Center , talking about the path of #entrepreneurship and how to move from idea to action";;@SVI_Center;#entrepreneurship;"1070733922114269184";https://twitter.com/CobaltRobotics/status/1070733922114269184
SVI_Center;2018-12-06 11:40;0;3;"New live interview coming up in less than an hour https:// buff.ly/2EaBmJy Erik will tell us about the path he took to becoming an #entrepreneur ; the highs, the lows and everything in between. #startup #entrepreneuship @CobaltRobotics pic.twitter.com/7pdMEqCYEJ";;@CobaltRobotics;#entrepreneur #startup #entrepreneuship;"1070719523886649345";https://twitter.com/SVI_Center/status/1070719523886649345
SVI_Center;2018-12-05 09:01;0;1;"[Interview] What personal qualities are needed to succeed at #entrepreneurship and can they be learned by us all? Hear from Erik Schluntz, Co-Founder and CTO at @CobaltRobotics . Join us tomorrow at 9:30am PDT https:// buff.ly/2Uaqm3N #startups #robotics pic.twitter.com/FBNXME1xtW";;@CobaltRobotics;#entrepreneurship #startups #robotics;"1070317142443257856";https://twitter.com/SVI_Center/status/1070317142443257856
