username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cognigoAI;2018-12-28 04:04;0;1;"Opinion | America Needs a Privacy Law https:// hubs.ly/H0f_NDW0";;;;"1078577293059149825";https://twitter.com/cognigoAI/status/1078577293059149825
cognigoAI;2018-12-25 07:08;2;1;"Ending the year with one more validation of our unique solution for a growing challenge. https:// hubs.ly/H0f_nkb0 #datacompliance #datasecurity #darkdata #GDPR #CCPA #dataprivacy pic.twitter.com/NZ5SYsIjp1";;;#datacompliance #datasecurity #darkdata #GDPR #CCPA #dataprivacy;"1077536461614993410";https://twitter.com/cognigoAI/status/1077536461614993410
cognigoAI;2018-12-24 04:06;0;2;"Data Privacy Vs. Data Protection: Understanding The Distinction In Defending Your Data https:// hubs.ly/H0fZDdN0";;;;"1077128249262641152";https://twitter.com/cognigoAI/status/1077128249262641152
cognigoAI;2018-12-21 04:07;0;0;"Mayday! NASA Warns Employees of Personal Information Breach https:// hubs.ly/H0fZ1pZ0";;;;"1076041363811110912";https://twitter.com/cognigoAI/status/1076041363811110912
toddprokop;2018-12-19 06:35;1;1;"1/17- educational lunch & Learn for #CyberSecurity professionals at Perry’s Steakhouse! #SanAntonio @CDA_Critical @cognigoAI @lastlineinc https:// criticaldesign.net/event/emerging -cyberthreats-lunch-learn-san-antonio.html …";;@CDA_Critical @cognigoAI @lastlineinc;#CyberSecurity #SanAntonio;"1075354012571045888";https://twitter.com/toddprokop/status/1075354012571045888
cognigoAI;2018-12-16 07:07;0;0;"Facebook's latest privacy scandal: The private photos of millions of users were accidentally shared with 1,500 apps https:// hubs.ly/H0fWNmn0";;;;"1074274692461158400";https://twitter.com/cognigoAI/status/1074274692461158400
cognigoAI;2018-12-16 04:07;0;0;"Dems Introduce Data Protection 'Duties' Bill https:// hubs.ly/H0fV8q-0";;;;"1074229393701126144";https://twitter.com/cognigoAI/status/1074229393701126144
cognigoAI;2018-12-14 04:10;0;1;"Busy Year with Millions in ICO Fines Levied for Data Breaches - CPO Magazine https:// hubs.ly/H0fSQs70";;;;"1073505373531856896";https://twitter.com/cognigoAI/status/1073505373531856896
cognigoAI;2018-12-12 04:06;0;0;"Google, Facebook face crackdown under ACCC recommendations https:// hubs.ly/H0fR0xK0";;;;"1072779591608082432";https://twitter.com/cognigoAI/status/1072779591608082432
cognigoAI;2018-12-10 12:06;0;1;"#dataprivacy #dataprotection #GDPR #CCPA #datasecurity #DataScience #DPO pic.twitter.com/Uv6RMil0DR";;;#dataprivacy #dataprotection #GDPR #CCPA #datasecurity #DataScience #DPO;"1072175634741387268";https://twitter.com/cognigoAI/status/1072175634741387268
cognigoAI;2018-12-10 04:02;0;0;"Facebook fined $11.4M in Italy over data misuse https:// hubs.ly/H0fQHmh0";;;;"1072053825639469056";https://twitter.com/cognigoAI/status/1072053825639469056
cognigoAI;2018-12-08 07:05;0;0;"The WIRED Guide to Data Breaches https:// hubs.ly/H0fQH7K0";;;;"1071375086211526656";https://twitter.com/cognigoAI/status/1071375086211526656
cognigoAI;2018-12-08 04:05;1;1;"Only 29% of EU organizations are GDPR compliant https:// hubs.ly/H0fQnFg0";;;;"1071329787812163584";https://twitter.com/cognigoAI/status/1071329787812163584
cognigoAI;2018-12-06 06:36;1;2;"https:// hubs.ly/H0fP96Q0 "Only 36 percent felt their data privacy program is in compliance with state, national, and/or international regulations." #dataprivacy #dataprotection #gdpr #CCPA #privacy #datasecurity #humanfree pic.twitter.com/tobz6hM5O2";;;#dataprivacy #dataprotection #gdpr #CCPA #privacy #datasecurity #humanfree;"1070643222978969601";https://twitter.com/cognigoAI/status/1070643222978969601
cognigoAI;2018-12-02 07:03;0;0;"Lawmakers call for data security legislation in wake of Marriott breach https:// hubs.ly/H0fL3850";;;;"1069200256842301445";https://twitter.com/cognigoAI/status/1069200256842301445
cognigoAI;2018-12-02 04:03;1;0;"California’s Data Privacy Law: Taking a Page from the GDPR Playbook https:// hubs.ly/H0fK_4s0";;;;"1069154960749879296";https://twitter.com/cognigoAI/status/1069154960749879296
cognigoAI;2018-12-02 01:09;0;0;"I wonder what about un-structured data. Can they even monitor if anything was touched?";;;;"1069111247700934656";https://twitter.com/cognigoAI/status/1069111247700934656
ErezYalon;2018-12-01 08:39;0;1;"Very cool. Congrats @cognigoAI !";;@cognigoAI;;"1068862175480082432";https://twitter.com/ErezYalon/status/1068862175480082432
cognigoAI;2018-11-29 02:50;1;2;"Good Morning @PrivacyPros . Here are yesterday's winners who gave #concent to share their happy moment. Visit us at booth #11 to learn how to automate your #Dataprotection #GDPR #CCPA #Datacompliance and #Dataprivacy and get a chance to win a really cool Polaroid Camera. pic.twitter.com/sgYE9YN84w";;@PrivacyPros;#concent #11 #Dataprotection #GDPR #CCPA #Datacompliance #Dataprivacy;"1068049464751996928";https://twitter.com/cognigoAI/status/1068049464751996928
cognigoAI;2018-11-28 09:09;1;0;"@PrivacyPros Seems that everyone solves #dataprivacy and #dataprotection using *AI*. A lot of "Ifs" put together may be artificial, but far from intelligent. Don't be shy to ask vendors for on-the-spot intelligent #MachineLearning examples. Image Credit @imgur pic.twitter.com/U4YcD73xsR";;@PrivacyPros @imgur;#dataprivacy #dataprotection #MachineLearning;"1067782629351669760";https://twitter.com/cognigoAI/status/1067782629351669760
cognigoAI;2018-11-28 05:09;1;1;"If all your #darkdata is under control and all private information is well maintained, way to go! If not, come visit our booth #11 @PrivacyPros in Brussels. We will show you how easy it can be and you might win a cool Polaroid camera. #GDPR #Dataprivacy #humanfree pic.twitter.com/sHIbNeV0so";;@PrivacyPros;#darkdata #11 #GDPR #Dataprivacy #humanfree;"1067722085663940608";https://twitter.com/cognigoAI/status/1067722085663940608
cognigoAI;2018-11-28 04:02;0;0;""Gartner predicts that through 2021, more than 80% of organizations will fail to develop a consolidated data security policy across silos" https:// hubs.ly/H0fG4nY0";;;;"1067705238826684417";https://twitter.com/cognigoAI/status/1067705238826684417
cognigoAI;2018-11-27 15:11;1;2;"We're HOT ! Cognigo was chosen to be one of the the 10 Hottest Cybersecurity Startup Companies Of 2018 by CRN Magazine!!! https:// hubs.ly/H0fH60X0";;;;"1067511298789965824";https://twitter.com/cognigoAI/status/1067511298789965824
cognigoAI;2018-11-27 09:14;1;3;"Proud to be part of this very impressive list of companies. Thanks @CRN @MichaelNovinson #dataprivacy #dataprotection #humanfree https:// twitter.com/CRN/status/106 7133225607270401 …";;@CRN @MichaelNovinson;#dataprivacy #dataprotection #humanfree;"1067421312216428544";https://twitter.com/cognigoAI/status/1067421312216428544
VDOOSecurity;2018-11-27 09:11;1;4;"Honored to be part of this amazing list of #leaders in #cybersecurity";;;#leaders #cybersecurity;"1067420553592619010";https://twitter.com/VDOOSecurity/status/1067420553592619010
cognigoAI;2018-11-27 06:21;1;0;"One day for the #IAPP EU Conference in Brussels. We will be there giving you a chance to see how you can Automate #DataPrivacy #DataProtection by leveraging #Machinelearning technology . Stop by, booth #11, you may also win a cool Polaroid camera. @PrivacyPros #IAPP pic.twitter.com/q7jsuXdulf";;@PrivacyPros;#IAPP #DataPrivacy #DataProtection #Machinelearning #11 #IAPP;"1067377823487336448";https://twitter.com/cognigoAI/status/1067377823487336448
twistlockteam;2018-11-26 18:35;0;0;"Thrilled to see us on this list of badass companies!";;;;"1067200211938766849";https://twitter.com/twistlockteam/status/1067200211938766849
MichaelNovinson;2018-11-26 15:08;12;15;"The 10 Hottest #Cybersecurity Startup Companies Of 2018 - Congrats @cognigoAI , @dovermicro , @LuminateSec, @OPAQcloud , @panorays , @riskrecon , #Toka , @twistlockteam , @VDOOSecurity & @XMCyber_ ! @CRN https:// buff.ly/2FGEVsz pic.twitter.com/XWXHHG5hO8";;@cognigoAI @dovermicro @LuminateSec @OPAQcloud @panorays @riskrecon @twistlockteam @VDOOSecurity @XMCyber_ @CRN;#Cybersecurity #Toka;"1067148113704554510";https://twitter.com/MichaelNovinson/status/1067148113704554510
CRN;2018-11-26 14:09;5;8;"The 10 Hottest #CyberSecurity Startup Companies Of 2018: https:// go.crn.com/2P3vXoP @cognigoAI @dovermicro @LuminateSec @OPAQcloud @panorays @riskrecon @twistlockteam @VDOOSecurity @XMCyber_ pic.twitter.com/7FwVNp8NPh";;@cognigoAI @dovermicro @LuminateSec @OPAQcloud @panorays @riskrecon @twistlockteam @VDOOSecurity @XMCyber_;#CyberSecurity;"1067133225607270401";https://twitter.com/CRN/status/1067133225607270401
