username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pandharikar;2018-10-10 15:04;0;3;"Locked and loaded on Audible. Ready to #Blitzscaling @aicommerce https:// twitter.com/reidhoffman/st atus/1050053572786716672 …";;@aicommerce;#Blitzscaling;"1050099733417455616";https://twitter.com/pandharikar/status/1050099733417455616
aicommerce;2018-08-30 18:55;2;2;"AI Product Manager http://www. commerce.ai/post/evolving- into-an-ai-product-manager …";;;;"1035300115399897088";https://twitter.com/aicommerce/status/1035300115399897088
aicommerce;2018-08-09 20:45;1;2;"Register for our webinar! http://www. commerce.ai/resource/regis ter-for-the-webinar …";;;;"1027717537876795392";https://twitter.com/aicommerce/status/1027717537876795392
aicommerce;2018-08-09 20:44;1;2;"http://www. commerce.ai/post/ai-superp ower-interview-by-money-time-korea …";;;;"1027717226877444096";https://twitter.com/aicommerce/status/1027717226877444096
AmznChris;2018-06-06 11:43;0;4;"Head to the @aicommerce at booth 2053 at #irce18 ! I’m showing Amazon sellers how to protect their accounts at 11am and 1pm today pic.twitter.com/wlbySwpPO4";;@aicommerce;#irce18;"1004388297605632005";https://twitter.com/AmznChris/status/1004388297605632005
pandharikar;2018-05-26 09:10;0;0;"#AISuperpowers @aicommerce https://www. linkedin.com/pulse/ai-super powers-andy-pandharikar/?published=t …";;@aicommerce;#AISuperpowers;"1000363656918458369";https://twitter.com/pandharikar/status/1000363656918458369
aicommerce;2018-05-23 14:07;1;3;"Sign up for our next seminar https:// hubs.ly/H0ccGc20 pic.twitter.com/vicAQjHFnw";;;;"999351004410892288";https://twitter.com/aicommerce/status/999351004410892288
pandharikar;2018-05-01 13:27;0;0;"@aicommerce AI to design generate new products using Deep Product Learning http:// commerce.ai/post/what-is-c ommerce-ais-deep-product-learning …";;@aicommerce;;"991368420783509505";https://twitter.com/pandharikar/status/991368420783509505
pandharikar;2018-05-01 09:58;0;1;"Speaking at Consumer Goods Forum tomorrow in #london @aicommerce";;@aicommerce;#london;"991315991547269121";https://twitter.com/pandharikar/status/991315991547269121
aicommerce;2018-04-27 10:07;3;5;"Have you ever thought that AI will design new products? Make sure to read at our new blog AI to design new products using Deep Product Learning http:// commerce.ai/post/what-is-c ommerce-ais-deep-product-learning … #commerce #commerce .ai #ArtificialIntelligence #AI #artificalintelligence #data #DataAnalytics #Retail";;;#commerce #commerce #ArtificialIntelligence #AI #artificalintelligence #data #DataAnalytics #Retail;"989868573123334144";https://twitter.com/aicommerce/status/989868573123334144
aicommerce;2018-03-24 14:20;3;3;"Our new office @aicommerce @pandharikar #aistartup #bavaria #startupbavaria https:// twitter.com/pandharikar/st atus/977561491380596737 …";;@aicommerce @pandharikar;#aistartup #bavaria #startupbavaria;"977611039683547137";https://twitter.com/aicommerce/status/977611039683547137
pandharikar;2018-03-24 11:03;0;4;"Our new Munich office @aicommerce pic.twitter.com/3DcGCkmVjy";;@aicommerce;;"977561491380596737";https://twitter.com/pandharikar/status/977561491380596737
catchoom;2018-03-20 13:16;1;3;"Our CEO, @davidmarimon will be speaking today about how #visualrecognition in fashion #eCommerce improves SEO and reduces costs. Don't miss @shoptalk Tech Talks, featuring @ReflektionInc @ZetaGlobal @Certona @RapportBoost @aicommerce @NextailLabs @Yotpo @albertaimktg pic.twitter.com/2WWGNUZYq6";;@davidmarimon @shoptalk @ReflektionInc @ZetaGlobal @Certona @RapportBoost @aicommerce @NextailLabs @Yotpo @albertaimktg;#visualrecognition #eCommerce;"976145543901646848";https://twitter.com/catchoom/status/976145543901646848
catchoom;2018-03-19 09:46;0;0;"See you there!";;;;"975730109176057858";https://twitter.com/catchoom/status/975730109176057858
RetailtechHub;2018-03-19 06:12;0;11;"First day with our Batch 2 startups ! So excited for the second program of Retailtech Hub!! Welcome @smartmile1 @heptasense @VayyarInc @ZigZagGlobal @freemachinesAI @aicommerce AiFi, Checkout Technologies, ThingOS, 2txt, LightnTec #startups #rth #retail #tech #empowercommerce pic.twitter.com/CpDwQhO8nR";;@smartmile1 @heptasense @VayyarInc @ZigZagGlobal @freemachinesAI @aicommerce;#startups #rth #retail #tech #empowercommerce;"975676328614727680";https://twitter.com/RetailtechHub/status/975676328614727680
