username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Crypto_Saturn;2018-12-21 04:19;0;0;"Hey guys @SEN. Twitter updates when ?";;@SEN;;"1076044470989320192";https://twitter.com/Crypto_Saturn/status/1076044470989320192
CryptoGuy604;2018-12-20 02:50;0;0;""Data Storage layer: the initial Sen network is based on Sia, however the storage capabilities of Sia do not fit our use cases, so this needs a substantial (or complete) rework." This mean, the plan was to fork Sia, but now you guys are considering making a new BC from scratch?";;;;"1075659601314344960";https://twitter.com/CryptoGuy604/status/1075659601314344960
MalthusJohn;2018-12-17 05:43;0;0;"The only ones that should are the (US-facing) guilty ones that used improper marketing and/or business-investment model features, which is a small percent. Expectation management needs precise wording, just like the law. "Some" means less than a majority, for example. Low fruit?";;;;"1074616111319171073";https://twitter.com/MalthusJohn/status/1074616111319171073
NeilM43;2018-12-17 01:31;0;0;"@consensus_ai When will the windows CPU miner work? I have tried setting up a miner on ethOS and Ubuntu and I have had no luck. I'm not a Linux pro and the step by step guide on the Medium post is difficult to follow without seeing the steps. Do you have a video guide or anythin";;@consensus_ai;;"1074552752221683713";https://twitter.com/NeilM43/status/1074552752221683713
CryptoCX1;2018-12-16 16:04;0;0;"I haven’t found a list, but you can quickly searched where the ICOs that you participated in are headquartered. They’ll all be flagged imo.";;;;"1074409942054912000";https://twitter.com/CryptoCX1/status/1074409942054912000
sitonakamoto;2018-12-16 15:51;0;0;"@jchervinsky What about ICOs outside the US. I know SEC reach can get there too, but multiple has incorporated in Swiss. or Singapore...etc.";;@jchervinsky;;"1074406792778657793";https://twitter.com/sitonakamoto/status/1074406792778657793
sereiindelicado;2018-12-16 14:52;0;1;"Hi guys. Do you know of any list of potential targets? Like a list of ICOs that are liable? I think many investors are right now thinking "is my token going to be hit by the SEC?", but they don't know for sure.";;;;"1074391771633864704";https://twitter.com/sereiindelicado/status/1074391771633864704
jchervinsky;2018-12-16 14:48;0;10;"Also, keep in mind that some ICOs may not decide to offer refunds on their own & will only do so in response to pressure from the SEC or private investors in civil litigation.";;;;"1074390859183988736";https://twitter.com/jchervinsky/status/1074390859183988736
jack47853375;2018-12-16 14:06;0;1;"Refund because your in a bear market ? pathetic. Icos do not gaurentee ROi lol";;;;"1074380383796502529";https://twitter.com/jack47853375/status/1074380383796502529
CryptoCX1;2018-12-16 13:55;0;9;"You should all keep an eye on refund notices from ICO’s that you contributed to. I was lucky in 2017 and profited from most on exit, only did 3 in 2018. I’ll be eyeing refunds from @MercuryProtocol @Conste11ation @consensus_ai @real_token https:// twitter.com/jchervinsky/st atus/1074367225916731397 …";;@MercuryProtocol @Conste11ation @consensus_ai @real_token;;"1074377426078056448";https://twitter.com/CryptoCX1/status/1074377426078056448
HighFiveSurf;2018-12-15 14:56;0;0;"What about my tokens?";;;;"1074030553261850625";https://twitter.com/HighFiveSurf/status/1074030553261850625
gongfeng0512;2018-12-12 21:58;0;0;"币价要归零了！你们团队干什么吃的！一群骗子";;;;"1073049377218822144";https://twitter.com/gongfeng0512/status/1073049377218822144
McGrawBridget;2018-12-11 01:42;0;2;"Congratulations!";;;;"1072381011374325760";https://twitter.com/McGrawBridget/status/1072381011374325760
Doriscafe;2018-12-11 01:10;0;1;"Awesome!!";;;;"1072373151047278593";https://twitter.com/Doriscafe/status/1072373151047278593
FANGXIAOCOIN;2018-12-10 23:24;0;0;"@consensus_ai There is a clear fraud in this project. It’s now banned from its investors’ attention.";;@consensus_ai;;"1072346344491282433";https://twitter.com/FANGXIAOCOIN/status/1072346344491282433
adrmurray;2018-12-07 17:30;0;0;"Unrelated but I can’t DM you. It does have to do with things in the valley though...";;;;"1071170040697769984";https://twitter.com/adrmurray/status/1071170040697769984
phfft;2018-12-07 15:53;0;2;"If anyone wants to help us test the new @consensus_ai Sentient command line miner against our pool server to mine $ SEN using their Mac shoot me a DM.";;@consensus_ai;;"1071145724518100993";https://twitter.com/phfft/status/1071145724518100993
NeilM43;2018-12-04 00:38;0;0;"When will the gui be able to mine on Windows 10?";;;;"1069828219631747072";https://twitter.com/NeilM43/status/1069828219631747072
