username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SmartConvos;2018-12-19 17:00;1;1;"Start a Conversation. On Your Website, Landing Page or Display Advertisement. https:// buff.ly/2PMfeqk #conversationiskey #adsthattalkback pic.twitter.com/VjM0fhDnfC";;;#conversationiskey #adsthattalkback;"1075511242155065345";https://twitter.com/SmartConvos/status/1075511242155065345
SmartConvos;2018-12-10 14:37;1;1;"Have a Conversation inside your Display or Banner Ad. Get Leads through Chat. Make Advertising Fun with Convo Ads. #conversationalads #AIadvertising #chatads pic.twitter.com/yf7F8dkErO";;;#conversationalads #AIadvertising #chatads;"1072213806007373824";https://twitter.com/SmartConvos/status/1072213806007373824
SmartConvos;2018-12-09 11:53;0;0;"Congrats Atlanta! So proud of our city #AtlantaUnited #community https:// twitter.com/ATLUTD/status/ 1071602575366086656 …";;;#AtlantaUnited #community;"1071809990028087296";https://twitter.com/SmartConvos/status/1071809990028087296
SmartConvos;2018-12-03 19:45;0;2;"pic.twitter.com/hbtA2UCHGG";;;;"1069754419774935040";https://twitter.com/SmartConvos/status/1069754419774935040
SmartConvos;2018-11-19 17:44;0;0;"Improve Customer Experience with a Chatbot #chat #chatbots #AI #CX pic.twitter.com/BFEyz5Ofoq";;;#chat #chatbots #AI #CX;"1064650733960785922";https://twitter.com/SmartConvos/status/1064650733960785922
TheRealDMajor;2018-11-15 20:39;1;0;"Had a great time the @SmallBizExpos today! Tons of great exhibits, booths and networking opportunities. Proud to represent @SmartConvos as an A.I Marketing and Advertising vendor. #AI #Marking #womenintech pic.twitter.com/YgRCAqtRWl";;@SmallBizExpos @SmartConvos;#AI #Marking #womenintech;"1063245089592483840";https://twitter.com/TheRealDMajor/status/1063245089592483840
SmartConvos;2018-11-14 13:05;0;3;"Chat tech helps your customers navigate the many pages on your website. If you are a business with a lot of technical information, we can make it easier for your customers to engage and improve their overall Customer Experience. #CX #AI #chatbots https:// buff.ly/2RU3jrL pic.twitter.com/LJMYUNi1sc";;;#CX #AI #chatbots;"1062768471707140098";https://twitter.com/SmartConvos/status/1062768471707140098
TheRealDMajor;2018-11-05 11:54;0;1;"I'm a female tech founder looking for Seed Capital for my AI Conversational Tech company @SmartConvos , so if anybody reading this comment feed is looking to write checks -I'm here lol";;@SmartConvos;;"1059489088716357633";https://twitter.com/TheRealDMajor/status/1059489088716357633
SmartConvos;2018-11-02 11:48;0;0;"People often say 'Thank You' to our chatbots too, just know they do appreciate it. Good Read - https:// buff.ly/2SwD8c1 @Entrepreneur #chatbots #tech #conversationaltech";;@Entrepreneur;#chatbots #tech #conversationaltech;"1058385478733434881";https://twitter.com/SmartConvos/status/1058385478733434881
SmartConvos;2018-10-29 14:01;0;0;"What was your first memory using a computer? How old were you? What'd you use it for? Tell Us All About It! #startaconversation #conversationaltechnology #smalltechtalks #ai #marketing #smartconvos pic.twitter.com/sBeIpCffjm";;;#startaconversation #conversationaltechnology #smalltechtalks #ai #marketing #smartconvos;"1056969196213559298";https://twitter.com/SmartConvos/status/1056969196213559298
SmartConvos;2018-10-27 11:39;0;0;"There is great power in a conversation. Humans urge to connect. Moments like these are why were working on Conversational Technology #AI #conversational #technology #martech #adtecv https:// twitter.com/60SecDocs/stat us/1055896846370041856 …";;;#AI #conversational #technology #martech #adtecv;"1056208666339262465";https://twitter.com/SmartConvos/status/1056208666339262465
SmartConvos;2018-10-26 17:34;0;0;"How powerful is a Conversation? How valuable is a Conversation between a company and its customers? Do customers feel better or worse after having an interaction with your company? Its Time to Get Smart with Conversational Technology. #ai #conversations #getsmart pic.twitter.com/Hy5Xo6Tqws";;;#ai #conversations #getsmart;"1055935665483976705";https://twitter.com/SmartConvos/status/1055935665483976705
SmartConvos;2018-10-23 13:05;0;1;"We love seeing new female founders and CEOs! https:// twitter.com/NewarkVc/statu s/1042869411458306049 …";;;;"1054780950817718272";https://twitter.com/SmartConvos/status/1054780950817718272
SmartConvos;2018-10-17 17:42;1;6;"We had a great time at @VentureAtlanta this week. What an amazing event! Thank you so much to @TechSquare and many others for putting this together and giving us startups an opportunity to grow our business. #VA2018 #VAConnects #startups pic.twitter.com/e3UgXpYz7Z";;@VentureAtlanta @TechSquare;#VA2018 #VAConnects #startups;"1052676308860325888";https://twitter.com/SmartConvos/status/1052676308860325888
SmartConvos;2018-10-16 10:58;0;7;"We're here! @VentureAtlanta #VA2018 #VAconnects . Looking forward to the fireside chat and lessons in leadership panel. #ai #advertising #atlstartup pic.twitter.com/ejQ1egWoLr";;@VentureAtlanta;#VA2018 #VAconnects #ai #advertising #atlstartup;"1052212093796134912";https://twitter.com/SmartConvos/status/1052212093796134912
SmartConvos;2018-10-11 20:03;1;2;"Our team is hard at work this week for @VentureAtlanta . 5 more days! #techstartup #ai #advertising https:// twitter.com/TheRealDMajor/ status/1050526460295950337 …";;@VentureAtlanta;#techstartup #ai #advertising;"1050537344879788032";https://twitter.com/SmartConvos/status/1050537344879788032
TheRealDMajor;2018-10-11 19:20;0;4;"Putting in overtime hours this week prepping for @VentureAtlanta and Atlanta Corporate Innovators Summit at @GatheringSpots for @SmartConvos . Super excited! Good luck to everyone attending ;) pic.twitter.com/25pbv7z3Gl";;@VentureAtlanta @GatheringSpots @SmartConvos;;"1050526460295950337";https://twitter.com/TheRealDMajor/status/1050526460295950337
