username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cornertechnolo1;2017-06-05 11:02;3;2;"I just entered to win a trip to Tokyo & you can too! 5 Hotel + $1500 for + Tasting Menu + Travel Kit Enter→ https:// goo.gl/64PPqP";;;;"871744048947703809";https://twitter.com/cornertechnolo1/status/871744048947703809
TheSiskar;2017-06-04 22:19;0;0;"@cornertechnolo1 Thanks for following! BTW, you can get my future blog posts by clicking "Subscribe" below : http:// zpr.io/aMT4";;@cornertechnolo1;;"871552017814224897";https://twitter.com/TheSiskar/status/871552017814224897
Sann_22;2017-04-25 09:03;0;0;"@hsannosaj @OverlooK_zxx @IC_8Charloottes @jesuspmoya @winnerMwiine @cornertechnolo1 @JamonTheSecond @JosephENickel @californianvest pic.twitter.com/s5SyfS0Fuy";;@hsannosaj @OverlooK_zxx @IC_8Charloottes @jesuspmoya @winnerMwiine @cornertechnolo1 @JamonTheSecond @JosephENickel @californianvest;;"856856083461230592";https://twitter.com/Sann_22/status/856856083461230592
cornertechnolo1;2017-04-21 06:36;3;1;"pic.twitter.com/2QOijI17RP";;;;"855369697264517122";https://twitter.com/cornertechnolo1/status/855369697264517122
cornertechnolo1;2017-04-20 05:29;0;1;"Choose your favorite languages to engaged with. @cornertechnolo1 pic.twitter.com/GCDWgA3mGu";;@cornertechnolo1;;"854990520744984576";https://twitter.com/cornertechnolo1/status/854990520744984576
cornertechnolo1;2017-04-18 04:19;0;1;"Hello to cornertech a new platform to engaged with all companies around the world. pic.twitter.com/fHO2bSSa9K";;;;"854247943645282304";https://twitter.com/cornertechnolo1/status/854247943645282304
cornertechnolo1;2017-04-15 00:37;0;0;"@jkonowe I need your help with co-founder of my business.";;@jkonowe;;"853104950619942912";https://twitter.com/cornertechnolo1/status/853104950619942912
cornertechnolo1;2017-04-13 23:48;1;4;"Join the community to learn, engaged with your favorite companies in differences industries. pic.twitter.com/htw6GDATfx";;;;"852730297422458880";https://twitter.com/cornertechnolo1/status/852730297422458880
cornertechnolo1;2017-04-13 04:01;0;1;"https:// qtrial2017q2az1.az1.qualtrics.com/jfe/form/SV_eh bD6aN6OXwxHEh?Q_CHL=social&Q_SocialSource=twitter …";;;;"852431649950154753";https://twitter.com/cornertechnolo1/status/852431649950154753
cornertechnolo1;2017-04-12 22:23;0;0;"Win a trip to New York City and go to TechCrunch Disrupt NY for free! Enter → https:// goo.gl/cEUnFl";;;;"852346390617374720";https://twitter.com/cornertechnolo1/status/852346390617374720
cornertechnolo1;2017-04-11 23:56;0;0;"@monkshillvc we love to connect you";;@monkshillvc;;"852007579152556032";https://twitter.com/cornertechnolo1/status/852007579152556032
cornertechnolo1;2017-04-11 01:02;1;1;"We explore new way of searching @cornertechnolo1 pic.twitter.com/M0gh08X2s1";;@cornertechnolo1;;"851661713262886912";https://twitter.com/cornertechnolo1/status/851661713262886912
cornertechnolo1;2017-04-09 03:43;1;1;"Willem Willemstein http:// velocitycapital-pe.com/?p=111";;;;"850977502629511168";https://twitter.com/cornertechnolo1/status/850977502629511168
cornertechnolo1;2017-04-07 23:27;0;0;"We know what your favorite are, so we put them in one platform - let's you engaged more easily and faster. More @http://cornertech.co pic.twitter.com/7kLkcCJtWK";;@http;;"850550540677267457";https://twitter.com/cornertechnolo1/status/850550540677267457
cornertechnolo1;2017-04-06 00:15;1;1;"Find Your Favorite Investors & Ventures at @cornertechnolo1 pic.twitter.com/58u5aPT5wA";;@cornertechnolo1;;"849838013509062656";https://twitter.com/cornertechnolo1/status/849838013509062656
cornertechnolo1;2017-04-04 04:21;0;0;"Learn the story behind "Online Category " and help us meet our goal. @indiegogo https:// igg.me/at/cornertech/ 16413725 …";;@indiegogo;;"849175005732642817";https://twitter.com/cornertechnolo1/status/849175005732642817
cornertechnolo1;2017-04-04 01:33;0;1;"" Alone we can do so little ; together we can do so much." - Helen Keller pic.twitter.com/SKaELJ3ReS";;;;"849132727840276481";https://twitter.com/cornertechnolo1/status/849132727840276481
cornertechnolo1;2017-03-30 11:08;7;4;"Nothing better than have everything you looking for in just into one simple and beautiful platform. @cornertechnolo1 pic.twitter.com/lT9WMf3CKk";;@cornertechnolo1;;"847465650205282304";https://twitter.com/cornertechnolo1/status/847465650205282304
cornertechnolo1;2017-03-28 00:51;0;0;"Connect - Pillar Companies http:// pillar.vc/connect/";;;;"846585439003697152";https://twitter.com/cornertechnolo1/status/846585439003697152
cornertechnolo1;2017-03-24 01:40;0;0;"@cornertech is new platform that you will find it easy, faster and convince way. pic.twitter.com/y3UhzbHEJk";;@cornertech;;"845148296393863170";https://twitter.com/cornertechnolo1/status/845148296393863170
cornertechnolo1;2017-03-23 07:03;0;0;"@indexdotco I'd like to claim ownership of @porpok -venture-co-ltd. Could you help me out?";;@indexdotco @porpok;;"844867081942196224";https://twitter.com/cornertechnolo1/status/844867081942196224
cornertechnolo1;2017-03-18 03:20;1;2;"This is the great platform that give you the best way to find specific companies around the world into one single platform. pic.twitter.com/1vNsOg4TSn";;;;"842999210542751744";https://twitter.com/cornertechnolo1/status/842999210542751744
Oudomphun;2017-03-18 03:18;0;0;"@cornertechnolo1 great platform for find specific companies around the world.";;@cornertechnolo1;;"842998661139259392";https://twitter.com/Oudomphun/status/842998661139259392
cornertechnolo1;2017-03-17 02:23;0;0;"i love your book.";;;;"842622347106426880";https://twitter.com/cornertechnolo1/status/842622347106426880
cornertechnolo1;2017-03-14 23:31;0;0;"@peterthiel Hi Peter, I have a business idea that I need your advice on building into the successful business.";;@peterthiel;;"841854421176745984";https://twitter.com/cornertechnolo1/status/841854421176745984
