username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Health_AI_Inst;2018-12-22 16:18;0;3;"The company profiled in the article, @Corti_AI , is helping emergency response personnel identify heart attacks more quickly -- in part by analyzing caller speech and even background noise. https:// twitter.com/nigewillson/st atus/1076434680956813312 …";;@Corti_AI;;"1076587910907023363";https://twitter.com/Health_AI_Inst/status/1076587910907023363
ReflectionAI;2018-12-21 13:57;2;3;"AI-enabled system from @corti_ai applies #machinelearning to emergency calls to support dispatchers in rapidly responding to the most life-threatening situations http:// bit.ly/2BCOFi3 #digitalhealth #Healthtech";;@corti_ai;#machinelearning #digitalhealth #Healthtech;"1076189955196628994";https://twitter.com/ReflectionAI/status/1076189955196628994
pfizer_de;2018-12-21 08:42;0;3;"Das dänische Start-up @corti_ai hat ein #KI -System entwickelt, das Mitarbeiter von Notruf-Hotlines bei Anrufen von Herzinfarkt-Patienten unterstützt. @forbes zeigt erste Ergebnisse: http:// spr.ly/6018EJtUp #Digitalisierung";;@corti_ai @forbes;#KI #Digitalisierung;"1076110539976249344";https://twitter.com/pfizer_de/status/1076110539976249344
Compass_LS;2018-12-21 06:50;0;1;"AI That Saves Lives: The Chatbot That Can Detect A Heart Attack Using Machine Learning http:// ow.ly/hLIF30n4lYv @corti_ai from @Forbes";;@corti_ai @Forbes;;"1076082365972267008";https://twitter.com/Compass_LS/status/1076082365972267008
NASSCOM_Product;2018-12-21 05:30;0;3;"#MachineLearning turns life saver! Here’s to Danish startup @corti_ai that have devised a mechanism to detect heart attacks using #ML . https:// bit.ly/2rLjblu";;@corti_ai;#MachineLearning #ML;"1076062226174201859";https://twitter.com/NASSCOM_Product/status/1076062226174201859
isdn;2018-12-20 13:18;0;2;"Det er dæleme en træls fejl at få smidt i hovedet, og så lige her op til jul. Har givet besked til Afdelingen for Uventede Tekniske Fejl. Hvis alt andet rammer har de licens til håndholdt tilmelding.";;;;"1075817670652641281";https://twitter.com/isdn/status/1075817670652641281
jonassmith;2018-12-20 09:20;0;0;"Kommer gerne. Men web-tilmelding er nede med "en uventet teknisk fejl"";;;;"1075757865485381637";https://twitter.com/jonassmith/status/1075757865485381637
HoffmannAnja;2018-12-20 02:52;0;2;"Jeg er ikke misundelig. Jeg er ikke misundelig. Jeg er lidt misundelig. God læselyst. Jeg sætter mig i venteværelset og må vente lidt endnu med at læse";;;;"1075660072150294528";https://twitter.com/HoffmannAnja/status/1075660072150294528
isdn;2018-12-20 02:45;2;14;"Næ, se hvad lander på mit bord til julehyggen: Præ-tryk-udgaven af @petersvarre 's værk om kunstig intelligens. Udkommer i det nye år, og præsenteres hos @DanskErhverv den 21. januar 2019. @larsmaaloe fra @corti_ai er også med. Kom selv! https://www. danskerhverv.dk/kurser-og-even ts/hvad-skal-vi-med-mennesker/ … #dkbiz #dkpol pic.twitter.com/EwA85uNFuo";;@petersvarre @DanskErhverv @larsmaaloe @corti_ai;#dkbiz #dkpol;"1075658353215455232";https://twitter.com/isdn/status/1075658353215455232
corti_ai;2018-12-14 14:14;1;12;"Each box contains an #AI that saves lives by helping #emergencymedicine dispatchers detect #cardiac arrest faster than ever before. Just plug it into your phone and it will assist dispatchers in real time. Try it for free! #aiforgood #emergency #healthcare pic.twitter.com/6rJ28XHK4c";;;#AI #emergencymedicine #cardiac #aiforgood #emergency #healthcare;"1073657535855558657";https://twitter.com/corti_ai/status/1073657535855558657
corti_ai;2018-12-12 15:24;11;26;"We are proud to announce that we are launching a PhD scholarship program together with @DIKU_Institut , Prof. Christian Igel & Prof. Anders Søgaard, to solve semi-supervised #ASR for #medical conversations, supported by @Innofond . Ping @larsmaaloe for more info. #ai #chpftw";;@DIKU_Institut @Innofond @larsmaaloe;#ASR #medical #ai #chpftw;"1072950444824166400";https://twitter.com/corti_ai/status/1072950444824166400
DanskErhverv;2018-12-10 10:20;1;9;"Den 21. januar lægger vi hus til lanceringen af @petersvarre nye bog ”Hvad skal vi med mennesker?”, som handler om kunstig intelligens. Til lanceringen kommer også @corti_ai og en lang række spørgsmål og problematikker omkring AI bliver vendt. https://www. danskerhverv.dk/kurser-og-even ts/hvad-skal-vi-med-mennesker/ …";;@petersvarre @corti_ai;;"1072149039360212993";https://twitter.com/DanskErhverv/status/1072149039360212993
bittlingmayer;2018-12-09 12:38;25;39;"The Language track @Applied Machine Learning Days includes key contributors to Google Translate, Google Now, the Transformer arch, research wunderkinder and growing startups @LiltHQ , @Unbabel , @corti_ai @karehq . Last day for early-bird tickets. http:// appliedmldays.org/tracks/8 #nlproc";;@Applied @LiltHQ @Unbabel @corti_ai @karehq;#nlproc;"1071821481087328256";https://twitter.com/bittlingmayer/status/1071821481087328256
byFounders;2018-12-09 05:01;0;3;"Well done, @andreascleve and @corti_ai ! #aiforgood @Innovators35 @techreview https:// twitter.com/yuannielsen/st atus/1069887980129673216 …";;@andreascleve @corti_ai @Innovators35 @techreview;#aiforgood;"1071706268652462080";https://twitter.com/byFounders/status/1071706268652462080
corti_ai;2018-12-06 05:55;12;16;"What if you could automatically detected the #language of the caller, within the first 5sec of an #emergence call? - Never again wasting time due to language barriers. Corti can make dispatchers understand 10 languages in real time. #Healthcare #ems #ai https:// medium.com/corti-ai/impro ving-pre-hospital-care-for-language-minorities-using-machine-learning-36d7d1e0e325 …";;;#language #emergence #Healthcare #ems #ai;"1070632880001482753";https://twitter.com/corti_ai/status/1070632880001482753
corti_ai;2018-12-06 05:53;1;0;"Thanks Louis. It is looping weird.. Here’s the link : https:// medium.com/corti-ai/impro ving-pre-hospital-care-for-language-minorities-using-machine-learning-36d7d1e0e325 …";;;;"1070632324293951488";https://twitter.com/corti_ai/status/1070632324293951488
henninglangberg;2018-12-02 07:08;0;11;"AI og mennesker. Det bidrager vi gerne til fra @CPHHealthtech Det er kombinationen af kloge mennesker m domaine kendskab og ny teknologi der giver AI !! @corti_ai @enversion https:// twitter.com/katrinafeilber g/status/1069160373494980609 …";;@CPHHealthtech @corti_ai @enversion;;"1069201745551724544";https://twitter.com/henninglangberg/status/1069201745551724544
